reward_terms/time,reward_terms/height,curriculum/ctrl_drop_prob,curriculum/sprint_dist_m,reward_terms/action_rate,reward_terms/fwd_speed,reward_terms/angmom,time/iterations,reward_terms/coef_rate,reward_terms/stance_time,reward_terms/overrun,reward_terms/vz,rollout/ep_len_mean,reward_terms/foot_slip,time/time_elapsed,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/assist_pen,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/stance,curriculum/ctrl_jitter_ms,time/total_timesteps,reward_terms/ang_xy,rollout/ep_rew_mean,reward_terms/residual,reward_terms/foot_ahead,reward_terms/residual_rate,reward_terms/motor_vel,reward_terms/air_time,reward_terms/step_rate,reward_terms/hip_roll,reward_terms/alive,reward_terms/torque,reward_terms/energy,curriculum/stance_ratio,time/fps,reward_terms/stop,reward_terms/clearance,reward_terms/upright,train/entropy_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_range
-0.5,-0.021647121819213546,0.0,25.0,-0.07787515095665709,-0.6984200385214192,-0.3050711039484729,1,-0.8999977807704462,0.0,0.0,-0.2317496369364661,49.88,-0.578363434424986,4,0.0,-0.22685689266526202,0.0,0.01,-1.872725640259474e-07,0.0,0.0,18432,-0.7302445058617516,-112.33778726999998,-0.08860131103773632,0.0,0.0,0.0,4.448771748381356e-05,0.0,-0.069481925142484,0.0,0.0,0.0,0.65,4252,0.0,0.06829956774054172,-0.52904632580599,,,,,,,,,,,
-0.5,-0.02115529211826557,0.0,25.01152,-0.08075752016703124,-0.6844220201048322,-0.33640775236404524,2,-0.800703886856864,0.0,0.0,-0.24956179065117487,50.16,-0.6238689242257199,9,7.68e-05,-0.298233328537104,0.0,0.01,-1.7148969678652575e-07,0.0,0.0,36864,-0.8066293717009008,-112.41155881,-0.08719138489597421,0.0,0.0,-1.3779505202901048e-06,2.1158795182903607e-05,0.0,-0.06555768826207618,0.0,-4.743245109284881e-05,-6.679224093218911e-06,0.649982336,4077,0.0,0.0568725131675345,-0.4990009878377751,-34.0521858215332,0.02952880859375,-0.21622157096862793,0.005614084,12510.839965820312,2861.31787109375,16485,0.0004876299062743783,1.000073790550232,0.000299990784,0.2
-0.5,-0.022458763026588016,0.0,25.02304,-0.08105986226446456,-0.6555558874501016,-0.29216599869045634,3,-0.7679595626468816,0.0,0.0,-0.2207606099948313,46.66,-0.6679741847104378,13,0.0001536,-0.3638300208540714,0.0,0.01,-1.5407807208629035e-07,0.0,0.0,55296,-0.73193479353673,-111.53028624000001,-0.08628759622572074,0.0,0.0,-2.549654620993341e-06,5.425312944377462e-06,0.0,-0.060957151444570624,0.0,-8.401809128105483e-05,-1.2037141477206542e-05,0.6499646720000001,4146,0.0,0.04556603178006255,-0.4844752997275278,-34.04786128997803,0.0,0.4230639338493347,0.0005701495,3986.8256713867186,972.740234375,16489,-0.0009874922106973827,0.9997782707214355,0.000299981568,0.2
-0.5,-0.030354766722197977,0.0,25.03456,-0.07956971641914154,-0.7229902783182967,-0.2839287857640731,4,-0.6999396377404611,0.0,0.0,-0.24257218945787493,56.55,-0.6664766553111098,17,0.0002304,-0.38495948770052874,0.0,0.01,-1.4135145409522534e-07,0.0,0.0,73728,-0.7096633179748506,-113.99868185,-0.08779698064858282,0.0,0.0,-3.846221907942683e-06,7.812479937759538e-05,0.0,-0.07458846731751466,0.0,-0.00011766297677177175,-1.7344099980190283e-05,0.649947008,4173,0.0,0.04804330062673344,-0.5481087529162837,-34.04848442077637,0.00335693359375,0.48059141635894775,0.00264027,2015.8720581054688,527.3239135742188,16493,-0.0027524164761416614,0.999811053276062,0.00029997235199999997,0.2
-0.5,-0.035116277044647946,0.0,25.04608,-0.07891792575636601,-0.7628215251149384,-0.26231554001183877,5,-0.6782317164092853,0.0,0.0,-0.25318779573878053,63.44,-0.675180453843553,21,0.0003072,-0.41077200386456447,0.0,0.01,-1.4401629063279847e-07,0.0,0.0,92160,-0.6772241769881573,-115.71487678,-0.08905067320514037,0.0,0.0,-5.064244458955338e-06,7.378453544030587e-05,0.0,-0.07730214143962251,0.0,-0.00015382769910527285,-2.250804968717753e-05,0.649929344,4202,0.0,0.04773907044683503,-0.574892548505042,-34.049823951721194,0.01431884765625,0.39478838443756104,0.0049446104,1325.6131774902344,331.55230712890625,16497,-0.0036076699645491315,0.9999082088470459,0.000299963136,0.2
-0.5,-0.047184373537730646,0.0,25.0576,-0.07361916094402522,-0.9210046259660748,-0.27739977420149875,6,-0.5969040088934938,0.0,0.0,-0.29467637793358503,80.92,-0.6433132691822144,26,0.000384,-0.4563258338266605,0.0,0.01,-1.539220871975079e-07,0.0,0.0,110592,-0.6798173816325231,-120.08986637000002,-0.09230302188410272,0.0,0.0,-5.846736125837477e-06,0.0001779509960518529,0.0,-0.10370230471179581,0.0,-0.00018790769143492412,-2.566261545391377e-05,0.64991168,4197,0.0,0.05732816757591572,-0.728746845849346,-34.0517240524292,0.028173828125,0.45343196392059326,0.006954783,706.9965698242188,197.53591918945312,16501,-0.004749698599334806,1.0000531673431396,0.00029995392,0.2
-0.5,-0.053425349155526755,0.0,25.06912,-0.07160983203934021,-0.9586580373521245,-0.2668598070450459,7,-0.5686220179235777,0.0,0.0,-0.31204249620059404,85.9,-0.6684556832449223,30,0.0004608,-0.466906675839187,0.0,0.01,-1.491226476389701e-07,0.0,0.0,129024,-0.6887528867540168,-121.33545256000004,-0.09375413825189485,0.0,0.0,-7.197550695651471e-06,0.00016872786606351534,0.0,-0.1095586937258779,0.0,-0.00023126898656521092,-3.104275370362894e-05,0.6498940160000001,4200,0.0,0.05630333707829205,-0.7414846456155726,-34.05470294952393,0.04630126953125,0.40352195501327515,0.008835295,416.2111129760742,115.58684539794922,16505,-0.006371649855282158,1.000267744064331,0.00029994470399999997,0.2
-0.5,-0.05161966972626626,0.0,25.08064,-0.0709848835748236,-1.0043717066921987,-0.29005097643533656,8,-0.5404828594837394,0.0,0.0,-0.3032386001942473,92.56,-0.6448480242847043,34,0.0005376,-0.4522211030444185,0.0,0.01,-1.469656342687225e-07,0.0,0.0,147456,-0.6875198014534761,-122.99813464,-0.09474250900350317,0.0,0.0,-8.230065247724423e-06,0.0001150170573964715,0.0,-0.10066467892058835,0.0,-0.0002684555569096044,-3.6323544196238824e-05,0.649876352,4214,0.0,0.06118569005679934,-0.7610385072681031,-34.05768184661865,0.05970458984375,0.37268930673599243,0.008838855,256.6799945831299,61.26714324951172,16509,-0.007271198893431574,1.0003845691680908,0.000299935488,0.2
-0.5,-0.05432668524476936,0.0,25.09216,-0.06918366446457448,-1.0149376275634985,-0.2878146239480548,9,-0.5344689485807403,0.0,0.0,-0.3058278315174494,94.65,-0.6561326115737964,39,0.0006144,-0.44651158273078173,0.0,0.01,-1.4982515362195653e-07,0.0,0.0,165888,-0.7061313892429695,-123.51875377999998,-0.09492606480527303,0.0,0.0,-9.632686967532554e-06,0.00014811158568287888,0.0,-0.10243187016833095,0.0,-0.00032054914786165965,-4.2349578505515414e-05,0.649858688,4228,0.0,0.06190909523507748,-0.7582570452853774,-34.059886360168456,0.0900146484375,0.3112689256668091,0.00972988,176.8791358947754,56.21299743652344,16513,-0.008670024934690445,1.0005841255187988,0.000299926272,0.2
-0.5,-0.05056345125080944,0.0,25.10368,-0.0709416918017718,-1.002668179631335,-0.2984483439715469,10,-0.5484734469481141,0.0,0.0,-0.28650469585826205,93.47,-0.662186101702838,43,0.0006912,-0.43095043056599536,0.0,0.01,-1.469983834188536e-07,0.0,0.0,184320,-0.7213350207287546,-123.23696493,-0.09543817436968599,0.0,0.0,-1.1138026448981893e-05,0.0001280378298057864,0.0,-0.10137282408241216,0.0,-0.00036625560931714395,-4.9461102261631224e-05,0.649841024,4240,0.0,0.06149603866674472,-0.7327902816882547,-34.06301651000977,0.1255615234375,0.19690734148025513,0.0145248445,80.89862213134765,19.849214553833008,16517,-0.01091958275064826,1.000997543334961,0.000299917056,0.2
