reward_terms/alive,reward_terms/foot_slip,reward_terms/assist_pen,reward_terms/angmom,reward_terms/coef_rate,curriculum/cmd_track_err,reward_terms/energy,curriculum/cmd_scale,reward_terms/phase_contact,time/fps,time/total_timesteps,reward_terms/step_rate,reward_terms/action_rate,reward_terms/stance,rollout/ep_rew_mean,reward_terms/foot_ahead,ankle/ankle_spring_energy_peak,reward_terms/time,reward_terms/stand_drift,reward_terms/torque,reward_terms/stance_time,time/time_elapsed,reward_terms/track_yaw,reward_terms/upright,curriculum/ent_coef,ankle/ankle_defl_peak,reward_terms/stand,curriculum/eff_scale,reward_terms/motor_vel,reward_terms/duty_sym,reward_terms/track_lin,reward_terms/ang_xy,reward_terms/clearance,reward_terms/stop,reward_terms/height,time/iterations,reward_terms/residual_rate,ankle/ankle_spring_trq_peak,reward_terms/fwd_speed,curriculum/stance_ratio,reward_terms/air_time,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/overrun,reward_terms/vz,reward_terms/residual,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/std,train/clip_range,train/loss
0.5,-0.2064247911653012,0.0,-0.23908862592643582,-0.44071997771647065,0.7990346933850321,0.0,0.0,-0.10959280959694945,3967,18432,0.0,-0.07398157435126546,-0.002063423242415126,-78.6610972142857,0.0,0.0,0.0,-0.03377747772476581,0.0,-0.0017508872034442094,4,0.45949030518280387,-0.4047934597825982,0.01,0.519284358227937,0.19253647634663826,0.0,0.0,0.0,0.7899980498650234,-0.2853848425802607,0.0233274122508726,0.0,-0.03114703040857723,1,0.0,0.0,0.0,0.7,3.7977297324687243e-06,169.62244897959184,-0.044692000418000526,-0.49087354913027453,0.0,-0.1784938454001335,-0.10932218484447326,,,,,,,,,,,
0.5,-0.2262829894714357,0.0,-0.2648611576610637,-0.4622333486884542,0.6633785142761169,0.0,0.0,-0.08926431176415514,3815,36864,0.0,-0.07278889488341381,-0.008773198413950564,-77.44900713,0.0,0.0,0.0,-0.03369441987888937,0.0,-0.0002324733197585576,9,0.3946069330473143,-0.43155655486435474,0.01,0.5185309231615503,0.15936418920299836,0.0,0.0,0.0,0.8661347423478309,-0.3009895507677307,0.018471025285126248,0.0,-0.03651379100542822,2,0.0,0.0,0.0,0.7,0.0,171.07,-0.045877825442648394,-0.5338801313221205,0.0,-0.19623531009320347,-0.10961950789885061,0.16231689453125,-0.006873101287055761,0.5121380686759949,279.8449462890625,0.024213374,0.00029999385599999997,229802,-36.87244815826416,0.9996200203895569,0.2,37.746742248535156
0.5,-0.2689545139347957,0.0,-0.27571807932997855,-0.44925526134394633,0.6944374946394702,0.0,0.0,-0.07681681610375608,3910,55296,0.0,-0.06982972020363501,-0.010948811893840532,-74.90119715,0.0,0.0,0.0,-0.03731798535310429,0.0,-0.00032741635287594463,14,0.3963562706745154,-0.4224719229008327,0.01,0.519244686125574,0.17251969515497267,0.0,0.0,0.0,0.8999327993774789,-0.30249292976351305,0.015648602609692353,0.0,-0.03536192974897172,3,0.0,0.0,0.0,0.7,0.0,170.72,-0.049671919867767554,-0.5250546637454901,0.0,-0.18788960912117764,-0.11007013908572087,0.2197265625,0.018476068158634007,0.8056440353393555,221.83351516723633,0.023121003,0.000299987712,229803,-36.873579025268555,0.9993663430213928,0.2,85.68194580078125
0.5,-0.23478095772141538,0.0,-0.23946105808667578,-0.46432477115064696,0.6626497094033287,0.0,0.0,-0.10577750590377594,3933,73728,0.0,-0.06984224752750348,-0.015799669839980504,-73.19825503999999,0.0,0.0,0.0,-0.02231588435932748,0.0,-0.0004985848596940438,18,0.394085193678156,-0.413077617483866,0.01,0.5191946774844303,0.11779679225552411,0.0,0.0,0.0,0.9869234564053792,-0.30669240255446373,0.024415433846854465,0.0,-0.03397462146021411,4,0.0,0.0,0.0,0.7,1.4648413828884562e-05,168.09,-0.04791118334164206,-0.5023084964082263,0.0,-0.18196909882128023,-0.11023217089766352,0.3046722412109375,-0.010966090354486369,0.7916555404663086,109.9290280342102,0.04997568,0.000299981568,229807,-36.88435387611389,1.0002464056015015,0.2,28.770292282104492
0.5,-0.25872935421209703,0.0,-0.234519669816934,-0.4574773140549378,0.627883387588158,0.0,0.0,-0.09489413816344001,3956,92160,0.0,-0.068860049218257,-0.0253250015869217,-76.94931017,0.0,0.0,0.0,-0.022233957999036658,0.0,-0.000500347953574318,23,0.39132945941341135,-0.40207787984927734,0.01,0.5193700960804754,0.13191697339829478,0.0,0.0,0.0,0.8966394812190734,-0.30192793435893195,0.024933448521927044,0.0,-0.03692560562582932,5,0.0,0.0,0.0,0.7,2.4414010113105178e-05,169.06,-0.04756615072407417,-0.4976118658398282,0.0,-0.19137134493591834,-0.110336474408963,0.272314453125,0.019488806137815118,0.8844739198684692,109.76124572753906,0.026237924,0.000299975424,229808,-36.881910705566405,0.9997721910476685,0.2,38.26335144042969
0.5,-0.2733010773356608,0.0,-0.2215388707797237,-0.4685885154313344,0.642931012096524,0.0,0.0,-0.09413962650042046,3971,110592,0.0,-0.07305857282942652,-0.029513122658561666,-70.86665176,0.0,0.0,0.0,-0.020257306391664245,0.0,-0.0008738819257511447,27,0.38107015963131957,-0.41433709627174825,0.01,0.5191393372964592,0.13272291884101167,0.0,0.0,0.0,1.1063943141787738,-0.3143035647750516,0.02005876220206872,0.0,-0.029319004754540506,6,0.0,0.0,0.0,0.7,3.4722150303423405e-05,167.51,-0.05151192120402323,-0.467151386589715,0.0,-0.1683609790158781,-0.11070406971110869,0.22126116071428573,0.0013845735894782202,0.8903027176856995,77.84038870675224,0.049159337,0.00029996928,229810,-36.88653891427176,1.0001300573349,0.2,34.42987823486328
0.5,-0.2986702813487885,0.0,-0.25791869655613414,-0.45852609651285253,0.7005697921325694,0.0,0.0,-0.09860271770725765,3993,129024,0.0,-0.07027944168970995,-0.047451920804990916,-73.0266977,0.0,0.0,0.0,-0.02124723014630848,0.0,-0.0006156370541753455,32,0.39133190736320633,-0.41665110354881735,0.01,0.5190347664144451,0.16831673433862046,0.0,0.0,0.0,0.9542341265292227,-0.2978565454148208,0.019329347014042354,0.0,-0.03735524747619964,7,0.0,0.0,0.0,0.7,2.495653461664915e-05,169.02,-0.04911547317610355,-0.5137125786955983,0.0,-0.2004666132953211,-0.11067215401055026,0.2642415364583333,0.011982423874239126,0.882316529750824,72.05936813354492,0.057245567,0.000299963136,229812,-36.886887868245445,1.0000696182250977,0.2,29.916099548339844
0.5,-0.2689266496117948,0.0,-0.2231440163430414,-0.46657043503302087,0.5974966622962491,0.0,0.0,-0.08226769868607195,4006,147456,0.0,-0.06853276449778155,-0.048629367921315614,-70.99103815,0.0,0.0,0.0,-0.027070819235183993,0.0,-0.0006728740635379734,36,0.39384952930166434,-0.4031647627651201,0.01,0.5191254532341458,0.18677554012215686,0.0,0.0,0.0,1.0212103762719178,-0.30668894916190526,0.019120557745640927,0.0,-0.03415069831908858,8,0.0,0.0,0.0,0.7,5.42524503543973e-07,166.5,-0.05382200341280955,-0.4706401446472539,0.0,-0.18158043091750642,-0.110648546875299,0.2525227864583333,0.01939285158490141,0.8645330667495728,67.70097351074219,0.02617231,0.000299956992,229813,-36.882058461507164,0.9997258186340332,0.2,30.78133773803711
0.5,-0.2915170679300378,0.0,-0.2280322493017556,-0.45277123157276183,0.6314336388901646,0.0,0.0,-0.07291679480246269,4017,165888,0.0,-0.06787038631564668,-0.04787666799605311,-68.02628233,0.0,0.0,0.0,-0.029296566208480177,0.0,-0.00046969606935615756,41,0.37988426786152424,-0.41578071014689016,0.01,0.5192909555118962,0.1952852880946384,0.0,0.0,0.0,1.1155127632678614,-0.31385391620708974,0.01635012430856045,0.0,-0.03554238269842443,9,0.0,0.0,0.0,0.7,8.680527874579033e-06,169.65,-0.05464432291941074,-0.47632018206461524,0.0,-0.19141804828402606,-0.11076273507284265,0.29443359375,0.020108048571273685,0.8641831874847412,61.56584167480469,0.028069552,0.00029995084799999997,229814,-36.88488292694092,0.9999671578407288,0.2,28.48455238342285
0.5,-0.3185086499243474,0.0,-0.21940282519044743,-0.45254264010145856,0.6762439290970202,0.0,0.0,-0.10515302227988303,4023,184320,0.0,-0.06330508020588993,-0.05862465431555471,-77.80285291999999,0.0,0.0,0.0,-0.023247467970289114,0.0,-0.0010012425449935512,45,0.3731373211441445,-0.39204354093391697,0.01,0.5194318764192337,0.1212204521075928,0.0,0.0,0.0,0.8773001040269492,-0.30061274957193435,0.022504030931270708,0.0,-0.03777618880569916,10,0.0,0.0,0.0,0.7,2.0616280380636454e-05,168.4,-0.05288096128429821,-0.4709897316134966,0.0,-0.1957303625136241,-0.11080365167689517,0.27197265625,0.017035636119544506,0.8365763425827026,62.09940719604492,0.02525484,0.00029994470399999997,229815,-36.88756790161133,1.000166893005371,0.2,27.633026123046875
