reward_terms/hip_roll,reward_terms/time,curriculum/ent_coef,reward_terms/upright,reward_terms/stance_time,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/residual,time/iterations,reward_terms/alive,reward_terms/torque,ankle/ankle_defl_peak,ankle/ankle_spring_energy_peak,reward_terms/motor_vel,reward_terms/lat_vel,reward_terms/foot_ahead,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,rollout/ep_len_mean,reward_terms/overrun,reward_terms/step_rate,reward_terms/phase_contact,rollout/ep_rew_mean,time/total_timesteps,reward_terms/vz,reward_terms/air_time,reward_terms/fwd_speed,reward_terms/coef_rate,curriculum/eff_scale,reward_terms/residual_rate,reward_terms/duty_sym,curriculum/sprint_dist_m,reward_terms/stop,reward_terms/energy,reward_terms/angmom,ankle/ankle_spring_trq_peak,reward_terms/height,time/fps,reward_terms/stance,reward_terms/clearance,time/time_elapsed,reward_terms/ang_xy,reward_terms/assist_pen,curriculum/stance_ratio,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/explained_variance,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate
-0.008355087630849235,-0.5,0.01,-0.09878058401445974,-0.00022135312772459455,-0.04229383156955039,-0.5329957695067693,-0.1083793257959494,1,0.0,-0.18815623491372663,0.7385603743872017,11.32651255697369,-0.0033258263458613648,-2.4420955579769548e-08,0.0,0.0,0.0,234.21,0.0,-0.00959201388888881,-0.45570884833837294,-86.32214753,59017842,-0.12409613742785743,0.0011306407686788589,1.34108367308079,-0.4174251782989112,0.245830875,0.0,0.0,61.87463125,0.0,-0.019971243135303324,-0.1070676312391151,30.57639949963015,-0.02062878624290983,2925,-0.002131435494383037,0.09029954102566258,6,-0.3230228265736863,0.0,0.59345889875,,,,,,,,,,,
-0.004755781278037223,-0.5,0.01,-0.10479766082465465,0.0,-0.03665184570049036,-0.4453707942303271,-0.11016128880176038,2,0.0,-0.17986535508070767,0.6710693184159934,9.359975922680796,-0.0031605621996990277,-2.536554862050577e-08,0.0,0.0,0.0,252.92,0.0,-0.008376736111111102,-0.4097750498928933,-74.63971233,59036274,-0.145012057801286,0.0015597851306665689,1.8814406694873484,-0.3594002593727982,0.245907675,0.0,0.0,61.88615125,0.0,-0.018935861923997363,-0.09977377211750624,27.782269782422127,-0.025842394911993465,3315,0.0,0.10537391475226396,11,-0.27512624450291295,0.0,0.59344123475,0.2,-0.005023414979223162,18.82653980255127,0.01773418,12504,6.379546642303467,0.923365592956543,1.001375436782837,0.21026611328125,-34.073127365112306,0.000270491079
-0.005622451509420149,-0.5,0.01,-0.10557435914953037,0.0,-0.03702887164103817,-0.4446481101066094,-0.11015172870870286,3,0.0,-0.1795577941800849,0.6834062764976251,9.727818437080712,-0.0031671306193767003,-2.4489885346396092e-08,0.0,0.0,0.0,253.49,0.0,-0.008767361111111076,-0.41052774030905537,-75.05810917000001,59054706,-0.14395849655133836,0.0015673806289366137,1.8606471568433163,-0.36059238585285336,0.245984475,0.0,0.0,61.89767125,0.0,-0.01891890570509599,-0.09954012472015919,28.293019847001677,-0.025262894035348663,3562,0.0,0.10601687568607492,15,-0.2770689621316571,0.0,0.59342357075,0.2,-0.01694228540873155,0.23951029926538467,0.020522531,12508,-0.2716658115386963,0.9992409944534302,1.0016363859176636,0.203515625,-34.07104911804199,0.000270481863
-0.004983771161824566,-0.5,0.01,-0.10298816410118514,-1.3562837719089455e-06,-0.03706236011893676,-0.43628618880627734,-0.10999663635711057,4,0.0,-0.1790630575453773,0.7013689841333595,10.265430201435905,-0.0031528223015687582,-2.447546268385652e-08,0.0,0.0,0.0,254.03,0.0,-0.0085503472222222,-0.4126713772984247,-75.62267723,59073138,-0.1411954341321046,0.0016612390431368516,1.853799699698207,-0.3586237322033925,0.246061275,0.0,0.0,61.90919125,0.0,-0.018756334428359514,-0.09883574074448863,29.036675943121082,-0.02522166553176379,3706,0.0,0.103042662236623,19,-0.2787584097987834,0.0,0.59340590675,0.2,1.565352166918191e-05,2.1808395060625942,0.045454618,12511,0.4333283007144928,0.9937279224395752,1.0011485815048218,0.2622958096590909,-34.06770255348899,0.00027047264699999997
-0.005082110658014807,-0.5,0.01,-0.09989241014169242,-1.627583211908738e-05,-0.03676843613846599,-0.43431948406772286,-0.10989317057562992,5,0.0,-0.18000461849342597,0.705897909244614,10.496016092462817,-0.003141514699059025,-2.4068716324506787e-08,0.0,0.0,0.0,254.04,0.0,-0.00848524305555554,-0.41660741617574987,-76.14983964,59091570,-0.1352137170545025,0.0016959612354791413,1.8263856788453177,-0.35636543423424333,0.246138075,0.0,0.0,61.920711250000004,0.0,-0.018793292703945582,-0.09807063661321762,29.22417344272702,-0.024852963447039484,3792,0.0,0.10167870023259672,24,-0.27822659344633194,0.0,0.59338824275,0.2,-0.007435012399218977,1.0712785214185714,0.023381617,12515,-0.009740501642227173,0.9961605072021484,1.0016953945159912,0.21263427734375,-34.074570655822754,0.000270463431
-0.005226921560035369,-0.5,0.01,-0.10275689993120092,-8.951672094149722e-06,-0.03717914140322027,-0.43569498017208896,-0.10984308968387359,6,0.0,-0.17889854810855588,0.6679363370361548,9.341956158299098,-0.0031661199608644737,-2.392234643847259e-08,0.0,0.0,0.0,253.69,0.0,-0.008648003472222193,-0.4151392092490547,-76.19533207999999,59110002,-0.13925246361633692,0.0016856530661849927,1.837470252488713,-0.3578892376992998,0.246214875,0.0,0.0,61.93223125,0.0,-0.018803751334902825,-0.09748486819321316,27.65256435329681,-0.025109539762377717,3854,0.0,0.10357451574096424,28,-0.27897510525730046,0.0,0.59337057875,0.2,-0.006237303838133812,2.1457518965005873,0.039223842,12519,0.4995904266834259,0.9942916631698608,1.0029864311218262,0.244677734375,-34.08179054260254,0.000270454215
-0.004766581774835578,-0.5,0.01,-0.1027859833444341,-2.034438592899177e-06,-0.03731367213640275,-0.43941459023146184,-0.10992959223204134,7,0.0,-0.18068037112386504,0.683117468562296,9.688543445524216,-0.0031941347785806387,-2.4481208621543935e-08,0.0,0.0,0.0,254.45,0.0,-0.00858289930555553,-0.41411809859649323,-76.05401119999999,59128434,-0.14240084764851305,0.001554902361628289,1.85220659283986,-0.35886247728851556,0.246291675,0.0,0.0,61.94375125,0.0,-0.01900793894566677,-0.09835305339668352,28.281063198479057,-0.025570439712634205,3898,0.0,0.10312529452478118,33,-0.2808045713521447,0.0,0.5933529147500001,0.2,-0.0062073620618321,3.240066459774971,0.03563835,12523,1.662092685699463,0.9901856184005737,1.0026142597198486,0.265625,-34.08797988891602,0.000270444999
-0.004891014859525998,-0.5,0.01,-0.10187545660752281,0.0,-0.03751446506879113,-0.44247598980477615,-0.11000090424482208,8,0.0,-0.17948092040185382,0.6859550559261467,9.765068567284658,-0.003164876169798574,-2.4427714671982055e-08,0.0,0.0,0.0,254.82,0.0,-0.008138020833333336,-0.4156565943301007,-75.08229393,59146866,-0.14030863141500227,0.0016118684272644008,1.8462379408986938,-0.358732487034752,0.246368475,0.0,0.0,61.95527125,0.0,-0.01881424507943418,-0.09761111073395207,28.39853931534247,-0.025286627699699513,3933,0.0,0.10314978573923135,37,-0.27740122790613064,0.0,0.59333525075,0.2,-0.00919353156350553,0.7709685117006302,0.02052613,12527,-0.1813226342201233,0.9963644742965698,1.0014153718948364,0.15648193359375,-34.0709587097168,0.000270435783
-0.005571542513240887,-0.5,0.01,-0.10023160232811563,0.0,-0.03703020185855434,-0.4381270804076548,-0.10995908930414859,9,0.0,-0.17949182705322395,0.6665534183763728,9.204247885390338,-0.003158483536286944,-2.3327959760409325e-08,0.0,0.0,0.0,256.59,0.0,-0.008300781249999991,-0.41031462360798826,-75.16572206,59165298,-0.13959476953955244,0.0016080706878306551,1.8345633556552887,-0.3542305150576291,0.246445275,0.0,0.0,61.96679125,0.0,-0.018743710599936778,-0.09634297271423571,27.595311520781834,-0.025174881078107312,3963,-2.708482974289397e-08,0.102851301930769,41,-0.27821454199534057,0.0,0.59331758675,0.2,-0.0166630209190771,0.15795299634337426,0.02717096,12531,-0.31914427876472473,0.9994649887084961,1.0016460418701172,0.266552734375,-34.07289199829101,0.000270426567
-0.005125241165196376,-0.5,0.01,-0.10114170657762948,0.0,-0.0373461918649548,-0.44858312895170194,-0.1100915864461101,10,0.0,-0.18112369849996346,0.647885915429494,9.174277482600594,-0.003175765557779982,-2.426889987658669e-08,0.0,0.0,0.0,253.39,0.0,-0.008224826388888887,-0.4199282609632833,-76.13016898,59183730,-0.13917292390062602,0.0015310308501486564,1.8151494812392999,-0.3617979017325822,0.246522075,0.0,0.0,61.978311250000004,0.0,-0.01883676748642943,-0.09688914628638068,26.82247689878105,-0.024952267018803646,3985,0.0,0.10132433571580733,46,-0.2847366945391815,0.0,0.59329992275,0.2,-0.006289875402580946,0.42594267427921295,0.039572176,12535,-0.20747113227844238,0.9984296560287476,1.00213623046875,0.3194091796875,-34.072434997558595,0.00027041735099999996
