reward_terms/motor_vel,ankle/ankle_defl_peak,reward_terms/vz,reward_terms/angmom,rollout/ep_rew_mean,time/total_timesteps,curriculum/sprint_dist_m,reward_terms/assist_pen,ankle/ankle_spring_trq_peak,reward_terms/step_rate,reward_terms/air_time,reward_terms/clearance,reward_terms/residual,reward_terms/lat_vel,reward_terms/stop,reward_terms/residual_rate,ankle/ankle_spring_energy_peak,time/iterations,rollout/ep_len_mean,reward_terms/phase_contact,curriculum/ent_coef,reward_terms/energy,reward_terms/upright,reward_terms/overrun,reward_terms/duty_sym,time/fps,curriculum/eff_scale,reward_terms/coef_rate,curriculum/ctrl_jitter_ms,reward_terms/foot_ahead,reward_terms/torque,reward_terms/fwd_speed,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/stance,reward_terms/hip_roll,reward_terms/foot_slip,reward_terms/action_rate,reward_terms/time,time/time_elapsed,reward_terms/height,curriculum/stance_ratio,reward_terms/alive,reward_terms/stance_time,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std
-0.001957757159885353,0.22006626336859497,-0.2001048191815579,-0.0917175377351765,-95.08018122999998,60017832,62.499625,0.0,77.02319217900823,-0.00782335069444446,0.00029405369099953934,0.06827027272410617,-0.1098382588103022,-3.61383697562745e-08,0.0,0.0,8.91683335955298,1,220.81,-0.1658056371043334,0.01,-0.012549975740430916,-0.2158655075996202,0.0,-0.003840575059905577,2940,0.2499975,-0.5385090660834866,0.0,0.0,-0.14909554219804355,1.2526109227786522,0.0,-0.20969658720179277,-0.003478130610127599,-0.0197637656375129,-0.5040315721106938,-0.04039490892785082,-0.5,6,-0.024026505739073938,0.592500575,0.0,-0.007228559203213081,,,,,,,,,,,
-0.0017651635746299985,0.22882013549118965,-0.21425319646563046,-0.08191377342156507,-89.56309658,60036264,62.511145000000006,0.0,80.08704742191638,-0.006401909722222282,0.0007356766760090573,0.06681322558474379,-0.1103552650332884,-2.8502255553450942e-08,0.0,0.0,9.64259546468126,2,242.93,-0.14969606893067103,0.01,-0.011092588441418937,-0.1985921426367062,0.0,-0.005928850164088828,3318,0.2500743,-0.43583209329623285,0.0,0.0,-0.1310986809585984,1.439955806908195,0.0,-0.18315748090544054,-0.000771683251154894,-0.0151562270656379,-0.4190733324689795,-0.037398521099771806,-0.5,11,-0.02775828856882553,0.5924829110000001,0.0,-0.01029359315806586,-34.06611652374268,0.9579179286956787,7.052068853378296,0.2,1.9681708812713623,0.1295166015625,12861,0.000269991084,0.011087435,-0.007634583668550477,1.0009291172027588
-0.0018432546435504357,0.21846770204986393,-0.21291198206546813,-0.08157265773066248,-89.40863391,60054696,62.522665,0.0,76.46369571745238,-0.006705729166666731,0.0006949866785564356,0.06791096735973179,-0.11033761568563025,-2.9458664483370523e-08,0.0,0.0,8.712910027869347,3,242.51,-0.15006165839030036,0.01,-0.011410219959996797,-0.19721417684594958,0.0,-0.004765424335575535,3560,0.2501511,-0.45416687764840064,0.0,0.0,-0.13386892654587454,1.405170396455273,0.0,-0.19205340273211446,-0.0013479864893470306,-0.01639686675975132,-0.43853748342481613,-0.036991907012523695,-0.5,15,-0.02696668769604963,0.592465247,0.0,-0.009928606712492183,-34.064992141723636,0.9977760910987854,0.40886662900447845,0.2,-0.17748650908470154,0.172998046875,12865,0.000269981868,0.022178525,-0.013568856648635119,1.0009961128234863
-0.0018515787746749151,0.2157735136547405,-0.20391783721644796,-0.07954723640337451,-90.74746405999998,60073128,62.534185,0.0,75.52072977915918,-0.0071831597222222765,0.0011197909835674283,0.06632821697210091,-0.11044336528937361,-3.160121300574896e-08,0.0,0.0,8.45704072737084,4,239.99,-0.16095716764468765,0.01,-0.011509426801343882,-0.19312942893835405,0.0,-0.0042925037624917195,3700,0.2502279,-0.46618242419893896,0.0,0.0,-0.1364758058764161,1.376836640239974,0.0,-0.19248717920865846,-0.0009700721814642666,-0.016038974139359494,-0.4561259805417599,-0.03850624089162887,-0.5,19,-0.026182966226984784,0.592447583,0.0,-0.010392879161776768,-34.06600522994995,0.9958546757698059,1.1363777965307236,0.2,0.42866000533103943,0.275970458984375,12869,0.000269972652,0.047637895,-0.004552544589387253,1.0012515783309937
-0.0018034749497319105,0.21915432551945765,-0.21257710191126855,-0.07992669496455841,-89.67361378000001,60091560,62.545705,0.0,76.70401393181018,-0.007411024305555595,0.0014990219238421156,0.07284353568151253,-0.11067876481548222,-2.8525594999414085e-08,0.0,0.0,8.796079613472534,5,243.28,-0.16667298357651944,0.01,-0.0112434056338168,-0.19271429437878343,0.0,-0.00131167753729585,3800,0.2503047,-0.4486831508153266,0.0,0.0,-0.13369990402128326,1.4328601799719922,0.0,-0.18569317322878318,-0.0008359154227103707,-0.015355283457647223,-0.45818220872433635,-0.03709516341303552,-0.5,24,-0.027311368172445182,0.592429919,0.0,-0.009998321356963262,-34.05924415588379,0.980658769607544,5.344119429588318,0.2,2.6684694290161133,0.2054443359375,12871,0.000269963436,0.048021395,0.0018482084463660915,1.0004595518112183
-0.0017975621525992249,0.22373228835117534,-0.20808469363987295,-0.08216804451061763,-90.72891558,60109992,62.557224999999995,0.0,78.30630092291138,-0.007823350694444467,0.001887476230169543,0.07398944234993474,-0.11047742385589793,-2.9784087260788033e-08,0.0,0.0,9.187507695821656,6,242.7,-0.1677940095655529,0.01,-0.011175542083023689,-0.1950941391779277,0.0,-0.0017680014743168687,3856,0.2503815,-0.44894709059468607,0.0,0.0,-0.13183723074026704,1.4097101703823967,0.0,-0.1870870262786379,-0.0012155663608489262,-0.015129538643290958,-0.44859282528562944,-0.03747455465775362,-0.5,28,-0.026950468862849748,0.592412255,0.0,-0.010584935798154524,-34.07281360626221,0.9987738728523254,0.28456798642873765,0.2,-0.2502390742301941,0.204296875,12875,0.00026995421999999997,0.023954688,-0.017297894624061883,1.0016084909439087
-0.00182212974528864,0.22025560515144393,-0.21287187412949757,-0.08207220051139609,-90.44426191999999,60128424,62.56874500000001,0.0,77.08946180300538,-0.0076388888888889155,0.00179470317865101,0.07382340467932783,-0.1105245523356678,-3.0931563978448254e-08,0.0,0.0,8.854424374010708,7,242.37,-0.1604521455111299,0.01,-0.011384012078115076,-0.1967057089307683,0.0,-0.0019219906591421004,3896,0.2504583,-0.4520539476273337,0.0,0.0,-0.13473231961474508,1.4168259021480571,0.0,-0.1889688347452453,-0.0012969905843118537,-0.01577351836089164,-0.4449791130691052,-0.037630796550602225,-0.5,33,-0.027245911589518765,0.592394591,0.0,-0.009863502229563892,-34.070326232910155,0.9929676651954651,1.340297132730484,0.2,0.40208908915519714,0.25224609375,12879,0.000269945004,0.023644358,-0.007809037790866569,1.0014996528625488
-0.001813689870177988,0.22639920235209537,-0.20790601395268546,-0.07876443927595328,-90.45833381000003,60146856,62.580265000000004,0.0,79.23972082323338,-0.007345920138888934,0.0017795123987727696,0.07242360149378935,-0.11043655194432135,-3.024641969059195e-08,0.0,0.0,9.435598480148228,8,243.51,-0.1586141090180951,0.01,-0.011331754411478705,-0.19230954263882927,0.0,-0.0033477655100180442,3933,0.2505351,-0.444837489732987,0.0,0.0,-0.13288332183794715,1.4163252965694488,0.0,-0.18804044092667904,-0.0015788126668723737,-0.01741454539174463,-0.4434962026216694,-0.037367465065645006,-0.5,37,-0.02666266464592001,0.592376927,0.0,-0.00999330313061364,-34.071288871765134,0.992469310760498,1.6783784449100494,0.2,-0.056166380643844604,0.23809814453125,12883,0.000269935788,0.027335295,-0.0082053835503757,1.00153386592865
-0.001830545424573588,0.23234421298120403,-0.21637352556816353,-0.08075548570050929,-91.05282292999999,60165288,62.591785,0.0,81.32047454342141,-0.007183159722222273,0.0014474813975135072,0.07057548270733555,-0.11045362435343999,-3.044298332726256e-08,0.0,0.0,9.972637883228494,9,242.24,-0.16349502828106038,0.01,-0.011476374330249764,-0.19371496557336235,0.0,-0.0031438931788637936,3957,0.2506119,-0.452288633379913,0.0,0.0,-0.1376436649629707,1.4120929544728684,0.0,-0.1934257314380802,-0.000677646523144859,-0.016031795115550734,-0.4495419594895151,-0.0374202497397558,-0.5,41,-0.027262787931699162,0.592359263,0.0,-0.01053136057614918,-34.06974353790283,0.9969913959503174,0.6085912138223648,0.2,-0.10869497060775757,0.1595458984375,12887,0.000269926572,0.01936034,-0.013369777658954262,1.0013930797576904
-0.0017999071755685466,0.22271213978909538,-0.2110454072055179,-0.08206962151448538,-89.77223763999999,60183720,62.603305,0.0,77.94924892618339,-0.0070095486111111755,0.0010422083335773398,0.06908357207557629,-0.11062329576561283,-3.016953070577092e-08,0.0,0.0,9.009512058994172,10,244.6,-0.15208860233415894,0.01,-0.011204493203400206,-0.1944118229444558,0.0,-0.004009950059044731,3978,0.2506887,-0.4456935114281635,0.0,0.0,-0.13343312967502535,1.421166571883764,0.0,-0.18737289536346313,-0.0009137868080340019,-0.01665083205188566,-0.42766028365359054,-0.03671436273027533,-0.5,46,-0.02722872445563351,0.592341599,0.0,-0.010633492339467112,-34.06681461334229,0.9865216612815857,2.2355677425861358,0.2,0.33355987071990967,0.23197021484375,12891,0.000269917356,0.018937737,-0.003932646138127893,1.0009515285491943
