reward_terms/hip_roll,reward_terms/alive,time/iterations,reward_terms/upright,reward_terms/air_time,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/height,reward_terms/heading_pen,curriculum/ent_coef,reward_terms/clearance,reward_terms/track_vx,reward_terms/progress,reward_terms/stance_time,time/fps,time/time_elapsed,reward_terms/track_heading,reward_terms/torque,reward_terms/stance,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,reward_terms/vz,reward_terms/track_yaw,reward_terms/ang_xy,reward_terms/yaw_rate,reward_terms/pos_pen,reward_terms/action_rate,reward_terms/track_pos,train/approx_kl,train/policy_gradient_loss,train/std,train/value_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/n_updates,train/loss
-0.1139527596953397,0.5,1,-0.6966012655985389,0.0,-0.0456976220049615,-1.1633347259409217,-0.01139860716934525,-0.07047236598791719,0.01,0.0,0.6326857303703947,0.0,0.0,853,7,1.3284586680191595,-0.6073101993180234,-0.08062501889002813,20.15,6144,-125.47308497000002,-0.18174136218658873,0.15437473994799072,-1.0774018951981208,-1.1475388457517721,-0.010529220135284088,-0.6060387018966745,1.981780465154111,,,,,,,,,,,
-0.10667363037799209,0.5,2,-0.7267849119820666,0.0,-0.05609871340591304,-1.1787328079357733,-0.012457195053639942,-0.07993415533248248,0.01,0.0,0.6248813205634786,0.0,0.0,831,14,1.317587088608618,-0.6115610636067713,-0.07738192258266333,20.83,12288,-129.47903717,-0.18328280935758798,0.1464606435791198,-1.0868342853485666,-1.1753226488438742,-0.011180704040657205,-0.6040071756970065,1.978544358776911,0.002165331,-0.006223533069714904,0.9992726445198059,6355.875061035156,0.00029993856,0.001434326171875,-0.0033299922943115234,0.2,-8.51151716709137,4,3112.138916015625
-0.11041090669215968,0.5,3,-0.7123403802836964,0.0,-0.056862318534305116,-1.2069622169247156,-0.011961393902289556,-0.07236730531557904,0.01,0.0,0.6266938515671405,0.0,0.0,837,22,1.3281715721071554,-0.6181990096409266,-0.07748284710259261,20.42,18432,-124.48528848000002,-0.18842113411949332,0.1518255636565649,-1.0850942153156584,-1.1595013713805111,-0.009815047879281549,-0.6013271538513436,1.986058193933152,0.0011505869,-0.002653597592143342,0.9981505870819092,6640.0743408203125,0.00029987712,0.000244140625,0.025842905044555664,0.2,-8.504544138908386,8,3303.093017578125
-0.10926194479181793,0.5,4,-0.6755175299124643,0.0,-0.06165860885568156,-1.224541487162159,-0.012282855881933036,-0.07119187895902646,0.01,0.0,0.626331951447104,0.0,0.0,837,29,1.3290630799226257,-0.6013347826820639,-0.09575812126355392,21.15,24576,-125.08378238000002,-0.1729402090593014,0.1591621190172968,-1.05636211523291,-1.1142060674546244,-0.01132578976332258,-0.6039937714640473,1.9789542111978096,0.0009498537,-0.002402263373369351,0.9973454475402832,6530.752380371094,0.00029981568,0.0001220703125,0.05057460069656372,0.2,-8.499772906303406,12,3264.53564453125
-0.11140729715898956,0.5,5,-0.6779048655794377,0.0,-0.06371344154832687,-1.2032488537138393,-0.013716356924614889,-0.07348777667095727,0.01,0.0,0.6147032614435077,0.0,0.0,838,36,1.330736753944736,-0.6236638295828447,-0.07694094409445107,21.48,30720,-126.82006914000003,-0.1789203482539854,0.1555951551547466,-1.0601863475599096,-1.137132174315023,-0.013669633899443643,-0.6028695370402298,1.9667438000194035,0.0011248637,-0.0024442557914881036,0.9967692494392395,6288.7774658203125,0.00029975423999999997,6.103515625e-05,0.053330421447753906,0.2,-8.49608290195465,16,3145.89404296875
-0.10801007182596341,0.5,6,-0.6366309361726307,0.0,-0.06322500221876552,-1.199069658410792,-0.012497429404347437,-0.0706575036627279,0.01,0.0,0.6335140550400978,0.0,0.0,836,44,1.3317990905850874,-0.6084832164270344,-0.07750634348296179,22.81,36864,-125.39034544,-0.17335201374776324,0.1587671356359566,-1.0475780612182681,-1.1166207767536716,-0.011409301389891144,-0.6019621701195016,1.9798625503119902,0.001353049,-0.0027320784283801913,0.9962698817253113,6404.8359375,0.0002996928,0.00048828125,0.052578866481781006,0.2,-8.492319464683533,20,3215.9580078125
-0.11335668755140076,0.5,7,-0.6440842824603729,0.0,-0.08154392356706086,-1.194061976864252,-0.015299209701914352,-0.08521642495210847,0.01,0.0,0.6187099576428537,0.0,0.0,833,51,1.3126069464167074,-0.6025449920911439,-0.08213131283758077,23.12,43008,-127.92125340999999,-0.17642392451128544,0.15458534963956733,-1.0567567565240663,-1.1469707296971874,-0.013886248578886878,-0.6030040814854374,1.9692691989804139,0.0011836383,-0.0024889545602491125,0.9954245090484619,6077.048095703125,0.00029963136,0.000335693359375,0.05160415172576904,0.2,-8.488551616668701,24,3003.738525390625
-0.11900045392017305,0.5,8,-0.6148262692119382,0.0,-0.06953719537787718,-1.204253266348697,-0.013978458984423037,-0.06747283031764524,0.01,0.0,0.6168982915441102,0.0,0.0,828,59,1.3344980361508316,-0.6138870033044648,-0.0775629225361814,20.93,49152,-125.06097928999998,-0.1617361865403282,0.1562294766115824,-1.0439939402066576,-1.1316058393614818,-0.013779413180952382,-0.60295731123036,1.9668458133467335,0.0009181233,-0.0016303808661177754,0.9948402047157288,6261.0560302734375,0.00029956992,0.0,0.04200261831283569,0.2,-8.48410952091217,28,3119.419921875
-0.12179827848148622,0.5,9,-0.641732302072704,0.0,-0.06519812805367436,-1.2047806846113291,-0.014728620242198174,-0.06610091582570185,0.01,0.0,0.6173076237683464,0.0,0.0,822,67,1.3383762555159404,-0.5981321151844992,-0.0729566263937602,22.07,55296,-126.88760698999998,-0.16951693553453995,0.15413816982671716,-1.0509042325414815,-1.1433420234957852,-0.013625795665651556,-0.5925284592626667,1.9667795340633842,0.00059063564,-0.00152730404806789,0.9941514134407043,6053.4210205078125,0.00029950848,6.103515625e-05,0.038857996463775635,0.2,-8.480461835861206,32,3050.010498046875
-0.11921349073869632,0.5,10,-0.613026079747745,0.0,-0.06529831719770147,-1.2069319658498991,-0.015889232173636466,-0.06500089965057108,0.01,0.0,0.615896265405682,0.0,0.0,819,74,1.3461001548908709,-0.5974589579307832,-0.07260952618560647,22.29,61440,-129.25992767,-0.17557459906571557,0.15602971597862192,-1.0212707795914349,-1.120959068301697,-0.012336610748723663,-0.5986583761993339,1.9746441576792062,0.0005703659,-0.001842404657509178,0.9932382106781006,6038.479675292969,0.00029944704,6.103515625e-05,0.012825191020965576,0.2,-8.475719451904297,36,2974.942138671875
-0.1185338369528241,0.5,11,-0.6345705172480434,0.0,-0.07438858785078553,-1.2163128845137514,-0.014760790092233298,-0.0826965039752758,0.01,0.0,0.6069477033406423,0.0,0.0,812,83,1.3172254079916679,-0.6051668644813976,-0.07860802861839679,23.33,67584,-128.8475192,-0.17750235098341172,0.14909896488218607,-1.053374704930705,-1.1604299666929763,-0.014129633899066118,-0.6005247753509669,1.964443608933052,0.00045953787,-0.0012902841990580782,0.9923045039176941,5941.044616699219,0.0002993856,0.0,0.008366107940673828,0.2,-8.469754457473755,40,2935.211181640625
-0.1189258454711077,0.5,12,-0.6436278866782758,0.0,-0.0725517689099877,-1.18030165288381,-0.01577300923798896,-0.07572938590882088,0.01,0.0,0.6151434939838781,0.0,0.0,809,91,1.3290234313100482,-0.6012661460308002,-0.07652113455333874,22.72,73728,-126.27219315999999,-0.1756704304441532,0.15667181705436428,-1.03874690233526,-1.1254619526858725,-0.013579533154176052,-0.5937319161248524,1.9719309635097872,0.0003594799,-0.0012803171121049672,0.9916887879371643,6069.565124511719,0.00029932415999999997,0.0,-0.022959113121032715,0.2,-8.465165138244629,44,3028.349609375
-0.11258417700747797,0.5,13,-0.6357271107486054,0.0,-0.06093248007237232,-1.2013156192363807,-0.014821886264723716,-0.068301271524498,0.01,0.0,0.6110651448484484,0.0,0.0,807,98,1.335832776439771,-0.5961496807410133,-0.0506206737465266,22.07,79872,-122.03964755999999,-0.18226044091262592,0.16039836436552954,-1.0504165241400767,-1.1109324641130367,-0.01257462474079051,-0.5935759751667623,1.9763940456607836,0.00033589255,-0.001094611085136421,0.9907951951026917,5980.185241699219,0.00029926272,0.0,-0.03126728534698486,0.2,-8.461118817329407,48,2999.752685546875
-0.11271469363608287,0.5,14,-0.6440990512858852,0.0,-0.05814451547395258,-1.1942718960197931,-0.014773863307115208,-0.06585544417384975,0.01,0.0,0.6149231904032203,0.0,0.0,805,106,1.3448391754773008,-0.5942013606443625,-0.051334787672670586,21.66,86016,-123.39414402000003,-0.17764195641271155,0.1573803414666052,-1.0336897066083621,-1.1142137425593985,-0.01319318343401322,-0.6000159324832263,1.9692984214495166,0.0003151935,-0.0014362002693815157,0.989979088306427,5728.02392578125,0.00029920128,0.0,0.0010770559310913086,0.2,-8.455642819404602,52,2848.381103515625
-0.11966262018559316,0.5,15,-0.6186789270310661,0.0,-0.0722514576247857,-1.1886507828035575,-0.01571399029970531,-0.054402066300830464,0.01,0.0,0.616670537786372,0.0,0.0,803,114,1.356818617525704,-0.588148559542322,-0.07295666891199393,22.0,92160,-123.08992934,-0.18949548783096135,0.16212769294130244,-1.0365901401663156,-1.0962007829973166,-0.012046785026375023,-0.5945666752180235,1.9776016649803478,0.0002695135,-0.0012319647648837417,0.9893158078193665,5883.530517578125,0.00029913984,0.0,0.030214309692382812,0.2,-8.451262354850769,56,2954.4677734375
