reward_terms/coef_rate,reward_terms/lat_vel,reward_terms/height,reward_terms/torque,reward_terms/clearance,reward_terms/motor_vel,reward_terms/vz,rollout/ep_len_mean,time/iterations,reward_terms/energy,reward_terms/alive,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/stop,reward_terms/overrun,reward_terms/stance,curriculum/eff_scale,reward_terms/action_rate,reward_terms/fwd_speed,reward_terms/residual,reward_terms/phase_contact,curriculum/ent_coef,reward_terms/angmom,rollout/ep_rew_mean,time/fps,curriculum/stance_ratio,reward_terms/air_time,reward_terms/upright,time/total_timesteps,reward_terms/time,reward_terms/ang_xy,time/time_elapsed,reward_terms/hip_roll,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance
-0.6818359575038909,-4.2715482074297214e-09,-0.025179623344220938,0.0,0.02022027417869454,0.0,-0.1206698297974369,50.19,1,0.0,0.5,-0.6438723490448984,-0.04331563202906277,0.0,0.0,-0.053829094981505364,0.0,-0.07581112759367178,-0.7054532850660508,-0.5304425285656547,-0.5107304632517673,0.01,-0.19553267944745897,-148.34047603,3868,0.65,8.840453780354245e-05,-0.7134457876396807,38912,0.0,-0.5343370381300406,10,-0.0313424117151736,,,,,,,,,,,
-0.8967083315751765,-4.703515054390555e-09,-0.024282507366935255,-0.00022419434826412627,0.03604238847227455,-5.169062641682347e-06,-0.09031371737286305,41.46,2,-2.1501372130405426e-05,0.5,-0.67115426713786,-0.0425988928779445,0.0,0.0,-0.03263130579564749,0.0006485333333333333,-0.09756758139725923,-0.2622527609750052,-0.5212435524750549,-0.4504041765937195,0.01,-0.2343560163222654,-139.63125336000002,3426,0.6498508373333334,9.919809925026799e-05,-0.469661819043199,77824,0.0,-0.5835469450597963,22,-0.034697505669983385,33433,0.084356689453125,-34.06976289749146,-0.001288491114974022,0.0069168247,323.1626281738281,0.2,1.0010133981704712,0.0003,2618.854669189453,-2.9812159538269043
-0.9351415969179814,-4.4062706272220525e-09,-0.021644211110288598,-0.00044945126194981326,0.03703947686507939,-1.0042455237392253e-05,-0.08083817077519151,39.01,3,-4.217132148968507e-05,0.5,-0.6680864076534202,-0.032776225594141964,0.0,0.0,-0.01873749112851426,0.0012970666666666667,-0.10189900861267166,-0.10590896303293654,-0.5154568005068947,-0.453838824643647,0.01,-0.23678314610951837,-137.19323152,3480,0.6497016746666667,0.0001259250949308472,-0.42066060718073084,116736,0.0,-0.5978675295578639,33,-0.03044242463533865,33437,0.137017822265625,-34.061230754852296,-0.004135746395331807,0.010162294,167.20411682128906,0.2,1.0006884336471558,0.0003,1007.7658790588379,-0.29163408279418945
-0.9366556076965176,-3.926929667330164e-09,-0.019712779777521717,-0.0006990299852674429,0.03598904314736366,-1.5540860834023825e-05,-0.08111565544181386,34.08,4,-6.552592684265782e-05,0.5,-0.6874870423931027,-0.028492719869398952,0.0,0.0,-0.015176632232220275,0.0019456,-0.1051819814055493,-0.10030148362200646,-0.5133983122563424,-0.45227609675203473,0.01,-0.23982991037974297,-132.74867607999997,3510,0.649552512,9.303037107824103e-05,-0.3971798928395474,155648,0.0,-0.5960082512190918,44,-0.025272011979582485,33441,0.20025634765625,-34.06469736099243,-0.0042529766273219135,0.014420077,68.82345581054688,0.2,1.0010193586349487,0.0003,404.6324291229248,-0.30985748767852783
-0.9418219819457595,-3.6292778235274897e-09,-0.017358349129673423,-0.000969219954698419,0.03300995178330752,-2.186915919530328e-05,-0.0767662205729969,33.07,5,-9.14864188501767e-05,0.5,-0.6907998585409735,-0.03173130892958541,0.0,0.0,-0.013322394606905754,0.0025941333333333334,-0.10824805618523453,-0.16007600725376048,-0.5117602862973354,-0.4509257941265771,0.01,-0.23065379206086642,-131.88702622000002,3523,0.6494033493333333,5.139796657634801e-05,-0.3592638629990386,194560,0.0,-0.5823330650606257,55,-0.02208803915799491,33445,0.3183329814189189,-34.07331301714923,0.0009648466948419809,0.03832202,21.03571891784668,0.2,1.0021445751190186,0.0003,123.74258773391311,-0.5419446229934692
-0.932307104707942,-3.520387861269064e-09,-0.014586450957057762,-0.0012189211185446884,0.031859969574678695,-2.852647019347715e-05,-0.07771307008382063,29.96,6,-0.00011735297859079322,0.5,-0.7007729623293478,-0.02243598269170003,0.0,0.0,-0.00960316945425488,0.0032426666666666667,-0.10996600553611695,-0.16913755188255336,-0.5100210497101351,-0.4485592389905751,0.01,-0.2400296940720335,-128.63874613000002,3544,0.6492541866666667,2.929683786963946e-05,-0.3363167066503691,233472,0.0,-0.5951487370632904,65,-0.0185127642372647,33446,0.2792154947916667,-34.05773035685221,0.02087295490006606,0.03049616,48.11964797973633,0.2,1.0002636909484863,0.0003,107.76673380533855,-0.8828222751617432
-0.9239920375485241,-3.4815744337100706e-09,-0.014660730789014037,-0.0014975158951235658,0.03280640884233319,-3.599030055804747e-05,-0.07781632926699468,26.84,7,-0.00014622592769280877,0.5,-0.7143681027062915,-0.021602308075096898,0.0,0.0,-0.007846760819277375,0.0038912,-0.11273011139718098,-0.12864355205510317,-0.5090665698776519,-0.44863775897525965,0.01,-0.24505122928589132,-125.84682775000002,3575,0.649105024,4.6772171596163194e-05,-0.322405886555158,272384,0.0,-0.6067478348694544,76,-0.017906813091243704,33447,0.2830810546875,-34.058457374572754,0.019425476202741265,0.029588886,50.259029388427734,0.2,1.0003206729888916,0.0003,124.47632217407227,-1.2911934852600098
-0.9115316244650415,-3.365386334595778e-09,-0.013259343483294384,-0.0017453647652469827,0.032852935574580015,-4.315685900144253e-05,-0.07864925138642859,28.15,8,-0.0001729806015374992,0.5,-0.7208426377214942,-0.016481270448390494,0.0,0.0,-0.005846238846238076,0.004539733333333333,-0.11299168910345152,-0.10279817784150752,-0.5089690764961841,-0.4427677874680122,0.01,-0.24795494366094814,-127.01035677,3591,0.6489558613333334,2.1073158438268462e-05,-0.314243600145339,311296,0.0,-0.6077794529546732,86,-0.016498214785637132,33450,0.2895844558189655,-34.08053536250674,0.0002615806919618927,0.034701243,10.038363456726074,0.2,1.002400517463684,0.0003,53.49713161073882,-1.9837143421173096
-0.9013998305551345,-3.445367447127453e-09,-0.013941440380643357,-0.002003395328967068,0.033024523049861115,-5.000995545707655e-05,-0.08012407562231615,27.1,9,-0.00019849063650142427,0.5,-0.7279190001901903,-0.019151653558334435,0.0,0.0,-0.0044100829247614515,0.005188266666666667,-0.11299502184408929,-0.10916478703943341,-0.5083675437282666,-0.4432029551820101,0.01,-0.24175817034988611,-125.97517376999998,3605,0.6488066986666667,6.630341216039501e-05,-0.3163741722752974,350208,0.0,-0.5974555800990958,97,-0.015655895740357334,33452,0.312744140625,-34.06999588012695,0.01078680499146382,0.040187083,10.92447280883789,0.2,1.0012832880020142,0.0003,27.993008454640705,-2.3381054401397705
-0.8967315901991737,-3.307484180736332e-09,-0.012605562874718599,-0.0022767792963669293,0.03269457821956881,-5.8300010813842003e-05,-0.07651787851371956,27.39,10,-0.0002279066913763969,0.5,-0.7248519797338202,-0.01868161791705796,0.0,0.0,-0.005977811488879941,0.0058368,-0.11478638723012596,-0.15535818415036226,-0.508279564984175,-0.4366499299981818,0.01,-0.23359554694207682,-126.37102589,3618,0.648657536,5.807973885614621e-05,-0.2870084105572174,389120,0.0,-0.5915500331024814,107,-0.014959056813127446,33453,0.3079020182291667,-34.062784830729164,0.015665861933181684,0.02751333,6.615939140319824,0.2,1.0006968975067139,0.0003,21.000239690144856,-3.4494967460632324
