reward_terms/stance_time,reward_terms/action_rate,curriculum/ctrl_drop_prob,reward_terms/stop,curriculum/stance_ratio,reward_terms/phase_contact,reward_terms/stance,reward_terms/torque,reward_terms/upright,reward_terms/clearance,reward_terms/ang_xy,reward_terms/hip_roll,reward_terms/vz,curriculum/ctrl_jitter_ms,time/iterations,curriculum/eff_scale,reward_terms/angmom,reward_terms/coef_rate,reward_terms/overrun,reward_terms/lat_vel,rollout/ep_rew_mean,time/total_timesteps,reward_terms/residual,reward_terms/energy,reward_terms/foot_ahead,reward_terms/air_time,reward_terms/motor_vel,time/fps,time/time_elapsed,reward_terms/assist_pen,curriculum/sprint_dist_m,reward_terms/time,reward_terms/alive,reward_terms/height,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/residual_rate,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/step_rate,train/entropy_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/std
-0.002512467658056671,-0.0460885112123719,0.0,0.0,0.65,-0.2011280331273264,-0.04229321297354181,0.0,-0.6887635146001354,0.06475625126101531,-0.5476315627295425,-0.02979532115410953,-0.22812685802781157,0.0,1,0.0,-0.24688905904271286,-0.30225879160390245,0.0,-3.6373975599708704e-08,-139.32089714000003,18432,-0.09831792897367264,0.0,0.0,0.00045410142694082524,0.0,4175,4,0.0,25.0,-0.5,0.0,-0.03561409609724848,-1.0684806256375643,-0.38590131712638714,0.0,0.01,158.73,0.0,,,,,,,,,,,
-0.0003249769749042268,-0.037014690906317954,0.0,0.0,0.649982336,-0.2619170230749355,-0.07739253529384518,-2.5404916355872858e-05,-0.793742746865907,0.06044116934728155,-0.5649544364902634,-0.04645564466013525,-0.22665210479817383,0.0,2,7.68e-05,-0.3833496248627813,-0.14074413165124888,0.0,-3.085091442271408e-08,-124.22925306999997,36864,-0.10108747804950283,-2.716821376125957e-06,0.0,0.00013563357384151054,-5.321054927377969e-07,4005,9,0.0,25.01152,-0.5,0.0,-0.03335667196568892,-0.8482039595287968,-0.592312106618408,0.0,0.01,97.91,0.0,-19.86791925430298,0.7561995387077332,1051.1495361328125,0.02994384765625,3974.72822265625,12957,0.2,0.000299990784,-0.0005251685972325504,0.0056398297,1.0004627704620361
0.0,-0.03717057273429618,0.0,0.0,0.6499646720000001,-0.2643589260265844,-0.05197788975069957,-5.5976378714718745e-05,-0.7348146963263645,0.06046626036348462,-0.5545137178140702,-0.04882660569522399,-0.21191859104921162,0.0,3,0.0001536,-0.38232468477675013,-0.1115868249161228,0.0,-3.7671477494255606e-08,-123.3307466,55296,-0.1009042204371615,-6.081836416110238e-06,0.0,0.0001611326847018467,-1.2056862674863521e-06,4068,13,0.0,25.02304,-0.5,0.0,-0.026471068298885875,-0.703772401595407,-0.5969480648242017,0.0,0.01,94.26,0.0,-19.864743804931642,0.39929503202438354,1307.7369384765625,7.32421875e-05,5377.241015625,12961,0.2,0.000299981568,-0.0005946247023530304,0.0009698008,1.0000264644622803
-0.0001387523855858793,-0.03596971267882037,0.0,0.0,0.649947008,-0.2511619793364103,-0.05647870001079729,-9.045807913195149e-05,-0.7533573998740631,0.06741027564099716,-0.565225589712186,-0.05439758033229333,-0.2454342361636829,0.0,4,0.0002304,-0.40480459113996164,-0.12074872943287082,0.0,-3.8976366573879084e-08,-123.20810426,73728,-0.10104474140984072,-9.358312526557236e-06,0.0,3.417964843619201e-05,-1.8542193276252237e-06,4097,17,0.0,25.03456,-0.5,0.0,-0.031558425970698495,-0.7175263620725673,-0.5712507308843734,0.0,0.01,93.84,0.0,-19.863873767852784,0.4010751247406006,827.4776611328125,0.0,3425.7206787109376,12965,0.2,0.00029997235199999997,-0.0006978146673645824,0.00025086626,0.9999251365661621
-0.00011677995725120936,-0.03532218803260988,0.0,0.0,0.649929344,-0.23003518812421106,-0.09449393293242316,-0.00013117814327422205,-0.7515998086109446,0.07620021435575014,-0.5865224950522485,-0.0733396569630142,-0.3099293925324218,0.0,5,0.0003072,-0.4149746951443077,-0.1192352163087465,0.0,-4.693865339958746e-08,-124.87592374000002,92160,-0.10152895154786451,-1.2849238638758409e-05,0.0,9.440098074264824e-05,-2.61813427307879e-06,4119,22,0.0,25.04608,-0.5,0.0,-0.042831722462771706,-0.7844377938332371,-0.503393300732928,0.0,0.01,100.4,0.0,-19.863960361480714,0.5599345564842224,365.0305480957031,2.44140625e-05,1584.9613952636719,12969,0.2,0.000299963136,-0.0009673769120126963,0.0004748655,0.9999399781227112
-2.034438592899177e-06,-0.03424544354843824,0.0,0.0,0.64991168,-0.22653382589373228,-0.1354043253199337,-0.0001799828754212778,-0.7541833642465807,0.08232746051853994,-0.6306193177238407,-0.08863547371415884,-0.36323646457749736,0.0,6,0.000384,-0.45358328560736955,-0.12735353144217362,0.0,-5.956807545134822e-08,-126.19277565000002,110592,-0.10254904455375291,-1.702249092195105e-05,0.0,0.0,-3.4490214906371765e-06,4137,26,0.0,25.0576,-0.5,0.0,-0.056152247368755,-0.892056472076718,-0.5025398000472654,0.0,0.01,105.74,0.0,-19.864283657073976,0.5727484226226807,202.158935546875,0.0013916015625,910.1337127685547,12973,0.2,0.00029995392,-0.0016053792787715793,0.00146961,0.9999909996986389
-6.239014005081521e-06,-0.03751126912586528,0.0,0.0,0.6498940160000001,-0.225521428107339,-0.1167659664377525,-0.0002378906818708544,-0.7297772459672568,0.08179918155773402,-0.6704574922740217,-0.08340700191481774,-0.35129710250194524,0.0,7,0.0004608,-0.44766809151318576,-0.14976346475548963,0.0,-6.106749649725294e-08,-127.84996953,129024,-0.10211487453368605,-2.2005350416691114e-05,0.0,9.928374007965128e-05,-4.419537325790151e-06,4149,31,0.0,25.06912,-0.5,0.0,-0.0545305624735601,-0.8561080737113339,-0.4880396255050275,0.0,0.01,112.4,0.0,-19.86502923965454,0.48340660333633423,118.93728637695312,0.00108642578125,505.21139373779295,12977,0.2,0.00029994470399999997,-0.0016063270100858062,0.0017235761,1.0000808238983154
-1.057926177357634e-05,-0.03529141668941245,0.0,0.0,0.649876352,-0.22894412527660674,-0.11710832897302703,-0.00029927025136458114,-0.7292828639478334,0.08270180445664192,-0.6822872814941984,-0.08431309307841946,-0.3577001795488847,0.0,8,0.0005376,-0.466945063235539,-0.14697070321463807,0.0,-6.836691602860423e-08,-128.47930209,147456,-0.10268673931623105,-2.7467319727859446e-05,0.0,0.00017849380189242461,-5.428493466076004e-06,4160,35,0.0,25.08064,-0.5,0.0,-0.062126885637120016,-0.9024102299075287,-0.4914740797104775,0.0,0.01,114.9,0.0,-19.865559387207032,0.41863495111465454,70.06143951416016,0.008447265625,291.600382232666,12981,0.2,0.000299935488,-0.0031417890277225524,0.0038294233,1.0001267194747925
-2.2921707972677217e-05,-0.037427595138921715,0.0,0.0,0.649858688,-0.22880569584635474,-0.11820802122854368,-0.00035289758359503695,-0.7050162371063967,0.08129275192666939,-0.7014718272647184,-0.08714347158879726,-0.33579099943651647,0.0,9,0.0006144,-0.4473688197403989,-0.15305326899972313,0.0,-6.745574711610969e-08,-129.36496516,165888,-0.10230341367209296,-3.277126689900164e-05,0.0,8.95181631979843e-05,-6.403639283707646e-06,4168,39,0.0,25.09216,-0.5,0.0,-0.05876321202335345,-0.8141532347344016,-0.5106711712811121,0.0,0.01,118.45,0.0,-19.86604013442993,0.40060484409332275,43.3370361328125,0.02916259765625,156.93372650146483,12985,0.2,0.000299926272,-0.0044844985823147,0.0062388577,1.0002655982971191
-5.126913310959935e-05,-0.037961180538379866,0.0,0.0,0.649841024,-0.23614863502072037,-0.10434233234565085,-0.0003936911894011016,-0.6720188761121569,0.08095037119433529,-0.7112026367050952,-0.07504065297633017,-0.33473574774096826,0.0,10,0.0006912,-0.44723793149926383,-0.15441761126577705,0.0,-6.71487919740168e-08,-129.19155757000001,184320,-0.1024194633057495,-3.772126168062251e-05,0.0,0.0001931421833837198,-7.450610513726516e-06,4172,44,0.0,25.10368,-0.5,0.0,-0.060417429002820176,-0.8175320556031743,-0.544312894611017,0.0,0.01,117.71,0.0,-19.86760187149048,0.3064107298851013,37.20091247558594,0.0482177734375,112.09739608764649,12989,0.2,0.000299917056,-0.0056171162170358,0.0062568774,1.0004841089248657
