reward_terms/ang_xy,reward_terms/step_rate,time/fps,reward_terms/alive,reward_terms/stance_time,time/iterations,curriculum/ctrl_jitter_ms,reward_terms/stop,reward_terms/foot_slip,reward_terms/upright,reward_terms/assist_pen,reward_terms/track_lin,rollout/ep_len_mean,reward_terms/height,curriculum/stance_ratio,reward_terms/stand,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/vz,curriculum/ent_coef,reward_terms/coef_rate,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/foot_ahead,reward_terms/stand_drift,reward_terms/fwd_speed,reward_terms/residual_rate,curriculum/cmd_track_err,time/total_timesteps,reward_terms/air_time,reward_terms/track_yaw,reward_terms/energy,reward_terms/motor_vel,reward_terms/torque,reward_terms/stance,reward_terms/overrun,reward_terms/residual,reward_terms/angmom,reward_terms/phase_contact,reward_terms/lat_vel,curriculum/cmd_scale,reward_terms/action_rate,reward_terms/time,reward_terms/clearance,time/time_elapsed,train/loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/std,train/explained_variance
-0.33807525471903954,0.0,4040,0.5,0.0,1,0.0,0.0,-0.3933271105445799,-0.30360264131365583,0.0,1.2385002550494113,232.53125,-0.020373563849092082,0.7,0.11318014177233593,-67.27509328124998,0.0,-0.08225425003389653,0.01,-0.3658957044328035,-0.2258972293602929,0.0,0.0,-0.010736559418672848,0.0,0.0,0.6235642347452847,18432,0.0003640400536824018,0.4813577119741958,0.0,0.0,0.0,-0.244270087394371,0.0,-0.10929846288268029,-0.09668755145276968,-0.03374205753146001,-0.34914817287981187,0.0,-0.05687513555842542,0.0,0.047830934594640315,4,,,,,,,,,,,
-0.35204689735038813,0.0,3863,0.5,0.0,2,0.0,0.0,-0.3621616236281767,-0.34225638421838867,0.0,1.4544061097486523,275.49,-0.02739311078409389,0.7,0.14934359268644737,-50.169040589999994,0.0,-0.08811000141256758,0.01,-0.3625683883089308,-0.23728722012892645,0.0,0.0,-0.026394687688272127,0.0,0.0,0.48162751279367727,36864,0.000496418344684773,0.5126693959959102,0.0,0.0,0.0,-0.278949070636348,0.0,-0.10977175992394,-0.08600127217507574,-0.036849437743077695,-0.4219301778255069,0.0,-0.05764557234935329,0.0,0.053270937171199205,9,150.17807006835938,0.2,405.0190185546875,59028,0.01693549,0.1881103515625,0.000299990784,-0.01648415232775733,-36.869404792785645,0.9996307492256165,0.895285964012146
-0.3353399505703707,0.0,3941,0.5,0.0,3,0.0,0.0,-0.3527455439363395,-0.29693427466828065,0.0,1.501071197120012,324.16,-0.022189431959966623,0.7,0.1645233443709853,-31.008216880000006,0.0,-0.07040650934515261,0.01,-0.3470133676891021,-0.23546672275858654,0.0,0.0,-0.05959974315423046,0.0,0.0,0.4283635179113304,55296,0.0003667526859013985,0.4982091057373021,0.0,0.0,0.0,-0.31547100160362107,0.0,-0.11012669536714173,-0.09054827112807705,-0.026711033881477844,-0.45612845549423475,0.0,-0.055265066347450716,0.0,0.04339754623748349,14,130.22613525390625,0.2,353.1151916503906,59032,0.016568318,0.171435546875,0.000299981568,-0.020337752881459892,-36.88593101501465,1.0003697872161865,0.9208033084869385
-0.33694549972669985,0.0,3971,0.5,0.0,4,0.0,0.0,-0.3677326837716271,-0.3122094936383843,0.0,1.3936289815015,295.46,-0.022553220800677464,0.7,0.11955977472861076,-36.75584260000001,0.0,-0.06988765326031894,0.01,-0.3528353089300269,-0.22915320863675767,0.0,0.0,-0.18242091205758637,0.0,0.0,0.4527034157956021,73728,0.00038845402499039966,0.5016520496022265,0.0,0.0,0.0,-0.3025395962938529,0.0,-0.10968662467145125,-0.0887499069575075,-0.02893263094618663,-0.4143426120037561,0.0,-0.056456022299470346,0.0,0.05301009635664358,18,148.09951782226562,0.2,342.4080307006836,59036,0.019830588,0.1900390625,0.00029997235199999997,-0.024047817988321184,-36.89597454071045,1.000794768333435,0.9017963409423828
-0.3207613782378157,0.0,3995,0.5,0.0,5,0.0,0.0,-0.3485801982849112,-0.2866785856297245,0.0,1.6314457389710977,325.83,-0.018103698166331887,0.7,0.15679579722308729,-33.67895079,0.0,-0.05945039425317877,0.01,-0.35329061882243884,-0.21925179375212675,0.0,0.0,-0.20125532089295792,0.0,0.0,0.3512142022980986,92160,0.0003260627628252324,0.5303626962645722,0.0,0.0,0.0,-0.29928441043445075,0.0,-0.10983713355016446,-0.08523236183807753,-0.021172386770405283,-0.3730176288033735,0.0,-0.05594384626073442,0.0,0.031237082017810645,23,134.00732421875,0.2,311.9070526123047,59040,0.022616798,0.1986328125,0.000299963136,-0.02515305062988773,-36.89790840148926,1.0008960962295532,0.9009293913841248
-0.36573972645012354,0.0,4012,0.5,0.0,6,0.0,0.0,-0.3816396640421021,-0.328489409719576,0.0,1.2608434777853694,310.73,-0.02340878967995353,0.7,0.14146864014550697,-34.067342589999996,0.0,-0.07853529649190351,0.01,-0.35919331690015277,-0.21927652647628934,0.0,0.0,-0.06984494811809845,0.0,0.0,0.5159475747665209,110592,0.0004893654258921742,0.4876581866425202,0.0,0.0,0.0,-0.25581218746114165,0.0,-0.10907530674916807,-0.11398222095886561,-0.030273248258859395,-0.37688346473410933,0.0,-0.05700900648708134,0.0,0.05258750841232776,27,134.1166534423828,0.2,314.18126525878904,59044,0.021858755,0.20679931640625,0.00029995392,-0.02374517290154472,-36.90787525177002,1.0015013217926025,0.9032930731773376
-0.32852674904419304,0.0,4024,0.5,0.0,7,0.0,0.0,-0.3663434229754109,-0.30891463129863606,0.0,1.3738201267673287,266.26,-0.020407871157237998,0.7,0.14132799381476074,-56.52651491,0.0,-0.06252105319314129,0.01,-0.3573461424985486,-0.21899600336549868,0.0,0.0,-0.1073148924949307,0.0,0.0,0.46644226512015163,129024,0.00041449566682179767,0.4814564303526192,0.0,0.0,0.0,-0.291345100956067,0.0,-0.10988696420832947,-0.08953852265833334,-0.021452838983717512,-0.43669401373006683,0.0,-0.05600589381932475,0.0,0.044767363557062595,32,136.9980010986328,0.2,308.01454162597656,59048,0.01869764,0.19041748046875,0.00029994470399999997,-0.020863338862545787,-36.907242393493654,1.0011873245239258,0.9017308950424194
-0.3219888722559892,0.0,4034,0.5,0.0,8,0.0,0.0,-0.3347433169422291,-0.33524094057145737,0.0,1.461799274182115,305.34,-0.021961203959355437,0.7,0.13863362803707044,-47.09000008,0.0,-0.0696915200068313,0.01,-0.35760878246706235,-0.22482670799042678,0.0,0.0,-0.1936208588644713,0.0,0.0,0.4488152089733174,147456,0.000379773477713267,0.5180461816640954,0.0,0.0,0.0,-0.3272101460223681,0.0,-0.11026273709290654,-0.08999647491510515,-0.024727494892120318,-0.40559571844333725,0.0,-0.055010340455311196,0.0,0.04382506280168041,36,92.7987060546875,0.2,231.25585403442383,59052,0.0245839,0.20931396484375,0.000299935488,-0.028205777006223797,-36.90966606140137,1.0015524625778198,0.8935176134109497
-0.3372131412706043,0.0,4039,0.5,0.0,9,0.0,0.0,-0.35299318840480964,-0.3063928806966737,0.0,1.4469020457810273,323.61,-0.018547081518774204,0.7,0.1177926653424529,-38.45795033,0.0,-0.0638073987221242,0.01,-0.3561098289652019,-0.23645527845908848,0.0,0.0,-0.04162519936452725,0.0,0.0,0.352871911165182,165888,0.0004671213876766463,0.5058488138305823,0.0,0.0,0.0,-0.30035943453017666,0.0,-0.10943312613346179,-0.09573667552118542,-0.02775273556321995,-0.39014090217478303,0.0,-0.05651702899118391,0.0,0.05221836510056756,41,92.09696960449219,0.2,220.76240997314454,59056,0.030638063,0.251123046875,0.000299926272,-0.027715089707635344,-36.91549549102783,1.001970887184143,0.9166523814201355
-0.3510808472360419,0.0,4038,0.5,0.0,10,0.0,0.0,-0.3618922141811539,-0.32267821006351166,0.0,1.3505602242206745,303.49,-0.022251383412538645,0.7,0.15860878887173013,-42.0736586,0.0,-0.07769148838598239,0.01,-0.35059248539482624,-0.2174241380256003,0.0,0.0,-0.05566277426137703,0.0,0.0,0.4644546185616805,184320,0.000488280234599693,0.5023043818482864,0.0,0.0,0.0,-0.2701068548704807,0.0,-0.1096065824846991,-0.10084951962403409,-0.023367104694602445,-0.35765808132614885,0.0,-0.059401919458127436,0.0,0.05230395606847354,45,94.52738189697266,0.2,234.84273986816407,59060,0.028265962,0.26298828125,0.000299917056,-0.02761267137248069,-36.91622142791748,1.0019421577453613,0.9025861024856567
