reward_terms/foot_slip,est/vel_rmse,curriculum/cmd_scale,reward_terms/overrun,reward_terms/phase_contact,reward_terms/stop,reward_terms/stance_time,reward_terms/foot_ahead,time/time_elapsed,reward_terms/action_rate,reward_terms/coef_rate,curriculum/stance_ratio,curriculum/eff_scale,curriculum/swing_frac_mean,reward_terms/stance,ankle/ankle_spring_energy_peak,reward_terms/upright,reward_terms/vz,rollout/ep_len_mean,reward_terms/duty_sym,reward_terms/lat_vel,time/fps,reward_terms/motor_vel,reward_terms/ang_xy,curriculum/dr_scale,ankle/ankle_spring_trq_peak,reward_terms/stand_drift,reward_terms/stand,reward_terms/track_lin,reward_terms/fwd_speed,rollout/ep_rew_mean,curriculum/cmd_track_err,time/iterations,reward_terms/assist_pen,reward_terms/residual,curriculum/ent_coef,reward_terms/hip_roll,curriculum/swing_frac_min,reward_terms/torque,reward_terms/angmom,curriculum/ctrl_jitter_ms,reward_terms/energy,reward_terms/clearance,reward_terms/residual_rate,reward_terms/height,ankle/ankle_defl_peak,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/track_yaw,reward_terms/alive,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/clip_fraction,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress
-0.5824041067161085,1.8408015971155711,0.0,0.0,-0.08978650128761227,0.0,-0.002846399281730151,0.0,2,-0.07090280228057698,-0.6720732931352994,0.7,0.0,0.24479166666666669,-0.0272589427485498,0.0,-0.0939624590161035,-0.04591777045076356,156.8653846153846,-0.0012877084570490228,-0.16679810668387413,8591,0.0,-0.0809208780366874,0.0,0.0,-0.01817044166548738,0.40575667848652214,1.4846442643950855,0.0,-71.97024003846155,0.7853446426454299,1,0.0,-0.10142167450345226,0.01,-0.17699174574133797,0.13340928819444445,0.0,-0.06839615268049255,0.0,0.0,0.02208460511142403,0.0,-0.00950379706232602,0.5052013947949081,0.0,-0.006499565972222285,0.0,0.00035373225950429007,1.9998899647928288,0.0,18432,,,,,,,,,,,,,,,,
-0.40835453824064555,1.4426730412138487,0.0,0.0,0.0,0.0,0.0,0.0,4,-0.06712110153054235,-0.5766835175864382,0.7,0.0,0.16097005208333331,-0.030875835578511288,0.0,-0.06890237578510677,-0.03921283354007175,259.82,0.0,-0.2607581762074646,8630,0.0,-0.04809506165833827,0.0,0.0,-0.07622737097289697,0.40811407950358186,1.77105281932867,0.0,17.88696508,0.6368283748125182,2,0.0,-0.10188483814672507,0.01,-0.32245093114167095,0.0849609375,0.0,-0.0433394025282734,0.0,0.0,0.0,0.0,-0.012903764696909379,0.5051459642385414,0.0,-0.004774305555555592,0.0,0.0,1.9999042331928953,0.0,36864,-36.86541957855225,39069,1032.5787353515625,0.2,0.124755859375,0.9991340637207031,0.890410304069519,3077.2363830566405,-0.004982056724838912,0.010692162,0.00029995392,,,,,
-0.38608151422051634,1.0814696138533766,0.0,0.0,0.0,0.0,0.0,0.0,6,-0.06557910292672886,-0.565802548729619,0.7,0.0,0.15388997395833334,-0.03153344456603027,0.0,-0.05331330173892572,-0.029978972093881364,266.81,-9.971554182441513e-07,-0.2741120951595536,8737,0.0,-0.047263986384174554,0.0,0.0,-0.07176461318603651,0.3917165564464369,1.8010991198237696,0.0,51.421752340000005,0.5006606817960757,3,0.0,-0.10225941080731604,0.01,-0.31832684865775174,0.08246527777777778,0.0,-0.023667275533814494,0.0,0.0,0.0,0.0,-0.010718462775958119,0.5048920499136202,0.0,-0.004752604166666703,0.0,0.0,1.99994895208661,0.0,55296,-36.871347999572755,39073,388.2608947753906,0.2,0.104541015625,0.9995089769363403,0.927295446395874,1695.7421936035157,-0.004725764493923634,0.010364343,0.00029990784,,,,,
-0.3619800027590399,0.8308322129071434,0.0,0.0,0.0,0.0,0.0,0.0,8,-0.06412569637414464,-0.5650156368755221,0.7,0.0,0.1357964409722222,-0.013867487869829163,0.0,-0.040173261139896284,-0.027111079309702305,250.52,0.0,-0.29253458885131256,8461,0.0,-0.04012666469999056,0.0,0.0,-0.07107043869103291,0.46298429706545985,2.009982332659497,0.0,53.22269704,0.5532383798502927,4,0.0,-0.10209938700015837,0.01,-0.33597133150500597,0.07476128472222222,0.0,-0.021653994192477533,0.0,0.0,0.0,0.0,-0.010045967430426107,0.5051083785131182,0.0,-0.0046332465277778125,0.0,0.0,1.9999561763304068,0.0,73728,-36.88198127746582,39077,279.5694580078125,0.2,0.1268310546875,0.9999618530273438,0.9521482586860657,1431.555191040039,-0.0038137310184538364,0.010128377,0.00029986176,,,,,
-0.37766267004584214,0.6845746659209828,0.0,0.0,0.0,0.0,0.0,0.0,11,-0.06311577223803562,-0.5835536222673968,0.7,0.0,0.15196397569444445,-0.009819626440257617,0.0,-0.0508976418895016,-0.02835658392392488,252.82,-0.00020538945136920703,-0.3082578685910657,7973,0.0,-0.04831129944358935,0.0,0.0,-0.08615912920008587,0.3975467613380661,1.757398602041646,0.0,59.70906387000001,0.5117286726815892,5,0.0,-0.1024157435553082,0.01,-0.32316279934852166,0.07725694444444445,0.0,-0.027018424490032417,0.0,0.0,0.0,0.0,-0.010354699720039622,0.505183466357571,0.0,-0.0048394097222222605,0.0,0.0,1.999952287062057,0.0,92160,-36.88982639312744,39081,282.5397033691406,0.2,0.12752685546875,1.000397801399231,0.9605598449707031,1400.3886779785157,-1.2077749124728143e-05,0.012314386,0.00029981568,,,,,
-0.35259456147712215,0.5352376889822376,0.0,0.0,0.0,0.0,0.0,0.0,14,-0.06461814337203979,-0.5952400593464913,0.7,0.0,0.1425509982638889,-0.019040528758743274,0.0,-0.03881657072123699,-0.0263374999784713,243.33,0.0,-0.300887943618949,7540,0.0,-0.041339822582574653,0.0,0.0,-0.07034129506193562,0.4458694956223633,1.9235616600070482,0.0,47.96153759,0.461065874113872,6,0.0,-0.10265096091510702,0.01,-0.3281098957944568,0.07411024305555555,0.0,-0.018032526440706683,0.0,0.0,0.0,0.0,-0.009553800936412206,0.5047306292762989,0.0,-0.004904513888888927,0.0,0.0,1.9999526615907304,0.0,110592,-36.89665489196777,39085,226.93397521972656,0.2,0.10194091796875,1.0006017684936523,0.9667561650276184,1181.9010513305664,-0.005428157499409281,0.010857182,0.00029976959999999996,,,,,
-0.34376676290164754,0.4323809217514535,0.0,0.0,0.0,0.0,0.0,0.0,17,-0.06343294924157743,-0.5800173333090314,0.7,0.0,0.14656575520833334,-0.020008384483691553,0.0,-0.039227558126227705,-0.027048584908196883,243.46,-0.00045612376128715187,-0.31131031761702854,7347,0.0,-0.04288622590885398,0.0,0.0,-0.07328054690400745,0.47035861785521504,1.924305368400046,0.0,48.58098815,0.5187163610286749,7,0.0,-0.10234711439084676,0.01,-0.3166875521129533,0.07438151041666667,0.0,-0.018343010331600962,0.0,0.0,0.0,0.0,-0.009591769579425292,0.5051465603962622,0.0,-0.0048611111111111485,0.0,0.0,1.9999540781764888,0.0,129024,-36.89919662475586,39089,168.07711791992188,0.2,0.09998779296875,1.0007517337799072,0.9724299907684326,995.9885131835938,-0.004310974478721618,0.012059022,0.00029972352,,,,,
-0.36675316565031235,0.35809460892138617,0.0,0.0,0.0,0.0,0.0,0.0,20,-0.06178093189460779,-0.5919684955656774,0.7,0.0,0.1549750434027778,-0.022455482508334672,0.0,-0.048127383419436724,-0.03043188917078231,243.23,-0.00019131811974140294,-0.31114250725801434,7205,0.0,-0.04719626367460168,0.0,0.0,-0.08387528952004,0.3963464123233206,1.7079064548836258,0.0,48.53617757999999,0.5020732810528824,8,0.0,-0.10304045602223463,0.01,-0.3509128595450482,0.07231987847222222,0.0,-0.02317437013761433,0.0,0.0,0.0,0.0,-0.010676180534670378,0.5051471883735219,0.0,-0.004752604166666704,0.0,0.0,1.9999465913763126,0.0,147456,-36.90509853363037,39093,171.4771728515625,0.2,0.136474609375,1.00126051902771,0.976387083530426,819.7676559448242,-0.003518663311842829,0.013576795,0.00029967744,,,,,
-0.34106839109142356,0.2799867100414163,0.0,0.0,0.0,0.0,0.0,0.0,23,-0.06422862932111635,-0.5658274603366624,0.7,0.0,0.14073350694444445,-0.023677972736221103,0.0,-0.0341350055376082,-0.02836741734123127,240.51,0.0,-0.3174809739993612,7100,0.0,-0.03959328813908766,0.0,0.0,-0.07283005060948929,0.5197285832523466,2.0675094326743193,0.0,45.48636675000001,0.6453235899034621,9,0.0,-0.10220920259328019,0.01,-0.3202720719860197,0.08409288194444445,0.0,-0.01473312389473639,0.0,0.0,0.0,0.0,-0.009657285721492145,0.5047063385327342,0.0,-0.005023871527777819,0.0,0.0,1.9999525595672187,0.0,165888,-36.91128520965576,39097,114.02352142333984,0.2,0.14176025390625,1.0017896890640259,0.9774252772331238,580.6061485290527,-0.008255876053590327,0.014687115,0.00029963136,,,,,
-0.3262941409304562,0.2595402449737681,0.0,0.0,0.0,0.0,0.0,0.0,26,-0.063940839810683,-0.5964889848494471,0.7,0.0,0.14168294270833334,-0.006001026051757239,0.0,-0.034067721610496766,-0.024671421390513617,238.04,-0.00013271544767325517,-0.3273110518123989,7006,0.0,-0.03995881818242875,0.0,0.0,-0.08352375830627555,0.46051130999037987,2.033510134210499,0.0,68.91067577,0.32032282637021153,10,0.0,-0.10219062097504257,0.01,-0.32337323798698236,0.07194010416666667,0.0,-0.013501024908946753,0.0,0.0,0.0,0.0,-0.008901861965591194,0.5049093172466335,0.0,-0.004741753472222259,0.0,0.0,1.9999561753198118,0.0,184320,-36.913933181762694,39101,88.32933044433594,0.2,0.15450439453125,1.0016381740570068,0.9805068969726562,512.309984588623,-0.00746280588209629,0.014772063,0.00029958527999999996,,,,,
-0.3455351177315898,0.282294360930382,0.0,0.0,0.0,0.0,0.0,0.0,29,-0.062059578032743014,-0.5824158003850552,0.7,0.0,0.1521267361111111,-0.03233639017760412,0.0,-0.04199813350616792,-0.02635698238088696,243.65,-0.0020958004122252818,-0.3058576862182736,6918,0.0,-0.042482148169532025,0.0,0.0,-0.0711123743807333,0.4600359382197452,1.904223746621353,0.0,54.72774029,0.5145775032374837,11,0.0,-0.1030963844047799,0.01,-0.3242503087289046,0.06901041666666667,0.0,-0.019373309111647544,0.0,0.0,0.0,0.0,-0.010124942747753862,0.5052079886644061,0.0,-0.004741753472222259,0.0,0.0,1.9999519828337813,0.0,202752,-36.91028690338135,39105,88.11174774169922,0.2,0.17421875,1.0019794702529907,0.9768499135971069,451.1413055419922,-0.01046427369583398,0.016477188,0.0002995392,,,,,
-0.3305727100449382,0.2594519420620934,0.0,0.0,0.0,0.0,0.0,0.0,32,-0.05986332384130993,-0.5792736984870547,0.7,0.0,0.1533745659722222,-0.024475911153281443,0.0,-0.044657698974167895,-0.026952776752758926,226.9,-0.0006713802676876323,-0.324235075054396,6820,0.0,-0.04681827798016431,0.0,0.0,-0.07741292137233426,0.423606435508298,1.8944193731957246,0.0,45.739618459999996,0.4471723798595416,12,0.0,-0.10324620708671847,0.01,-0.3164682193253377,0.07676866319444445,0.0,-0.019787290003160388,0.0,0.0,0.0,0.0,-0.009694469810747685,0.5050485199982953,0.0,-0.004817708333333371,0.0,0.0,1.9999467006230103,0.0,221184,-36.92299098968506,39109,68.87394714355469,0.2,0.21168212890625,1.0025500059127808,0.9762009382247925,304.49825859069824,-0.01152867281343788,0.021161282,0.00029949311999999997,,,,,
-0.33623952224020864,0.2694275145002143,0.0,0.0,0.0,0.0,0.0,0.0,35,-0.05936155395930466,-0.5767541645011072,0.7,0.0,0.15296766493055555,-0.017940625971340662,0.0,-0.04255450166347246,-0.027766700204486613,219.91,-7.513060785657716e-05,-0.3237828674019625,6764,0.0,-0.05030115049273155,0.0,0.0,-0.07853964737167057,0.4151281978557264,1.8067495401342424,0.0,37.60922402,0.38526555799639095,13,0.0,-0.10322728091775032,0.01,-0.32901838920489995,0.06803385416666667,0.0,-0.016725837658162945,0.0,0.0,0.0,0.0,-0.009737527884651619,0.5051055681016928,0.0,-0.004752604166666703,0.0,0.0,1.9999551340329467,0.0,239616,-36.917904663085935,39113,46.478275299072266,0.2,0.19910888671875,1.002260684967041,0.9735461473464966,237.80589179992677,-0.011620486283209174,0.019970367,0.00029944704,,,,,
-0.3382509238585892,0.24963105067311078,0.0,0.0,0.0,0.0,0.0,0.0,38,-0.058562184743481946,-0.5907699642216435,0.7,0.0,0.1554633246527778,-0.026816875340513645,0.0,-0.043229006574142664,-0.028361658096412223,233.32,-0.00017009833289444252,-0.3355884806460337,6732,0.0,-0.0482885857490086,0.0,0.0,-0.07974859547308114,0.4067421085882297,1.7552452865055903,0.0,42.99260974,0.4595532423302619,14,0.0,-0.10369781253950212,0.01,-0.3458855005561293,0.0719943576388889,0.0,-0.021679482798108246,0.0,0.0,0.0,0.0,-0.010403597814499286,0.5050934158403806,0.0,-0.0048394097222222605,0.0,0.0,1.9999497188958995,0.0,258048,-36.917535591125485,39117,44.29771041870117,0.2,0.277734375,1.002280592918396,0.97410649061203,180.04470520019532,-0.007388481334783137,0.029957023,0.00029940095999999997,,,,,
