reward_terms/track_heading,reward_terms/progress,reward_terms/upright,reward_terms/track_pos,time/time_elapsed,rollout/ep_len_mean,reward_terms/height,reward_terms/action_rate,reward_terms/air_time,reward_terms/alive,reward_terms/stance,reward_terms/heading_pen,reward_terms/lat_vel,reward_terms/hip_roll,time/fps,reward_terms/track_vx,curriculum/cmd_vx_frac,reward_terms/yaw_rate,reward_terms/ang_xy,reward_terms/vz,reward_terms/torque,time/total_timesteps,rollout/ep_rew_mean,time/iterations,reward_terms/track_yaw,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction
1.2237953920797415,0.004610700468522578,-1.2361142457193666,1.9627790943138983,10,16.78,-0.19624668696968073,-0.060154099559648934,-0.08311849729458724,0.5,-0.31420058187015804,-0.14124076372536573,-0.2043870027629697,-0.1424808358711186,1164,0.3026491365815283,0.0,-13.75363548365884,-2.51073246566385,-1.2008228790648323,-0.5477197581358814,12288,-467.05948321999995,1,0.06805090319794137,,,,,,,,,,,
1.2314398119780823,0.46559422646563514,-1.2914635679218474,1.9654133470466435,21,16.67,-0.2096347606114335,-0.06060841280754895,-0.08139323675519942,0.5,-0.3366501619407915,-0.12830696210480316,-0.20835545562360633,-0.14211775486111297,1146,0.29141692060651464,0.0009216,-12.763676276890608,-2.4849217157136834,-1.26255129155636,-0.5618794347579086,24576,-471.20362298999993,2,0.0737252176467273,1.0014621019363403,-8.518193689982096,-0.010470428535093864,0.2,-0.47865355014801025,3.0890554110209147,5,0.0075408337,1.254291296005249,0.0003,0.033610026041666664
1.2584767384570483,0.4814676856549512,-1.2185647119307068,1.960690779781267,32,17.55,-0.1910759499699581,-0.06110362835890252,-0.08435873170916845,0.5,-0.35557439327833906,-0.10334857433667259,-0.16603114842714284,-0.13808379136297624,1138,0.30070045274870155,0.0018432,-11.460257172116634,-2.461562288966345,-1.1406197793700634,-0.5611365269725945,36864,-431.1102952899999,3,0.07497996294098903,1.0015195608139038,-8.52333132425944,-0.009258369092519085,0.2,-0.4993799924850464,2.153368123372396,10,0.008380669,0.8180423974990845,0.0003,0.03365885416666667
1.2702909859923757,0.4461142591549989,-1.2258669835989893,1.9601350053471265,43,17.24,-0.20370957091541422,-0.0618075192113281,-0.08690430469384107,0.5,-0.3686469192973983,-0.10099562136407264,-0.17629109038244364,-0.1420218868637431,1133,0.29617292320052957,0.0027648,-10.575911308665095,-2.4037959165160534,-1.205586580970816,-0.5487294946686345,49152,-420.00619678000015,4,0.07696998089431657,1.001294732093811,-8.52178160349528,-0.009623584461708863,0.2,-0.8620340824127197,1.8475167433420816,15,0.01025777,0.6697088479995728,0.0003,0.047526041666666664
1.2893513460601465,0.4487205396984634,-1.2185436005755999,1.961581250496393,54,16.4,-0.1958385146800491,-0.06193509117010384,-0.08684571101427234,0.5,-0.2678562353345638,-0.08576901365988053,-0.15470169945308715,-0.13759035874490239,1130,0.30059999840494966,0.0036864,-9.878303346816962,-2.422549131126426,-1.1523890966679935,-0.5427375489565841,61440,-406.2210812900001,5,0.07907659754382183,1.0010623931884766,-8.520878219604493,-0.009807510045357048,0.2,-0.9890679121017456,1.6101134856541952,20,0.011168848,0.5039388537406921,0.0003,0.05489908854166667
1.299617543953511,0.4879107717433844,-1.2202860133834175,1.9600228324256934,65,15.83,-0.18355774009977252,-0.06250632873520108,-0.09265625817109442,0.5,-0.30415984705740334,-0.08149706409217662,-0.13830726226094048,-0.13497946352977727,1127,0.29499815520185085,0.004608,-9.220882452570585,-2.4125988078481946,-1.0638386322681752,-0.5550649918563865,73728,-371.31860785,6,0.08553244717171515,1.0006120204925537,-8.518548520406087,-0.00970092040176193,0.2,-1.312262773513794,1.2911977688471477,25,0.0115175275,0.375446617603302,0.0003,0.06002604166666667
1.3216390610293918,0.45542493584266425,-1.2151987854335862,1.9640338280997753,76,16.35,-0.1737813097728855,-0.06293391148904941,-0.09154297689625916,0.5,-0.22043557276972356,-0.06724529675140062,-0.13592377058607116,-0.12890359440479457,1125,0.29996109065991605,0.0055296,-8.33458104367205,-2.3553528586078136,-1.0587499457494476,-0.5489973720331486,86016,-372.79095483,7,0.08712285229421578,1.0000783205032349,-8.515522575378418,-0.009194232119868199,0.2,-1.6651935577392578,1.0597478151321411,30,0.01100693,0.25141578912734985,0.0003,0.059407552083333336
1.3338137665817424,0.5047408268193974,-1.1975647649841104,1.963024061302152,87,16.76,-0.16578730852653187,-0.06349331810086294,-0.09605795099923853,0.5,-0.2619536440683324,-0.06279119169451412,-0.11096610470675415,-0.1317463658317861,1123,0.3047870367550313,0.0064512,-7.738822022342926,-2.389454034901948,-0.999695243762055,-0.5509832561987721,98304,-355.21131748,8,0.08923901404737809,0.9983144402503967,-8.51008415222168,-0.009480981389060616,0.2,-2.2648351192474365,0.6542502840360006,35,0.010278967,0.10052916407585144,0.0003,0.057145182291666666
1.3490922542470631,0.47035885447528997,-1.2278833974031464,1.9667470227833037,98,15.36,-0.14889644068016952,-0.06361304077495333,-0.09267253400806415,0.5,-0.2631892243494599,-0.055368717413181195,-0.09882207709623302,-0.1333158604531083,1123,0.3051818068278527,0.0073728,-7.485308855302062,-2.4328021725861277,-0.9869045143845313,-0.570176750791011,110592,-340.38625566999997,9,0.09151356143814403,0.9968359470367432,-8.498163477579753,-0.012247526568050187,0.2,-2.2631046772003174,0.5145292063554128,40,0.012363368,0.06645998358726501,0.0003,0.08466796875
1.355512646826354,0.47785682116829314,-1.2717115531810392,1.9751607867024485,109,14.46,-0.12697779227095685,-0.06378466372700113,-0.0945442788094321,0.5,-0.2794211409446357,-0.05334874627457722,-0.08025617263851482,-0.13233891720949834,1124,0.2935564677270576,0.008294399999999999,-7.310602670679979,-2.4513153209344893,-0.9475661585141983,-0.5760307634406492,122880,-314.71555680999995,10,0.09263934015521297,0.9965234398841858,-8.492652320861817,-0.013230713130906225,0.2,-1.7932476997375488,0.4333257794380188,45,0.015949046,0.03276093304157257,0.0003,0.110888671875
