time/total_timesteps,curriculum/eff_scale,reward_terms/stop,reward_terms/alive,reward_terms/coef_rate,reward_terms/vz,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/residual,reward_terms/motor_vel,time/time_elapsed,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/residual_rate,reward_terms/torque,reward_terms/assist_pen,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/energy,reward_terms/foot_ahead,reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/overrun,time/iterations,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/step_rate,reward_terms/height,time/fps,reward_terms/action_rate,reward_terms/stance,reward_terms/upright,reward_terms/time,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/air_time,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/n_updates,train/loss
202752,0.000768,0.0,0.0,-1.5760376769472915,-0.18845352035177013,0.6498233600000001,-0.005739229689902524,-0.06141212746716159,-1.3948405356110866e-06,46,0.0,0.01,0.0,-0.00021884108894273805,0.0,0.0,-1.3205381256479947,376.7,-1.664941790233378e-05,0.0,-1.5413373729452045e-05,-0.3565552843037784,0.0,11,-193.97718108000004,-3.734258826933764e-08,0.04931379315986606,-0.09748449060943029,-0.5152227924041637,0.0,-0.05300300302843508,4329,-0.21877206966369336,0.0,-9.104355101033281e-08,-0.5,25.1152,0.0,0.0,0.2,-34.0711051940918,0.00528564453125,0.00029990784,0.0029070878,-0.009881418937584385,0.6743326187133789,1.0015196800231934,176.35372009277344,40,87.07282257080078
221184,0.0008448,0.0,0.0,-1.5872135279840363,-0.16830256076681807,0.649805696,-0.006064356509379577,-0.061162139956772874,-1.5198434748325322e-06,51,0.0,0.01,0.0,-0.0002328614697974721,0.0,0.0,-1.2383882141233333,382.96,-1.802619948292537e-05,0.0,-1.6162714984442032e-05,-0.3725405723262625,0.0,12,-195.53978584,-3.585921446086099e-08,0.043416186475624056,-0.126224026408939,-0.5388449524441324,0.0,-0.04775953088160276,4333,-0.21872800334767584,0.0,-9.436417759630687e-08,-0.5,25.12672,0.0,0.0,0.2,-34.07440891265869,0.0063232421875,0.000299898624,0.003191096,-0.009281675156671554,0.6690959334373474,1.0017523765563965,176.45266418457032,44,69.66322326660156
239616,0.0009216,0.0,0.0,-1.587213346682268,-0.1687290305410321,0.649788032,-0.006135282590232279,-0.061696497488630736,-1.6833063816288659e-06,55,0.0,0.01,0.0,-0.0002596175794600011,0.0,0.0,-1.224975076955636,390.85,-1.993610387029667e-05,0.0,-1.6147293988567018e-05,-0.377424123949166,0.0,13,-197.50162044000004,-3.894267044466244e-08,0.0442925967814227,-0.14427143341648238,-0.5335073992057606,0.0,-0.047809726766788414,4339,-0.2177165789172304,-1.3898984707453405e-06,-9.400295249571842e-08,-0.5,25.13824,0.0,0.0,0.2,-34.07049503326416,0.00802001953125,0.00029988940799999996,0.003572227,-0.010299979359842837,0.6637524366378784,1.0014854669570923,151.4248046875,48,65.35701751708984
258048,0.0009984,0.0,0.0,-1.576229513477496,-0.14747665707781024,0.649770368,-0.00455198556156379,-0.06136286164470248,-1.8209749201522615e-06,59,0.0,0.01,0.0,-0.0002770718529630768,0.0,0.0,-1.1118476210524282,404.12,-2.129103513318137e-05,0.0,-1.6347684221694762e-05,-0.3634292338649196,0.0,14,-200.8129553,-3.7225169973223686e-08,0.03804603495084067,-0.17744116821591482,-0.5526096100122596,0.0,-0.04121758431976799,4340,-0.2163774096746965,0.0,-9.655162564304319e-08,-0.5,25.14976,0.0,0.0,0.2,-34.071553230285645,0.00855712890625,0.000299880192,0.003681166,-0.010822703363373876,0.6383947134017944,1.0016064643859863,148.26565551757812,52,74.1491928100586
276480,0.0010752,0.0,0.0,-1.5856003019191247,-0.13307164276825578,0.6497527040000001,-0.004649955794227577,-0.061510444611252595,-1.9942213116216127e-06,63,0.0,0.01,0.0,-0.0002878171175727462,0.0,0.0,-0.9775818092925324,446.23,-2.2791673793322636e-05,0.0,-1.704332546020002e-05,-0.39865048030032174,0.0,15,-211.34880647999998,-3.71320294893283e-08,0.03383398482019078,-0.20258347590990727,-0.5702314473779775,0.0,-0.037795319576713816,4343,-0.21664775619787416,0.0,-1.00304921137488e-07,-0.5,25.16128,0.0,0.0,0.2,-34.074865913391115,0.01162109375,0.000299870976,0.0042580464,-0.01108436482027173,0.6375695466995239,1.0019625425338745,124.45838508605956,56,59.498748779296875
294912,0.001152,0.0,0.0,-1.5894337032579537,-0.08941061013222756,0.64973504,-0.007360257065197119,-0.06189246567917734,-2.037266962285773e-06,67,0.0,0.01,0.0,-0.0003249865345575926,0.0,0.0,-0.6615615023945194,485.85,-2.3751393907264588e-05,0.0,-1.6499967528047113e-05,-0.4231326873814718,0.0,16,-221.22598297999997,-3.5803000101413276e-08,0.023321577166722694,-0.36913997363525497,-0.6123508036742857,0.0,-0.02580920118437966,4346,-0.21832858499257018,-8.581602087602997e-05,-1.15819278379014e-07,-0.5,25.1728,0.0,0.0,0.2,-34.07738056182861,0.01239013671875,0.00029986176,0.0045260205,-0.01017145321238786,0.64000403881073,1.0020393133163452,106.46717529296875,60,45.479331970214844
313344,0.0012288,0.0,0.0,-1.590225984918058,-0.05947519397009398,0.649717376,-0.0065268284928520015,-0.06250078727551428,-1.9887957414712443e-06,72,0.0,0.01,0.0,-0.00038577865917938954,0.0,0.0,-0.326108603852697,553.4,-2.492924340970333e-05,0.0,-1.690945865807506e-05,-0.5612793918961161,0.0,17,-238.09803872,-3.402660673434775e-08,0.014013212119775152,-0.3827079549131061,-0.6407921113382319,0.0,-0.019164636572960362,4350,-0.21945507516589824,-0.0002456374692629056,-1.4790437441997956e-07,-0.5,25.18432,0.0,0.0,0.2,-34.0724494934082,0.0358154296875,0.000299852544,0.007800243,-0.010316631814930588,0.6752580404281616,1.001570224761963,67.43975486755372,64,25.216632843017578
331776,0.0013056,0.0,0.0,-1.5862315953362875,-0.04244287401212826,0.649699712,-0.007188468068694529,-0.06241174437020555,-1.912942904199419e-06,76,0.0,0.01,0.0,-0.0004751385924554495,0.0,0.0,-0.0168459664890334,621.14,-2.6662554466106478e-05,0.0,-1.720216935726891e-05,-0.7054653626838367,0.0,18,-255.02025723999998,-3.48587780215261e-08,0.009441186707118085,-0.396729361356443,-0.6567440519899922,0.0,-0.019359839588596203,4351,-0.21475444294150386,-0.000163323518687276,-1.8786222295267548e-07,-0.5,25.19584,0.0,0.0,0.2,-34.074205207824704,0.05023193359375,0.000299843328,0.009521694,-0.009633422316983341,0.6670439839363098,1.0018272399902344,46.62235774993896,68,21.760581970214844
350208,0.0013824,0.0,0.0,-1.5880470997661444,-0.023201958095923986,0.6496820480000001,-0.008221280259609384,-0.06267822246737101,-1.8245582184667564e-06,80,0.0,0.01,0.0,-0.0005855757317724783,0.0,0.0,0.1365149261873107,664.35,-2.8738769627418353e-05,0.0,-1.7198672478585388e-05,-0.8417059468254932,0.0,19,-265.80591323,-3.469996287153511e-08,0.00425371559372139,-0.5052790053305216,-0.677788853690803,0.0,-0.02165354308694213,4353,-0.21699645003769127,-1.5197716985710847e-05,-2.246583258316834e-07,-0.5,25.20736,0.0,0.0,0.2,-34.075208854675296,0.06448974609375,0.000299834112,0.009872635,-0.010159977915463969,0.6165559887886047,1.0020338296890259,34.42473182678223,72,15.839908599853516
368640,0.0014592,0.0,0.0,-1.582000727837901,-0.021340303874480458,0.649664384,-0.007026625106827161,-0.06285384272410555,-1.7730033843813827e-06,84,0.0,0.01,0.0,-0.0006931609522682508,0.0,0.0,0.2773610024886508,673.81,-3.05194833742132e-05,0.0,-1.7063675483993175e-05,-0.926662388988712,0.0,20,-268.1659401300001,-3.5894979838452253e-08,0.002484502838486672,-0.5886852222465677,-0.6832453135066425,0.0,-0.02980201613272343,4357,-0.2138912556341627,-1.3344940826488677e-06,-2.549484085703951e-07,-0.5,25.21888,0.0,0.0,0.2,-34.08113250732422,0.0776123046875,0.00029982489599999996,0.007969855,-0.011812445358373225,0.5858539342880249,1.0024843215942383,12.35888934135437,76,3.630977153778076
