reward_terms/ang_xy,reward_terms/fwd_speed,reward_terms/energy,reward_terms/hip_roll,reward_terms/clearance,time/time_elapsed,ankle/ankle_spring_energy_peak,time/iterations,reward_terms/lat_vel,reward_terms/action_rate,reward_terms/imp_rate,reward_terms/residual,reward_terms/foot_ahead,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,reward_terms/vz,reward_terms/stance,ankle/ankle_defl_peak,reward_terms/stop,curriculum/stance_ratio,reward_terms/stance_time,time/fps,reward_terms/assist_pen,reward_terms/swing_floor,reward_terms/air_time,reward_terms/height,curriculum/ent_coef,reward_terms/phase_contact,reward_terms/motor_vel,reward_terms/yaw_rate,reward_terms/step_rate,reward_terms/residual_rate,reward_terms/angmom,curriculum/swing_frac_mean,reward_terms/time,rollout/ep_rew_mean,time/total_timesteps,curriculum/pitch_assist,curriculum/ctrl_jitter_ms,curriculum/eff_scale,reward_terms/upright,rollout/ep_len_mean,reward_terms/overrun,curriculum/swing_frac_min,reward_terms/foot_slip,reward_terms/torque,curriculum/ctrl_drop_prob,reward_terms/alive,reward_terms/duty_sym,curriculum/sprint_dist_m,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,curriculum/log_std_clamp
-0.3563884035572131,1.8047395906701997,0.0,-0.21534227296131717,0.06588806780405726,2,0.0,1,-0.15439164084344117,-0.11008494663902674,-0.01563642035211222,-0.10157669004005976,0.0,-0.40275949419582224,0.0,-0.08502525076259822,-0.020792667634155902,0.5051775977057511,0.0,0.65,-0.002085492563007089,8220,0.0,0.0,0.0019113482881544365,-0.02579932629673161,0.01,-0.32721351302071805,0.0,-1.4697173129336762,0.0,0.0,-0.08193270722292263,0.4117024739583333,-0.5,-158.299856,18432,1.0,0.0,0.0,-0.30882912038892374,244.52,0.0,0.22374131944444445,-0.884259953236147,0.0,0.0,0.0,0.0,25.0,,,,,,,,,,,,
-0.37968474371824146,2.744036031448889,-8.253191354087066e-06,-0.20017862991558832,0.10038136257525211,4,0.0,2,-0.2582233611967102,-0.12197009163240619,-0.016827043112613436,-0.10133017562340357,0.0,-0.43709722259074724,0.0,-0.08637498205248131,-0.03607350776942267,0.5048826239293872,0.0,0.649982336,-0.001181228779993641,8970,0.0,0.0,0.001485458765980891,-0.019194143857208194,0.01,-0.27871377546815973,-1.2526897515477397e-06,-1.5126439559117686,0.0,0.0,-0.09275945939987278,0.4689127604166667,-0.5,-162.29859613235297,36864,0.9996928,0.0,7.68e-05,-0.3443037191991344,294.04411764705884,0.0,0.2669813368055556,-0.8496095960037664,-8.179530327362904e-05,0.0,0.0,0.0,25.01152,149805,0.2,1.0002599954605103,0.134228515625,515.3128051757812,0.00015672192093916238,0.8230319619178772,-39.7319278717041,0.015192954,0.000299987712,1554.1858764648437,
-0.40014718987002895,2.8547164679136845,-1.7662797266108826e-05,-0.1790732734093632,0.11097297233649894,5,0.0,3,-0.4056944418948448,-0.12944864207141984,-0.017165636901330918,-0.10093539017998165,0.0,-0.4697751916406481,0.0,-0.09197994077665253,-0.04037240208758217,0.5050177343443006,0.0,0.6499646720000001,-0.0009393945430120868,9352,0.0,0.0,0.0016623250622716215,-0.016397063079016165,0.01,-0.24090229715455122,-2.754579727522982e-06,-1.510260799698013,0.0,0.0,-0.11207330146967988,0.4990505642361111,-0.5,-157.94653646999998,55296,0.9993856,0.0,0.0001536,-0.42585229195079655,354.71,0.0,0.2700737847222222,-0.8388213751325145,-0.0001749906895905367,0.0,0.0,0.0,25.02304,149809,0.2,1.0003801584243774,0.0021728515625,534.530029296875,-0.0043920379830524325,0.8873826861381531,-39.73421363830566,0.0022278042,0.000299975424,1437.7823974609375,
-0.36611627015965564,2.9028804202370044,-2.499947595410345e-05,-0.16288555764616058,0.10984162753414652,7,0.0,4,-0.39936832197463246,-0.12661105879799806,-0.016857234635980132,-0.10077590124485104,0.0,-0.4614744227712819,0.0,-0.09272202835081321,-0.04435850525888278,0.5051180241270247,0.0,0.649947008,-0.000803218347654264,9444,0.0,0.0,0.0014274076836752808,-0.015342862766468346,0.01,-0.23945380347279327,-3.7613072493824576e-06,-1.5022607013175344,0.0,0.0,-0.10507740180371145,0.5132107204861112,-0.5,-152.70380239,73728,0.9990784,0.0,0.0002304,-0.4335177602703669,379.9,0.0,0.298828125,-0.8022557131431013,-0.0002467991302798884,0.0,0.0,0.0,25.03456,149813,0.2,1.0004111528396606,0.00069580078125,498.86962890625,-0.004032800771528855,0.8992750644683838,-39.73475246429443,0.001575306,0.000299963136,1332.9255157470702,
-0.36224852202301844,2.845975202886975,-3.27384424089484e-05,-0.16642490528705506,0.10199363418342229,9,0.0,5,-0.40366650000329773,-0.12536947912086818,-0.01663557270920692,-0.10104774335234128,0.0,-0.4339430208671737,0.0,-0.09155677757011872,-0.052579437339288965,0.5051469786451556,0.0,0.649929344,-0.001215001107387555,9243,0.0,0.0,0.0012765829322031802,-0.01445780875518457,0.01,-0.2798615691728248,-4.900818890700839e-06,-1.4786187373021344,0.0,0.0,-0.09755652160755506,0.4760199652777778,-0.5,-149.11950025,92160,0.9987712,0.0,0.0003072,-0.39451394138983736,399.07,0.0,0.2650824652777778,-0.8758659212139809,-0.0003258534449687357,0.0,0.0,0.0,25.04608,149817,0.2,1.000401258468628,0.0012451171875,392.814697265625,-0.005225939571391791,0.9317902326583862,-39.735259437561034,0.0019173576,0.00029995084799999997,951.7911956787109,
-0.3681304378526431,2.5751410020404455,-4.1318200379281926e-05,-0.16077417885676454,0.10729772507342017,12,0.0,6,-0.47203272661668005,-0.1300914864200525,-0.01599335702697073,-0.10108184882295863,0.0,-0.44778529474266254,0.0,-0.09638408807171388,-0.07917080927912151,0.5051535308576292,0.0,0.64991168,-0.002613651488597194,8909,0.0,0.0,0.0016221776216601331,-0.0161091448868651,0.01,-0.2330292847708053,-6.134886469034999e-06,-1.476075915660481,0.0,0.0,-0.09062325313891197,0.5010036892361112,-0.5,-138.67355777,110592,0.998464,0.0,0.000384,-0.4998330369977874,427.44,0.0,0.2471245659722222,-0.8224319735682433,-0.0004118204219514248,0.0,0.0,0.0,25.0576,149821,0.2,1.0004101991653442,0.00238037109375,303.7232360839844,-0.005371572892181575,0.9385713338851929,-39.73453598022461,0.00230027,0.00029993856,778.1046783447266,
-0.33993530195648697,2.5613495022918618,-4.860826296617532e-05,-0.14734723113381296,0.1067342467180174,15,0.0,7,-0.5085083075255136,-0.12555109148859175,-0.016449285917851105,-0.1011363690118484,0.0,-0.44921858217597016,0.0,-0.09287065554058858,-0.10075838990485127,0.5050976649943938,0.0,0.6498940160000001,-0.002625586893474166,8574,0.0,0.0,0.001694877221274914,-0.016269204565983575,0.01,-0.2509168113068353,-7.351521051965016e-06,-1.4553254333631942,0.0,0.0,-0.09106008032509555,0.4972059461805556,-0.5,-146.27547306999998,129024,0.9981568,0.0,0.0004608,-0.5178270598280611,375.16,0.0,0.2556423611111111,-0.8196383672686282,-0.0004928727034437887,0.0,0.0,0.0,25.06912,149825,0.2,1.0004709959030151,0.002685546875,320.791259765625,-0.005728067830204964,0.9401859045028687,-39.73560981750488,0.0024976875,0.000299926272,771.8365295410156,
-0.33390349366183336,2.2475965454894054,-5.410744084231179e-05,-0.15525339201900293,0.09392478983043431,17,0.0,8,-0.4947866150131349,-0.12932509763022793,-0.01610392129823686,-0.10125047002812275,0.0,-0.4457159239608075,0.0,-0.10942310517893486,-0.07671943734323085,0.5051756200694573,0.0,0.649876352,-0.004128673003934737,8341,0.0,0.0,0.0016585272937340455,-0.019514562316026867,0.01,-0.2572728143051975,-7.897210363302401e-06,-1.4478399372097928,0.0,0.0,-0.09225194789149577,0.4766438802083333,-0.5,-155.43579721999998,147456,0.9978496,0.0,0.0005376,-0.5328720134143468,357.87,0.0,0.22233072916666666,-0.846950141404291,-0.0005649769584234073,0.0,0.0,0.0,25.08064,149829,0.2,1.0005296468734741,0.0052734375,220.7889404296875,-0.005819644167786464,0.9464910626411438,-39.73625602722168,0.0031421618,0.000299913984,651.3929550170899,
-0.32129035081940044,2.3016770623679115,-5.8575746716049366e-05,-0.15184554829867128,0.09485156107194764,20,0.0,9,-0.4758735855441716,-0.12335843151394202,-0.015285870810664246,-0.10097505729239245,0.0,-0.42199917766020195,0.0,-0.09352876762544532,-0.09584890554822499,0.5050800371073906,0.0,0.649858688,-0.011419787307709662,8185,0.0,0.0,0.0013009970199265,-0.01828029432910164,0.01,-0.2550547087012712,-8.615643296416915e-06,-1.4277156221418539,0.0,0.0,-0.0846160355878633,0.4767795138888889,-0.5,-157.94676496,165888,0.9975424,0.0,0.0006144,-0.5024528542224033,352.93,0.0,0.2329644097222222,-0.8223831740043549,-0.0006112238141804548,0.0,0.0,0.0,25.09216,149833,0.2,1.000677227973938,0.007373046875,195.14202880859375,-0.006046365638030693,0.952777087688446,-39.73852882385254,0.0036037206,0.00029990169599999997,555.4306198120117,
-0.327329656790109,2.282137522799289,-6.767042628462305e-05,-0.1506658777128299,0.09370545044308531,22,0.0,10,-0.5442490520562288,-0.1258229421225707,-0.0156395133974601,-0.10109071962702182,0.0,-0.4223751181561806,0.0,-0.10521886047045706,-0.11366183834284321,0.5052005515714597,0.0,0.649841024,-0.0029831167177892188,8062,0.0,0.0,0.0015679241397366342,-0.020501992736706134,0.01,-0.26169287905121913,-9.817300090410713e-06,-1.4136764584613237,0.0,0.0,-0.08422258704385721,0.4718695746527778,-0.5,-157.77015755,184320,0.9972352,0.0,0.0006912,-0.522248318008921,340.12,0.0,0.2256401909722222,-0.8416986853067165,-0.0006994060450065583,0.0,0.0,0.0,25.10368,149837,0.2,1.0006016492843628,0.0048095703125,190.82386779785156,-0.005970558326225728,0.94809490442276,-39.73706970214844,0.0031711936,0.00029988940799999996,579.9227005004883,
