reward_terms/foot_slip,reward_terms/hip_roll,reward_terms/foot_ahead,reward_terms/clearance,reward_terms/motor_vel,time/time_elapsed,rollout/ep_rew_mean,reward_terms/residual,reward_terms/ang_xy,reward_terms/stance,curriculum/ctrl_jitter_ms,reward_terms/energy,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/air_time,time/total_timesteps,reward_terms/residual_rate,curriculum/sprint_dist_m,reward_terms/time,reward_terms/vz,curriculum/ent_coef,reward_terms/torque,reward_terms/stance_time,time/iterations,rollout/ep_len_mean,reward_terms/angmom,reward_terms/overrun,curriculum/stance_ratio,reward_terms/step_rate,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/phase_contact,reward_terms/upright,curriculum/ctrl_drop_prob,curriculum/eff_scale,reward_terms/height,reward_terms/alive,time/fps,reward_terms/stop,reward_terms/coef_rate,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction
-0.43659704594077053,-0.1672186538897402,0.0,0.07431501463675788,0.0,4,-120.73021278000002,-0.09582207834153239,-0.8894371932544376,-0.0022084333665717453,0.0,0.0,0.0,-1.2515664496397296,3.2551858263711133e-06,18432,0.0,25.0,-0.5,-0.39171344781338074,0.01,0.0,0.0,1,83.45,-0.5679739970166202,0.0,0.65,0.0,-0.08200466033526115,-1.3463869051977367e-07,-0.20562777204115948,-0.8783058226359022,0.0,0.0,-0.04956789609349857,0.0,4347,0.0,-0.9658991097352142,,,,,,,,,,,
-0.4043596005967648,-0.16070224115494725,0.0,0.08573947110235741,-1.3257956306955493e-06,8,-122.45635711000001,-0.09704217866497794,-0.8730133556464695,-0.003893418521050588,0.0,-5.914516916823551e-06,0.0,-1.2827054988773172,9.711350624759992e-05,36864,0.0,25.01152,-0.5,-0.41540028399541506,0.01,-4.245831350842454e-05,0.0,2,90.26,-0.5278737185346708,0.0,0.649982336,0.0,-0.07601123255383319,-1.2336539301119777e-07,-0.18856445143781253,-0.8670726262624208,0.0,7.68e-05,-0.050536523289515696,0.0,4187,0.0,-0.8057063500274013,0.30661481618881226,5882.572534179688,1062.91259765625,0.000299990784,1.0003111362457275,0.2,-0.0004038994840811938,16541,0.005657128,-34.059111785888675,0.026953125
-0.4048219690815385,-0.13835836580556976,0.0,0.08691542152919127,-2.84437306844619e-06,12,-121.81226292,-0.09813847812057595,-0.8688570851028683,-0.008147660337809384,0.0,-1.2755781435277659e-05,0.0,-1.2736006093442114,0.0002164709795680311,55296,0.0,25.02304,-0.5,-0.37945315793943374,0.01,-9.471093710151963e-05,0.0,3,87.72,-0.47071725730339087,0.0,0.6499646720000001,0.0,-0.07466616276791233,-1.2469347918293858e-07,-0.20182267800061301,-0.8671094222352606,0.0,0.0001536,-0.051805291636436254,0.0,4266,0.0,-0.7844140873101965,0.3041021227836609,3242.061871337891,662.3701171875,0.000299981568,1.0000234842300415,0.2,-0.0012482625374104829,16545,0.00078268815,-34.05415019989014,7.32421875e-05
-0.4128724216028108,-0.12671470609348282,0.0,0.09407835442040191,-4.343167699404671e-06,17,-120.43781065000002,-0.09865216119426774,-0.8399743717644512,-0.01678241189114084,0.0,-1.9740345649645205e-05,0.0,-1.1289457358123334,0.00035101942679223913,73728,0.0,25.03456,-0.5,-0.36647176295223,0.01,-0.00015291040662596014,0.0,4,82.22,-0.46925806665382147,0.0,0.649947008,0.0,-0.07075517537785023,-1.1112397483105908e-07,-0.19383560022218568,-0.8239245203600996,0.0,0.0002304,-0.050449989755808076,0.0,4306,0.0,-0.7349850665570742,0.3945331573486328,1961.9322052001953,400.8504333496094,0.00029997235199999997,1.0000420808792114,0.2,-0.0021109186811372636,16549,0.00116434,-34.05411148071289,0.00020751953125
-0.44405623356221136,-0.10394718908718012,0.0,0.09772385106959955,-5.7580625611947905e-06,21,-123.29093342,-0.0996345180383901,-0.825060695938532,-0.03089301817483384,0.0,-2.6223781540143325e-05,0.0,-1.065455380049361,0.0005957022270498177,92160,0.0,25.04608,-0.5,-0.35860211943403436,0.01,-0.00021602477195082687,0.0,5,93.82,-0.4200640688258155,0.0,0.649929344,0.0,-0.06766083600306635,-9.798231171836752e-08,-0.2189082888746598,-0.8200568544973479,0.0,0.0003072,-0.05061882535827076,0.0,4332,0.0,-0.702495455351366,0.4314988851547241,1783.9265228271483,440.2880554199219,0.000299963136,1.0001027584075928,0.2,-0.0022472050506621597,16553,0.0018905575,-34.05504817962647,0.00177001953125
-0.4607842098999947,-0.10235129514319605,0.0,0.09839404483682604,-7.161741383120202e-06,25,-127.19857338,-0.10016390777797192,-0.7886648256094974,-0.06419949000302606,0.0,-3.392917403024188e-05,0.0,-0.9538365686695494,0.0007649728633825564,110592,0.0,25.0576,-0.5,-0.3408962926629202,0.01,-0.0003071433348304732,0.0,6,109.41,-0.38389698660048005,0.0,0.64991168,0.0,-0.06657076738554969,-1.0391567490866006e-07,-0.24372192773364437,-0.792122934012994,0.0,0.000384,-0.0517022019790269,0.0,4348,0.0,-0.6619341743567009,0.5977797508239746,1366.3292694091797,458.40362548828125,0.00029995392,1.0001201629638672,0.2,-0.0037241811980493365,16557,0.0045595584,-34.05526428222656,0.01868896484375
-0.4543286529246893,-0.09869846107697211,0.0,0.09856144674336938,-8.441725293943239e-06,29,-126.39609481,-0.1012228190194438,-0.7402623771334798,-0.0672758986797532,0.0,-4.0260836067736436e-05,0.0,-0.8164429021341344,0.0010883233076634093,129024,0.0,25.06912,-0.5,-0.3454697032974844,0.01,-0.0003805135184301192,0.0,7,106.24,-0.3783383068147272,0.0,0.6498940160000001,0.0,-0.06265005704638678,-8.075614057178085e-08,-0.23803230742114356,-0.7795559400812123,0.0,0.0004608,-0.05216752100416041,0.0,4360,0.0,-0.6238832437870923,0.500268816947937,1480.138409423828,449.59600830078125,0.00029994470399999997,1.000133752822876,0.2,-0.0033437002915889026,16561,0.0024656965,-34.05570182800293,0.003564453125
-0.475515559023672,-0.09956068451626172,0.0,0.09726671253054742,-9.965948679528203e-06,33,-126.19278071999997,-0.10096964948927699,-0.7717965250466801,-0.09342616719425285,0.0,-4.74679347564714e-05,0.0,-0.764637897058716,0.0008289919157202045,147456,0.0,25.08064,-0.5,-0.32342290973741444,0.01,-0.00044954844459055537,0.0,8,105.85,-0.38196418313719455,0.0,0.649876352,0.0,-0.0637623882175668,-7.810110751410463e-08,-0.24885473147200005,-0.7295642784792712,0.0,0.0005376,-0.05060221070535645,0.0,4368,0.0,-0.6250291048762062,0.6528847217559814,1078.7517944335937,404.5481872558594,0.000299935488,1.000122308731079,0.2,-0.003941121592652053,16565,0.004559197,-34.0554012298584,0.01890869140625
-0.5232902422167836,-0.09859687045764114,0.0,0.09582672276209024,-1.131337217893926e-05,37,-126.80482318,-0.10195475184552716,-0.7403951890674786,-0.09925246146135668,0.0,-5.523467669609012e-05,0.0,-0.6788348268238219,0.0008859582465245492,165888,0.0,25.09216,-0.5,-0.3196150486607412,0.01,-0.0005108944918083383,0.0,9,107.97,-0.3802745766316391,0.0,0.649858688,0.0,-0.06147400405801294,-6.840716862271264e-08,-0.2573881601397148,-0.7436247360738525,0.0,0.0006144,-0.057496686436326785,0.0,4376,0.0,-0.6123546325138235,0.65346360206604,982.4878479003906,346.51055908203125,0.000299926272,1.000205159187317,0.2,-0.004458695347420871,16569,0.0044423756,-34.056145668029785,0.01134033203125
-0.4774111362530268,-0.11291816495012443,0.0,0.09921230563183686,-1.2403827065112878e-05,42,-129.48076622,-0.10192924935862374,-0.7287859893920747,-0.1332788617583064,0.0,-6.117206551360544e-05,0.0,-0.7127007754373366,0.0007964400348201808,184320,0.0,25.10368,-0.5,-0.32993489112334545,0.01,-0.0006001275336482748,-0.00020222888754991195,10,118.9,-0.4196410696567522,0.0,0.649841024,0.0,-0.0601391317468453,-7.53822080567444e-08,-0.2501685204123371,-0.742289368669528,0.0,0.0006912,-0.05580267237833704,0.0,4385,0.0,-0.5869234972173015,0.6446303725242615,721.2250091552735,234.42198181152344,0.000299917056,1.0002572536468506,0.2,-0.005726227111881599,16573,0.0057771234,-34.05697498321533,0.02630615234375
