reward_terms/action_rate,reward_terms/track_vx,reward_terms/hip_roll,reward_terms/progress,reward_terms/track_heading,reward_terms/overrun,reward_terms/pos_pen,reward_terms/stop,reward_terms/stance_time,time/fps,time/iterations,reward_terms/stance,time/time_elapsed,reward_terms/height,reward_terms/heading_pen,time/total_timesteps,rollout/ep_rew_mean,reward_terms/track_yaw,reward_terms/alive,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/yaw_rate,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/track_pos,reward_terms/upright,reward_terms/time,reward_terms/air_time,curriculum/sprint_dist_m,reward_terms/vz,rollout/ep_len_mean,reward_terms/clearance,reward_terms/torque,curriculum/ent_coef,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/approx_kl
-0.004931691338843947,0.0,-0.12039851822967534,0.0,0.0,0.0,0.0,0.0,-0.02492361110456233,107,1,-0.4450159857913621,35,0.0,0.0,3840,-117.01614484444445,0.0,0.0,-2.664052886646625e-10,-1.7235140791039498e-07,0.0,-0.49135396126061726,0.07734959575873436,0.0,-1.9852571931230346e-08,-0.5,0.016436697717543556,25.0,0.0,36.833333333333336,0.05245293931945817,-0.0931897996025808,0.01,,,,,,,,,,,
-0.004947163512417858,0.0,-0.12203643519915895,0.0,0.0,0.0,0.0,0.0,-0.01628316546581323,108,2,-0.43490883388950086,70,0.0,0.0,7680,-114.19170221000002,0.0,0.0,-2.66282237735004e-10,-1.6455892410620269e-07,0.0,-0.42991768316140294,0.05073225659874263,0.0,-1.7565271929162922e-08,-0.5,0.017392369472884302,25.72,0.0,46.86,0.05172712697086981,-0.09338439804650368,0.01,-25.549938559532166,1.0012861490249634,-0.03696816067531472,0.0975341796875,0.2,724.144326210022,0.000299904,4,0.012178897857666016,363.55755615234375,0.012820395
-0.004753471666592615,0.0,-0.12172988559851598,0.0,0.0,0.0,0.0,0.0,-0.013454508334672294,109,3,-0.4345618560201301,104,0.0,0.0,11520,-111.95897348000003,0.0,0.0,-2.4865252870364013e-10,-1.5039899477215222e-07,0.0,-0.44060531310712187,0.047271656335027466,0.0,-1.6869136102916095e-08,-0.5,0.0174064069622323,26.44,0.0,43.66,0.05268983857856831,-0.09441974398207478,0.01,-25.541341185569763,1.0009567737579346,-0.03154052988247713,0.0733642578125,0.2,441.18494510650635,0.000299808,8,0.229530930519104,218.52366638183594,0.011012634
-0.004971212656129595,0.0,-0.12061359717701771,0.0,0.0,0.0,0.0,0.0,-0.018429269040114788,109,4,-0.4167103390546537,139,0.0,0.0,15360,-115.60722709000001,0.0,0.0,-2.443358323927927e-10,-1.4818796936957162e-07,0.0,-0.49574834002955975,0.063189241426204,0.0,-1.598868143055503e-08,-0.5,0.017247416133179524,27.16,0.0,44.46,0.053351596288674835,-0.09912985809434989,0.01,-25.538209199905396,1.0006508827209473,-0.0261290065391222,0.04827880859375,0.2,484.1550455093384,0.000299712,12,0.3245362639427185,286.1998291015625,0.008290728
-0.004951494159532073,0.0,-0.12274854119062603,0.0,0.0,0.0,0.0,0.0,-0.019525997678536234,109,5,-0.43235732479950695,174,0.0,0.0,19200,-117.60466750000002,0.0,0.0,-2.562953012024604e-10,-1.6613636912631671e-07,0.0,-0.5095899322328634,0.05172558180296002,0.0,-1.6113118610512498e-08,-0.5,0.01566684030447166,27.88,0.0,44.96,0.050935260942882185,-0.10578522018982978,0.01,-25.537692189216614,1.0007373094558716,-0.024397271088673733,0.03765869140625,0.2,426.1601438522339,0.000299616,16,0.38659507036209106,209.68560791015625,0.0069877366
-0.00521471132372337,0.0,-0.12006822347284958,0.0,0.0,0.0,0.0,0.0,-0.019550127498980795,109,6,-0.4078007163606298,209,0.0,0.0,23040,-117.21457056999998,0.0,0.0,-2.923592015988782e-10,-2.1658878663879336e-07,0.0,-0.4907936939274161,0.06769725749186654,0.0,-1.963093738778455e-08,-0.5,0.016018851008915244,28.6,0.0,40.39,0.05233646214703326,-0.09705402646373217,0.01,-25.539670586586,1.0002931356430054,-0.025927810740540735,0.04949951171875,0.2,350.4381284713745,0.00029952,20,0.3604470491409302,173.0789337158203,0.008322002
-0.004941240881389216,0.0,-0.12197754417033976,0.0,0.0,0.0,0.0,0.0,-0.02782046208573648,109,7,-0.4363134970922884,245,0.0,0.0,26880,-120.68948434000002,0.0,0.0,-2.809431396977652e-10,-2.0467897806159536e-07,0.0,-0.5123231777751935,0.07888491981472016,0.0,-2.0314967962567046e-08,-0.5,0.015580674648351013,29.32,0.0,43.45,0.05240225124629332,-0.10130730719726116,0.01,-25.53213679790497,1.000169277191162,-0.021421391662443057,0.0263671875,0.2,432.6446952819824,0.000299424,24,0.35575342178344727,163.0877227783203,0.0057225097
-0.004959323546654417,0.0,-0.11729158218449073,0.0,0.0,0.0,0.0,0.0,-0.0181251888055541,109,8,-0.39258867054975227,279,0.0,0.0,30720,-115.83553327,0.0,0.0,-2.680748493134063e-10,-1.5517354177303108e-07,0.0,-0.49318787513799567,0.06528457244292005,0.0,-1.740162584428002e-08,-0.5,0.015654919125777038,30.04,0.0,43.08,0.049878234346402935,-0.09584515669533682,0.01,-25.534192621707916,1.0002142190933228,-0.023956600605743006,0.03460693359375,0.2,329.4907898902893,0.00029932799999999996,28,0.3709859251976013,138.0107421875,0.0067704804
-0.004885485054340719,0.0,-0.12310158383586359,0.0,0.0,0.0,0.0,0.0,-0.02475155654308127,109,9,-0.43358331775403974,315,0.0,0.0,34560,-120.58504868,0.0,0.0,-2.684901129486264e-10,-1.821940479926398e-07,0.0,-0.5061943019568652,0.07420290949294725,0.0,-1.9303835029833353e-08,-0.5,0.01564967796364946,30.759999999999998,0.0,42.75,0.05256993643774686,-0.09807443644332439,0.01,-25.539216995239258,1.000683307647705,-0.025088227550440934,0.0389404296875,0.2,304.75599479675293,0.00029923199999999997,32,0.34836864471435547,142.65798950195312,0.0075120167
-0.004940872843329886,0.0,-0.1189353229154181,0.0,0.0,0.0,0.0,0.0,-0.020592506025315708,109,10,-0.39831395064879355,350,0.0,0.0,38400,-114.71478702999998,0.0,0.0,-2.6590931125871044e-10,-1.7349874158708557e-07,0.0,-0.4487624718015089,0.06178994343043807,0.0,-1.892923808162651e-08,-0.5,0.016427602042129404,31.48,0.0,41.84,0.05120804021819777,-0.09453166716515216,0.01,-25.53569006919861,1.0005067586898804,-0.028738677603541873,0.050537109375,0.2,250.79510927200317,0.000299136,36,0.3747510313987732,92.20953369140625,0.009186716
