reward_terms/stance,curriculum/eff_scale,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/overrun,reward_terms/residual,reward_terms/residual_rate,reward_terms/angmom,reward_terms/upright,reward_terms/coef_rate,reward_terms/clearance,time/total_timesteps,reward_terms/assist_pen,reward_terms/time,reward_terms/foot_slip,reward_terms/lat_vel,reward_terms/action_rate,reward_terms/energy,time/fps,reward_terms/stance_time,time/time_elapsed,reward_terms/motor_vel,curriculum/sprint_dist_m,reward_terms/air_time,reward_terms/fwd_speed,reward_terms/height,reward_terms/torque,rollout/ep_len_mean,reward_terms/step_rate,reward_terms/phase_contact,reward_terms/foot_ahead,curriculum/ent_coef,time/iterations,reward_terms/hip_roll,curriculum/stance_ratio,reward_terms/stop,reward_terms/alive,rollout/ep_rew_mean,reward_terms/vz,curriculum/ctrl_jitter_ms,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/clip_range
-2.7164812258183527e-05,0.0,0.0,-0.410005031079471,0.0,-0.10333687837988663,0.0,-0.21232493162170338,-0.44388484976673664,-1.2141559317265267,0.08311877772649631,18432,0.0,-0.5,-0.48130891548865784,-7.873623493743091e-08,-0.08448354411636455,0.0,4368,-0.0001432282669055793,4,0.0,25.0,0.0006597216739060564,0.00482541345320546,-0.021225759095957367,0.0,118.27,0.0,-0.3856085925954968,0.0,0.01,1,-0.07320437762362256,0.65,0.0,0.0,-127.65883304,-0.17189015917074685,0.0,,,,,,,,,,,
-0.00013939875168669726,7.68e-05,0.0,-0.34682991700274923,0.0,-0.10212765252372734,0.0,-0.17965445952049613,-0.5483605450498881,-1.2585412576347395,0.07544122161800473,36864,0.0,-0.5,-0.534892408439767,-6.115360637547927e-08,-0.08914303093006065,-4.751620451194847e-06,4158,0.0,8,-8.362419651970145e-07,25.01152,9.982613199907873e-05,0.04155111675171099,-0.011711835881218078,-3.3545303816973713e-05,109.07,0.0,-0.40794570090613,0.0,0.01,2,-0.009636478732213065,0.649982336,0.0,0.0,-127.08301239999999,-0.15299856936927606,0.0,0.0002999852544,155410,0.04117019,0.2759033203125,-34.08338108062744,57.53150939941406,0.8228257894515991,185.15234375,1.0025250911712646,-0.029882938647642732,0.2
-2.1070657639763142e-05,0.0001536,0.0,-0.3283160276280474,0.0,-0.10255908053839664,0.0,-0.1516764298151853,-0.5800889899295957,-1.2445113741734382,0.07316570461715022,55296,0.0,-0.5,-0.5583342163779581,-6.24252911334806e-08,-0.08889933786569244,-9.54149846164197e-06,4248,0.0,13,-1.6686912634692507e-06,25.02304,0.0003119569672789011,0.01751669598575023,-0.01146512035965421,-6.798762299815186e-05,119.99,0.0,-0.4110111519237642,0.0,0.01,3,-0.011403007668070028,0.6499646720000001,0.0,0.0,-129.80127288,-0.161068883439536,0.0,0.0002999705088,155411,0.022272414,0.25771484375,-34.06270294189453,29.279165267944336,-0.31526076793670654,74.58093566894532,1.0007140636444092,0.010615133680403233,0.2
-0.0004142583572504064,0.0002304,0.0,-0.3490665042418016,0.0,-0.10216569965564683,0.0,-0.14994561094993517,-0.5700207629426354,-1.2607296819571847,0.0683716489849926,73728,0.0,-0.5,-0.5931391892579417,-6.411309234729272e-08,-0.08948865388126342,-1.4075270735718256e-05,4302,0.0,17,-2.3818711145417267e-06,25.03456,0.0003483067881057246,-0.026980919506978323,-0.008417744670455475,-0.00010470994409165596,122.07,0.0,-0.4297673597886258,0.0,0.01,4,-0.012243732052670188,0.649947008,0.0,0.0,-130.30774936,-0.14382095703838094,0.0,0.00029995576319999997,155412,0.03686005,0.2783203125,-34.05705451965332,35.230831146240234,-0.4703817367553711,80.43804931640625,1.0002107620239258,0.025779830408282578,0.2
-0.0030389490157880124,0.0003072,0.0,-0.3641155835581732,0.0,-0.10205977406576544,0.0,-0.15677789416769297,-0.5625670277777158,-1.2644244429562757,0.06503188713550621,92160,0.0,-0.5,-0.6253823332561884,-6.993326857675714e-08,-0.09228342189333963,-1.9047270930477572e-05,4341,0.0,21,-3.293309226124197e-06,25.04608,0.000243055204110634,-0.014362147402705203,-0.008609910485647156,-0.0001409649202537721,112.61,0.0,-0.4348879007291163,0.0,0.01,5,-0.012949009728963713,0.649929344,0.0,0.0,-127.95811843,-0.14225199604530706,0.0,0.0002999410176,155413,0.027573302,0.251220703125,-34.0568904876709,37.977439880371094,-0.40641486644744873,86.001220703125,1.000197410583496,0.017197760054841638,0.2
-0.00036028436659300085,0.000384,0.0,-0.40566271426702805,0.0,-0.10185241566821604,0.0,-0.17499222846383572,-0.5473686179816007,-1.2804218805357932,0.06602412776781906,110592,0.0,-0.5,-0.6174834708933347,-7.011772649002769e-08,-0.0962756049487634,-2.3806659573339676e-05,4360,0.0,25,-4.196429894225579e-06,25.0576,0.0001931420216957728,0.04026532956217696,-0.005969677690153056,-0.00017199580429874187,111.37,0.0,-0.42840458760476174,0.0,0.01,6,-0.013072552190845514,0.64991168,0.0,0.0,-127.56421092,-0.13111318936915037,0.0,0.000299926272,155414,0.035961866,0.36015625,-34.06439743041992,42.8446044921875,-0.3229583501815796,88.10517120361328,1.0008442401885986,0.02410735944285989,0.2
-0.0003664075118583684,0.0004608,0.0,-0.42846680984729124,0.0,-0.1011632696189707,0.0,-0.21154214562167328,-0.5640473334065466,-1.2831327119391038,0.07303742333612812,129024,0.0,-0.5,-0.5973894265709228,-7.79352451909194e-08,-0.09947566095116939,-2.9003176634042306e-05,4378,0.0,29,-5.244711192556629e-06,25.06912,0.00010470898834884995,0.12384633553288477,-0.013669971640498135,-0.0002030621485161049,99.57,0.0,-0.41652973961457224,0.0,0.01,7,-0.022293507190868783,0.6498940160000001,0.0,0.0,-124.43816308,-0.14540433474663364,0.0,0.0002999115264,155416,0.04231288,0.2924107142857143,-34.071153913225444,33.66444778442383,-0.14446985721588135,76.88293130057198,1.0014071464538574,0.0008233995176851749,0.2
-0.0009552943851806172,0.0005376,0.0,-0.4201827836166961,0.0,-0.10137855232316297,0.0,-0.18755952408317347,-0.5401098436124574,-1.2820597255442054,0.07162506563170921,147456,0.0,-0.5,-0.5421191580716229,-7.971472204841783e-08,-0.09998855183402838,-3.447119131194981e-05,4387,-2.848226965094606e-06,33,-6.240933028891408e-06,25.08064,0.0002186411681274573,0.010108684176797179,-0.008764831796615415,-0.00024593134498371197,97.22,0.0,-0.40516518706584037,0.0,0.01,8,-0.014101461315829218,0.649876352,0.0,0.0,-124.04330642999999,-0.13495200545934227,0.0,0.0002998967808,155418,0.049883373,0.2915852864583333,-34.06962903340658,31.715667724609375,0.20220142602920532,72.39484405517578,1.0012816190719604,0.004150150033334891,0.2
-0.0004671898818527818,0.0006144,0.0,-0.423758190186136,0.0,-0.10143728844527562,0.0,-0.20147954731594264,-0.5753961699952543,-1.2872571234813714,0.08325375166195646,165888,0.0,-0.5,-0.5324196096753849,-8.565661518420358e-08,-0.10200728813739399,-4.10138273907193e-05,4399,0.0,37,-7.578962289518111e-06,25.09216,0.0002924257941130135,0.11257318435240683,-0.013681007403783009,-0.00029059797911166877,100.77,0.0,-0.4032492119841461,0.0,0.01,9,-0.023218685646527,0.649858688,0.0,0.0,-124.76622221,-0.16427332645693501,0.0,0.0002998820352,155420,0.06729461,0.3574625651041667,-34.07288932800293,25.19620132446289,-0.43389666080474854,59.45004018147787,1.0015366077423096,0.013292809637884298,0.2
-0.0010577891080847425,0.0006912,0.0,-0.41511351692830784,0.0,-0.10195198231756834,0.0,-0.17581607430660398,-0.5190572895868253,-1.2634914781703743,0.07833626378659328,184320,0.0,-0.5,-0.5793835090565858,-9.618942358146082e-08,-0.10438335864540497,-4.9823386686856045e-05,4410,0.0,41,-9.480934879893371e-06,25.10368,0.00027126683077464503,0.0940288831004673,-0.013081171277870106,-0.0003434086730696208,107.25,0.0,-0.40840426872929103,0.0,0.01,10,-0.027971627901475678,0.649841024,0.0,0.0,-126.03559274999998,-0.14810849295471384,0.0,0.0002998672896,155422,0.061868243,0.3606363932291667,-34.07013193766276,26.31036949157715,-0.09403514862060547,63.376099268595375,1.001333236694336,0.013663085565591851,0.2
