reward_terms/height,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/stop,reward_terms/hip_roll,reward_terms/assist_pen,reward_terms/angmom,reward_terms/lat_vel,reward_terms/foot_slip,curriculum/stance_ratio,reward_terms/clearance,reward_terms/coef_rate,reward_terms/fwd_speed,reward_terms/residual,reward_terms/upright,time/time_elapsed,reward_terms/alive,reward_terms/phase_contact,reward_terms/ang_xy,time/fps,rollout/ep_rew_mean,curriculum/ent_coef,reward_terms/torque,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/overrun,reward_terms/vz,reward_terms/action_rate,reward_terms/stance,reward_terms/time,time/iterations,time/total_timesteps,reward_terms/energy,reward_terms/stance_time,reward_terms/step_rate,curriculum/sprint_dist_m,reward_terms/residual_rate,curriculum/ctrl_drop_prob,reward_terms/motor_vel,train/n_updates,train/std,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss
-0.043644728949872,0.0,0.0,0.0,-0.03390677738576278,0.0,-0.23230098545574535,-5.287496601005558e-08,-0.36983115453588566,0.65,0.06934167108933346,-0.27153482008589924,-1.34273087504556,-0.09892137687881972,-0.5959205414544152,6,0.0,-0.2597658099114898,-0.5680979019207697,3028,-143.2445237525773,0.01,0.0,173.94845360824743,0.0,0.000492620951263234,0.0,-0.23334128213626704,-0.04339393121548272,-0.008705258232781666,-0.5,1,18432,0.0,-0.00023681436949926947,0.0,25.0,0.0,0.0,0.0,,,,,,,,,,,
-0.061521050241095186,0.0,0.0,0.0,-0.023479559051390885,0.0,-0.2156095242184015,-3.1843597465320935e-08,-0.3274965337030381,0.65,0.06672090748393174,-0.18394798416139266,-1.5162436995741355,-0.10071357733125892,-0.7670298492329102,12,0.0,-0.24143326586486738,-0.534829102767089,2992,-150.67619671,0.01,0.0,203.68,0.0,0.0002370875412856953,0.0,-0.2523409380732961,-0.040083155276177763,-0.005439156665264793,-0.5,2,36864,0.0,-0.0002814377819757081,0.0,25.01152,0.0,0.0,0.0,15459,1.00143563747406,0.00029993856,0.12658154964447021,0.11690673828125,0.2,612.5729110717773,145.44760131835938,0.013041149,-0.001477400620933622,-19.87685556411743
-0.060036912653478595,0.0,0.0,0.0,-0.02030866387276676,0.0,-0.23051026955891382,-3.078500329298316e-08,-0.33413947011651407,0.65,0.06551422295973908,-0.1717100666639794,-1.3833940448142057,-0.10134889434856326,-0.7854857550748168,16,0.0,-0.2422795140445009,-0.5471951153409269,3319,-145.51177586999998,0.01,0.0,183.03,0.0,6.239140445056061e-05,0.0,-0.2632698522408886,-0.03817542119182535,-0.004568444822698508,-0.5,3,55296,0.0,-0.00024034147564735677,0.0,25.02304,0.0,0.0,0.0,15463,1.0001721382141113,0.00029987712,0.7842750549316406,0.01226806640625,0.2,313.47252655029297,66.10527038574219,0.0035333666,-0.0027854460116941483,-19.86577377319336
-0.061152888854190714,0.0,0.0,0.0,-0.01582107936443177,0.0,-0.22424072931809155,-2.5098690282783083e-08,-0.3029493865001165,0.65,0.06368012622533907,-0.16704300727266352,-1.376935929840239,-0.10192026692565002,-0.7956047592561759,21,0.0,-0.24899160886879587,-0.563057867601365,3509,-145.06054582000002,0.01,0.0,181.18,0.0,4.069004595900575e-05,0.0,-0.22622095777136783,-0.03699315750306105,-0.002022024286855233,-0.5,4,73728,0.0,-4.001143194424609e-05,0.0,25.03456,0.0,0.0,0.0,15467,1.0000381469726562,0.00029981568,0.8817001581192017,0.009619140625,0.2,238.75956916809082,55.72034454345703,0.0034987393,-0.002985537948552519,-19.864386367797852
-0.055832655047159334,0.0,0.0,0.0,-0.013130572902272382,0.0,-0.23900994042105136,-2.7165605937104343e-08,-0.31519140500398496,0.65,0.06479923399328219,-0.171372628442488,-1.3067833122365904,-0.10195491978645968,-0.765326633544349,25,0.0,-0.24798923090052172,-0.589748659424062,3639,-142.01296532,0.01,0.0,169.01,0.0,6.835928393734826e-05,0.0,-0.22785200087293475,-0.03662408492815676,-0.0005744790640965665,-0.5,5,92160,0.0,-4.882704363101058e-06,0.0,25.04608,0.0,0.0,0.0,15471,1.0000853538513184,0.00029975423999999997,0.9241526126861572,0.006787109375,0.2,197.30536766052245,43.768028259277344,0.0031724386,-0.0029379613348282873,-19.864859962463377
-0.055661865813726424,0.0,0.0,0.0,-0.011890187568778006,0.0,-0.2511675972620987,-2.9543063509599663e-08,-0.31644570534268235,0.65,0.06428469497900505,-0.16412096817423716,-1.26454105867906,-0.10252962357889843,-0.7546468754110098,29,0.0,-0.24110460055291336,-0.5728567617257353,3732,-140.30504541000002,0.01,0.0,162.1,0.0,1.5733472537249327e-05,0.0,-0.23372600371632485,-0.03561734308321634,-0.0012109163419421962,-0.5,6,110592,0.0,-2.848226965094606e-06,0.0,25.0576,0.0,0.0,0.0,15475,1.0000760555267334,0.0002996928,0.9376495480537415,0.01165771484375,0.2,176.12415809631347,36.89693069458008,0.0042147273,-0.0033319349691737442,-19.864873790740965
-0.051971646061053,0.0,0.0,0.0,-0.012313978386700293,0.0,-0.23483208525751242,-3.2145757319645803e-08,-0.3075053701673529,0.65,0.062000317472934774,-0.16407948848127324,-1.2097647888070417,-0.10275706906093342,-0.7510850085914667,33,0.0,-0.25783787521421225,-0.5930578831372725,3798,-141.86525305,0.01,0.0,168.38,0.0,3.6349785255475174e-05,0.0,-0.22019360590816905,-0.035488455847965505,-6.422941690644895e-05,-0.5,7,129024,0.0,0.0,0.0,25.06912,0.0,0.0,0.0,15479,1.0001230239868164,0.00029963136,0.952663242816925,0.0150146484375,0.2,152.6068555831909,25.071935653686523,0.00485224,-0.003537298005539924,-19.865142345428467
-0.05085492516001072,0.0,0.0,0.0,-0.012863119643852299,0.0,-0.23111801749068522,-2.5250065815383616e-08,-0.30857374558721434,0.65,0.06208233588957181,-0.16504735751652888,-1.2222022601123967,-0.10298745772273091,-0.7588242941252774,38,0.0,-0.2581107433395778,-0.5710005042730398,3853,-142.34681296,0.01,0.0,170.28,0.0,3.2551955276479325e-06,0.0,-0.20711286972068554,-0.03505390794980842,-0.0024770513021790687,-0.5,8,147456,0.0,-1.8445956003334788e-05,0.0,25.08064,0.0,0.0,0.0,15483,1.0002163648605347,0.00029956992,0.9510317444801331,0.0154052734375,0.2,132.78480644226073,30.312055587768555,0.0045840763,-0.004077428940217942,-19.865825843811034
-0.05269502244742953,0.0,0.0,0.0,-0.011655646208061437,0.0,-0.25816757505573357,-2.85671723767235e-08,-0.32423103718306634,0.65,0.0637114460948512,-0.16701340488581107,-1.2114795546874648,-0.10277345542050287,-0.7584162002715635,42,0.0,-0.24888246557330282,-0.5863025638357685,3897,-141.84916897999997,0.01,0.0,168.34,0.0,8.68054889401214e-05,0.0,-0.23017153572356147,-0.034801447833335414,-0.00035292093830616665,-0.5,9,165888,0.0,-1.424140646122396e-05,0.0,25.09216,0.0,0.0,0.0,15487,1.0001671314239502,0.00029950848,0.9390954375267029,0.02904052734375,0.2,103.34023838043213,16.84888458251953,0.006120897,-0.005159424152225256,-19.865966510772704
-0.0503556337764471,0.0,0.0,0.0,-0.00999785767829673,0.0,-0.23427380587157065,-2.4988349669293056e-08,-0.32849394075222893,0.65,0.05958006573072451,-0.16439305615487934,-1.1817885192820525,-0.10321794262719597,-0.7639905973805041,46,0.0,-0.26655507129637496,-0.562309977322565,3926,-142.54203856,0.01,0.0,171.11,0.0,1.953120226971805e-05,0.0,-0.19673105640241617,-0.034252559083685956,-0.0007257437570917465,-0.5,10,184320,0.0,-3.1331078692649804e-05,0.0,25.10368,0.0,0.0,0.0,15491,1.0001929998397827,0.00029944704,0.9179977178573608,0.0267578125,0.2,93.7408254623413,16.4237060546875,0.0059897033,-0.004738668841309845,-19.86583709716797
