reward_terms/time,reward_terms/duty_sym,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/stand_drift,reward_terms/hip_roll,reward_terms/motor_vel,reward_terms/clearance,reward_terms/air_time,reward_terms/action_rate,reward_terms/vz,curriculum/ctrl_jitter_ms,curriculum/swing_frac_min,reward_terms/stand,reward_terms/coef_rate,curriculum/cmd_scale,ankle/ankle_defl_peak,reward_terms/residual,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/track_yaw,time/fps,reward_terms/ang_xy,reward_terms/residual_rate,reward_terms/angmom,reward_terms/fwd_speed,est/vel_rmse,reward_terms/track_lin,time/time_elapsed,rollout/ep_rew_mean,reward_terms/stop,reward_terms/alive,reward_terms/overrun,reward_terms/step_rate,curriculum/eff_scale,reward_terms/foot_ahead,time/total_timesteps,time/iterations,curriculum/stance_ratio,curriculum/swing_frac_mean,reward_terms/torque,reward_terms/energy,curriculum/ent_coef,ankle/ankle_spring_trq_peak,reward_terms/height,curriculum/dr_scale,curriculum/cmd_track_err,ankle/ankle_spring_energy_peak,rollout/ep_len_mean,reward_terms/upright,reward_terms/stance,reward_terms/assist_pen,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/clip_fraction,train/entropy_loss,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress,curriculum/dr_scale_progress,curriculum/eff_scale_progress
0.0,0.0,-0.15451925351567908,-0.5943187977720582,-0.013543965435963444,-0.10177462976837595,0.0,0.011929219878560944,5.42524503543973e-07,-0.07140214126397544,-0.08942008090707024,0.0,0.1720920138888889,0.5021884015178386,-0.6086893989090494,0.0,0.505201385062354,-0.10026481943068187,-0.0030768390376276025,0.0,-0.10141562870867143,1.6381880531850923,8872,-0.17991909367243694,0.0,-0.09119142296966466,0.0,1.2168154891107341,1.1829810083002603,2,-76.01781877419354,0.0,0.0,0.0,-0.006998697916666731,0.0,0.0,18432,1,0.7,0.207275390625,0.0,0.0,0.01,0.0,-0.01387946121309366,0.0,0.6319390306254843,0.0,159.08064516129033,-0.2565898449202786,-0.31906603862579497,0.0,,,,,,,,,,,,,,,,
0.0,-0.0008335705210045963,-0.31434889814298467,-0.5414046832086322,-0.07683492851746107,-0.09813230249933412,0.0,0.0002777380093267281,0.0,-0.07212398772915915,-0.1294217269722816,0.0,0.11328125,0.4088638917880224,-0.5426530118163497,0.0,0.5044455382650415,-0.10189340793722818,0.0,0.0,0.0,1.5798412528424104,8912,-0.16691545573751856,0.0,-0.09862912990406854,0.0,1.2414254304089523,1.0995108317148272,4,-32.10663724999999,0.0,0.0,0.0,-0.005794270833333384,0.0,0.0,36864,2,0.7,0.17220052083333331,0.0,0.0,0.01,0.0,-0.02750070415793404,0.0,0.41436387399623387,0.0,245.21,-0.4072458638202727,-0.2930282540464908,0.0,56274,0.2,0.8906536102294922,3026.8185424804688,0.9992823004722595,-0.0023761968477629125,0.00029995392,925.0242309570312,0.01582036,0.21014404296875,-36.86272678375244,,,,,
0.0,-8.465707094476811e-05,-0.33557117749190213,-0.5677181413041614,-0.07992823965136991,-0.09484509502706995,0.0,0.0,0.0,-0.06831906584877535,-0.1535908268954947,0.0,0.1247829861111111,0.44642020172769326,-0.5175644980029691,0.0,0.5051758890443158,-0.10215226227924815,0.0,0.0,0.0,1.565189431853344,8703,-0.1733167830446941,0.0,-0.11303016802832941,0.0,0.9234933387668945,1.098596642013957,6,-5.648110299999998,0.0,0.0,0.0,-0.0064236111111111716,0.0,0.0,55296,3,0.7,0.1738009982638889,0.0,0.0,0.01,0.0,-0.032245475604983226,0.0,0.5061544459797446,0.0,264.61,-0.4219672772588245,-0.2870817188188327,0.0,56278,0.2,0.9331127405166626,1332.8297607421875,0.9998989701271057,-0.004380845179548487,0.00029990784,317.3301696777344,0.015990585,0.18902587890625,-36.87526512145996,,,,,
0.0,0.0,-0.3284987094352583,-0.5729705225229849,-0.07661884184070657,-0.09885295852222914,0.0,0.0,0.0,-0.06766661535523324,-0.14241403482459555,0.0,0.11116536458333333,0.4583411008913715,-0.5028446323446087,0.0,0.5051845723998408,-0.10274502364628352,0.0,0.0,0.0,1.563636593745694,8241,-0.16848225792281774,0.0,-0.09086975083522975,0.0,0.7395157357786262,1.1765986983532786,8,-1.665220859999998,0.0,0.0,0.0,-0.0060655381944445,0.0,0.0,73728,4,0.7,0.15717230902777776,0.0,0.0,0.01,0.0,-0.03051454166950009,0.0,0.35364974938013716,0.0,266.97,-0.4115137240016065,-0.3328491139782884,0.0,56282,0.2,0.9546458125114441,1237.68740234375,1.000242829322815,-0.006076017586747184,0.00029986176,309.36761474609375,0.011651486,0.128271484375,-36.8847074508667,,,,,
0.0,0.0,-0.33352380258814,-0.5437181455524224,-0.0719264225507234,-0.09770243410484908,0.0,0.0,0.0,-0.06628788349751297,-0.13182783674403803,0.0,0.09505208333333333,0.45085594343488744,-0.5037821989910873,0.0,0.5051763923345378,-0.10294530842989148,0.0,0.0,0.0,1.5840220912401102,7760,-0.1690620601764065,0.0,-0.07566917571589088,0.0,0.6004415198888711,1.1427026371872497,11,-5.162951230000002,0.0,0.0,0.0,-0.0059895833333333875,0.0,0.0,92160,5,0.7,0.15296766493055555,0.0,0.0,0.01,0.0,-0.02818116739678695,0.0,0.46088951316698856,0.0,267.87,-0.39903628706356287,-0.3415053558825481,0.0,56286,0.2,0.9616456031799316,846.6923522949219,1.0007399320602417,-0.009888324281200766,0.00029981568,203.3721466064453,0.0120114405,0.1084716796875,-36.89426040649414,,,,,
0.0,0.0,-0.36341446754218315,-0.5793465700850621,-0.08608584780611926,-0.10580791181766783,0.0,0.0,0.0,-0.06740910620094,-0.15384358023002284,0.0,0.1081271701388889,0.42628283198772426,-0.5054543186320621,0.0,0.5049975860515818,-0.10259282220641232,0.0,0.0,0.0,1.5457970695461016,7374,-0.18500259713144585,0.0,-0.09717033260276652,0.0,0.5397227293796265,1.0894159278228752,14,6.60806158,0.0,0.0,0.0,-0.00618489583333339,0.0,0.0,110592,6,0.7,0.1669650607638889,0.0,0.0,0.01,0.0,-0.03183943329966924,0.0,0.32411562299823937,0.0,274.02,-0.44283012294131263,-0.3736576454691767,0.0,56290,0.2,0.9649142026901245,750.2505813598633,1.0010300874710083,-0.01062302531208843,0.00029976959999999996,204.99996948242188,0.012976108,0.1129638671875,-36.900801467895505,,,,,
0.0,0.0,-0.35667681575897553,-0.5689856489503491,-0.07352734126426935,-0.1082579404058356,0.0,0.0,0.0,-0.06745625193397342,-0.15501581720667365,0.0,0.1171875,0.4565921632649629,-0.5168309283323149,0.0,0.5050931833630123,-0.10224946056636974,0.0,0.0,0.0,1.5510444421879326,7178,-0.18794207237778596,0.0,-0.09808420244347857,0.0,0.5235218435628878,1.1667793475672708,17,-3.6587740699999993,0.0,0.0,0.0,-0.006315104166666727,0.0,0.0,129024,7,0.7,0.17130533854166669,0.0,0.0,0.01,0.0,-0.03208764982036098,0.0,0.3388162177021802,0.0,260.09,-0.44088732099782235,-0.3638416429413006,0.0,56294,0.2,0.9642428159713745,572.5446899414062,1.0011086463928223,-0.012436153335147537,0.00029972352,139.92050170898438,0.012735702,0.1110107421875,-36.903023147583006,,,,,
0.0,0.0,-0.3233271529818127,-0.5551448745546904,-0.08142627340357547,-0.09461397890980977,0.0,0.0,0.0,-0.06672641336657928,-0.15039051485043287,0.0,0.11854383680555555,0.44536125669052407,-0.49592239844735114,0.0,0.5050808239427824,-0.10282120121357635,0.0,0.0,0.0,1.56055843974055,7043,-0.1809363630603952,0.0,-0.112104029755209,0.0,0.4432231172745755,1.1130308899096615,20,-7.647447800000001,0.0,0.0,0.0,-0.006239149305555614,0.0,0.0,147456,8,0.7,0.17540147569444445,0.0,0.0,0.01,0.0,-0.03305398057989205,0.0,0.4754963166548943,0.0,254.44,-0.43104714256899124,-0.30904952364154364,0.0,56298,0.2,0.9683851003646851,409.84717178344727,1.0012953281402588,-0.014052279046154581,0.00029967744,104.87000274658203,0.015251619,0.152197265625,-36.904137992858885,,,,,
0.0,0.0,-0.3180138173089225,-0.5565099137729563,-0.07317761577010287,-0.10631838209096695,0.0,0.0,0.0,-0.06524822497570233,-0.13289264577477441,0.0,0.10498046875,0.4269179057390689,-0.5015296408441956,0.0,0.5045205031205223,-0.10299811265353731,0.0,0.0,0.0,1.5447458488257901,6942,-0.1858524122220615,0.0,-0.08952607035347437,0.0,0.43874799317664454,1.0791067679264414,23,-1.6405880699999997,0.0,0.0,0.0,-0.00580512152777783,0.0,0.0,165888,9,0.7,0.1589084201388889,0.0,0.0,0.01,0.0,-0.027740465155145104,0.0,0.3678503125113928,0.0,264.95,-0.39983860057871784,-0.3567627502036128,0.0,56302,0.2,0.9634658098220825,397.8278274536133,1.0021071434020996,-0.012949222140014172,0.00029963136,119.36011505126953,0.019557435,0.2060791015625,-36.91151924133301,,,,,
0.0,0.0,-0.31309423236973566,-0.566291685776313,-0.06744538951271481,-0.10601635757618846,0.0,0.0,0.0,-0.0671118621594736,-0.14025721798459087,0.0,0.11078559027777778,0.4451307377810264,-0.49776558789197156,0.0,0.5049361052235838,-0.1025121397767104,0.0,0.0,0.0,1.5473365630130491,6871,-0.18883270848579536,0.0,-0.08750222595108184,0.0,0.4073761772649094,1.111871849235506,26,-10.87279091,0.0,0.0,0.0,-0.006098090277777834,0.0,0.0,184320,10,0.7,0.1716037326388889,0.0,0.0,0.01,0.0,-0.028928407196030768,0.0,0.5011955870774203,0.0,253.79,-0.408088789027641,-0.33303450584610506,0.0,56306,0.2,0.9625111818313599,286.1586402893066,1.0024787187576294,-0.014021718385629356,0.00029958527999999996,83.6115951538086,0.016468873,0.1623046875,-36.91993408203125,,,,,
