reward_terms/time,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/stance_time,time/iterations,reward_terms/action_rate,reward_terms/upright,reward_terms/phase_contact,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/angmom,reward_terms/air_time,reward_terms/stop,reward_terms/residual,reward_terms/hip_roll,reward_terms/clearance,rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/height,time/fps,reward_terms/alive,reward_terms/stance,reward_terms/energy,curriculum/stance_ratio,curriculum/pitch_assist,reward_terms/overrun,reward_terms/vz,curriculum/ent_coef,reward_terms/coef_rate,time/time_elapsed,time/total_timesteps,reward_terms/torque,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/motor_vel,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss
-0.5,0.0,-0.9270782007285765,-0.00020670545766026608,1,-0.13826388777524085,-0.11817686306007914,-0.5067778301097524,26.81,-5.0848195649419185e-09,-0.15877201106589617,8.246526380793916e-05,0.0,-0.2610011375823663,-0.014120762300565609,0.04310490857565277,-124.0895773,25.0,-0.026124750144619853,2377,0.0,-0.004897969294216497,0.0,0.65,1.0,0.0,-0.11314306256114882,0.01,-0.6078836412197867,7,18432,0.0,0.817516354200938,-0.35919547855957523,0.0,,,,,,,,,,,
-0.5,0.0003072,-0.9524430164220781,-0.00046712179998091113,2,-0.14602571134125203,-0.0850253699702829,-0.49420664163717043,27.65,-5.4309683243782904e-09,-0.15787501987145244,0.00010091145587567653,0.0,-0.260027977005754,-0.01422700939060039,0.04266684221831789,-125.54246639000002,25.04608,-0.02157821210192638,2338,0.0,-0.0013889219058693387,-1.781981229310771e-05,0.64996928,0.9996928,0.0,-0.09796060915772868,0.01,-0.6840486244589953,15,36864,-0.00018352933797949686,0.6973313337760633,-0.34631453997739686,-3.904841525799875e-06,33433,-34.065032958984375,0.0021044858614914118,-5.765479564666748,1.0006940364837646,3185.9594116210938,0.2,0.010580719,0.1073974609375,0.0003,913.9503173828125
-0.5,0.0006144,-0.9182800180673067,-0.0005897342780372128,3,-0.15845300608662757,-0.07003348564994832,-0.48019287632429475,28.54,-5.638065288186069e-09,-0.15998793611851764,7.26995996147808e-05,0.0,-0.25915276207669796,-0.02020799717055932,0.04410657921116182,-127.31008754,25.09216,-0.02307429114896375,2522,0.0,-0.005396057604973238,-3.5410403035419405e-05,0.64993856,0.9993856,0.0,-0.09632490839553515,0.01,-0.8050825361716771,21,55296,-0.0003292342516537836,0.5968243981849827,-0.3560681800956067,-7.572008723089498e-06,33437,-34.05636787414551,-0.005123388697393238,-6.212091445922852,1.0001479387283325,1157.121109008789,0.2,0.0037764162,0.0114990234375,0.0003,244.11962890625
-0.5,0.0009216,-0.8724310074383941,-0.0019411860169687618,4,-0.16365248200054838,-0.06607226416332962,-0.47158655942551747,30.06,-5.604329303593181e-09,-0.1666219975821333,0.0001996527005556143,0.0,-0.2582944260428509,-0.022216339555205907,0.044943328949192674,-128.89520253,25.13824,-0.025652891768318475,2625,0.0,-0.005312564968750265,-5.326354227811855e-05,0.64990784,0.9990784,0.0,-0.09509977769623201,0.01,-0.87572292347262,28,73728,-0.0004778669004802275,0.5190199279273848,-0.3746400143835313,-1.116911357462688e-05,33441,-34.05618419647217,-0.009595060208812355,-3.9364027976989746,1.0001661777496338,294.94282455444335,0.2,0.00688064,0.03643798828125,0.0003,64.43391418457031
-0.5,0.0012288,-0.864349170743263,-0.0013883435894967988,5,-0.16518472630382516,-0.0684991003801939,-0.4695000744845062,29.81,-5.658738778149665e-09,-0.17117668524836419,7.920999067007667e-05,0.0,-0.2577058982311568,-0.026841616119496717,0.04429877039102956,-128.98663115,25.18432,-0.027735455985215353,2694,0.0,-0.009313396341789572,-7.057668135872225e-05,0.64987712,0.9987712,0.0,-0.09782504154336881,0.01,-0.9349078017085232,34,92160,-0.0006227212404179801,0.48597976434579987,-0.38676400163444286,-1.4604959916616649e-05,33445,-34.058167457580566,-0.013011011015623807,-2.1390328407287598,1.0004065036773682,133.00965785980225,0.2,0.010158215,0.07025146484375,0.0003,30.921772003173828
-0.5,0.001536,-0.8379032685767617,-0.004437384756682958,6,-0.1726924945559448,-0.06368748636794647,-0.46576472036565836,28.93,-6.351077531523565e-09,-0.17952372852042356,0.0001497394599330922,0.0,-0.2572605028843403,-0.02784668544070566,0.04659858633376305,-127.87519867,25.2304,-0.027000946589352374,2739,0.0,-0.007698675273351425,-9.059683781386242e-05,0.6498464,0.998464,0.0,-0.09696120865742247,0.01,-0.9625214301851113,40,110592,-0.0007743426736309035,0.4623565375246368,-0.41972571233968614,-1.8549985069672007e-05,33449,-34.05968418121338,-0.01620808367151767,-2.975829839706421,1.0004581212997437,90.31515941619872,0.2,0.0128156915,0.1011474609375,0.0003,30.3436336517334
-0.5,0.0018432,-0.8380075522060626,-0.003718526880321507,7,-0.1747499765721508,-0.06263547393066066,-0.4671989900096134,29.88,-6.322135783311388e-09,-0.1823735204455908,0.0001421440037019137,0.0,-0.25699995314584445,-0.027193619925884045,0.045329201036686355,-128.92788769,25.27648,-0.025749340217915043,2772,0.0,-0.008185055833438263,-0.0001089890308132566,0.64981568,0.9981568,0.0,-0.09375632174574117,0.01,-0.9914303097478372,46,129024,-0.0009320534344816988,0.439304275439323,-0.42353479066303773,-2.241768144883595e-05,33453,-34.06103000640869,-0.02179187217261642,-4.622225761413574,1.0006873607635498,41.57926425933838,0.2,0.019552901,0.16063232421875,0.0003,11.17391586303711
-0.5,0.0021504,-0.8288193263346942,-0.0063058731223767,8,-0.17837938637586082,-0.061945519755188645,-0.4694579601808746,32.01,-5.967805974601229e-09,-0.18913876552110084,0.0001161023230654084,0.0,-0.25658481894269136,-0.02786549523397326,0.04682701305222406,-130.92735917,25.32256,-0.025086861104297052,2797,0.0,-0.007707386562523982,-0.00012922957555480354,0.64978496,0.9978496,0.0,-0.09036406711682722,0.01,-1.0046587001345069,52,147456,-0.001084413391159969,0.45152965525049116,-0.4380720505058011,-2.6503876242379724e-05,33457,-34.064999198913576,-0.018349076516460627,-3.9527244567871094,1.0010745525360107,32.57091579437256,0.2,0.021049554,0.2071533203125,0.0003,8.520966529846191
-0.5,0.0024576,-0.8297705541290439,-0.0034000591905270186,9,-0.18011802300684976,-0.06195511027297239,-0.46411407438746416,29.84,-6.610810962470694e-09,-0.18734856692866897,0.00013237834921003215,0.0,-0.2560577067257142,-0.02615699257309799,0.045882131676481086,-129.0699863,25.36864,-0.024325762473271128,2816,0.0,-0.008151952869271189,-0.00014604278854431763,0.64975424,0.9975424,0.0,-0.09119590139631444,0.01,-1.0087517924730696,58,165888,-0.001213736365334505,0.4505477524043797,-0.4492228246063086,-2.9971440598089234e-05,33461,-34.073274803161624,-0.026672820455860346,-4.649721622467041,1.001725196838379,18.58336434364319,0.2,0.033755254,0.27545166015625,0.0003,6.058566570281982
-0.5,0.0027648,-0.8373024591000923,-0.002959522405742771,10,-0.17857292574157785,-0.06399816697678026,-0.4697651987425327,27.92,-6.748942265163667e-09,-0.18809494761133624,9.54860071134236e-05,0.0,-0.2559353292290669,-0.024545753169699168,0.04347089053760314,-127.29124490999999,25.41472,-0.022625046119941438,2836,0.0,-0.00512744205345519,-0.0001622561570440114,0.64972352,0.9972352,0.0,-0.08604619193424952,0.01,-0.9959904820392403,64,184320,-0.0013669754715818273,0.46665187484778303,-0.45175732288690296,-3.3260897386377864e-05,33463,-34.06575584411621,-0.006432591821067035,-8.14604663848877,1.000996470451355,12.787586688995361,0.2,0.037803486,0.2823974609375,0.0003,5.188055992126465
