time/iterations,reward_terms/residual,reward_terms/coef_rate,reward_terms/foot_slip,reward_terms/hip_roll,time/time_elapsed,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/height,rollout/ep_len_mean,time/fps,time/total_timesteps,curriculum/eff_scale,curriculum/ent_coef,reward_terms/vz,reward_terms/overrun,reward_terms/lat_vel,reward_terms/stance,reward_terms/ang_xy,reward_terms/air_time,reward_terms/energy,reward_terms/alive,rollout/ep_rew_mean,reward_terms/clearance,reward_terms/action_rate,curriculum/stance_ratio,reward_terms/stop,reward_terms/torque,reward_terms/upright,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/time,train/std,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/explained_variance
11,-0.4944202178228526,-0.6831637495558003,-0.7058551946592068,-0.07050181769572078,201,0.0,-0.6621184432504391,-0.052829441993798,18.71,1117,225280,0.0034133333333333333,0.01,-0.5511772072186927,0.0,-9.456220963405384e-09,-0.26551227098727287,-0.6581544605406181,0.0,-5.4347653402535765e-05,0.5,-117.01662620999997,0.01184925008323227,-0.04981108324046372,0.6492149333333334,0.0,-0.0005147087276653593,-1.2292186939952605,-1.8207311952907005e-05,-1.3049702262597898,0.0,0.9999774098396301,0.2,-34.05294418334961,0.00029931733333333333,0.02934070210903883,0.03216527,1.2253793478012085,33258,0.245361328125,3.3655298948287964,-6.880677223205566
12,-0.4955005640655862,-0.6916118919517747,-0.7094965497876208,-0.06644971711643836,220,0.0,-0.6579291503118031,-0.05352759604922249,19.03,1115,245760,0.0037546666666666666,0.01,-0.5460582219746762,0.0,-9.276016438415e-09,-0.24280800098173633,-0.6448932749414215,0.0,-6.03657196871302e-05,0.5,-117.44747423999999,0.010563837471137745,-0.05054353861697829,0.6491364266666667,0.0,-0.000579507274582684,-1.231627600409417,-2.005335606896374e-05,-1.3038850799502293,0.0,1.0003513097763062,0.2,-34.05737380981445,0.0002992490666666667,0.023651127889752387,0.029676884,0.29969555139541626,33259,0.316845703125,2.198133635520935,-9.415876388549805
13,-0.4949557721061348,-0.6938906014324644,-0.7069705106185181,-0.06343062695853784,238,0.0,-0.6550722914664234,-0.05382718064903443,19.18,1117,266240,0.004096,0.01,-0.5391416909316847,0.0,-8.795016570283266e-09,-0.22985384227493713,-0.6411462340539843,0.0,-6.531600519638989e-05,0.5,-117.50918595999998,0.010281692137750622,-0.050962872282414584,0.6490579200000001,0.0,-0.0006460875187284359,-1.2288569540652292,-2.18368844744386e-05,-1.2984668512078001,0.0,1.0000460147857666,0.2,-34.05402755737305,0.00029918079999999997,0.0220056283287704,0.03651332,0.1827777922153473,33260,0.25,1.0583403408527374,-3.185908317565918
14,-0.4950455171802964,-0.7112033424650429,-0.7260785152832324,-0.0600020283130579,256,0.0,-0.6541098324115817,-0.05479253546827804,19.7,1119,286720,0.004437333333333333,0.01,-0.5295379316764497,0.0,-9.827263670649785e-09,-0.21120624733873655,-0.6338245474983795,0.0,-6.951099586352125e-05,0.5,-118.06614802999998,0.009253047153539785,-0.05120347366650161,0.6489794133333333,0.0,-0.0007418864692614658,-1.2296720525606022,-2.3475922118175794e-05,-1.2922974667369722,0.0,1.0000447034835815,0.2,-34.05403137207031,0.0002991125333333333,0.013597943703643978,0.027512245,0.158995121717453,33261,0.239501953125,1.0032426118850708,-2.1303656101226807
15,-0.49504778335132427,-0.708891918892965,-0.7124695628647617,-0.05842522547751674,274,0.0,-0.6496148267874233,-0.0555295001241487,19.19,1118,307200,0.004778666666666666,0.01,-0.5247519605797993,0.0,-1.0340242452373114e-08,-0.19883867534162009,-0.6288250117280659,0.0,-7.482865848411719e-05,0.5,-117.62359918,0.009145743118770278,-0.051505087045515485,0.6489009066666667,0.0,-0.0008192582568109999,-1.2318105330649312,-2.5174382481129193e-05,-1.2939195288174206,0.0,1.0000406503677368,0.2,-34.05398941040039,0.00029904426666666666,0.008297656197100878,0.023403712,0.1290840208530426,33262,0.2398681640625,0.9494885206222534,-2.4630253314971924
16,-0.4937935011829997,-0.7030932536207581,-0.6951775731019095,-0.0608154212169154,292,0.0,-0.6546327042260742,-0.053010729381666996,18.92,1118,327680,0.00512,0.01,-0.5384480789632518,0.0,-8.738923037893117e-09,-0.21373419252095877,-0.6535207373773683,0.0,-8.062692338195939e-05,0.5,-117.21247380000001,0.011018787261322136,-0.05154263001417693,0.6488224,0.0,-0.0007982487909545773,-1.227814287235327,-2.7073514787579324e-05,-1.2961516516649587,0.0,1.0003999471664429,0.2,-34.0579719543457,0.000298976,0.022409743047319353,0.038251635,0.1142687201499939,33263,0.34259033203125,0.9202463775873184,-3.706930637359619
17,-0.49295961365252017,-0.7002751550343131,-0.6827312027962111,-0.058800095775659846,311,0.0,-0.6580556460464544,-0.05053114590740371,18.51,1119,348160,0.005461333333333334,0.01,-0.5416447032785182,0.0,-8.088070071997614e-09,-0.20862384966536748,-0.6772970197897087,0.0,-8.523893103588923e-05,0.5,-116.86439023999999,0.013190126203017441,-0.05116371067728546,0.6487438933333334,0.0,-0.0007969641492731267,-1.2226787998687736,-2.891775620334681e-05,-1.290086786055685,0.0,1.0001410245895386,0.2,-34.05531120300293,0.0002989077333333333,0.026860580313950777,0.039418057,0.019776463508605957,33264,0.2987060546875,0.723903477191925,-2.6615898609161377
18,-0.49121844780883145,-0.687633242976932,-0.693618955733439,-0.054297746494279854,329,0.0,-0.6582835007498465,-0.05072211120829954,18.57,1120,368640,0.005802666666666667,0.01,-0.5435327449270948,0.0,-7.921159056899168e-09,-0.17744160001381398,-0.683783220583691,0.0,-9.046726512308306e-05,0.5,-116.89970876000001,0.01289116338817145,-0.05157054150133178,0.6486653866666667,0.0,-0.0008434444784642607,-1.2223346645165558,-3.066326226433662e-05,-1.2931578655152742,0.0,1.0002162456512451,0.2,-34.0562744140625,0.00029883946666666664,0.03105747839435935,0.052839015,-0.07640381157398224,33265,0.3211669921875,0.5133025795221329,-1.3654663562774658
19,-0.4888706404040078,-0.6859222757922085,-0.6831146874785121,-0.05465916649347481,347,0.0,-0.660002058409134,-0.049087489303049014,18.07,1121,389120,0.006144,0.01,-0.531696247874274,0.0,-7.636621065418686e-09,-0.19025187921614542,-0.6979852807249006,0.0,-9.491989736918603e-05,0.5,-116.33636646000001,0.01522243264127027,-0.05168758321200316,0.64858688,0.0,-0.0008820980635198849,-1.2225405011136514,-3.2325202683725373e-05,-1.2797299716430894,0.0,1.0002809762954712,0.2,-34.05710983276367,0.0002987712,0.027520544826984406,0.036251817,-0.1313513070344925,33266,0.2901611328125,0.3596046715974808,-0.3471963405609131
20,-0.48844082282914353,-0.6863212584170871,-0.6929521539916462,-0.05488328635913155,365,0.0,-0.6552190968451166,-0.050365417828218365,18.68,1119,409600,0.006485333333333333,0.01,-0.5148256188532625,0.0,-8.02403400670276e-09,-0.2007232409725772,-0.689449347123691,0.0,-0.00010255726021570182,0.5,-117.01515588999999,0.014444614201922248,-0.05199457882138514,0.6485083733333333,0.0,-0.0010199071436587709,-1.224118477442643,-3.420088179795891e-05,-1.2716617556839147,0.0,1.0002937316894531,0.2,-34.057281494140625,0.00029870293333333334,0.05828669294714928,0.096656844,-0.06200006604194641,33267,0.355224609375,0.3170957863330841,0.16553258895874023
21,-0.48773566656236955,-0.6816466018586638,-0.6956798581515276,-0.0590838146513592,384,0.0,-0.6498975703645692,-0.05170213781164894,18.82,1119,430080,0.006826666666666667,0.01,-0.4970437099439402,0.0,-9.227263246688024e-09,-0.22822699956433584,-0.6758645632935688,0.0,-0.00011040479747682166,0.5,-117.14977139000001,0.014720509525767842,-0.05170370112227094,0.6484298666666667,0.0,-0.0011720706275413076,-1.231864579296647,-3.581126638716024e-05,-1.2645584017102223,0.0,1.0002927780151367,0.2,-34.057247161865234,0.0002986346666666667,0.046724382787942886,0.09749392,-0.07179020345211029,33268,0.35546875,0.33941930532455444,0.13155663013458252
22,-0.4872202245542999,-0.6758481829138849,-0.6984869060417791,-0.05886953817436393,402,0.0,-0.6382688112304901,-0.05409733283975331,18.57,1118,450560,0.007168,0.01,-0.4778615621979954,0.0,-9.986369947962714e-09,-0.22015850248729532,-0.65390549243582,0.0,-0.00011829635165675461,0.5,-116.96490527,0.013638195225225306,-0.05118445598334387,0.64835136,0.0,-0.0013672070050180505,-1.239375503114405,-3.659503557358251e-05,-1.2568342193935118,0.0,1.0003165006637573,0.2,-34.05752372741699,0.0002985664,0.04044571379199624,0.06866541,-0.06130951642990112,33269,0.34619140625,0.399088591337204,-0.3132312297821045
23,-0.486644390031295,-0.6638950708701459,-0.681354180858138,-0.0631013780026463,421,0.0,-0.6382106070292537,-0.05254952363858054,18.97,1117,471040,0.007509333333333333,0.01,-0.4748763408700051,0.0,-9.908944375858448e-09,-0.25064578775759283,-0.6639653525341259,0.0,-0.00012515345312523292,0.5,-117.45468035999998,0.015217647062548138,-0.05015783323238617,0.6482728533333334,0.0,-0.001410342155396777,-1.2367956456455473,-3.81320388048215e-05,-1.2528007838897879,0.0,1.0003200769424438,0.2,-34.057586669921875,0.0002984981333333333,0.05153113743290305,0.08452445,-0.05762694776058197,33270,0.3671875,0.384456604719162,-0.6871622800827026
24,-0.4882934172838883,-0.6608754880137286,-0.6853398442378834,-0.060996905582014885,439,0.0,-0.6364155733083525,-0.05298640519695982,19.27,1117,491520,0.007850666666666667,0.01,-0.4722394224947048,0.0,-9.606139519196374e-09,-0.23966315710012465,-0.6629607610690786,0.0,-0.00013373740936598,0.5,-117.63681157,0.015157920911426075,-0.05002988896370749,0.6481943466666666,0.0,-0.0014868168240082546,-1.2383875757573093,-3.949957436391294e-05,-1.2508524905098002,0.0,1.000353217124939,0.2,-34.058074951171875,0.00029842986666666667,0.045308654429391026,0.08118687,-0.06980440020561218,33271,0.3583984375,0.3880397528409958,-0.8868074417114258
25,-0.4880825984138374,-0.6281929952114808,-0.6746602072777199,-0.06022583286508669,459,0.0,-0.638548367981174,-0.05235973059274335,19.18,1115,512000,0.008192,0.01,-0.47334535187387344,0.0,-9.543145884895393e-09,-0.23747785844513727,-0.6702458761847402,0.0,-0.00014309886372372967,0.5,-117.58295471,0.01628817922966732,-0.049595001395278976,0.64811584,0.0,-0.0015145198011548913,-1.2439867163681118,-4.106473657801729e-05,-1.2534939175157238,0.0,1.0003199577331543,0.2,-34.0577278137207,0.0002983616,0.058108197059482336,0.108995736,-0.08920638263225555,33272,0.37939453125,0.30539874732494354,-0.7324743270874023
26,-0.4910253069371319,-0.6190564461820094,-0.6826187019396615,-0.05378143481054045,477,0.0,-0.6376084514385411,-0.05412540739696192,19.5,1115,532480,0.008533333333333334,0.01,-0.46429133266985156,0.0,-9.300406764656443e-09,-0.20442578492397234,-0.6559067327218439,0.0,-0.00015495756371997933,0.5,-117.84705034000001,0.014375673011193833,-0.0499144398793167,0.6480373333333334,0.0,-0.0016899021890132467,-1.2565586033490708,-4.2563946760281906e-05,-1.2461440388827318,0.0,1.0003212690353394,0.2,-34.05777168273926,0.0002982933333333333,0.08303168520797044,0.17613636,-0.08486407995223999,33273,0.4080810546875,0.21706396341323853,-0.1669067144393921
27,-0.4940542075999577,-0.6132360658167726,-0.7056172496952466,-0.04644325551314983,495,0.0,-0.641725976653321,-0.05473179559198059,19.43,1115,552960,0.008874666666666666,0.01,-0.4564277148024451,0.0,-8.998480552399503e-09,-0.15555438795538523,-0.6454662573885549,0.0,-0.00016365944217887595,0.5,-117.78426028999996,0.012690568466947768,-0.04995972716812625,0.6479588266666667,0.0,-0.0018036019991548558,-1.2665627737887746,-4.370393730752048e-05,-1.241699398277937,0.0,1.000400185585022,0.2,-34.05885314941406,0.00029822506666666665,0.07902159611694515,0.13578174,-0.11830302327871323,33274,0.39013671875,0.14941227436065674,0.24385613203048706
28,-0.49653865594659896,-0.6291559495606032,-0.7071589701628815,-0.03830470111919968,513,-2.9296730645000935e-06,-0.641667546154585,-0.05792014811667025,20.13,1115,573440,0.009216,0.01,-0.41664758228868193,0.0,-9.11551956154144e-09,-0.1130649558780837,-0.6059702486015746,0.0,-0.00017684257531270177,0.5,-118.48199158,0.009175306530749399,-0.049756775091039096,0.6478803200000001,0.0,-0.0021718379044160874,-1.2826548489904015,-4.386842087577721e-05,-1.2102334977975826,0.0,1.0005016326904297,0.2,-34.060075759887695,0.0002981568,0.09326582073117606,0.24289383,-0.08466243743896484,33275,0.425537109375,0.12762517854571342,0.45080679655075073
29,-0.49943089825921333,-0.6723367443182215,-0.6877373310022973,-0.02903357321462267,532,-2.4413969367742538e-05,-0.6462764329184141,-0.062139311039292364,22.01,1115,593920,0.009557333333333333,0.01,-0.32990717223226024,0.0,-7.899913249247238e-09,-0.07248998497085239,-0.5349325375735889,0.0,-0.00019228349533968755,0.5,-120.34040205,0.005509178631790264,-0.04826669096787366,0.6478018133333333,0.0,-0.002854958858287202,-1.3047003648770334,-4.2345044596798824e-05,-1.124166965781269,0.0,1.000439167022705,0.2,-34.05927848815918,0.00029808853333333334,0.10561500053154305,0.27403706,-0.06228448450565338,33276,0.423583984375,0.1289229542016983,0.43122315406799316
30,-0.5027280963792042,-0.7360981876278456,-0.6527225144924989,-0.021100806665795262,550,-6.249980651773512e-05,-0.6544356489534455,-0.06494318410267289,25.11,1116,614400,0.009898666666666667,0.01,-0.25703377842218156,0.0,-6.522307246423205e-09,-0.04011594036525504,-0.4790681680240487,0.0,-0.0002018737685373028,0.5,-123.51078175999996,0.0035272045827280294,-0.04810240573871264,0.6477233066666667,0.0,-0.00343895601114986,-1.3187837021106785,-4.1141726213436376e-05,-1.046348315563814,0.0,1.0003806352615356,0.2,-34.0578727722168,0.00029802026666666664,0.11089676572009921,0.27727863,-0.05299554020166397,33277,0.426025390625,0.1408691629767418,0.3025413751602173
31,-0.5056726254331363,-0.804355044402041,-0.6207064349123196,-0.0180095799449339,568,-0.00018994094716617838,-0.6681782831426328,-0.06589251555034539,27.23,1117,634880,0.01024,0.01,-0.20300991827703538,0.0,-4.871189066170718e-09,-0.024469461658195392,-0.4303186917645876,0.0,-0.0002170086227893604,0.5,-125.57030322000003,0.00234282253791877,-0.046961447292029,0.6476448,0.0,-0.003930599511808459,-1.3239213178894527,-4.0567456731052894e-05,-0.9741134734186309,0.0,1.000372052192688,0.2,-34.05678939819336,0.000297952,0.11481122125405818,0.34573147,-0.050895676016807556,33278,0.4351806640625,0.13043279200792313,0.2775644063949585
32,-0.5058689200240357,-0.8704953603388332,-0.5838710312679916,-0.015515086251308787,586,-0.0005634750094031915,-0.6757500513691908,-0.06792357459576978,29.52,1118,655360,0.010581333333333333,0.01,-0.16102299732377956,0.0,-3.640283728736679e-09,-0.015062046468353898,-0.3866332591149556,0.0,-0.00023908198557003523,0.5,-127.85572822,0.002797613211508958,-0.04814164039384414,0.6475662933333334,0.0,-0.004303837833428133,-1.3264570112994487,-4.163012396718964e-05,-0.914380640070274,0.0,1.0003606081008911,0.2,-34.055877685546875,0.00029788373333333333,0.09895538800628856,0.25059685,-0.09939157217741013,33279,0.4190673828125,0.10542386397719383,0.2969846725463867
33,-0.5030926408700717,-0.9091039462247229,-0.563898849770299,-0.01604283451780045,603,-0.003134759004751686,-0.6795734292605105,-0.06891279726499311,32.78,1120,675840,0.010922666666666667,0.01,-0.1273790151037216,0.0,-3.0298728947181343e-09,-0.020287004745673562,-0.3389648800864478,0.0,-0.0002644671798303129,0.5,-131.07351056,0.003933493228385462,-0.04838850165237201,0.6474877866666667,0.0,-0.004601076157604444,-1.3414572390200021,-4.305684594363392e-05,-0.8693785678457745,0.0,1.0002498626708984,0.2,-34.05375671386719,0.0002978154666666667,0.08376832772046328,0.2125357,-0.12696903944015503,33280,0.42236328125,0.10063321143388748,0.3483585715293884
34,-0.5041780552691043,-0.9131898523381645,-0.5368906471722066,-0.016992037377423375,621,-0.005583484150702134,-0.6824707271879726,-0.0664095295900759,35.18,1120,696320,0.011264,0.01,-0.10319049258653701,0.0,-2.815394041835941e-09,-0.02622738988940592,-0.3075974270649847,0.0,-0.00028231716601744835,0.5,-133.48368683,0.004981749308282822,-0.05048547391849069,0.64740928,0.0,-0.004657762091571217,-1.341063961447235,-4.5095776328775226e-05,-0.8546208705050702,0.0,1.000158667564392,0.2,-34.05209732055664,0.00029774719999999997,0.08217747742310166,0.2120935,-0.12826944887638092,33281,0.4141845703125,0.09443224593997002,0.3396598696708679
35,-0.5064170779302418,-0.9138630473413538,-0.5296081350205232,-0.019406364510703336,638,-0.01463473918265663,-0.6849082572403408,-0.06446817673214758,39.63,1122,716800,0.011605333333333334,0.01,-0.08622580433599633,0.0,-2.7386788866237334e-09,-0.04146012167917284,-0.2714659939164262,0.0,-0.000298361780655734,0.5,-137.88359151,0.005268590321223241,-0.05191578447915403,0.6473307733333333,0.0,-0.004727450070512838,-1.3599910535755653,-4.6151747258383466e-05,-0.8513532264188068,0.0,1.0001434087753296,0.2,-34.05143737792969,0.0002976789333333333,0.07692699122708291,0.18943262,-0.13672956824302673,33282,0.4090576171875,0.10587679222226143,0.09592735767364502
36,-0.5082099662502964,-0.9080311674870838,-0.5138938583731056,-0.02457086632737173,656,-0.02363814424024895,-0.6852739260081376,-0.06140304761187695,43.51,1122,737280,0.011946666666666666,0.01,-0.0762479302859915,0.0,-2.99689565288034e-09,-0.05548362948119941,-0.24839631558073103,0.0,-0.00031336259423080006,0.5,-141.83495887000004,0.00634567467532334,-0.052158877325002476,0.6472522666666667,0.0,-0.0048131573452511265,-1.3732341842932778,-4.826197281817392e-05,-0.858440598421967,0.0,1.000056266784668,0.2,-34.05009078979492,0.00029761066666666666,0.060830892994999886,0.14988954,-0.16332627832889557,33283,0.40234375,0.1298299990594387,-0.12868356704711914
37,-0.5076443970279299,-0.9033257448002608,-0.49443485784568547,-0.025779036379965443,674,-0.03326215728593525,-0.6849051425217343,-0.057293761981644695,47.74,1123,757760,0.012288,0.01,-0.07588315124253112,0.0,-3.154048519007423e-09,-0.06822037246079843,-0.23580290717082647,0.0,-0.0003199420167898303,0.5,-146.11524078,0.007759824845756999,-0.05383402196773107,0.64717376,0.0,-0.004698224861091542,-1.3724569433850138,-5.068368774390307e-05,-0.8827998678525109,0.0,0.9999973177909851,0.2,-34.04905891418457,0.0002975424,0.05200035369489342,0.13285151,-0.17634017765522003,33284,0.3944091796875,0.13871978223323822,-0.30630815029144287
38,-0.5079634293362119,-0.8938240682699812,-0.5051693780370338,-0.02667581188873957,692,-0.041117614912218416,-0.6863808956150047,-0.05440407793939274,50.91,1123,778240,0.012629333333333333,0.01,-0.07296324108338839,0.0,-2.745619216737046e-09,-0.07138088862232793,-0.22736079502323076,0.0,-0.00033035906281231835,0.5,-149.11102853,0.008339168011678794,-0.05410374819274193,0.6470952533333334,0.0,-0.0047579515987993285,-1.3731472156994702,-5.320611835938737e-05,-0.8798407802933047,0.0,0.9999496340751648,0.2,-34.04830741882324,0.0002974741333333333,0.016621545772068202,0.106099285,8.212270736694336,33285,0.3782958984375,23.143330574035645,-3.7115864753723145
39,-0.5077946464529003,-0.9006200500902131,-0.4873670404851943,-0.02611742409953229,710,-0.04908684336260194,-0.6887569056603005,-0.049357050964509756,50.21,1124,798720,0.012970666666666667,0.01,-0.07373577535512318,0.0,-2.869082926469743e-09,-0.07637008440871948,-0.2227872710915329,0.0,-0.00033143076359772587,0.5,-148.54942204,0.00909010539425887,-0.054550186544044255,0.6470167466666666,0.0,-0.004616350372386094,-1.3769174571448886,-5.540743736242485e-05,-0.9202481873357279,0.0,0.9999022483825684,0.2,-34.047563552856445,0.00029740586666666664,0.004386152722872794,0.08876188,33.53535079956055,33286,0.3663330078125,48.35455322265625,-1.5873143672943115
40,-0.507933456769111,-0.8882867036745704,-0.4812350759244616,-0.025635118381085814,728,-0.057736250697053036,-0.685737751797886,-0.04780840715232171,51.07,1124,819200,0.013312,0.01,-0.0775158107613513,0.0,-2.7823393619413583e-09,-0.07624056086784255,-0.21982280287140776,0.0,-0.0003394784598768271,0.5,-149.27017316,0.00930434387816927,-0.054603142005706304,0.64693824,0.0,-0.00464573110572956,-1.3573929960067264,-5.780035361186548e-05,-0.8972565552768114,0.0,0.9998573660850525,0.2,-34.046875,0.0002973376,0.00675833597779274,0.070162825,5.720110893249512,33287,0.3519287109375,19.54366970062256,0.4777449369430542
