time/fps,rollout/ep_len_mean,time/iterations,curriculum/ctrl_drop_prob,time/time_elapsed,reward_terms/stop,reward_terms/foot_ahead,rollout/ep_rew_mean,ankle/ankle_defl_peak,curriculum/ctrl_jitter_ms,reward_terms/assist_pen,ankle/ankle_spring_energy_peak,reward_terms/coef_rate,reward_terms/overrun,curriculum/sprint_dist_m,reward_terms/residual,reward_terms/height,curriculum/ent_coef,reward_terms/stance,reward_terms/vz,reward_terms/action_rate,reward_terms/clearance,curriculum/stance_ratio,reward_terms/stance_time,ankle/ankle_spring_trq_peak,reward_terms/foot_slip,time/total_timesteps,reward_terms/duty_sym,reward_terms/alive,reward_terms/air_time,reward_terms/ang_xy,reward_terms/energy,reward_terms/torque,reward_terms/step_rate,reward_terms/lat_vel,reward_terms/phase_contact,reward_terms/angmom,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/upright,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/residual_rate,reward_terms/time,train/clip_fraction,train/loss,train/std,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/entropy_loss
3675,215.4,11,0.0,55,0.0,0.0,-119.00528477,0.8259707535728051,0.0,0.0,20.49797860729719,-0.41031996291152706,0.0,61.3648375,-0.10665893741239975,-0.011459194618969217,0.01,-7.443879021596251e-05,-0.13503641992455168,-0.04953612654129463,0.033550408202489085,0.5942405825,-0.01949401143388564,34.19518919791413,-0.3563743553332227,58202172,0.0,0.0,4.34025035550197e-05,-0.23508409075422973,-0.014458671542326813,-0.14537217044020262,-0.00945095486111104,-4.518453020507518e-08,-0.4865354946297919,-0.09154287337025295,-0.0587159078959146,0.24243225,-0.22287461961168895,-0.002298154115763005,1.2615318335979926,0.0,-0.5,0.21561279296875,-0.2014133632183075,1.002188801765442,12613,0.00027090813,-0.013352149433922022,0.9890720844268799,0.4904553979635239,0.026252681,0.2,-34.07897129058838
3705,210.54,12,0.0,59,0.0,0.0,-117.90533341999998,0.763701506776177,0.0,0.0,16.0165405680358,-0.40926170791759475,0.0,61.3763575,-0.10658468156894504,-0.011747015901872156,0.01,-1.2486607013922609e-05,-0.13448554331764428,-0.04844424386146565,0.033759857984571796,0.5942229185,-0.021584663588631276,31.617242380533725,-0.37443526657938553,58220604,0.0,0.0,2.007365886432429e-05,-0.23638033481856707,-0.014480826615959933,-0.14206390812711617,-0.009418402777777708,-4.427242673089551e-08,-0.49513208723384733,-0.09178160362393734,-0.05649331068168468,0.24250905,-0.22464315497162288,-0.0023071519590299396,1.27323329246171,0.0,-0.5,0.30985107421875,-0.15176449716091156,1.0028431415557861,12617,0.000270898914,-0.011083666665945202,0.9820625185966492,0.8606414839625358,0.03110302,0.2,-34.08437633514404
3732,226.5,13,0.0,64,0.0,0.0,-119.59499992,0.8687156077737823,0.0,0.0,16.132464332058984,-0.40513582986135954,0.0,61.3878775,-0.106744021667434,-0.011712865295351222,0.01,-4.44658542648882e-05,-0.1323864718147078,-0.04836718592329171,0.033178700883518236,0.5942052545000001,-0.02110601292062913,35.96482616183459,-0.37036966402516647,58239036,0.0,0.0,3.146679955534637e-05,-0.23268802962149893,-0.014288363037925942,-0.14413708252729693,-0.009016927083333286,-4.2482439973762e-08,-0.49101489312059265,-0.09153335766958832,-0.05937441353797933,0.24258585,-0.2250615656076669,-0.0022923640323116177,1.2708896371394809,0.0,-0.5,0.2561767578125,-0.25313401222229004,1.002403736114502,12621,0.000270889698,-0.01244507806841284,0.9903883337974548,0.4360223993659019,0.028365236,0.2,-34.08239917755127
3757,230.13,14,0.0,68,0.0,0.0,-119.71337772000003,0.8664034142827084,0.0,0.0,17.4336109862841,-0.40036094646575004,0.0,61.3993975,-0.10712066940530551,-0.011430959719274594,0.01,-6.149618212296955e-05,-0.13396703896651402,-0.048139657166661444,0.03290221523915741,0.5941875905,-0.01946132179162103,35.869101351304124,-0.3647944763299059,58257468,0.0,0.0,4.285999845402936e-05,-0.23013794782406427,-0.014221363980095995,-0.14292634773891785,-0.00937499999999993,-4.268985239828331e-08,-0.490780140863434,-0.09339898760276916,-0.0599019094168722,0.24266265,-0.2292605120503259,-0.002257326225439861,1.2883814325559932,0.0,-0.5,0.251025390625,-0.1499103605747223,1.0026705265045166,12625,0.000270880482,-0.011905373045010492,0.9881237149238586,0.5473612904548645,0.026681721,0.2,-34.08391208648682
3778,226.7,15,0.0,73,0.0,0.0,-119.69002633000002,0.6844324889702147,0.0,0.0,12.754838605535827,-0.40065995043444097,0.0,61.4109175,-0.10685722902224887,-0.011456741986638354,0.01,-0.00010102935398151077,-0.13294593557998466,-0.0478040966972825,0.03286743875364032,0.5941699265,-0.024389833947578963,28.335505043366886,-0.34494844206197417,58275900,0.0,0.0,3.743461760071417e-05,-0.23155145947333539,-0.014284142206765318,-0.14429261211699024,-0.008930121527777736,-4.2108017811124896e-08,-0.49417333144694847,-0.0945440197602682,-0.06013919904835947,0.24273945,-0.22684853295247237,-0.0022627260223362926,1.2855047951894352,0.0,-0.5,0.2444091796875,0.03716972470283508,1.003195881843567,12629,0.00027087126599999997,-0.011507013393566013,0.9908066987991333,0.4716836951673031,0.024820978,0.2,-34.0905481338501
3797,222.76,16,0.0,77,0.0,0.0,-119.41610683,0.7338884830878216,0.0,0.0,15.536948457340252,-0.40645923038359666,0.0,61.4224375,-0.10708297111274795,-0.011021382444977778,0.01,-0.0002580368600987908,-0.13095777875558928,-0.048412974904677754,0.03285997246010487,0.5941522625,-0.023092092199173447,30.382983199835813,-0.34948891837825197,58294332,0.0,0.0,3.5264529287815094e-05,-0.2305208321693978,-0.014260782044302653,-0.14592733233473795,-0.009190538194444384,-4.1817502049109876e-08,-0.4943840869246647,-0.09368571324835091,-0.06165212322121835,0.24281625,-0.2240183931768763,-0.0022549841799700317,1.2632816465708283,0.0,-0.5,0.26285400390625,0.4725179970264435,1.002666711807251,12633,0.00027086205,-0.010311855608597398,0.9858745336532593,0.6751629516482354,0.029299844,0.2,-34.08566780090332
3812,225.56,17,0.0,82,0.0,0.0,-120.08540043999997,0.7873811107705073,0.0,0.0,18.557022465892885,-0.411846335521312,0.0,61.4339575,-0.10690090904152814,-0.011631351293887475,0.01,-9.404009501700372e-05,-0.1353098345443215,-0.048635432854162365,0.0348227619971611,0.5941345985,-0.021013104586422235,32.597577985899,-0.35889909280190196,58312764,0.0,0.0,3.092429445435604e-05,-0.23259644520201306,-0.014438532357944213,-0.1448914048205788,-0.009602864583333252,-4.2626874960745765e-08,-0.49784892683926585,-0.0924964455313386,-0.05819588214525927,0.24289305,-0.21948053115625873,-0.0022935591157376253,1.257702119040565,0.0,-0.5,0.2464599609375,-0.13433879613876343,1.0025644302368164,12637,0.000270852834,-0.014092977510881611,0.9904457926750183,0.48218331187963487,0.027151067,0.2,-34.08357124328613
3827,231.03,18,0.0,86,0.0,0.0,-119.88967174000001,0.7093478331209491,0.0,0.0,13.019689568214568,-0.3998192128019893,0.0,61.445477499999996,-0.10712269646858251,-0.01192485143445004,0.01,-0.00029608099206412545,-0.13617918974020526,-0.04802874472900434,0.034200123022684055,0.5941169345,-0.019662331259395514,29.36700029120729,-0.3602034819523719,58331196,0.0,0.0,3.960476412127415e-05,-0.23252500525452044,-0.014414161871292587,-0.1472352328600119,-0.009364149305555488,-4.4449795643685246e-08,-0.491487525207688,-0.09279425426183274,-0.061500777288002025,0.24296985,-0.22569243530093852,-0.0022625934765056455,1.2692393874712926,0.0,-0.5,0.25587158203125,0.16707277297973633,1.002179503440857,12641,0.000270843618,-0.009502367791719734,0.9772243499755859,1.0005769729614258,0.024733257,0.2,-34.080593490600585
3840,208.12,19,0.0,91,0.0,0.0,-117.64983980000001,0.7046300977683524,0.0,0.0,14.03730963917296,-0.4021708630003881,0.0,61.4569975,-0.10687157138757244,-0.011454714316819655,0.01,-0.00013983820464993048,-0.1316125072859388,-0.048530022367972596,0.03320061453655934,0.5940992705,-0.021139649923295818,29.17168604760979,-0.3646612702141992,58349628,0.0,0.0,3.472203388810158e-05,-0.23218902468243222,-0.014482413926997138,-0.14649760379785703,-0.009233940972222162,-4.31494673968439e-08,-0.49159962576157096,-0.09381809974939691,-0.05866771503300659,0.24304665,-0.22440669994852266,-0.0022855404228395372,1.2766269851731873,0.0,-0.5,0.2395263671875,-0.06309279799461365,1.002601146697998,12645,0.000270834402,-0.011981718335300684,0.9904170036315918,0.445618724822998,0.0277449,0.2,-34.081842041015626
3852,221.49,20,0.0,95,0.0,0.0,-119.56993633999998,0.7245807545127196,0.0,0.0,13.617840610519691,-0.40460226906596186,0.0,61.4685175,-0.10686491640926649,-0.0112725984410612,0.01,-5.786665473202998e-05,-0.13071277876214987,-0.048813640915835274,0.03412982334226823,0.5940816065,-0.02128315088500838,29.99764323682659,-0.36436500482523065,58368060,0.0,0.0,3.146681895790001e-05,-0.22976240008934834,-0.01455220264421125,-0.1467566180989925,-0.009440104166666597,-4.3767539092566845e-08,-0.4931971367399416,-0.09204011634777706,-0.05670996006992173,0.24312345,-0.2241249949452238,-0.002272149953086026,1.2593172192430593,0.0,-0.5,0.247412109375,-0.1702883392572403,1.0033936500549316,12649,0.000270825186,-0.0106622792663984,0.9875934720039368,0.6509948208928108,0.024525259,0.2,-34.092966842651364
3864,206.64,21,0.0,100,0.0,0.0,-117.71654005000002,0.7459435114497159,0.0,0.0,13.486847690411768,-0.40052340579281037,0.0,61.4800375,-0.10706792021013946,-0.011470713243070762,0.01,-0.0001609530191079582,-0.13100841679530462,-0.047186851626014145,0.033048614651265705,0.5940639425,-0.02085956717524419,30.88206137401824,-0.34289886520361335,58386492,0.0,0.0,2.9839177538330357e-05,-0.23589898009986154,-0.014450136816259476,-0.14372067891260654,-0.00941840277777771,-4.3860492950020654e-08,-0.49175485870279534,-0.09281878033884891,-0.05795706032215875,0.24320025,-0.22215176134714143,-0.0023049320519977273,1.2676669399989544,0.0,-0.5,0.30992431640625,0.02263602614402771,1.0022341012954712,12653,0.00027081596999999996,-0.008481721894349903,0.9743961691856384,1.2306725054979324,0.028934961,0.2,-34.08320770263672
3873,212.89,22,0.0,104,0.0,0.0,-118.50360745000002,0.7611612496154692,0.0,0.0,17.01071949449701,-0.40493567141578074,0.0,61.4915575,-0.10691631563875043,-0.011652497028411406,0.01,-4.9516771205546986e-05,-0.1329361518656063,-0.04838394722473602,0.03310113322041853,0.5940462785,-0.02025884793450435,31.512075734080423,-0.3582666168599085,58404924,0.0,0.0,2.658401111451288e-05,-0.23641199641337435,-0.014508472880145895,-0.14351215528737005,-0.00976562499999991,-4.336762190459661e-08,-0.49907502175227325,-0.09329389875183794,-0.05838093364007614,0.24327705,-0.22191974000133813,-0.0023219854677957296,1.2472299019733806,0.0,-0.5,0.2566162109375,0.20191335678100586,1.0029704570770264,12657,0.000270806754,-0.008920202846638858,0.981323778629303,0.9585467845201492,0.027445232,0.2,-34.08455276489258
3882,227.63,23,0.0,109,0.0,0.0,-120.05179567999998,0.7126455699643401,0.0,0.0,15.25324537351058,-0.398336027931426,0.0,61.5030775,-0.10722302728151166,-0.011768848941648742,0.01,-4.799890432677018e-05,-0.131884559231345,-0.048309695627325434,0.03273895413678634,0.5940286145,-0.022173854359102227,29.50352659652368,-0.3487012423212301,58423356,0.0,0.0,3.3636936374629535e-05,-0.23832783674374408,-0.014425254950838387,-0.1420749377315975,-0.009700520833333247,-4.315567586545547e-08,-0.49956539399376165,-0.09317164066994356,-0.05445161671546651,0.24335385,-0.22272756081048645,-0.0023102427944929425,1.2603892138117418,0.0,-0.5,0.23216552734375,0.2812885344028473,1.003037691116333,12661,0.000270797538,-0.009732065553544089,0.9786162376403809,0.9855532437562943,0.02216579,0.2,-34.090770149230956
3890,217.0,24,0.0,113,0.0,0.0,-118.94278688,0.7212307557699851,0.0,0.0,13.13090811092628,-0.39794129226096314,0.0,61.5145975,-0.107083109385787,-0.011688370821575957,0.01,-3.855008207955841e-05,-0.13384535756183433,-0.04816462228197259,0.03468134113040643,0.5940109505,-0.021883462814407215,29.85895328887738,-0.3491002825567914,58441788,0.0,0.0,3.09242750518024e-05,-0.23255778816447745,-0.01440011972019115,-0.1427595523659354,-0.009624565972222141,-4.297594694558131e-08,-0.4972032308177243,-0.09218943956123049,-0.055783388650742456,0.24343065,-0.22416386561465362,-0.0022978651392312555,1.274277078941152,0.0,-0.5,0.230322265625,-0.21443472802639008,1.0027097463607788,12665,0.000270788322,-0.011939694453030825,0.9854567646980286,0.6821199208498001,0.026838288,0.2,-34.08579654693604
3898,225.78,25,0.0,118,0.0,0.0,-119.59076293,0.761602543153336,0.0,0.0,17.79832561024697,-0.3971331415216928,0.0,61.5261175,-0.10716789005227803,-0.012117801317098909,0.01,-4.433161280334782e-06,-0.13432448596012375,-0.04868152909090289,0.03282454626648218,0.5939932865,-0.021666857108357362,31.53034528654811,-0.34652910423877636,58460220,0.0,0.0,3.7434695210928716e-05,-0.2328364479231943,-0.014286018769153554,-0.1407671112589003,-0.009548611111111032,-4.541763747551697e-08,-0.4951414423241277,-0.09088728138682897,-0.052258719637670176,0.24350745,-0.22171592026276984,-0.0022817088474602508,1.2604517629204062,0.0,-0.5,0.288720703125,0.20281994342803955,1.0021742582321167,12669,0.000270779106,-0.006572545366361737,0.9697849750518799,1.4603433400392531,0.03328783,0.2,-34.08034420013428
3906,230.05,26,0.0,122,0.0,0.0,-119.85592584999999,0.7237964769438836,0.0,0.0,13.677341446924027,-0.39902709852295715,0.0,61.5376375,-0.10723777750622604,-0.012219872530396008,0.01,-4.185953348448231e-05,-0.1376939968808423,-0.04833682337446125,0.03371187927334974,0.5939756225,-0.02053377566496945,29.96517414547678,-0.3658228335922709,58478652,0.0,0.0,3.4179489982003965e-05,-0.23844584913431652,-0.014482573477218506,-0.14035907968760863,-0.009418402777777706,-4.357665029924174e-08,-0.4935582263773941,-0.0903257302849535,-0.056557324571500374,0.24358425,-0.22220113992101986,-0.0023378939512549335,1.2705943326104454,0.0,-0.5,0.17789306640625,-0.12178707122802734,1.001750111579895,12673,0.00027076989,-0.013391442201100289,0.9875462651252747,0.5460134625434876,0.019860713,0.2,-34.073693656921385
3912,217.2,27,0.0,127,0.0,0.0,-118.68240635999999,0.7840068516804872,0.0,0.0,17.942926677225685,-0.3917338028552668,0.0,61.5491575,-0.10703569298319798,-0.011915092799209147,0.01,-2.4490413657915665e-05,-0.13207791183373713,-0.04783845306711011,0.0339690171643116,0.5939579585,-0.021974609763775434,32.45788365957217,-0.3539514435372368,58497084,0.0,0.0,2.9296730645000935e-05,-0.2337302975304342,-0.014435452613559071,-0.14167375245107494,-0.009407552083333263,-4.5142921010271254e-08,-0.4891110858353484,-0.09158343083699816,-0.05479024147049721,0.24366105,-0.22368628133139318,-0.0023059674717244524,1.272868872668044,0.0,-0.5,0.264404296875,0.0728861391544342,1.0029926300048828,12677,0.000270760674,-0.012376058148220181,0.9904840588569641,0.4535717785358429,0.030069787,0.2,-34.08533916473389
3866,211.6,28,0.0,133,0.0,0.0,-118.32918491999999,0.7795326844858845,0.0,0.0,15.033781442047452,-0.39967893533345683,0.0,61.560677500000004,-0.10700207822243929,-0.012074291749942253,0.01,-6.768322476872762e-05,-0.13835995249160052,-0.048495664598643046,0.034307302058005626,0.5939402945,-0.021140328561563768,32.272653137715615,-0.3447224900240655,58515516,0.0,0.0,4.611520368295411e-05,-0.23504498505912375,-0.014286322212301812,-0.14161537503321148,-0.009461805555555482,-4.341240623973653e-08,-0.49267640276549785,-0.09097706131269707,-0.0571972198288582,0.24373785,-0.2241792340638271,-0.002303576076185875,1.2704547827616326,0.0,-0.5,0.2666259765625,-0.10553202033042908,1.0032856464385986,12681,0.00027075145799999997,-0.013064353982917965,0.9893741011619568,0.5125785060226917,0.03265617,0.2,-34.09270133972168
