reward_terms/energy,curriculum/ent_coef,reward_terms/action_rate,reward_terms/hip_roll,curriculum/eff_scale,ankle/ankle_defl_peak,reward_terms/air_time,curriculum/ctrl_jitter_ms,time/total_timesteps,reward_terms/angmom,curriculum/ctrl_drop_prob,reward_terms/stance,reward_terms/assist_pen,reward_terms/height,time/iterations,reward_terms/torque,reward_terms/lat_vel,reward_terms/coef_rate,reward_terms/fwd_speed,reward_terms/phase_contact,reward_terms/overrun,rollout/ep_len_mean,curriculum/stance_ratio,reward_terms/residual,reward_terms/duty_sym,reward_terms/foot_slip,time/fps,reward_terms/foot_ahead,ankle/ankle_spring_trq_peak,reward_terms/stop,reward_terms/upright,reward_terms/residual_rate,reward_terms/step_rate,reward_terms/alive,ankle/ankle_spring_energy_peak,reward_terms/clearance,reward_terms/stance_time,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/motor_vel,time/time_elapsed,reward_terms/time,curriculum/sprint_dist_m,reward_terms/vz,train/clip_fraction,train/std,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss
-0.027234640157217972,0.01,-0.09739891663077165,-0.05179514609560573,0.245830875,0.5087358696965231,0.002485347837339052,1.6403769,59017842,-0.1267318607410031,0.02050471125,-0.02309094483041305,0.0,-0.009348096086353971,1,-0.21619883607100354,-5.6753259394165656e-08,-0.5615349830687992,3.4303644526917876,-0.04121545513565164,0.0,2169.15,0.59345889875,-0.09828738345369753,-0.38221834189224535,-0.39594787031939804,2233,0.0,0.0,0.0,-0.17372824316699753,0.0,-0.018793402777777184,0.0,0.0,0.2598657388289361,0.0,1129.53060161,-0.5387850351676242,-0.004694276800621132,8,-0.5,61.87463125,-0.08756432475535379,,,,,,,,,,,
-0.02922801181823409,0.01,-0.09091785647843006,-0.052534843211335405,0.245907675,0.504306047222328,0.003220481507014483,1.6412985,59036274,-0.06370029729092178,0.020516231250000003,-0.024315546292460983,0.0,-0.004712913201225581,2,-0.23259857170345588,-6.395002236643649e-08,-0.4619760781900574,5.1720930905701,-0.030504840739289336,0.0,1983.67,0.59344123475,-0.10087445550935338,-0.7876554411041679,-0.3561599966528198,2488,0.0,0.0,0.0,-0.07754187384069905,0.0,-0.01865234374999941,0.0,0.0,0.35781938079020653,0.0,997.6547564299998,-0.4485136356147607,-0.00510911987967824,14,-0.5,61.88615125,-0.05516818448154845,0.1245361328125,1.0015079975128174,-0.01150821241317317,0.000270491079,12778,179.56370544433594,0.9126781225204468,-34.07218761444092,0.2,0.012655951,466.1584228515625
-0.02948424026335323,0.01,-0.08814088389264695,-0.04926179317345106,0.245984475,0.5010597299750648,0.003352859827120685,1.6422201,59054706,-0.04375766243855852,0.020527751250000004,-0.01674201213680886,0.0,-0.002628728136533402,3,-0.23222476033574757,-6.156740516373308e-08,-0.4339169305955852,5.516932227875035,-0.02217515051281406,0.0,1964.4,0.59342357075,-0.10164405626217904,-0.8754817556607365,-0.3384582832710524,2870,0.0,0.0,0.0,-0.059679679263166814,0.0,-0.018077256944443884,0.0,0.0,0.38432407313377787,0.0,986.1442835199999,-0.42639826636965616,-0.005207963527432236,19,-0.5,61.89767125,-0.04243681618168072,0.14462890625,1.0010831356048584,-0.013576465775258839,0.000270481863,12782,138.12818908691406,0.8664170503616333,-34.067202758789065,0.2,0.016867993,300.76598663330077
-0.029719294604606775,0.01,-0.08889589696396746,-0.05263354370700116,0.246061275,0.5051368801466793,0.0032009502206670325,1.6431417,59073138,-0.04775485158781817,0.02053927125,-0.013987276377124075,0.0,-0.0029930641185283977,4,-0.2365713630974594,-6.9748236998312e-08,-0.4442801779484682,5.474230132169305,-0.028174927075042724,0.0,1925.81,0.59340590675,-0.10156907835699806,-0.8457250096260435,-0.34401402504890144,3108,0.0,0.0,0.0,-0.05965163020768159,0.0,-0.018359374999999428,0.0,0.0,0.3748084865068145,0.0,961.14892396,-0.42243698019348086,-0.005215537249257374,23,-0.5,61.90919125,-0.04375196135326534,0.26680908203125,1.002504587173462,-0.010565196909010411,0.00027047264699999997,12786,24.94061279296875,0.7144280672073364,-34.07850227355957,0.2,0.022572583,110.38274230957032
-0.02900552581513736,0.01,-0.08969810868560002,-0.05622541086951406,0.246138075,0.5063504496209532,0.002924800388023464,1.6440633,59091570,-0.07011148015147313,0.020550791250000002,-0.013030398743686243,0.0,-0.004800140647586229,5,-0.2322156659568324,-6.422404631456313e-08,-0.48249310485652397,4.9908049310393325,-0.030440706457815728,0.0,2134.56,0.59338824275,-0.1008537805127186,-0.7309813747564715,-0.3577275781837864,3273,0.0,0.0,2.7796636296293954e-38,-0.08045444567204864,0.0,-0.018500434027777193,0.0,0.0,0.3403849638569209,0.0,1098.2686803,-0.433646421298141,-0.005064227233826148,28,-0.5,61.920711250000004,-0.05592445144329967,0.21668701171875,1.0026919841766357,-0.011117469728924334,0.000270463431,12790,91.82624053955078,0.7494535446166992,-34.085368156433105,0.2,0.019902837,241.21696853637695
-0.028585531850084347,0.01,-0.09106034386471273,-0.054100658110146325,0.246214875,0.5054175397672248,0.0030414452938000774,1.6449849,59110002,-0.06642387418054559,0.020562311250000003,-0.01812823519148966,0.0,-0.005706783916434252,6,-0.2317407054490972,-6.184442736024051e-08,-0.4608338275609572,4.915722266412512,-0.03304006720987514,0.0,2113.72,0.59337057875,-0.10075722496732921,-0.7331960917278848,-0.36465315936784554,3391,0.0,0.0,3.41991531904314e-32,-0.0869629947982944,0.0,-0.018804253472221626,0.0,0.0,0.33127446487650186,0.0,1089.37080441,-0.43851269284945305,-0.004911186955350504,32,-0.5,61.93223125,-0.057607747793329826,0.1512939453125,1.0014652013778687,-0.010414799454156309,0.000270454215,12794,67.55724334716797,0.9531128406524658,-34.07372970581055,0.2,0.013838686,251.76833877563476
-0.029285596467334044,0.01,-0.09058436483700975,-0.053262403155687206,0.246291675,0.505165970300607,0.003159175235648743,1.6459065,59128434,-0.058751345332682496,0.02057383125,-0.01524285405843321,0.0,-0.003738140033584313,7,-0.23491850688102772,-6.3604739104618e-08,-0.46233842193238595,5.183698354326737,-0.031184880066613525,0.0,2003.12,0.5933529147500001,-0.10111088823371726,-0.7743876478429174,-0.3635183186499771,3483,0.0,0.0,2.4972920896309333e-48,-0.07018184098620511,0.0,-0.018598090277777198,0.0,0.0,0.34877901040383336,0.0,1020.6609176600001,-0.432348898718503,-0.005091074842730334,37,-0.5,61.94375125,-0.04656765903901706,0.1390869140625,1.0014188289642334,-0.013991314242593944,0.000270444999,12798,65.28531646728516,0.9748334288597107,-34.068742179870604,0.2,0.013673787,132.82445068359374
-0.030073758742053845,0.01,-0.08893444085622391,-0.05324336752045492,0.246368475,0.5024648261465711,0.003200407738202355,1.6468281,59146866,-0.057036436695809586,0.02058535125,-0.02028306947597733,0.0,-0.00409958579693955,8,-0.23753085040582908,-6.551868279856446e-08,-0.4424994490377365,5.472562461111769,-0.025953829458620285,0.0,2110.1,0.59333525075,-0.10160925727465284,-0.8751212326251891,-0.3578487548086501,3552,0.0,0.0,1.0187929375406096e-43,-0.0670925732572205,0.0,-0.018348524305554986,0.0,0.0,0.3793297946492722,0.0,1087.89682456,-0.43690453008794294,-0.005281176975141611,41,-0.5,61.95527125,-0.049674078743840965,0.220556640625,1.0020885467529297,-0.013494362810160965,0.000270435783,12802,102.63034057617188,0.9181239604949951,-34.07599449157715,0.2,0.0206981,248.26531219482422
-0.02879200320462681,0.01,-0.08956558495432271,-0.05147301157249122,0.246445275,0.5034144482890456,0.0030604339068910726,1.6477497,59165298,-0.06239940935219099,0.020596871250000003,-0.019543504768339177,0.0,-0.004198087172772356,9,-0.2338351687672885,-6.206498412437477e-08,-0.4614587665638425,5.156368469089823,-0.03324417504460361,0.0,2164.75,0.59331758675,-0.10106685997202222,-0.7672785590007479,-0.3675903144838266,3612,0.0,0.0,5.7099519070117574e-33,-0.07489841486076737,0.0,-0.018793402777777177,0.0,0.0,0.3450643103502029,0.0,1123.9594874599998,-0.42405844724566194,-0.0049398707074075855,45,-0.5,61.96679125,-0.05198891563132861,0.22041015625,1.0026040077209473,-0.011947556992527097,0.000270426567,12806,41.84441375732422,0.9558151364326477,-34.08398323059082,0.2,0.02136249,96.04162197113037
-0.02857240526229562,0.01,-0.08918739064543546,-0.05080763024604713,0.246522075,0.5086505561752436,0.0031423565653514946,1.6486713,59183730,-0.054134161309545514,0.02060839125,-0.01699244944967052,0.0,-0.0035516057942377287,10,-0.23042375507467355,-5.974392245485856e-08,-0.46128599985877083,5.173214090311044,-0.03176421743659267,0.0,2332.13,0.59329992275,-0.1008627539026144,-0.7821275095068573,-0.35363712469520786,3658,0.0,0.0,7.071906032549732e-43,-0.06417611909009943,0.0,-0.01871744791666607,0.0,0.0,0.34910979915061763,0.0,1234.07461638,-0.41853569300100635,-0.004927118060463495,50,-0.5,61.978311250000004,-0.045636870740143734,0.18380126953125,1.001891851425171,-0.010675658332183957,0.00027041735099999996,12810,50.96174621582031,0.9543063044548035,-34.0772045135498,0.2,0.014724014,122.81794624328613
