reward_terms/torque,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/upright,reward_terms/action_rate,reward_terms/clearance,reward_terms/time,reward_terms/coef_rate,reward_terms/residual,reward_terms/stance,curriculum/ctrl_jitter_ms,curriculum/stance_ratio,reward_terms/stop,curriculum/eff_scale,reward_terms/height,reward_terms/motor_vel,reward_terms/hip_roll,time/iterations,reward_terms/energy,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/overrun,reward_terms/angmom,curriculum/ent_coef,rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/stance_time,rollout/ep_len_mean,reward_terms/foot_ahead,time/fps,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/air_time,reward_terms/vz,reward_terms/alive,time/time_elapsed,time/total_timesteps,train/loss,train/std,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
0.0,0.0,-1.1736682079600484,-0.39693220824592546,-0.3670259925569238,-0.12048226659214888,0.06673785364788065,-0.5,-1.5154434567896802,-0.10419721966892875,-0.001004194336595164,0.0,0.65,0.0,0.0,-0.033012895562595304,0.0,-0.22616501427953167,1,0.0,-0.2701642018734387,-2.9173156033424677e-08,0.0,-0.22257000223190357,0.01,-143.7796317826087,25.0,-0.00011121858066568772,175.2391304347826,0.0,3238,0.0,-0.3334596791206677,0.0007492397077536831,-0.26152696802429054,0.0,5,18432,,,,,,,,,,,
-3.055938555527545e-05,0.0,-1.177284171554068,-0.39821792610741397,-0.42385492353169274,-0.12097195663304675,0.06334273736979551,-0.5,-1.506901395155659,-0.10274463253942201,-0.004313905646562376,0.0,0.649982336,0.0,7.68e-05,-0.029866636004999336,-4.178487557414819e-07,-0.2324653817926267,2,-3.040912104329486e-06,-0.277571032954729,-3.062444928297057e-08,0.0,-0.21009297638604554,0.01,-146.21638387000002,25.01152,-0.005036067508626729,184.99,0.0,3073,0.0,-0.36069552195961924,0.0010601117101032287,-0.26493885983202353,0.0,11,36864,63.56285095214844,1.000901222229004,0.3697327971458435,0.15618896484375,0.2,305.4798328399658,7376,0.009711457,0.00029995392,-34.06592025756836,0.0010485416394658386
-6.114855830003736e-05,0.0,-1.0372747193471021,-0.4452283806747315,-0.3859090665176971,-0.12460234756623555,0.06364782305652786,-0.5,-1.4868134689056816,-0.10235033300964733,-0.004817964564524032,0.0,0.6499646720000001,0.0,0.0001536,-0.02676898533236567,-8.295618159127845e-07,-0.22762608527395228,3,-6.165539699863905e-06,-0.3065798171611473,-3.131264361423921e-08,0.0,-0.19937246842192075,0.01,-146.06876601000002,25.02304,-0.001013721198736069,184.41,0.0,3434,0.0,-0.3576692081708883,0.0009244780489502267,-0.24767208143965666,0.0,16,55296,28.169240951538086,1.0002384185791016,0.8125776648521423,0.05384521484375,0.2,161.51587982177733,7380,0.0063972115,0.00029990784,-34.05513439178467,-0.005938696203520522
-9.240977787259009e-05,0.0,-0.9559275924950948,-0.49386814721654787,-0.4673946110093811,-0.13089158777408957,0.057560115645171495,-0.5,-1.4475139644457693,-0.10030510190031403,-0.00782110852021873,0.0,0.649947008,0.0,0.0002304,-0.02710685246746156,-1.3040370107305345e-06,-0.20701319826013764,4,-9.448770304537746e-06,-0.34869598962822496,-4.014973375155175e-08,0.0,-0.19997010514704458,0.01,-142.39564173999997,25.03456,-0.0011134106510629256,170.13,0.0,3653,0.0,-0.3782237736015398,0.0009760186949279159,-0.23487462130617334,0.0,20,73728,32.763458251953125,1.0003666877746582,0.8764345645904541,0.05257568359375,0.2,140.5927406311035,7384,0.007061486,0.00029986176,-34.05622825622559,-0.006227822438813746
-0.00012773137202783127,0.0,-0.9572142376358383,-0.4181510388921588,-0.44915806897557126,-0.13123889149229048,0.0616933434332084,-0.5,-1.4080680682798057,-0.10047788263523216,-0.019826720170377957,0.0,0.649929344,0.0,0.0003072,-0.026493795665367453,-1.7273225833413674e-06,-0.21623199123178252,5,-1.2770268257958449e-05,-0.32294723556228966,-3.317369372525124e-08,0.0,-0.18971199489532925,0.01,-145.61310185,25.04608,-0.0011876035100107805,183.48,0.0,3796,0.0,-0.36878468785486973,0.0014013659933374987,-0.23195922892195553,0.0,24,92160,41.426734924316406,1.0005216598510742,0.8866326808929443,0.06490478515625,0.2,155.5627799987793,7388,0.008934224,0.00029981568,-34.05841770172119,-0.010745782521553338
-0.00015265126668996356,0.0,-0.7610021825943142,-0.4480833616256803,-0.4577083090443757,-0.13032304204907824,0.05951088440656195,-0.5,-1.3726443515434597,-0.10086485915831374,-0.02140554267559193,0.0,0.64991168,0.0,0.000384,-0.02515170744553925,-2.0935152701101885e-06,-0.23241938572862544,6,-1.5478496722907323e-05,-0.35137374636194696,-3.862988182424987e-08,0.0,-0.18280096105974147,0.01,-146.46201622,25.0576,-0.001698668164964248,186.55,0.0,3895,0.0,-0.3380694911157387,0.0013650160560953533,-0.20199440122334145,0.0,28,110592,45.07741928100586,1.0003774166107178,0.8928087949752808,0.07802734375,0.2,155.04964752197264,7392,0.011032703,0.00029976959999999996,-34.05624217987061,-0.00879425419261679
-0.0001753720218673371,0.0,-1.044514303204023,-0.4280115332373826,-0.4158170709217928,-0.12995989065163432,0.06014641926268373,-0.5,-1.3929419161141425,-0.10095257483372742,-0.014385659931799518,0.0,0.6498940160000001,0.0,0.0004608,-0.02834929262283465,-2.4373311738767357e-06,-0.2260855734154173,7,-1.8158088883756703e-05,-0.3398861676543309,-3.4597781450444746e-08,0.0,-0.1962432737940123,0.01,-148.60522178000002,25.06912,-0.001746816636619365,195.47,0.0,3975,0.0,-0.3610351229797987,0.0009011493174410942,-0.2294411388638025,0.0,32,129024,32.143062591552734,1.0006041526794434,0.8858038187026978,0.0747802734375,0.2,116.0162857055664,7396,0.011503483,0.00029972352,-34.058448219299315,-0.01325973670464009
-0.00021132000021522175,0.0,-0.9126946256284157,-0.4246137725547148,-0.395606096451241,-0.12814914233494967,0.0589088973752573,-0.5,-1.4053765637847784,-0.10235881366727143,-0.04090103632179842,0.0,0.649876352,0.0,0.0005376,-0.02624069277278416,-2.865998865526159e-06,-0.22975826772970842,8,-2.1624648108496824e-05,-0.343994401412565,-3.392332472447818e-08,0.0,-0.19060677518246047,0.01,-152.34776761999998,25.08064,-0.003866766815513579,209.65,0.0,4032,0.0,-0.33840081724181914,0.0012348083611060348,-0.21997363872220282,0.0,36,147456,25.906633377075195,1.0006107091903687,0.8911023736000061,0.1079833984375,0.2,94.36641120910645,7400,0.010881508,0.00029967744,-34.05952396392822,-0.01076918735052459
-0.00024102448264408762,0.0,-0.92389534072549,-0.4397144386426736,-0.4216434702348099,-0.13212970786437483,0.062372092702843926,-0.5,-1.373116697741618,-0.10110317791563592,-0.031773278605912406,0.0,0.649858688,0.0,0.0006144,-0.026936536001800532,-3.3637310054122427e-06,-0.22817383574118338,9,-2.512788549659723e-05,-0.3406310675963609,-3.660129988328141e-08,0.0,-0.19576435667905173,0.01,-148.60558878999998,25.09216,-0.0017672973594421314,194.84,0.0,4083,0.0,-0.35562785187700996,0.0010188794953541623,-0.22226989863393343,0.0,40,165888,22.827362060546875,1.0008623600006104,0.893298327922821,0.11383056640625,0.2,70.40304336547851,7404,0.013065395,0.00029963136,-34.06297302246094,-0.012099933566059918
-0.0002559340399771634,0.0,-0.9384212967493768,-0.45756627948745343,-0.4276495530127406,-0.1317795132751841,0.06045729782161994,-0.5,-1.4097875733606107,-0.10163048925408599,-0.04621222753462378,0.0,0.649841024,0.0,0.0006912,-0.024679743297637887,-3.6585531337054537e-06,-0.22355179922767782,10,-2.7317075190304608e-05,-0.3587555289094801,-4.574337781685514e-08,0.0,-0.19977270470853417,0.01,-148.40719518000003,25.10368,-0.002502431284584519,193.73,0.0,4126,0.0,-0.344390333106763,0.0008653423089223603,-0.21563322374525928,0.0,44,184320,20.556018829345703,1.0012881755828857,0.8573079109191895,0.11441650390625,0.2,61.728525733947755,7408,0.01228684,0.00029958527999999996,-34.06772041320801,-0.013701099954778329
