reward_terms/residual,rollout/ep_len_mean,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/alive,time/fps,time/total_timesteps,reward_terms/stance_time,curriculum/stance_ratio,reward_terms/stance,curriculum/ent_coef,reward_terms/clearance,reward_terms/energy,reward_terms/vz,reward_terms/ang_xy,reward_terms/phase_contact,time/time_elapsed,curriculum/eff_scale,reward_terms/hip_roll,reward_terms/stop,reward_terms/coef_rate,reward_terms/height,reward_terms/overrun,reward_terms/upright,time/iterations,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/time,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/torque,reward_terms/angmom,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/explained_variance,train/std
-0.5342943578828898,59.15,-7.399548671633319e-09,-103.15391672999998,-0.0027070875533833,0.5,3542,16036704,-0.01803952245407143,0.58866728,-0.02951911304004272,0.01,0.08481529933095909,-0.009256908030395224,-0.19710413660399376,-0.3769689981192307,-0.34546738419900946,10,0.266664,-0.04055802594896219,0.0,-0.5629373820344113,-0.08584160485999698,0.0,-0.3053224443600437,1,-0.09790593815700722,-0.4748867943301149,0.0,1.242173111573755,0.0020090065275629363,-0.10979325912826282,-0.15031523340558672,,,,,,,,,,,
-0.5341212770746929,58.37,-8.021373622502447e-09,-103.75752567999999,-0.002675061683490116,0.5,3219,16073568,-0.019015812413676433,0.588525968,-0.028974311505590593,0.01,0.08603642248055539,-0.009158415919567363,-0.19921437152939261,-0.3728123102083096,-0.34339208082622535,22,0.2672784,-0.04079723607921279,0.0,-0.5563560079482179,-0.08725704273549055,0.0,-0.307105945034032,2,-0.09650356958249937,-0.4696347135538794,0.0,1.2673320138677084,0.0015863718823917832,-0.1100530963431054,-0.15113419379286797,-33.901153246561684,0.2,36487,0.31597900390625,-0.0032384521392587987,0.0003,2.782086147202386,0.03297222,1.0279021263122559,0.9839065074920654,0.9953734278678894
-0.5340650316455728,58.83,-8.636192923556207e-09,-103.81667926000002,-0.0026656333228376157,0.5,3325,16110432,-0.017828747744109325,0.588384656,-0.02768166254820834,0.01,0.08694820148303156,-0.009152641747783906,-0.20250824618503038,-0.3728939334047562,-0.3419843533300739,33,0.2678928,-0.040672816009326235,0.0,-0.553771985765033,-0.08831546140683232,0.0,-0.30762293746885605,3,-0.09637654361231718,-0.4655532713065979,0.0,1.2768409795342603,0.0016406253707828,-0.11044030569762009,-0.15200407568082192,-33.889252471923825,0.2,36489,0.2342041015625,0.007661136554088443,0.0003,2.803833484649658,0.04528133,1.2189021110534668,0.9844812750816345,0.9939984083175659
-0.5344882344542231,58.78,-7.522308858878607e-09,-102.90212591,-0.002688546148794023,0.5,3367,16147296,-0.018316214605874848,0.588243344,-0.0284921997202405,0.01,0.08677241676254925,-0.00925722682544499,-0.20271214528773582,-0.3692973249537185,-0.3415307939611495,43,0.2685072,-0.040169981272872086,0.0,-0.5516251425340281,-0.08800029947944382,0.0,-0.30369709235073117,4,-0.09668765754397105,-0.47152331284269067,0.0,1.2800082316998176,0.0016357425661731719,-0.11019606277272474,-0.15278767986572744,-33.917182498508026,0.2,36493,0.3378499348958333,-0.002266558398130453,0.0003,1.4991788731680975,0.031675287,0.5079236030578613,0.991362452507019,0.9961690306663513
-0.5343627787143214,59.41,-7.978729412831688e-09,-103.19646462000003,-0.002696157420404972,0.5,3405,16184160,-0.017755505756617315,0.588102032,-0.02641230208628287,0.01,0.08623311396368079,-0.009216140414310374,-0.2019524029799425,-0.37669059685414386,-0.3440221469498438,54,0.2691216,-0.03998534524472378,0.0,-0.5572103533674232,-0.08841083971382355,0.0,-0.3122144506599678,5,-0.09665493586091506,-0.46821083736079316,0.0,1.2710525079870314,0.0019270837591547105,-0.10995996657380186,-0.15222679965074837,-33.901354108537944,0.2,36495,0.285400390625,0.005085865867191127,0.0003,2.0762273584093367,0.04224335,0.8759337663650513,0.9882348775863647,0.9947938919067383
-0.5349042106977809,59.7,-8.150825435137815e-09,-103.39638317,-0.002683990271741166,0.5,3423,16221024,-0.018615422257021744,0.58796072,-0.027100104234271713,0.01,0.08627714441787418,-0.009180090837355605,-0.20063453756890523,-0.37066251594837657,-0.34460141100886027,64,0.269736,-0.04008796906140453,0.0,-0.5540117637218618,-0.08757074643616561,0.0,-0.3087880099455886,6,-0.09592084943630735,-0.47243424717361,0.0,1.270878884064019,0.0016715498608795719,-0.10944002981146603,-0.1521368354081581,-33.92323801252577,0.2,36499,0.3591037326388889,-0.0030697883210248416,0.0003,1.565776053402159,0.03405069,0.5735352635383606,0.9906948804855347,0.9964737892150879
-0.5348052152712971,59.35,-7.911725425351504e-09,-103.02817057,-0.0026929365747371593,0.5,3441,16257888,-0.017652966736932285,0.587819408,-0.02801706892433293,0.01,0.08594213659038699,-0.009207271039213847,-0.1993566633329249,-0.37696745174157553,-0.3421929203039841,74,0.2703504,-0.04037698039033001,0.0,-0.5514928079695036,-0.08847594552171123,0.0,-0.3093831637961943,7,-0.09597079300302042,-0.4629951473500269,0.0,1.2721691866877398,0.0016303171837029771,-0.11049331232210445,-0.15650004607587858,-33.896464824676514,0.2,36501,0.27862548828125,0.003523538944136817,0.0003,1.1816746890544891,0.035854995,0.2334974706172943,0.9932482242584229,0.9943262934684753
-0.5350721386013597,59.36,-6.94521719352114e-09,-102.86733534,-0.0026904928130358657,0.5,3453,16294752,-0.01814992789230827,0.587678096,-0.027739531616517123,0.01,0.08608026908011622,-0.009240316328486278,-0.19926850682012529,-0.37125069046569015,-0.34160488781607384,85,0.2709648,-0.04025934546918383,0.0,-0.5506109280125817,-0.08790475295257626,0.0,-0.30224520403031363,8,-0.09604985363723413,-0.46135204073724917,0.0,1.2706864141635863,0.0016487633676863173,-0.11056246704938155,-0.15448456967486487,-33.91199345058865,0.2,36505,0.2693684895833333,-0.004862669493175215,0.0003,2.2961641715632544,0.020229422,1.0163394212722778,0.9872021675109863,0.9956903457641602
-0.5346699374231298,59.31,-7.3235961201478915e-09,-103.32054930999999,-0.0027164570564708855,0.5,3465,16331616,-0.018443438960983057,0.587536784,-0.02590412712170866,0.01,0.08533515233050086,-0.009304123230521348,-0.19989281459515054,-0.37565178837925695,-0.3440770983953715,95,0.2715792,-0.03933143242255734,0.0,-0.5539076542079658,-0.08736021125928863,0.0,-0.30522052347824014,9,-0.09689339214670217,-0.46650574103098325,0.0,1.2574006498107135,0.0016308597373103516,-0.11105491838497722,-0.1544551484227517,-33.91393502553304,0.2,36509,0.2639499240451389,-0.006409198272093717,0.0003,2.2704860634273953,0.02210299,1.2617100477218628,0.986984372138977,0.9956026077270508
-0.5347609830318407,58.45,-7.52124490169215e-09,-103.64814655999997,-0.002718765648665365,0.5,3476,16368480,-0.019116995061469626,0.587395472,-0.026168985647536964,0.01,0.08541456635682015,-0.009314204638838076,-0.1976456273482862,-0.3748727393655359,-0.34401548338950977,106,0.2721936,-0.03943783230994392,0.0,-0.5527487940170712,-0.08563750716817603,0.0,-0.3021403062438915,10,-0.09682175275011902,-0.46540448015260594,0.0,1.2542473806234402,0.0015581600487672,-0.11090938697625712,-0.15341026109380163,-33.91514958275689,0.2,36513,0.3102959526909722,-0.006548339378140453,0.0003,1.4092457658714719,0.02694015,0.2589455246925354,0.9915771484375,0.9956655502319336
