reward_terms/upright,time/iterations,reward_terms/time,rollout/ep_rew_mean,reward_terms/stop,reward_terms/phase_contact,reward_terms/residual_rate,reward_terms/vz,curriculum/ent_coef,reward_terms/clearance,reward_terms/energy,reward_terms/air_time,reward_terms/coef_rate,curriculum/ctrl_drop_prob,reward_terms/step_rate,curriculum/stance_ratio,reward_terms/action_rate,curriculum/sprint_dist_m,reward_terms/motor_vel,reward_terms/torque,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,reward_terms/ang_xy,reward_terms/stance,reward_terms/stance_time,time/total_timesteps,reward_terms/foot_ahead,reward_terms/assist_pen,reward_terms/residual,reward_terms/alive,time/time_elapsed,reward_terms/angmom,reward_terms/height,reward_terms/lat_vel,time/fps,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/hip_roll,train/approx_kl,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,train/std,train/n_updates,train/loss,train/clip_fraction,train/policy_gradient_loss
-0.5959205414544152,1,-0.5,-143.2445237525773,0.0,-0.2597658099114898,0.0,-0.23334128213626704,0.01,0.06934167108933346,0.0,0.000492620951263234,-0.27153482008589924,0.0,0.0,0.65,-0.04339393121548272,25.0,0.0,0.0,0.0,-0.36983115453588566,-0.5680979019207697,-0.008705258232781666,-0.00023681436949926947,18432,0.0,0.0,-0.09892137687881972,0.0,4,-0.23230098545574535,-0.043644728949872,-5.287496601005558e-08,4143,173.94845360824743,0.0,0.0,-1.34273087504556,-0.03390677738576278,,,,,,,,,,,
-0.7516642683354098,2,-0.5,-149.41690110999997,0.0,-0.24326081072006447,0.0,-0.2684605781167496,0.01,0.0680973235703436,0.0,0.00018337656769694554,-0.18648480288861577,0.0,0.0,0.65,-0.04017299672641491,25.06912,0.0,0.0,0.0,-0.33503709855210073,-0.541183006164422,-0.0068681698807722645,-0.00029825622590983077,36864,0.0,0.0,-0.10057226349634962,0.0,9,-0.22590502736516546,-0.06250116347421397,-3.0933340490378176e-08,3997,198.65,0.0,0.0,-1.4527545675461653,-0.02368476975591179,0.013041149,0.12658154964447021,0.00029993856,-19.87685556411743,0.2,612.5729110717773,1.00143563747406,15459,145.44760131835938,0.11690673828125,-0.001477400620933622
-0.7881604705177391,3,-0.5,-145.6450261,0.0,-0.23660483898973242,0.0,-0.23291442895123782,0.01,0.06546880362525608,0.0,9.765612453015315e-05,-0.17540153453060775,0.0,0.0,0.65,-0.03863665621964422,25.13824,0.0,0.0,0.0,-0.3196268130727147,-0.5671730397657869,-0.005271706456750826,-7.744574880537887e-05,55296,0.0,0.0,-0.10140959536642406,0.0,13,-0.23363518941917175,-0.0593005036726878,-2.9586425834941156e-08,4060,183.56,0.0,0.0,-1.4047922081675959,-0.019484847596078974,0.003280782,0.7816368937492371,0.00029987712,-19.865825748443605,0.2,337.3843490600586,1.0001945495605469,15463,72.71788024902344,0.0108154296875,-0.002365573775023222
-0.7735350064504716,4,-0.5,-142.71251604999998,0.0,-0.2387439917548812,0.0,-0.25663575241100844,0.01,0.06545972983821471,0.0,0.0,-0.16145237227070738,0.0,0.0,0.65,-0.03759346322393939,25.20736,0.0,0.0,0.0,-0.30281205239413755,-0.558502678016049,-0.0018206393252608688,-2.821139059960842e-05,73728,0.0,0.0,-0.10160104650578074,0.0,18,-0.24810743397140683,-0.06161689973618947,-2.924522460933981e-08,4090,171.78,0.0,0.0,-1.334669058075522,-0.016353010035074833,0.0035466235,0.8879746198654175,0.00029981568,-19.86461486816406,0.2,231.6199131011963,1.0000567436218262,15467,58.107704162597656,0.00963134765625,-0.0027289992314763365
-0.7705489756374474,5,-0.5,-142.86203067,0.0,-0.23577428081094018,0.0,-0.23149504124513542,0.01,0.0653109018435521,0.0,7.758241715944475e-05,-0.1553222921363596,0.0,0.0,0.65,-0.03660572053124175,25.27648,0.0,0.0,0.0,-0.309378832357199,-0.5577588437397157,-0.003986966639934095,-2.034438592899177e-06,92160,0.0,0.0,-0.10176671328695977,0.0,22,-0.23913892602927211,-0.05808412881110511,-2.933282570675057e-08,4110,172.38,0.0,0.0,-1.2990920290155685,-0.015410045062607479,0.0045618536,0.9209617376327515,0.00029975423999999997,-19.865112686157225,0.2,208.39292182922364,1.0001180171966553,15471,46.91529846191406,0.013916015625,-0.00308596424292773
-0.7626860128528715,6,-0.5,-141.2873146,0.0,-0.23293950881790643,0.0,-0.24718430042739328,0.01,0.06634546269343033,0.0,4.231765180722707e-05,-0.16049551474439555,0.0,0.0,0.65,-0.03685819736668147,25.3456,0.0,0.0,0.0,-0.3054867417023057,-0.5518480818991385,-0.0015802953079257559,-3.811265277262363e-05,110592,0.0,0.0,-0.10200466088737546,0.0,26,-0.2519191911027272,-0.05916828595927321,-3.2526034231595034e-08,4127,166.0,0.0,0.0,-1.3355054196506073,-0.014997377196535485,0.0042797253,0.9422245025634766,0.0002996928,-19.865350437164306,0.2,176.33182373046876,1.0001356601715088,15475,38.56383514404297,0.01304931640625,-0.0030752421298529953
-0.7802144686850717,7,-0.5,-144.12311012,0.0,-0.25418795152528445,0.0,-0.21433103243787738,0.01,0.06326541608870845,0.0,7.161454090641605e-05,-0.1528348719144749,0.0,0.0,0.65,-0.03563135110311487,25.41472,0.0,0.0,0.0,-0.3062336878916392,-0.5395451764113353,-0.002238272439875941,-0.00023383107812454304,129024,0.0,0.0,-0.1025475154340715,0.0,31,-0.23571572400754418,-0.0554088820665644,-2.3922958302657242e-08,4137,177.44,0.0,0.0,-1.2664805210084558,-0.014117745320177748,0.00442692,0.9512366652488708,0.00029963136,-19.866094493865965,0.2,145.85489959716796,1.0002415180206299,15479,24.188098907470703,0.018212890625,-0.0032461003633216024
-0.7762321441314198,8,-0.5,-142.38168767000002,0.0,-0.25715627450372436,0.0,-0.21260305392532838,0.01,0.06316836882715507,0.0,5.967866551751892e-06,-0.15936426500193088,0.0,0.0,0.65,-0.035538018197906834,25.48384,0.0,0.0,0.0,-0.30595164852672885,-0.5501815971362432,-0.0012476940345912727,-1.668265516248842e-05,147456,0.0,0.0,-0.1026215425679014,0.0,35,-0.2343104982536344,-0.05598232425452976,-2.503396987101685e-08,4147,170.44,0.0,0.0,-1.223170115730018,-0.012414193746491387,0.004356993,0.9544053673744202,0.00029956992,-19.866508102416994,0.2,114.82011966705322,1.000234603881836,15483,22.426895141601562,0.01387939453125,-0.0036495321954134853
-0.7521904461222042,9,-0.5,-142.15419058,0.0,-0.2500267621729838,0.0,-0.22603570387154948,0.01,0.06337527969643025,0.0,3.906244657830232e-05,-0.15268466049060583,0.0,0.0,0.65,-0.034656187506297356,25.55296,0.0,0.0,0.0,-0.3197547486986018,-0.560174442536611,-0.0008627453277655448,-2.9296549554500314e-05,165888,0.0,0.0,-0.10257949826027526,0.0,39,-0.25172720996741366,-0.05296552814655338,-2.9898767135305444e-08,4155,169.53,0.0,0.0,-1.2479422003636216,-0.010954179760252739,0.004141273,0.9443805813789368,0.00029950848,-19.866096687316894,0.2,97.87710180282593,1.0001392364501953,15487,15.019058227539062,0.01453857421875,-0.004161465633660555
-0.743090536119216,10,-0.5,-142.21363069,0.0,-0.2593412717467531,0.0,-0.1929882151278596,0.01,0.060116070335126386,0.0,1.6276016443346936e-05,-0.1498990606768399,0.0,0.0,0.65,-0.034363269517280415,25.62208,0.0,0.0,0.0,-0.31837086667716624,-0.5555649518687497,-0.0006994713377516507,-4.5301062831034265e-05,184320,0.0,0.0,-0.10300175225326141,0.0,44,-0.22257884481455661,-0.04873833607976227,-2.7109130842170594e-08,4158,169.84,0.0,0.0,-1.2269847926772306,-0.011665816052448598,0.0065105907,0.9259975552558899,0.00029944704,-19.865117931365965,0.2,86.39112348556519,1.0001130104064941,15491,14.695145606994629,0.03037109375,-0.004718916764250025
-0.7305312566696661,11,-0.5,-142.67499336,0.0,-0.26220803235988144,0.0,-0.20167886632923873,0.01,0.06146973894698166,0.0,1.085058708364765e-06,-0.15948213971045677,0.0,0.0,0.65,-0.03438858794554703,25.6912,0.0,0.0,0.0,-0.3066027336072611,-0.5348832155949085,-0.0013679071940305132,-2.848226965094606e-06,202752,0.0,0.0,-0.10303149948112293,0.0,48,-0.2237376921531674,-0.05203375860413981,-2.6566880644692152e-08,4144,171.69,0.0,0.0,-1.2080618382416488,-0.010908945291701867,0.006549044,0.8948560953140259,0.0002993856,-19.86667709350586,0.2,67.64489889144897,1.000325322151184,15495,10.64680004119873,0.0368896484375,-0.005367292556911707
-0.738659105516634,12,-0.5,-143.92012191,0.0,-0.2636911769236518,0.0,-0.20862297457801654,0.01,0.05993602499730666,0.0,7.86674661665327e-05,-0.15034129366645904,0.0,0.0,0.65,-0.033733953351815706,25.76032,0.0,0.0,0.0,-0.32631921764243166,-0.5311789908833928,-0.0013074303392538826,-0.00011705103032808338,221184,0.0,0.0,-0.10316582129406682,0.0,53,-0.24019930739755793,-0.05163338463871827,-2.3458669882370896e-08,4132,176.66,0.0,0.0,-1.2074789457901205,-0.010742238011655872,0.006319368,0.881578803062439,0.00029932415999999997,-19.86805114746094,0.2,45.47701549530029,1.0004799365997314,15499,7.184121608734131,0.04453125,-0.005665890383534133
-0.7082320994879079,13,-0.5,-144.98033443999998,0.0,-0.2811896376996701,0.0,-0.17987882645954548,0.01,0.05903694172855188,0.0,2.2786407498642802e-05,-0.15529909677790565,0.0,0.0,0.65,-0.03395473365931962,25.829439999999998,0.0,0.0,0.0,-0.32045514104733097,-0.5221198768839882,-0.0035514411335712984,-1.3562837719089455e-06,239616,0.0,0.0,-0.103377615058304,0.0,58,-0.2063038262323987,-0.048491542353381066,-2.5158400071582127e-08,4129,180.85,0.0,0.0,-1.201389510733623,-0.011341610649564203,0.008579345,0.8524465560913086,0.00029926272,-19.86809892654419,0.2,32.40316014289856,1.0004428625106812,15503,6.214916229248047,0.05615234375,-0.007156436226796359
-0.7200204185096244,14,-0.5,-143.48693694,0.0,-0.2651918855274793,0.0,-0.1874244953364533,0.01,0.057388201068258066,0.0,2.766922504330675e-05,-0.15814563600337964,0.0,0.0,0.65,-0.033116833851300875,25.89856,0.0,0.0,0.0,-0.33190988610263417,-0.5418079566765087,-0.002413979305708397,-3.472187866767248e-05,258048,0.0,0.0,-0.10337951492782084,0.0,62,-0.22448073395939108,-0.048224770142861556,-2.710567034303666e-08,4135,174.9,0.0,0.0,-1.2015341063478793,-0.010745691685952265,0.008081415,0.8316233158111572,0.00029920128,-19.869452953338623,0.2,22.48919024467468,1.00084388256073,15507,6.523172378540039,0.07586669921875,-0.006599530344828963
-0.7127487788891197,15,-0.5,-146.09106134,0.0,-0.27709402106440106,0.0,-0.17934875666996825,0.01,0.05862626404379703,0.0,1.9531182867164414e-05,-0.16547541175462124,0.0,0.0,0.65,-0.03344123275653149,25.96768,0.0,0.0,0.0,-0.3250409803618745,-0.5327278183649671,-0.00407188588682316,-7.731032221474581e-05,276480,0.0,0.0,-0.10345388054232854,0.0,66,-0.22069463852526805,-0.04994734032626153,-2.2686309046804514e-08,4141,185.35,0.0,0.0,-1.1968487264391294,-0.011940904977456689,0.010135626,0.7818630933761597,0.00029913984,-19.871423530578614,0.2,17.25827751159668,1.0009523630142212,15511,4.435515880584717,0.09251708984375,-0.00941841019957792
