time/total_timesteps,reward_terms/foot_slip,ankle/ankle_spring_energy_peak,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/residual,reward_terms/overrun,reward_terms/time,reward_terms/vz,reward_terms/action_rate,reward_terms/assist_pen,curriculum/ent_coef,reward_terms/torque,ankle/ankle_defl_peak,reward_terms/motor_vel,reward_terms/alive,reward_terms/stop,reward_terms/foot_ahead,reward_terms/duty_sym,time/time_elapsed,reward_terms/angmom,reward_terms/stance_time,reward_terms/stance,reward_terms/phase_contact,time/fps,ankle/ankle_spring_trq_peak,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/energy,curriculum/ctrl_jitter_ms,reward_terms/residual_rate,reward_terms/lat_vel,reward_terms/upright,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,rollout/ep_rew_mean,curriculum/eff_scale,rollout/ep_len_mean,time/iterations,reward_terms/height,reward_terms/hip_roll,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates
221184,-0.5070999298722756,0.0,-1.0323193138152051,0.00021213051513768733,-0.06038365474812443,0.0,-0.5,-0.14201106441760236,-0.21322738383556436,0.0,0.01,-0.0003559345865224532,0.518641871652182,-4.838277602136639e-06,0.0,0.0,0.0,0.0,55,-0.13748899118673125,0.0,-0.0025888068812383886,-0.24957655046433214,4011,0.0,0.649805696,0.0,-0.022580295138888106,-3.705512756919672e-05,0.0,0.0,-4.2973730123897876e-08,-0.12126401736835292,25.12672,0.06053203327557968,-1.5707898133969913,-0.3277609171417844,-129.36721900999999,0.0008448,117.73,12,-0.01713758628744114,-0.04150219809750647,-34.07081241607666,703.8796966552734,0.2,0.6401917934417725,1.001479148864746,0.00588954,-0.011937062558718025,0.000299898624,0.01986083984375,332.98193359375,44
239616,-0.5132159101729648,0.0,-0.9958155081429219,0.00016004725087744495,-0.060031491388383214,0.0,-0.5,-0.1504952632622455,-0.21398008263246476,0.0,0.01,-0.00038880008159802686,0.5193454044690368,-5.365701735301405e-06,0.0,0.0,0.0,-0.00011621981580275253,59,-0.1373021052981174,0.0,-0.0014522072223730328,-0.2515842410130488,4015,0.0,0.649788032,0.0,-0.02233072916666591,-4.0974201905805454e-05,0.0,0.0,-4.0574443805694565e-08,-0.13458638495354527,25.13824,0.061255864743885856,-1.552753625592892,-0.33347317433751744,-129.34916232,0.0009216,117.71,13,-0.018878134776672224,-0.041900274475221516,-34.06415004730225,658.7520355224609,0.2,0.6085208058357239,1.001052737236023,0.004350567,-0.010748880886239931,0.00029988940799999996,0.01094970703125,296.7818603515625,48
258048,-0.5080193228874825,0.0,-1.023582418994389,0.0002425124888153126,-0.06034427390709428,0.0,-0.5,-0.1429759487493008,-0.21480101029683862,0.0,0.01,-0.000423387468734803,0.5193706424254455,-5.88807883021869e-06,0.0,0.0,0.0,-1.2739029638061116e-05,64,-0.13682258237917627,0.0,-0.001282808025688534,-0.25213066070458023,4020,0.0,0.649770368,0.0,-0.02209201388888814,-4.418174007775722e-05,0.0,0.0,-4.1753770263005024e-08,-0.11637489426251135,25.14976,0.06137970285332796,-1.5653482904822855,-0.3299783413083354,-129.11260579,0.0009984,116.69,14,-0.017554352216272367,-0.04071332164988248,-34.064677238464355,610.1420654296875,0.2,0.5885884761810303,1.0010838508605957,0.0027408958,-0.007761016301810741,0.000299880192,0.00322265625,253.5466766357422,52
276480,-0.534263557749932,0.0,-1.0416032292731088,0.00022732154401536618,-0.06030071994020287,0.0,-0.5,-0.13924581264785874,-0.21479872554111057,0.0,0.01,-0.0004559554880125387,0.5194709584632538,-6.389386091574551e-06,0.0,0.0,0.0,-0.0001190775759374644,68,-0.13489238841754286,0.0,-0.0028399688210929957,-0.264208031787055,4024,0.0,0.6497527040000001,0.0,-0.02223307291666593,-4.8031413730396346e-05,0.0,0.0,-4.022775358636709e-08,-0.12083489308771685,25.16128,0.05835359845664174,-1.5527565714574374,-0.33627239806359416,-130.24492185,0.0010752,121.27,15,-0.018013633951178706,-0.042708988883333604,-34.06620616912842,527.6538238525391,0.2,0.5300613641738892,1.0010851621627808,0.002847129,-0.007694126456044614,0.000299870976,0.00413818359375,254.8107452392578,56
294912,-0.4929971297675802,0.0,-1.0518916932324145,0.0001888015863692595,-0.06021895797727133,0.0,-0.5,-0.14423500972798664,-0.21542212982556647,0.0,0.01,-0.00048301024295539563,0.5194267444746445,-7.072617867114106e-06,0.0,0.0,0.0,-8.951870234228948e-05,73,-0.14877546624354507,0.0,-0.005337512523294084,-0.25162584142778505,4027,0.0,0.64973504,0.0,-0.022070312499999252,-5.1680875725335475e-05,0.0,0.0,-3.9306046442828536e-08,-0.1258395154235243,25.1728,0.06119359192867676,-1.5565100110472407,-0.3400808299910271,-130.1560691,0.001152,120.89,16,-0.018998256784802926,-0.0410893943010812,-34.06653251647949,454.05892486572264,0.2,0.48108237981796265,1.001116156578064,0.0026863785,-0.007402100646868348,0.00029986176,0.00357666015625,198.02088928222656,60
313344,-0.5286264409959582,0.0,-1.1339524360119817,0.00013563330220575962,-0.06043885800365439,0.0,-0.5,-0.14646924326247174,-0.21447893654662423,0.0,0.01,-0.0005227495623738233,0.5247806484285418,-7.480234041260511e-06,0.0,0.0,0.0,-2.510224502230591e-06,77,-0.15800784956138447,0.0,-0.001426332724765454,-0.24570754822437696,4028,0.0,0.649717376,0.0,-0.022732204861110328,-5.528284704088509e-05,0.0,0.0,-3.8535642848617554e-08,-0.14621204679620373,25.18432,0.059511029210806615,-1.5610756543307083,-0.3650013805332636,-132.23142932000002,0.0012288,129.2,17,-0.021072797936637935,-0.039770736070485375,-34.067269515991214,425.0728042602539,0.2,0.4591044783592224,1.0011855363845825,0.0025300838,-0.007052332989405841,0.000299852544,0.0026123046875,217.79281616210938,64
331776,-0.5147025803227414,0.0,-1.0838986204012808,0.00024251249204907153,-0.060456631238026026,0.0,-0.5,-0.1371902812554837,-0.2137833663646649,0.0,0.01,-0.0005640297966652859,0.5192480895314764,-8.119527531872204e-06,0.0,0.0,0.0,-7.4937208746014e-05,82,-0.1457320053281325,0.0,-0.0011821735685406598,-0.26383241447656686,4030,0.0,0.649699712,0.0,-0.02178819444444373,-5.95560644250067e-05,0.0,0.0,-4.0523004971581075e-08,-0.12689698256953932,25.19584,0.06197011931793028,-1.5658147657260189,-0.35872486053910113,-130.97384083999998,0.0013056,124.19,18,-0.01787501768261339,-0.0437088926741906,-34.06549835205078,376.8290252685547,0.2,0.3948326110839844,1.0010305643081665,0.0030699156,-0.008055076655000448,0.000299843328,0.00460205078125,175.1010284423828,68
350208,-0.5061132066874738,0.0,-1.1332500280891487,0.000196397042600438,-0.06031459311829934,0.0,-0.5,-0.14778309846130708,-0.21373628423222057,0.0,0.01,-0.000580968365825616,0.5205851241749787,-8.430241849824819e-06,0.0,0.0,0.0,-0.0009891921480147908,86,-0.1589427487761207,0.0,-0.0015878970506271511,-0.2576363159890302,4031,0.0,0.6496820480000001,0.0,-0.022406684027777027,-6.220412476099506e-05,0.0,0.0,-3.893537893838812e-08,-0.1432612329325569,25.20736,0.06049372188241686,-1.5492407479173675,-0.35189400603014587,-132.17656896,0.0013824,128.96,19,-0.02057750246841083,-0.04071611534625391,-34.06654605865479,350.43817749023435,0.2,0.37139666080474854,1.001177430152893,0.0031722006,-0.00815017024287954,0.000299834112,0.0058349609375,163.48672485351562,72
368640,-0.4837777411024806,0.0,-1.1382915609080504,0.00021430073280094398,-0.060439909972354725,0.0,-0.5,-0.15447257393679234,-0.21353979289822902,0.0,0.01,-0.0005852725491607342,0.5193607095061248,-8.609944832142134e-06,0.0,0.0,0.0,-0.0007098384820636203,91,-0.1687956699446093,0.0,-0.0008446375340563129,-0.24611613596214724,4032,0.0,0.649664384,0.0,-0.021386718749999298,-6.278028389413484e-05,0.0,0.0,-4.171940310345718e-08,-0.1622208529995401,25.21888,0.06556788289129237,-1.547550471447721,-0.3291763924066677,-131.87260599,0.0014592,127.78,20,-0.02288530704006446,-0.04363801503405663,-34.06453304290771,315.83616333007814,0.2,0.3323650360107422,1.0009130239486694,0.0033445724,-0.008164127776399254,0.00029982489599999996,0.00572509765625,140.63150024414062,76
387072,-0.5195623490722037,0.0,-1.1334348982385116,0.0002039926217144562,-0.06037780811619184,0.0,-0.5,-0.1432834350823139,-0.21382289936643825,0.0,0.01,-0.0006242672786071334,0.5193918639820576,-9.619041951478899e-06,0.0,0.0,0.0,-0.0003173996214695955,95,-0.16481944457063397,0.0,-0.0019180672964221506,-0.2759125911982862,4034,0.0,0.64964672,0.0,-0.022840711805554786,-6.911975651880032e-05,0.0,0.0,-3.8800064854251465e-08,-0.14459687867789245,25.2304,0.058698582005636886,-1.5565284684186653,-0.3499105690130745,-131.40713513999998,0.001536,125.94,21,-0.01959466694884185,-0.04139266847678478,-34.063134574890135,294.89491271972656,0.2,0.2977282404899597,1.0010836124420166,0.004198537,-0.009175291785504669,0.00029981568,0.01038818359375,136.18226623535156,80
