rollout/ep_rew_mean,curriculum/ctrl_drop_prob,reward_terms/foot_slip,reward_terms/torque,reward_terms/stop,reward_terms/stance_time,time/iterations,reward_terms/clearance,reward_terms/fwd_speed,time/total_timesteps,reward_terms/vz,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/time,reward_terms/ang_xy,reward_terms/foot_ahead,reward_terms/assist_pen,reward_terms/height,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/action_rate,curriculum/eff_scale,curriculum/ent_coef,reward_terms/air_time,reward_terms/step_rate,curriculum/sprint_dist_m,reward_terms/lat_vel,reward_terms/stance,reward_terms/overrun,reward_terms/residual_rate,reward_terms/motor_vel,time/fps,time/time_elapsed,reward_terms/upright,reward_terms/angmom,reward_terms/energy,reward_terms/coef_rate,reward_terms/residual,reward_terms/duty_sym,reward_terms/phase_contact,reward_terms/alive,train/clip_fraction,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate
-139.65629569,0.0,-0.29433057066147317,0.0,0.0,-0.0021013615413620654,1,0.05156615271847955,-0.2901019310076849,18432,-0.18359226196499817,-0.10826436161066487,159.85,-0.5,-0.32495746158706496,0.0,0.0,-0.022642141919878126,0.65,0.0,-0.00971164967469914,0.0,0.01,0.0001725258027565562,0.0,25.0,-0.3528780626520095,-0.38298991038753794,0.0,0.0,0.0,4159,4,-0.5570453106063222,-0.1686818625300017,0.0,-0.11998019727473469,-0.1144763254927162,0.0,-0.4385621033129384,0.0,,,,,,,,,,,
-137.81834749,0.0,-0.27248818543335995,-1.1363372167406132e-05,0.0,-0.003328841834445484,2,0.05422090176337753,-0.22188301633897373,36864,-0.20569937783190656,-0.12391907662505743,152.21,-0.5,-0.34109933636730605,0.0,0.0,-0.0185804625351952,0.649982336,0.0,-0.006080401161831197,7.68e-05,0.01,0.00018391900488899814,0.0,25.01152,-0.34086464639820435,-0.47860724133380905,0.0,0.0,-3.0148390342163574e-07,4001,9,-0.5739113718278553,-0.19612691813938937,-1.3962362279341813e-06,-0.08373420418893848,-0.11530244549104281,0.0,-0.4539593790554916,0.0,0.07972412109375,1.3199326992034912,1.0004898309707642,8.051570057868958,55216,-19.866285705566405,0.2,-0.003763704025186598,0.09216904640197754,0.008827763,0.00029993856
-144.49319301999998,0.0,-0.4524066363107123,-4.8314180334350655e-05,0.0,-0.002068131455517788,3,0.06029247011463295,-0.39049475794404115,55296,-0.1907611417424241,-0.25872285160879666,179.35,-0.5,-0.4623772659886205,0.0,0.0,-0.025734934491415618,0.6499646720000001,0.0,-0.02003225262880485,0.0001536,0.01,0.00040581540734921064,0.0,25.02304,-0.3744275340584091,-0.5887545315802322,0.0,0.0,-9.565333182934919e-07,4071,13,-0.6207978551545215,-0.26157250930926085,-5.503928355028676e-06,-0.2143174437504217,-0.11174189307784091,0.0,-0.47570697579562726,0.0,0.091357421875,0.12120527029037476,1.0002301931381226,1.7737586677074433,55220,-19.86432933807373,0.2,-0.0010594899998977781,-1.7051053047180176,0.012416763,0.00029987712
-151.71825653,0.0,-0.5484438861931369,-7.582710388531531e-05,0.0,-0.0012623357308459366,4,0.0645393283651091,-0.3448474846760078,73728,-0.19239224120631485,-0.17831846405603635,208.78,-0.5,-0.38569479075551405,0.0,0.0,-0.030634729038087907,0.649947008,0.0,-0.026564258596180584,0.0002304,0.01,0.00027072430627110106,0.0,25.03456,-0.360342865958439,-0.481571577395607,0.0,0.0,-1.4061395023066663e-06,4118,17,-0.6618906077089961,-0.21410265520614633,-8.341925681412558e-06,-0.29692270261243664,-0.11030122696199138,0.0,-0.5052148374551603,0.0,0.2001681857638889,5.701768398284912,0.9999467730522156,25.132070859273274,55222,-19.863231658935547,0.2,0.008627590361154742,-0.5369441509246826,0.039980568,0.00029981568
-154.63370263,0.0,-0.5887023937598922,-0.00011166097009394187,0.0,-0.004160274420024103,5,0.062059188849026094,-0.2806819026574211,92160,-0.15914311684569735,-0.16601326753550377,220.3,-0.5,-0.3931350515371485,0.0,0.0,-0.02429919836952715,0.649929344,0.0,-0.03096555381582868,0.0003072,0.01,0.00025553339704250294,0.0,25.04608,-0.24653489417787078,-0.37592182786101896,0.0,0.0,-1.896394819522464e-06,4136,22,-0.5217968605637197,-0.18661318738350915,-1.149944610876477e-05,-0.3219782414614858,-0.11012330994760242,0.0,-0.5308552261793081,0.0,0.0316162109375,3.568589925765991,1.0000426769256592,14.529550695419312,55226,-19.863533973693848,0.2,-0.008033649588469416,-0.09678828716278076,0.0066087455,0.00029975423999999997
-154.34352583,0.0,-0.6564662063581095,-0.000145242264531951,0.0,-0.004358026782736286,6,0.0577747236410969,-0.24458271619722907,110592,-0.16673364214724556,-0.14188875210261648,221.67,-0.5,-0.3840134172403086,0.0,0.0,-0.028892536676367916,0.64991168,0.0,-0.034858674149154834,0.000384,0.01,9.006058098748326e-05,0.0,25.0576,-0.2932427852420495,-0.3373251998988014,0.0,0.0,-2.4550528073356487e-06,4149,26,-0.5111090256780891,-0.178442597373138,-1.4841625806896432e-05,-0.340866848565393,-0.10880172920138761,0.0,-0.5074897510919045,0.0,0.023974609375,4.960848808288574,1.000032663345337,17.979163122177123,55230,-19.863483047485353,0.2,-0.008439126901794224,0.5560321807861328,0.0058106603,0.0002996928
-155.44116118,0.0,-0.627638583181568,-0.00015091072181483867,0.0,-0.007051706150782088,7,0.05685733258249584,-0.12683035375651228,129024,-0.1657566901305875,-0.09991384012762393,237.72,-0.5,-0.3524120647206859,0.0,0.0,-0.03142033005211481,0.6498940160000001,0.0,-0.0410543648125438,0.0004608,0.01,0.00017252573484761847,0.0,25.06912,-0.21240587303334654,-0.16945265720895114,0.0,0.0,-2.781669944310678e-06,4157,31,-0.4147679096552515,-0.14475454844171015,-1.6598986565754654e-05,-0.32761491142638954,-0.10690909323066289,0.0,-0.46597386555074116,0.0,0.02200927734375,6.92705774307251,1.0000518560409546,23.11122350692749,55234,-19.86411476135254,0.2,-0.007060990890022367,0.7831097841262817,0.0058301836,0.00029963136
-156.07436093,0.0,-0.6293912196283213,-0.00015994173664110137,0.0,-0.009363982781198703,8,0.04662623726434484,0.021622953097198718,147456,-0.16175406293763875,-0.08425577886591623,244.23,-0.5,-0.32356703050447777,0.0,0.0,-0.030729793764940932,0.649876352,0.0,-0.04243993948574448,0.0005376,0.01,9.060311519230406e-05,0.0,25.08064,-0.20319479184692613,-0.14039899423916455,0.0,0.0,-2.9802243522807403e-06,4166,35,-0.3518524174394192,-0.11857505054414227,-1.802087443462746e-05,-0.32544870403161674,-0.1064470988778131,0.0,-0.47630129601189775,0.0,0.01024169921875,17.344966888427734,1.0000147819519043,58.79804706573486,55238,-19.864222526550293,0.2,-0.0043115531676448885,0.8726897239685059,0.0037335702,0.00029956992
-157.00961422999998,0.0,-0.6510534492939121,-0.00017910113309965294,0.0,-0.014149132808799751,9,0.0518801888049751,0.03759826669685946,165888,-0.16916168290919076,-0.06996837732913479,251.96,-0.5,-0.3382595276399964,0.0,0.0,-0.037251825938918105,0.649858688,0.0,-0.04536848048155545,0.0006144,0.01,1.844613386007647e-05,0.0,25.09216,-0.21544865749111772,-0.08571932019569209,0.0,0.0,-3.421152516738717e-06,4175,39,-0.36998746366903945,-0.13382450308675503,-2.0676747809986105e-05,-0.34351664845033864,-0.10510921865857044,0.0,-0.4316950333294846,0.0,0.00504150390625,19.67470359802246,0.9999666810035706,55.0754056930542,55242,-19.864002227783203,0.2,-0.003714197943918407,0.8859692811965942,0.0030038282,0.00029950848
-156.73325772,0.0,-0.565883416761245,-0.00020059899330068204,0.0,-0.014135569039758088,10,0.05418835406870834,-0.13487446052866423,184320,-0.1349402787867341,-0.06867295685311507,246.25,-0.5,-0.2999825250878383,0.0,0.0,-0.027481354234615993,0.649841024,0.0,-0.04600166940935926,0.0006912,0.01,9.006065536393887e-05,0.0,25.10368,-0.19398349559239247,-0.05099684325511212,0.0,0.0,-3.8392930721860416e-06,4178,44,-0.32952179926280173,-0.12643514957119414,-2.3283824842863378e-05,-0.3274853470337583,-0.10507110482008848,0.0,-0.4059154347582268,0.0,0.00928955078125,17.79725456237793,0.999967098236084,53.25131034851074,55246,-19.86397762298584,0.2,-0.004166241944767534,0.8743263483047485,0.0037231944,0.00029944704
-152.55450760000002,0.0,-0.6208448914566858,-0.00022028181480155813,0.0,-0.009988711066802757,11,0.051672286510036206,0.14324582388475607,202752,-0.16489526479241604,-0.062455864352045455,232.42,-0.5,-0.33313559683044125,0.0,0.0,-0.035202704327730074,0.6498233600000001,0.0,-0.044341444461368576,0.000768,0.01,2.8754264349117875e-05,0.0,25.1152,-0.1886503474315332,-0.057426096949831744,0.0,0.0,-4.29012527068263e-06,4184,48,-0.3272946547016104,-0.1383445281578567,-2.5452066090303474e-05,-0.3261847863946221,-0.10541594492564797,0.0,-0.4158590745003559,0.0,0.0105712890625,17.476573944091797,0.9999595880508423,49.84408378601074,55250,-19.864146423339843,0.2,-0.0047872890601865946,0.8600669503211975,0.004335361,0.0002993856
