reward_terms/coef_rate,reward_terms/lat_vel,time/time_elapsed,reward_terms/residual,reward_terms/energy,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/stop,reward_terms/clearance,reward_terms/foot_ahead,reward_terms/action_rate,time/iterations,rollout/ep_rew_mean,time/fps,reward_terms/phase_contact,reward_terms/hip_roll,reward_terms/time,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/upright,reward_terms/angmom,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/torque,reward_terms/stance,reward_terms/assist_pen,curriculum/ent_coef,curriculum/ctrl_drop_prob,curriculum/stance_ratio,reward_terms/fwd_speed,reward_terms/alive,reward_terms/height,curriculum/ctrl_jitter_ms,reward_terms/overrun,time/total_timesteps,reward_terms/ang_xy,reward_terms/air_time,reward_terms/vz,train/approx_kl,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates
-1.5271093248376926,-2.1889060997715434e-08,6,-0.10428851867164694,0.0,221.35526315789474,0.0,0.0,0.05430732737718688,0.0,-0.12228096864776042,1,-155.31985543421052,3064,-0.34282378251796086,-0.218816660138916,-0.5,25.0,0.0,-0.3558169540257194,-0.18642858061786066,-0.4243715114380715,-0.004940438299349302,0.0,-0.001977895677165757,0.0,0.01,0.0,0.65,-1.097700915461725,0.0,-0.029609035336797082,0.0,0.0,18432,-0.3205975409682441,0.0007318785905631052,-0.234170129004046,,,,,,,,,,,
-1.5010788861156803,-2.5216826743321304e-08,12,-0.10240162153242191,-3.0912112323184287e-06,197.94,-4.234714991294369e-07,0.0,0.05243225826895265,0.0,-0.12567485726598915,2,-149.44242518,3051,-0.3447115751938433,-0.21170574638051398,-0.5,25.01152,7.68e-05,-0.4644131444397841,-0.17722428462620374,-0.4431271426427672,-0.0019486404716088953,-3.313028054701736e-05,-0.008553849750260974,0.0,0.01,0.0,0.649982336,-1.038786000543604,0.0,-0.028956525129249185,0.0,0.0,36864,-0.357995822063597,0.0010633668183193852,-0.2428451265282247,0.009749563,43.43450164794922,0.00029995392,0.2,-4.3373915832489726e-05,1.0009026527404785,243.0014762878418,0.42976945638656616,-34.0658899307251,0.142724609375,7376
-1.4895279964090957,-2.4205379671798542e-08,16,-0.10233848617003359,-6.061901641229369e-06,208.16,-8.111240018634283e-07,0.0,0.05554324131822228,0.0,-0.12433861790048326,3,-151.77356784,3398,-0.3395630314722967,-0.225712241585375,-0.5,25.02304,0.0001536,-0.42117149779406104,-0.18624143281113745,-0.3939276554620294,-0.0022519163806767515,-6.313566626306386e-05,-0.005174264564061908,0.0,0.01,0.0,0.6499646720000001,-1.0379342517174883,0.0,-0.02675467422773166,0.0,0.0,55296,-0.3512077702870992,0.00092556308178852,-0.22842107167416867,0.0075549087,30.224048614501953,0.00029990784,0.2,-0.0058226976310834285,1.0002366304397583,154.64076042175293,0.8310554623603821,-34.05566215515137,0.0379150390625,7380
-1.431115336411061,-2.6239934901045427e-08,20,-0.10063401285455613,-8.952303409299446e-06,194.22,-1.2340014320547178e-06,0.0,0.053102646539614995,0.0,-0.13001667666259611,4,-148.50158068000002,3598,-0.3764901774439267,-0.2084055033559024,-0.5,25.03456,0.0002304,-0.4973530546266052,-0.1797403070750119,-0.44417010201346163,-0.0024755737750739274,-9.034900396947106e-05,-0.0068153343402729254,0.0,0.01,0.0,0.649947008,-1.0462755589018087,0.0,-0.029380554969201864,0.0,0.0,73728,-0.35249783903381493,0.0009912096720654517,-0.22234018916136383,0.006590358,30.749027252197266,0.00029986176,0.2,-0.008647116739302874,1.0003671646118164,122.22989387512207,0.8842840790748596,-34.05632152557373,0.06241455078125,7384
-1.4430998139602815,-2.5457773965221856e-08,24,-0.10164022843753748,-1.1664641138775007e-05,203.88,-1.5957862755870825e-06,0.0,0.05389036511258025,0.0,-0.1270370773715904,5,-150.94428097,3731,-0.3853833851047649,-0.22962216327744317,-0.5,25.04608,0.0003072,-0.44099243254251724,-0.17713191870735714,-0.4201776535531132,-0.006053579238747868,-0.00011434363373099647,-0.0013317146626266967,0.0,0.01,0.0,0.649929344,-1.0608975322531167,0.0,-0.026692932129051432,0.0,0.0,92160,-0.33303233849206093,0.0011290135476479514,-0.22237438100843418,0.009451183,29.727354049682617,0.00029981568,0.2,-0.010739086475223304,1.0006847381591797,117.65531616210937,0.9002230763435364,-34.060933113098145,0.0736572265625,7388
-1.367688511053934,-2.6075316735380633e-08,28,-0.10078896483248673,-1.470481561864496e-05,203.26,-2.038897307852665e-06,0.0,0.05449194829190617,0.0,-0.1294633308914791,6,-150.74359992,3830,-0.37323058554646643,-0.2330536130319687,-0.5,25.0576,0.000384,-0.45209656769844003,-0.1743344804564876,-0.37803969875578297,-0.005288335441340071,-0.00014560185950290364,-0.004594075255844653,0.0,0.01,0.0,0.64991168,-1.0526667008493893,0.0,-0.028312414862693615,0.0,0.0,110592,-0.3349399919500202,0.0010047732503153384,-0.21430781204503463,0.008915676,27.48127555847168,0.00029976959999999996,0.2,-0.00894437744282186,1.000704050064087,105.2280876159668,0.9213871955871582,-34.062645530700685,0.10921630859375,7392
-1.4134690834942096,-2.4421753003996373e-08,33,-0.10188355685640132,-1.7524241981292897e-05,216.11,-2.393901119244563e-06,0.0,0.056694656135449564,0.0,-0.12744208898478965,7,-153.96037328,3900,-0.37297300874326916,-0.2311166451582161,-0.5,25.06912,0.0004608,-0.3820079043983063,-0.18602023225199968,-0.38761512274262344,-0.006629477327805944,-0.00017033705543020758,-0.0032393957732447117,0.0,0.01,0.0,0.6498940160000001,-1.1459402033264676,0.0,-0.02763331186493012,0.0,0.0,129024,-0.3310334203453313,0.0011154504027217627,-0.22201106186962816,0.010788885,23.84779930114746,0.00029972352,0.2,-0.013961747742723674,1.0008540153503418,86.97234420776367,0.9089614152908325,-34.06270923614502,0.08521728515625,7396
-1.392142902741209,-2.4467143635677437e-08,37,-0.10198644750698253,-1.996993332306998e-05,217.47,-2.6863873979968597e-06,0.0,0.05417234983416948,0.0,-0.12848282827682428,8,-154.34385946999998,3959,-0.3746562728716104,-0.23291388392509094,-0.5,25.08064,0.0005376,-0.38561689044373787,-0.1843629172830872,-0.37960100769573485,-0.008958028487136794,-0.00018960999205120302,-0.007575665099855331,0.0,0.01,0.0,0.649876352,-1.151275484098207,0.0,-0.026577183628842118,0.0,0.0,147456,-0.3157827176968289,0.0008273646655854665,-0.21392478767365927,0.011759999,18.955368041992188,0.00029967744,0.2,-0.008843105641426518,1.0008938312530518,71.17862491607666,0.9255161881446838,-34.06484184265137,0.1171875,7400
-1.3645362419837426,-2.921652818698532e-08,41,-0.10219344298609236,-2.344580362092202e-05,223.85,-3.1497811759248222e-06,0.0,0.0538822745850534,0.0,-0.1270821513038053,9,-155.94018508000002,4002,-0.358304053786917,-0.24831195063644293,-0.5,25.09216,0.0006144,-0.3963283322003631,-0.18825878219709422,-0.3591701844914391,-0.0064280611598708974,-0.00022511185344029023,-0.013806788531778144,0.0,0.01,0.0,0.649858688,-1.2573708180151957,0.0,-0.03032971292723579,0.0,0.0,165888,-0.32449106075641737,0.001250542056772651,-0.2166821008558963,0.011868608,16.419984817504883,0.00029963136,0.2,-0.010529503406723961,1.0009393692016602,57.02172737121582,0.916302502155304,-34.0647554397583,0.14000244140625,7404
-1.3690989604229211,-2.727393773516865e-08,45,-0.10213386249431772,-2.5824306640621276e-05,223.99,-3.3586981032242157e-06,0.0,0.05346828454405168,0.0,-0.12944960422571214,10,-155.97247363000002,4039,-0.36448926961681705,-0.24750558252352142,-0.5,25.10368,0.0006912,-0.3741290948667506,-0.20045285246957623,-0.38803549014420446,-0.010089353469084017,-0.0002580220237979825,-0.016295800565824886,0.0,0.01,0.0,0.649841024,-1.1855656400369865,0.0,-0.03363611072516168,0.0,0.0,184320,-0.3238947424025355,0.0008279076589840568,-0.21902029023865482,0.012239664,11.803960800170898,0.00029958527999999996,0.2,-0.015474807959981263,1.0013988018035889,42.69663457870483,0.9036222696304321,-34.06793918609619,0.12064208984375,7408
