reward_terms/hip_roll,reward_terms/phase_contact,time/total_timesteps,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/fwd_speed,reward_terms/clearance,reward_terms/overrun,reward_terms/lat_vel,curriculum/eff_scale,rollout/ep_rew_mean,reward_terms/alive,reward_terms/stance,time/iterations,curriculum/sprint_dist_m,reward_terms/residual,reward_terms/upright,reward_terms/torque,reward_terms/ang_xy,time/time_elapsed,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/angmom,time/fps,reward_terms/assist_pen,reward_terms/vz,reward_terms/step_rate,curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/energy,reward_terms/motor_vel,reward_terms/height,reward_terms/time,reward_terms/foot_ahead,rollout/ep_len_mean,reward_terms/stop,reward_terms/stance_time,curriculum/stance_ratio,reward_terms/foot_slip,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/std
-0.21783714548218755,-0.19565920488092473,80017632,-0.1060724441418748,-0.5738042969443615,2.786459857044332,0.08074851247952358,0.0,-2.4415713442911963e-08,0.33333,575.62609612,0.0,-8.847518821081361e-08,1,74.99950000000001,-0.11073449382903475,-0.061868753052546056,-0.22005441973473533,-0.2928642629371314,5,2.2664304,0.0018858500956816392,-0.06342534181729147,3198,0.0,-0.055776843468702327,0.0,0.01,0.028330380000000002,-0.03694602210237175,-0.007428792794730892,-0.011071640901977466,-0.5,0.0,1496.41,0.0,-0.013620585382644398,0.5733341,-0.5024107080538018,,,,,,,,,,,
-0.21773354757467872,-0.1599526670368072,80036064,-0.09950567425777218,-0.5303965625708345,4.569963882847414,0.10782495311484032,0.0,-2.8400498615636433e-08,0.3334068,520.57512993,0.0,-4.1688737277373243e-07,2,75.01102,-0.11312216084317603,-0.04320717958514389,-0.25551199625371335,-0.3140091165186235,11,2.267352,0.0022113706703142575,-0.0627618842379431,3226,0.0,-0.05484196387328506,0.0,0.01,0.0283419,-0.043819779117371505,-0.008982881015709826,-0.013092812889272165,-0.5,0.0,1415.93,0.0,0.0,0.573316436,-0.5113680768748712,0.2,24486,0.020153236,0.000273327456,0.2090087890625,112.62682342529297,0.9085027575492859,277.11932373046875,-0.015296915546059608,-34.07797641754151,1.0019745826721191
-0.20606548746907022,-0.16586034241772232,80054496,-0.1008254251073017,-0.5321490603044015,4.464974065878943,0.11475164210886074,0.0,-2.8062952938111097e-08,0.3334836,489.08595619000005,0.0,0.0,3,75.02253999999999,-0.11286543002160301,-0.04873471066769398,-0.2563295729646707,-0.31524574543351114,15,2.2682736,0.0022791873715404007,-0.06721421604847741,3533,0.0,-0.057225791250900535,0.0,0.01,0.028353420000000004,-0.04392560507208453,-0.009041074814505397,-0.012151862850356696,-0.5,0.0,1369.56,0.0,0.0,0.573298772,-0.5086793066664916,0.2,24490,0.016449513,0.000273321312,0.190185546875,132.94723510742188,0.9328826069831848,272.80722579956057,-0.014481941051781178,-34.072822380065915,1.0015875101089478
-0.20328711003044053,-0.1668550855849199,80072928,-0.10172448836417272,-0.5338237393224783,4.394250670256137,0.12864060534841928,0.0,-2.8020923090380303e-08,0.3335604,471.14668779000004,0.0,0.0,4,75.03406,-0.11278104540234304,-0.04887045850860572,-0.2574843745088606,-0.31643543915201783,19,2.2691952,0.0025927722906797296,-0.06184094760401024,3706,0.0,-0.058767518124762524,0.0,0.01,0.02836494,-0.044059118108659694,-0.009097405967842146,-0.013523121386925904,-0.5,0.0,1325.36,0.0,0.0,0.573281108,-0.5185585581416858,0.2,24494,0.017218076,0.000273315168,0.17958984375,165.52325439453125,0.8750132322311401,360.481428527832,-0.01596963613992557,-34.071387100219724,1.001617431640625
-0.2051832670176682,-0.1661952980107031,80091360,-0.10214392099573247,-0.5425077977941589,4.432111661779911,0.11405048817853888,0.0,-2.8911943809049045e-08,0.3336372,505.48431990999995,0.0,-6.986805439892065e-07,5,75.04558,-0.11250005170430012,-0.05543273453247649,-0.2563082274335398,-0.3280174937731709,24,2.2701168,0.0021891270654224274,-0.06649432347199559,3816,0.0,-0.06561349281130353,0.0,0.01,0.02837646,-0.044292463104638045,-0.009231896071173777,-0.014036337903450566,-0.5,0.0,1381.12,0.0,0.0,0.573263444,-0.5113196155025755,0.2,24498,0.015487832,0.000273309024,0.17845458984375,188.15928649902344,0.9013660550117493,385.8798767089844,-0.01686533885076642,-34.072677040100096,1.0015720129013062
-0.20914183075897738,-0.16188517272477831,80109792,-0.10070198723486541,-0.5258731270850414,4.563823691479315,0.11373824756634583,0.0,-2.8258238038226703e-08,0.333714,474.714637,0.0,0.0,6,75.05709999999999,-0.11308910306082932,-0.048790048755763045,-0.25830242923367597,-0.3219466204036914,28,2.2710384,0.0023513446536122095,-0.06486814283215847,3895,0.0,-0.06074424305142065,0.0,0.01,0.028387980000000004,-0.04446858187761657,-0.009223881779731501,-0.01324914966890848,-0.5,0.0,1328.49,0.0,0.0,0.57324578,-0.5088924257952795,0.2,24502,0.01756539,0.00027330288,0.16998291015625,149.3538360595703,0.897079586982727,363.6563522338867,-0.01715952033409849,-34.06926937103272,1.0014084577560425
-0.19946718106920402,-0.16168127031423796,80128224,-0.1011498577894376,-0.5352391103219563,4.64710882725279,0.12162893690130352,0.0,-2.787816355311833e-08,0.3337908,491.9349846000001,0.0,0.0,7,75.06862000000001,-0.11293730748184805,-0.03949345063210099,-0.2589742870019236,-0.32278156329296304,32,2.27196,0.0029828550112951133,-0.06102585616801051,3950,0.0,-0.051847065840354506,0.0,0.01,0.0283995,-0.04441749054392438,-0.009239404031233467,-0.010468876204410515,-0.5,0.0,1355.39,0.0,0.0,0.573228116,-0.5016836130309494,0.2,24506,0.01430835,0.000273296736,0.18577880859375,97.49730682373047,0.9062665104866028,271.2768409729004,-0.01630842500599101,-34.078901290893555,1.0023581981658936
-0.20971033166297362,-0.16779354922296036,80146656,-0.10153802385333707,-0.5379795629131505,4.416756253843644,0.12409901913149667,0.0,-2.8563114069995503e-08,0.3338676,462.54176447000003,0.0,0.0,8,75.08014,-0.11268199043573647,-0.0563859278166318,-0.25595471704993605,-0.3248469877743175,36,2.2728816,0.0024962013218707093,-0.0611923173776033,3993,0.0,-0.06403077276041338,0.0,0.01,0.02841102,-0.04396012239072285,-0.00910118318096373,-0.014985215324074264,-0.5,0.0,1314.12,0.0,0.0,0.573210452,-0.517149658426409,0.2,24510,0.015788134,0.000273290592,0.19302978515625,114.14373779296875,0.8873499035835266,276.7235298156738,-0.01541840664576739,-34.08273468017578,1.0024394989013672
-0.20304396023246093,-0.15890771214578062,80165088,-0.1007929302723421,-0.5261067244560675,4.626473251283248,0.12340368283389913,0.0,-2.776977937489625e-08,0.3339444,523.4332550099999,0.0,0.0,9,75.09165999999999,-0.11310231190972828,-0.04405595004161845,-0.2558651870657869,-0.31789085090818175,41,2.2738032,0.0024799253959726128,-0.06126091768129248,4031,0.0,-0.05498634225998095,0.0,0.01,0.028422540000000003,-0.04410266788077644,-0.009175235615516801,-0.01100221429558859,-0.5,0.0,1411.79,0.0,0.0,0.5731927880000001,-0.4879702904399326,0.2,24514,0.020016039,0.000273284448,0.20123291015625,97.55867767333984,0.9386980533599854,239.6095764160156,-0.017337429407052695,-34.07783222198486,1.0020263195037842
-0.20138023248807163,-0.1700270846911246,80183520,-0.10255231743146839,-0.5356723072957151,4.519679760821177,0.12324503731416968,0.0,-2.7659377878848723e-08,0.3340212,589.0988098900001,0.0,0.0,10,75.10318000000001,-0.11276619393907146,-0.04323878800281427,-0.25995797178848934,-0.32718606755771656,45,2.2747248,0.0023692481950598043,-0.05804237441604438,4060,0.0,-0.05636607301899889,0.0,0.01,0.02843406,-0.044546326592424745,-0.00921995806154077,-0.012542435620369653,-0.5,0.0,1505.5,0.0,0.0,0.573175124,-0.5062311808871641,0.2,24518,0.016877934,0.000273278304,0.2028076171875,99.4433822631836,0.9292508959770203,217.80925064086915,-0.016604132240172476,-34.07629165649414,1.002001166343689
