reward_terms/stance_time,reward_terms/torque,time/fps,reward_terms/hip_roll,reward_terms/stance,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/foot_slip,time/iterations,reward_terms/alive,ankle/ankle_defl_peak,reward_terms/ang_xy,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/vz,time/total_timesteps,reward_terms/assist_pen,ankle/ankle_spring_energy_peak,reward_terms/fwd_speed,reward_terms/time,reward_terms/residual_rate,curriculum/stance_ratio,reward_terms/stop,reward_terms/overrun,reward_terms/phase_contact,curriculum/eff_scale,ankle/ankle_spring_trq_peak,reward_terms/action_rate,time/time_elapsed,reward_terms/height,reward_terms/residual,reward_terms/lat_vel,reward_terms/upright,reward_terms/air_time,reward_terms/energy,reward_terms/duty_sym,reward_terms/angmom,reward_terms/foot_ahead,reward_terms/motor_vel,reward_terms/coef_rate,reward_terms/step_rate,reward_terms/clearance,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/approx_kl
-0.0005988157774683916,-0.14749856734531275,2890,-0.05489127176268776,-0.1912664291581456,0.0,0.0,-84.60667057,236.1,-0.6800901471812734,1,0.0,0.18578279176956158,-0.4529038926990534,0.01,61.2496375,-0.17944491441517071,58017852,0.0,6.04059513739134,1.7040622040329658,-0.5,0.0,0.5944172225000001,0.0,0.0,-0.3266254545644744,0.24166425,65.02397711934655,-0.0526473982761588,6,-0.024589390908416834,-0.10612032575139124,-5.227439438212969e-08,-0.173477581970985,0.0003998476604465395,-0.02110913796337836,-0.0008942561973194899,-0.24308545960611624,0.0,-0.00425012744896986,-0.5529004840509449,-0.012348090277777553,0.07410222876637527,,,,,,,,,,,
-0.0015360387915279716,-0.13324817284005863,3294,-0.04494797484444388,-0.15407910795609497,0.0,0.0,-74.33094764,245.22,-0.5854815449592603,2,0.0,0.19941704250514333,-0.39723249456693677,0.01,61.2611575,-0.19929980422960641,58036284,0.0,6.991836223931029,2.0352625978676846,-0.5,0.0,0.5943995585,0.0,0.0,-0.27962891458364564,0.24174105,69.79596487680017,-0.04669315123800221,11,-0.027052622756980674,-0.10768945838541032,-5.0152727678868765e-08,-0.162240693303486,0.00036892336275842454,-0.01919487127004672,-0.0015428597505445047,-0.23574073689352623,0.0,-0.003875576573433674,-0.44781082399722244,-0.01025390624999989,0.07773479794299659,0.00027099107399999997,1.0011286735534668,-34.06796798706055,0.2,0.11005859375,0.9673389792442322,12515,10.949755573272705,3.119981288909912,-0.013213593617547304,0.011805707
-0.0021831459291408667,-0.1361807224934431,3542,-0.045861410313161224,-0.1567149808837698,0.0,0.0,-75.16163223,246.36,-0.5943433660497442,3,0.0,0.19088779752433474,-0.39852967027473163,0.01,61.2726775,-0.2046936805923397,58054716,0.0,6.378402009055248,2.0432517457090538,-0.5,0.0,0.5943818945,0.0,0.0,-0.28126614593671934,0.24181785,66.81072913351716,-0.047212913951126985,15,-0.02775281822385156,-0.10761911199335383,-5.236606566087693e-08,-0.16606620482887202,0.0005072694976762352,-0.019475418270935574,-0.001885556743435202,-0.24565455888365273,0.0,-0.0038988946384843834,-0.4597890588280985,-0.010503472222222096,0.07937496902619647,0.000270981858,1.0007960796356201,-34.06402950286865,0.2,0.09498291015625,0.9839515089988708,12519,5.344729971885681,0.8474209308624268,-0.010136797185987234,0.011559241
-0.0014638840576582071,-0.13491292446287104,3680,-0.04704871160449543,-0.1643936003935608,0.0,0.0,-74.13537162,243.26,-0.5958992051138561,4,0.0,0.1878578570509259,-0.39615416549805865,0.01,61.2841975,-0.21052071430546968,58073148,0.0,6.188895175060364,2.0645725196823292,-0.5,0.0,0.5943642305,0.0,0.0,-0.27132583458607473,0.24189465,65.75024996782406,-0.04583391012912765,20,-0.027856468407812682,-0.10774564457766095,-4.7707496187537427e-08,-0.16357563762682725,0.0006955290122682021,-0.019268364123748036,-0.0007707928291225502,-0.23861061744521816,0.0,-0.003868236872912043,-0.4516408949205553,-0.010329861111110996,0.0808595270244228,0.000270972642,1.0007290840148926,-34.062705993652344,0.2,0.0931396484375,0.9872899651527405,12523,4.832605719566345,1.3191823959350586,-0.015017862699460238,0.012493679
-0.0011030997945150982,-0.13608956802142924,3770,-0.04823175953628945,-0.1724247126912991,0.0,0.0,-73.25423303999999,245.23,-0.5932704538989831,5,0.0,0.19737245537400308,-0.4050070915505286,0.01,61.2957175,-0.2036946084755237,58091580,0.0,6.833156973823871,2.0461022085486054,-0.5,0.0,0.5943465665000001,0.0,0.0,-0.2769537610754663,0.24197145,69.08035938090107,-0.04689116787717577,24,-0.027168223017747354,-0.10785217746778154,-4.77049374190327e-08,-0.16248742560648538,0.0003602426796634164,-0.019467738857765645,-0.0008050844043343199,-0.23742593850828747,0.0,-0.003929986898189097,-0.45673515934146836,-0.010503472222222093,0.07961311892128535,0.000270963426,1.0008052587509155,-34.063832664489745,0.2,0.12264404296875,0.9910461902618408,12527,3.737358772754669,1.2213963270187378,-0.013535989366937428,0.013357291
-0.0007824622734915465,-0.13481021906883758,3836,-0.04751791448946339,-0.16494702047855272,0.0,0.0,-72.82737121,247.22,-0.587670912573864,6,0.0,0.1886493830227208,-0.3970125195548007,0.01,61.3072375,-0.20625460372684726,58110012,0.0,6.228241246327909,2.039415600277036,-0.5,0.0,0.5943289025,0.0,0.0,-0.2749232488669173,0.24204825,66.02728405795229,-0.04677139027207849,28,-0.02755852332315544,-0.1076441799531135,-4.760992496588453e-08,-0.1639022794409825,0.0007459847773942682,-0.019356105668827017,-0.0007514793194476817,-0.23820746874159873,0.0,-0.0038930850591775545,-0.45141448151150965,-0.010590277777777645,0.07821665274138,0.00027095421,1.0015332698822021,-34.0698657989502,0.2,0.1759521484375,0.9878357648849487,12531,5.236014139652252,5.953102111816406,-0.012005640915594995,0.0230986
-0.0005270653313750194,-0.13356074729146744,3882,-0.04496537498514667,-0.15414970114523985,0.0,0.0,-72.86976438,246.66,-0.5884815290707194,7,0.0,0.18981265426026128,-0.3945155512911518,0.01,61.318757500000004,-0.19709160389232283,58128444,0.0,6.319676421095129,2.0333173799495334,-0.5,0.0,0.5943112385,0.0,0.0,-0.27682095793845796,0.24212505,66.43442899109145,-0.04660988445614253,33,-0.0260485627456028,-0.10760887400603354,-4.7244350550854135e-08,-0.15501354289016406,0.0006705724873528299,-0.019184159801125242,-0.0007039603284361927,-0.23247185595867675,0.0,-0.0038570835850784534,-0.4547690793678902,-0.010449218749999878,0.07851456417197335,0.000270944994,1.0015238523483276,-34.07099323272705,0.2,0.14957275390625,0.9928514361381531,12535,2.5564420580863954,0.40933871269226074,-0.014356742857489734,0.016184917
-0.0009206723140475029,-0.13243830490736383,3919,-0.04667134262964597,-0.16414116639152498,0.0,0.0,-71.48020586999999,249.41,-0.5902890061004556,8,0.0,0.1846242648752649,-0.39628884859927954,0.01,61.3302775,-0.2028770112528018,58146876,0.0,5.975781338545627,2.0482688382386507,-0.5,0.0,0.5942935745,0.0,0.0,-0.27732533056433156,0.24220185,64.61849270634272,-0.04641870251678692,37,-0.0269264718904967,-0.1077829025481993,-4.802047902871726e-08,-0.15973149562682354,0.0005278858880046755,-0.01900508599773852,-0.0008481686105862242,-0.2325627614654955,0.0,-0.0038281842619055356,-0.446241537031104,-0.010243055555555443,0.08050488809609886,0.00027093577799999996,1.0018386840820312,-34.07378253936768,0.2,0.19605712890625,0.9964821934700012,12539,1.251540407538414,0.274578720331192,-0.018501649977406488,0.022955403
-0.0008165066505575345,-0.13396119149068655,3948,-0.04694207788730248,-0.16103294665419807,0.0,0.0,-72.35789591,249.77,-0.5918933831095611,9,0.0,0.19054292145886095,-0.39673120090368486,0.01,61.3417975,-0.19881109835415256,58165308,0.0,6.365683568385555,2.0223430675510765,-0.5,0.0,0.5942759105000001,0.0,0.0,-0.2793706105980805,0.24227865,66.69002251060134,-0.0471289897843074,42,-0.02633406371681364,-0.10759145348532681,-4.7340668065095316e-08,-0.15796879392749696,0.0003233504766184423,-0.019161537362095114,-0.0006121093474000884,-0.2355935223712055,0.0,-0.0038696492038179675,-0.4555597367141347,-0.01044921874999988,0.07890997602286713,0.000270926562,1.0034784078598022,-34.09123592376709,0.2,0.2803955078125,0.9980683922767639,12543,0.7831372678279876,-0.06192141771316528,-0.020063999900594355,0.0373786
-0.0007949417469919556,-0.13780508535972957,3970,-0.04892275135251793,-0.1803342207393013,0.0,0.0,-73.74959607,245.04,-0.602926861607801,10,0.0,0.19123502407904253,-0.4043657628832952,0.01,61.3533175,-0.1997626989085949,58183740,0.0,6.400539088511406,2.022775425665417,-0.5,0.0,0.5942582465,0.0,0.0,-0.2807602000673565,0.24235545,66.93225842766489,-0.0475403638247201,46,-0.026593632102005778,-0.10776947515426374,-4.85365977829337e-08,-0.15936096238688782,0.0005273432794233991,-0.019626775800993018,-0.00046403325590592295,-0.239792792211091,0.0,-0.0039778158699511675,-0.4666665759652717,-0.010980902777777624,0.08003890488821572,0.000270917346,1.00273859500885,-34.087295341491696,0.2,0.2990234375,0.9970516562461853,12547,1.0541255950927735,0.05306369066238403,-0.014385347813367843,0.03314706
-0.0008378013444598764,-0.13219029278502087,3988,-0.04612487059322441,-0.1587835644799587,0.0,0.0,-73.67861022000001,246.59,-0.5891147771884513,11,0.0,0.18719458984253262,-0.3927194845262403,0.01,61.3648375,-0.19604848101946176,58202172,0.0,6.134068036265001,2.0354906429017543,-0.5,0.0,0.5942405825,0.0,0.0,-0.2748021514196342,0.24243225,65.51810644488641,-0.04695543193669028,50,-0.026254093481842773,-0.10760267385242672,-5.0242268556692016e-08,-0.15540136159145798,0.0007562929725584885,-0.018935668068771713,-0.00047279724650284603,-0.22906025981143932,0.0,-0.003822845467001645,-0.45076080888976044,-0.01060112847222209,0.0805277804685966,0.00027090813,1.0021592378616333,-34.0790355682373,0.2,0.270263671875,0.9897839426994324,12551,3.99388564825058,0.8770673871040344,-0.01135102761327289,0.023536686
