curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/angmom,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/stance_time,reward_terms/assist_pen,time/fps,curriculum/stance_ratio,reward_terms/step_rate,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/stance,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/hip_roll,reward_terms/overrun,reward_terms/motor_vel,reward_terms/action_rate,reward_terms/height,reward_terms/alive,reward_terms/residual,curriculum/eff_scale,time/iterations,reward_terms/coef_rate,reward_terms/vz,reward_terms/energy,reward_terms/clearance,rollout/ep_rew_mean,reward_terms/stop,time/time_elapsed,reward_terms/foot_ahead,curriculum/sprint_dist_m,time/total_timesteps,reward_terms/ang_xy,reward_terms/time,reward_terms/upright,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range
0.01,0.0,0.00023491708755803606,-0.08249500641653018,-0.37624289305411995,0.0,-0.0010059903434012085,0.0,4308,0.6498233600000001,0.0,-0.3339067636304078,0.0,-1.377958847289617,-8.983918171394328e-05,210.36,-5.5900932791276994e-08,-0.00027875879485142154,-0.008503166676620674,0.0,-4.561869598730016e-06,-0.21792311120625996,-0.06413470958154104,0.0,-0.0610050135360837,0.000768,11,-1.574780206379558,-0.22941909167013305,-3.3301719900601e-05,0.07810500127846595,-152.44301547,0.0,47,0.0,25.1152,202752,-0.297606780843173,-0.5,-0.25617010253943734,361.127995300293,170.6549835205078,0.00029990784,-0.008823800389654935,0.0053466796875,1.0013961791992188,-34.07086238861084,0.0030922221,40,0.577391505241394,0.2
0.01,0.0,0.0001719831618376904,-0.08652570698458582,-0.3808274380824699,0.0,-0.0004001169581897557,0.0,4313,0.649805696,0.0,-0.3401686345360886,0.0,-1.3187717071911915,-0.00041545151690133,211.87,-5.519605096192112e-08,-0.0003056401068517865,-0.009147116124429666,0.0,-4.7823292016463195e-06,-0.21757790218961026,-0.06271343536293103,0.0,-0.06122084724976776,0.0008448,12,-1.5748351828125802,-0.2342216281940133,-3.589766607431662e-05,0.07667724739825153,-152.81317481,0.0,51,0.0,25.12672,221184,-0.3016200041874221,-0.5,-0.2670454333998776,321.2763671875,157.4325714111328,0.000299898624,-0.009041064279153943,0.00672607421875,1.0013824701309204,-34.06910934448242,0.0034516715,44,0.5664578676223755,0.2
0.01,0.0,0.00023220439066386057,-0.07638350744760827,-0.38118369904682625,0.0,-0.0004303629199663798,0.0,4318,0.649788032,0.0,-0.32022011701514796,0.0,-1.3198114278672863,-3.7358220239919906e-05,214.65,-5.5137840910787194e-08,-0.0003419783302534629,-0.008724109309261216,0.0,-5.5645660537957405e-06,-0.21664619414142985,-0.06063698715383053,0.0,-0.06101494019701992,0.0009216,13,-1.5675653550673225,-0.22748497965425474,-4.077527418530413e-05,0.08043744382063123,-153.48902533,0.0,55,0.0,25.13824,239616,-0.31922805771285323,-0.5,-0.2459377273550338,315.2594284057617,144.93453979492188,0.00029988940799999996,-0.008929830964189023,0.005517578125,1.0016900300979614,-34.07211856842041,0.003127775,48,0.5352557897567749,0.2
0.01,0.0,0.0001665578294907593,-0.0824517534347475,-0.3874944248830988,0.0,-0.0005725061022935228,0.0,4323,0.649770368,0.0,-0.3362983016461498,0.0,-1.3716614688133482,-0.00017132286563263766,218.65,-5.408903927097251e-08,-0.0003662777963035007,-0.009490069929504068,0.0,-5.764886133122695e-06,-0.2179782624020104,-0.061851468370203416,0.0,-0.06129944886658497,0.0009984,14,-1.5716306777589542,-0.23052904325145163,-4.302920411853209e-05,0.07671049648831081,-154.49462996999998,0.0,59,0.0,25.14976,258048,-0.29891538462158934,-0.5,-0.2486537458460162,282.1362014770508,118.71795654296875,0.000299880192,-0.007839209079975262,0.003955078125,1.0016899108886719,-34.07417964935303,0.002750945,52,0.5173072814941406,0.2
0.01,0.0,0.00028103246909773187,-0.09027188966512299,-0.35525066812076905,0.0,-0.0013207949022115725,0.0,4325,0.6497527040000001,0.0,-0.326599624756671,0.0,-1.402162148940102,-7.666306788962038e-05,223.85,-5.3404599308489157e-08,-0.0004029888512121508,-0.009616439193669602,0.0,-6.1011221919869954e-06,-0.21855410357576413,-0.06558623393850294,0.0,-0.06103731932192427,0.0010752,15,-1.5850080989664814,-0.23593254736720853,-4.600703708565485e-05,0.08358342460395347,-155.79756677999998,0.0,63,0.0,25.16128,276480,-0.31927073454037874,-0.5,-0.26721930109253345,247.9849639892578,115.83373260498047,0.000299870976,-0.008717215480282902,0.00615234375,1.0016790628433228,-34.07348747253418,0.0031645522,56,0.4898408055305481,0.2
0.01,0.0,0.00014268633094616234,-0.106224134822466,-0.3835442985232713,0.0,-0.0007023068691422748,0.0,4328,0.64973504,0.0,-0.3392364111074906,0.0,-1.3826090552665462,-0.0015910161210702335,204.73,-5.432803498434141e-08,-0.00040491011558389215,-0.008750041943532483,0.0,-6.609686956332698e-06,-0.21829385484440936,-0.06237616685796531,0.0,-0.0608820770874025,0.001152,16,-1.5793598605555423,-0.2301114209497566,-4.8668709430998494e-05,0.07687728828420123,-151.03699475000002,0.0,68,0.0,25.1728,294912,-0.2949269909415851,-0.5,-0.281588533681872,235.20990905761718,103.29512023925781,0.00029986176,-0.009251243056496605,0.00859375,1.0015110969543457,-34.071772766113284,0.003695373,60,0.44885164499282837,0.2
0.01,0.0,0.00010362388760161896,-0.10135247406549601,-0.3759113504471685,0.0,-0.0004105603535814832,0.0,4330,0.649717376,0.0,-0.325142374140774,0.0,-1.4113534960918672,-0.00043965278302011523,211.93,-5.114074855265266e-08,-0.000448470445464572,-0.008724906272412795,0.0,-7.103450840758558e-06,-0.21674122990046055,-0.0655726180348456,0.0,-0.06105361768014737,0.0012288,17,-1.5657103163642498,-0.23994571157880762,-5.275046026008559e-05,0.08031812451700299,-152.84400872,0.0,72,0.0,25.18432,313344,-0.32441334974770897,-0.5,-0.290883681870575,234.0320037841797,110.04340362548828,0.000299852544,-0.007959366019349545,0.00484619140625,1.0016729831695557,-34.07234401702881,0.0029338275,64,0.4010612368583679,0.2
0.01,0.0,0.0001421438581827614,-0.08374127272524008,-0.40050864630376953,0.0,-0.0008859557500626477,0.0,4333,0.649699712,0.0,-0.35326281191842646,0.0,-1.258486975899059,-0.00017744856418222164,205.81,-5.29778309638593e-08,-0.00048466941404601765,-0.009104685215452584,0.0,-7.723741047554982e-06,-0.21741213416145067,-0.05444291549748329,0.0,-0.06104281940943822,0.0013056,18,-1.5762724424988936,-0.20822525674744774,-5.717265847027459e-05,0.07231660260062531,-151.28887953,0.0,76,0.0,25.19584,331776,-0.32788096619014395,-0.5,-0.24711609373138044,212.86515121459962,86.30645751953125,0.000299843328,-0.00838440740481019,0.007470703125,1.0017342567443848,-34.07360134124756,0.0035240788,68,0.3392312526702881,0.2
0.01,0.0,9.874107975823183e-05,-0.09043488851021554,-0.3880006877102332,0.0,-0.0006150947301648557,0.0,4334,0.6496820480000001,0.0,-0.3432822892976387,0.0,-1.38247980260116,-0.0011768340393630643,211.57,-5.3241181197782486e-08,-0.0004985625610593813,-0.009467365761323746,0.0,-7.88243401160353e-06,-0.21767146348845698,-0.06618936214189985,0.0,-0.06076442850497944,0.0013824,19,-1.5910686891575496,-0.24100122362324333,-5.9149012139054565e-05,0.07806392896736362,-152.74008237,0.0,80,0.0,25.20736,350208,-0.3165915707060781,-0.5,-0.2757381904069189,203.3797752380371,92.51605224609375,0.000299834112,-0.008570070960558951,0.0070556640625,1.0014246702194214,-34.070693778991696,0.003497484,72,0.30409783124923706,0.2
0.01,0.0,0.0001681854579752932,-0.091066136754343,-0.372333750806506,0.0,-0.0005834927433170378,0.0,4336,0.649664384,0.0,-0.32388752599864884,0.0,-1.3605023441269288,-0.00043986708306133774,212.32,-5.516899462852362e-08,-0.0005233915129929822,-0.008284923409012991,0.0,-8.225710003172444e-06,-0.21824124406923062,-0.06381662121645598,0.0,-0.06111500416658511,0.0014592,20,-1.5763512274764049,-0.23580213903005745,-6.146687301166633e-05,0.07973637147614793,-152.92112898,0.0,85,0.0,25.21888,368640,-0.30515724734240013,-0.5,-0.28373935288916663,186.09613113403321,82.14788818359375,0.00029982489599999996,-0.009752122941426933,0.0119140625,1.0017430782318115,-34.07162227630615,0.00433661,76,0.257107138633728,0.2
0.01,0.0,0.00012695287781146666,-0.09192702196931932,-0.37146704650908635,0.0,-0.0002726216528875132,0.0,4338,0.64964672,0.0,-0.3390644220868967,0.0,-1.3958918148968253,-0.00013727806832916338,212.02,-5.377816175306864e-08,-0.0005365600063835352,-0.00899503598672649,0.0,-8.572066423838215e-06,-0.217928787788184,-0.06281374714893012,0.0,-0.06096483434962611,0.001536,21,-1.5772939735518554,-0.22355481223659324,-6.404559800828678e-05,0.0739232607782992,-152.85262689000004,0.0,89,0.0,25.2304,387072,-0.2970047852877468,-0.5,-0.255543416588638,169.38426513671874,79.58325958251953,0.00029981568,-0.01028585567837581,0.01339111328125,1.0018409490585327,-34.07442626953125,0.004525423,80,0.1997826099395752,0.2
0.01,0.0,0.00011827233053433399,-0.09237591485132866,-0.3929197368266693,0.0,-0.00047078185889404267,0.0,4341,0.649629056,0.0,-0.33937200459325567,0.0,-1.3785864734898825,-0.0009362568968072035,211.4,-5.753427818683508e-08,-0.0006023760829001031,-0.009792683513528687,0.0,-8.971569943364757e-06,-0.21621707024341685,-0.06351550220472285,0.0,-0.06095225451823134,0.0016128,22,-1.583321902926424,-0.23048295119006537,-6.79725057556861e-05,0.07662128707306562,-152.71348737999998,0.0,93,0.0,25.24192,405504,-0.3093374403442583,-0.5,-0.2636546704279614,161.42907485961913,82.6116714477539,0.000299806464,-0.009316091937944294,0.0087158203125,1.0018134117126465,-34.074761962890626,0.0038299202,84,0.15988880395889282,0.2
0.01,0.0,0.00015407956864995262,-0.09167611017370145,-0.3753213581235057,0.0,-0.0005396831531672635,0.0,4343,0.6496113920000001,0.0,-0.33963700472743663,0.0,-1.3905922259265309,-0.0005529704003551227,213.8,-5.192791248461169e-08,-0.000621108020915246,-0.00906313534984826,0.0,-9.369960771112987e-06,-0.21684224123708018,-0.06551605500814087,0.0,-0.06096891459675851,0.0016896,23,-1.5833406213665882,-0.23443687263162807,-7.14845362881175e-05,0.07898671003220997,-153.29597568,0.0,97,0.0,25.25344,423936,-0.2968487714282401,-0.5,-0.26329371618781233,146.20978622436525,69.42897033691406,0.000299797248,-0.011160774482414126,0.01549072265625,1.0017032623291016,-34.072494697570804,0.0049308375,88,0.13358336687088013,0.2
