reward_terms/overrun,reward_terms/stance,reward_terms/hip_roll,reward_terms/time,time/time_elapsed,curriculum/sprint_dist_m,reward_terms/stop,curriculum/ent_coef,reward_terms/alive,reward_terms/motor_vel,reward_terms/lat_vel,reward_terms/ang_xy,time/fps,reward_terms/vz,rollout/ep_rew_mean,reward_terms/energy,reward_terms/foot_slip,reward_terms/phase_contact,reward_terms/action_rate,reward_terms/coef_rate,time/iterations,reward_terms/air_time,reward_terms/stance_time,reward_terms/clearance,reward_terms/angmom,curriculum/eff_scale,time/total_timesteps,curriculum/pitch_assist,reward_terms/residual,reward_terms/torque,curriculum/stance_ratio,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/upright,reward_terms/height,rollout/ep_len_mean,train/std,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/explained_variance
0.0,-0.004897969294216497,-0.014120762300565609,-0.5,6,25.0,0.0,0.01,0.0,0.0,-5.0848195649419185e-09,-0.35919547855957523,2977,-0.11314306256114882,-125.96047187,0.0,-0.9270782007285765,-0.5067778301097524,-0.13826388777524085,-0.6078836412197867,1,8.246526380793916e-05,-0.00020670545766026608,0.04310490857565277,-0.15877201106589617,0.0,18432,1.0,-0.2610011375823663,0.0,0.65,-1.2066517383874982,0.817516354200938,-0.11817686306007914,-0.026124750144619853,26.81,,,,,,,,,,,
0.0,-0.000984697165514663,-0.015412247223280948,-0.5,12,25.04608,0.0,0.01,0.0,-3.916984781460054e-06,-5.552257216451201e-09,-0.34757177739470696,2889,-0.09768535990468714,-126.35324053000001,-1.7798601250326407e-05,-0.960410504483836,-0.4963802458036135,-0.14662475645421236,-0.6814728574872767,2,1.8446166197665865e-05,-4.448773041884932e-05,0.04144094904910949,-0.16032755958266165,0.0003072,36864,0.9996928,-0.2599067757221925,-0.00018319131419770805,0.64996928,-1.2015005383058615,0.7137182105793255,-0.08736536684795487,-0.02231727461149061,26.75,1.000693678855896,0.0022083963383920492,0.010741929,33433,3208.622344970703,0.108349609375,0.0003,-34.06503028869629,0.2,918.3560791015625,-5.9531426429748535
0.0,-0.00355623245496747,-0.018705744280706496,-0.5,18,25.09216,0.0,0.01,0.0,-7.557768646269891e-06,-5.2709953275289784e-09,-0.3565363148738885,2925,-0.09802179017166329,-127.17250671,-3.523154612629291e-05,-0.9368482617537374,-0.4816876664865901,-0.15737237254271993,-0.8049678709447368,3,0.00011718747231902348,-0.0020274507211676487,0.043557422376981104,-0.16116386345195902,0.0006144,55296,0.9993856,-0.25931099223813364,-0.0003327396566310969,0.64993856,-1.2274748984824588,0.5945025139252695,-0.07217657845057862,-0.024247078209496804,27.45,1.0001425743103027,-0.004822816740488634,0.003455288,33437,1131.3249481201171,0.00806884765625,0.0003,-34.05632705688477,0.2,303.2408752441406,-4.316442489624023
0.0,-0.007283706962975859,-0.023384730363211384,-0.5,25,25.13824,0.0,0.01,0.0,-1.1087462761016626e-05,-5.6591759206953635e-09,-0.3765208647050877,2940,-0.09966279032815623,-129.06748357,-5.2964536209480914e-05,-0.8768990898086956,-0.47439725189372045,-0.16171887556703424,-0.8860742816367817,4,0.00012803811114281416,-0.0028895372363169575,0.04430991376582587,-0.16495636364444727,0.0009216,73728,0.9990784,-0.25833994442951336,-0.000474887282774153,0.64990784,-1.2605618744301677,0.4963134187050529,-0.06666503138030493,-0.026122169527883973,29.26,1.0001639127731323,-0.008759113162523136,0.0060725026,33441,309.3966766357422,0.02750244140625,0.0003,-34.05607719421387,0.2,78.34019470214844,-4.291061878204346
0.0,-0.008541048847835941,-0.027617197758642343,-0.5,31,25.18432,0.0,0.01,0.0,-1.4766759720690668e-05,-5.785476886461225e-09,-0.39370426074755366,2949,-0.09959342148180972,-130.49934061,-7.176128322320115e-05,-0.8459497956346123,-0.4671033012484359,-0.16749164025360297,-0.9337946491972802,5,0.00011610233276668523,-0.0038226958179924018,0.04615031436726332,-0.17507274173802131,0.0012288,92160,0.9987712,-0.25762298926294863,-0.0006276735633209678,0.64987712,-1.2823647830516793,0.464992022373072,-0.0690929218865395,-0.028664325845993526,30.67,1.000196099281311,-0.012399031198583543,0.010554359,33445,136.46781463623046,0.07410888671875,0.0003,-34.056376457214355,0.2,31.029409408569336,-3.999032974243164
0.0,-0.01071776081359636,-0.030897994294900026,-0.5,37,25.2304,0.0,0.01,0.0,-1.8574458936479943e-05,-6.528718389355412e-09,-0.41986833240625243,2955,-0.09814150367648208,-130.17081367,-9.112002622859557e-05,-0.839590708445881,-0.4641318665111826,-0.17317119401592354,-0.9647984259072242,6,0.00014214398429936005,-0.0026562452904828307,0.046864546131622914,-0.1816349695595824,0.001536,110592,0.998464,-0.25657563178730236,-0.0007875789475267185,0.6498464,-1.2961991313787644,0.46642092340659264,-0.06632763681372172,-0.029145047997784414,30.33,1.0003962516784668,-0.014689844578970223,0.012687313,33449,86.92859058380127,0.0945556640625,0.0003,-34.05775833129883,0.2,21.143083572387695,-3.7717413902282715
0.0,-0.009901984454232541,-0.0295583243905363,-0.5,43,25.27648,0.0,0.01,0.0,-2.230439864654611e-05,-6.031551874674029e-09,-0.43176661741996414,2958,-0.09473266357452073,-131.77543337999998,-0.0001094729179024129,-0.831338772206816,-0.4700308640352421,-0.1774030440421257,-0.994449912521729,7,9.114571730606258e-05,-0.004172628134256229,0.04446818832691655,-0.18426196068498277,0.0018432,129024,0.9981568,-0.25630540153980974,-0.0009240307752710034,0.64981568,-1.299151887986734,0.4156475280595313,-0.06256704525406119,-0.0278069883627896,31.92,1.0006160736083984,-0.01980990046868101,0.01567189,33453,50.36198673248291,0.1540283203125,0.0003,-34.060317039489746,0.2,11.539397239685059,-4.744762897491455
0.0,-0.007432171043982462,-0.029332175055804266,-0.5,49,25.32256,0.0,0.01,0.0,-2.5689413720047493e-05,-6.423453437427607e-09,-0.42823636785482155,2961,-0.0941727340650722,-130.46593368,-0.0001264839428470479,-0.8149141770708259,-0.4711922924646434,-0.17628195509277345,-1.0037615151094863,8,0.00016927074304678373,-0.002566184746683575,0.04444934796584226,-0.18412446466568044,0.0021504,147456,0.9978496,-0.2556951378223129,-0.0010584876008620891,0.64978496,-1.302570686437025,0.4104074122637872,-0.05806494177490429,-0.026463038549459795,30.63,1.001052975654602,-0.02422602183651179,0.02599918,33457,25.362948179244995,0.2207763671875,0.0003,-34.06520767211914,0.2,7.345361709594727,-6.843332767486572
0.0,-0.010987099188220953,-0.02768028017125858,-0.5,55,25.36864,0.0,0.01,0.0,-2.9949909669370264e-05,-8.016685522003359e-09,-0.4507858462837258,2963,-0.08930906880519089,-128.95764412,-0.0001474316942812559,-0.8324531868141594,-0.46927045948070767,-0.17867050715780997,-1.0012154310362824,9,0.0001215276392435448,-0.005322801015507948,0.04478776985453844,-0.19190497936252357,0.0024576,165888,0.9975424,-0.25555251922258887,-0.0012241744301262642,0.64975424,-1.3103363783490465,0.43622154887233794,-0.06298224713018649,-0.0250386317105023,29.16,1.0017054080963135,-0.01775432851864025,0.030473348,33461,22.444465589523315,0.25140380859375,0.0003,-34.07199363708496,0.2,6.363040924072266,-2.229353666305542
0.0,-0.004913339649794925,-0.025664230008038816,-0.5,62,25.41472,0.0,0.01,0.0,-3.3913907131122306e-05,-6.2727878480210245e-09,-0.4591181849583362,2965,-0.09041541515903717,-129.7925215,-0.00016682824979814668,-0.8395005963432585,-0.47068015681384284,-0.18066581740224308,-1.01683829423911,10,0.00010308146334460212,-0.0038237784853360304,0.04432250024898135,-0.19544101353024124,0.0027648,184320,0.9972352,-0.2552487736965245,-0.0013884941596221303,0.64972352,-1.319531171939876,0.4519377923441129,-0.06754457685758847,-0.024607928260591536,29.96,1.0016193389892578,-0.017750257975421846,0.030978229,33465,19.97224326133728,0.26080322265625,0.0003,-34.072990798950194,0.2,5.46794319152832,-4.653164863586426
