time/total_timesteps,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/coef_rate,reward_terms/angmom,reward_terms/phase_contact,time/iterations,reward_terms/clearance,reward_terms/stance_time,reward_terms/motor_vel,reward_terms/foot_slip,reward_terms/torque,reward_terms/lat_vel,reward_terms/ang_xy,curriculum/eff_scale,rollout/ep_rew_mean,curriculum/ent_coef,time/time_elapsed,reward_terms/stop,reward_terms/upright,reward_terms/height,time/fps,reward_terms/time,reward_terms/air_time,reward_terms/hip_roll,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/residual,reward_terms/overrun,curriculum/pitch_assist,reward_terms/vz,curriculum/stance_ratio,reward_terms/alive,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/n_updates
221184,-0.00020133827194202786,25.50688,-0.0060541755099313655,-1.011994147032353,-0.19261418025647903,-0.4718108857700216,12,0.043858100901850806,-0.002267790990622921,-4.0820026727670335e-05,-0.837759982418333,-0.0016826474784023848,-7.764202234434147e-09,-0.4663659304671763,0.0033792,-129.67469106000001,0.01,75,0.0,-0.07135160856195394,-0.022845430164291525,2937,-0.5,9.114574640989304e-05,-0.026348242382260606,0.48871621074110494,29.74,-0.1831800833893845,-1.6040372007060228,-0.25467757907153343,0.0,0.9966208,-0.08388938297180973,0.64966208,0.0,0.0003,4.05118989944458,10.479472120602926,0.044817008,-0.011718210958254835,0.2949422200520833,-12.56838321685791,-34.07540225982666,0.2,1.0017451047897339,33470
239616,-0.00022013735940987266,25.55296,-0.005805807754297339,-1.0064096724917446,-0.194951337802114,-0.46040925579822456,13,0.042148936640652446,-0.0021983467934963605,-4.448382121426988e-05,-0.843684392127391,-0.0018409162629297727,-8.261631142394033e-09,-0.47438325478627497,0.0036864,-128.39014140999998,0.01,81,0.0,-0.06711765894316789,-0.020984143835068435,2941,-0.5,7.920999067007667e-05,-0.024508407848481437,0.44832923817033304,28.43,-0.18304576631179523,-1.6065898996296175,-0.255051327732552,0.0,0.9963136,-0.08192853170894164,0.64963136,0.0,0.0003,3.9234426021575928,11.347962021827698,0.0440602,0.009016792755573988,0.330352783203125,-18.551870346069336,-34.06614446640015,0.2,1.000944972038269,33472
258048,-0.00023931428866098744,25.59904,-0.005146059098214601,-1.0043758936541487,-0.19913520703304488,-0.4615914697984015,14,0.04189498127031963,-0.0020106299618621254,-4.866578169222865e-05,-0.8626454996630124,-0.0019725381905452283,-8.835628415633357e-09,-0.4819940048575245,0.0039936,-128.84433445,0.01,87,0.0,-0.06660380129481658,-0.01875415553249547,2946,-0.5,4.991312420720028e-05,-0.02360999537910839,0.48104029581302016,28.93,-0.18457464861720466,-1.6071109189108206,-0.254652800202141,0.0,0.9960064,-0.08023625513850767,0.6496006400000001,0.0,0.0003,4.122735977172852,9.62297503153483,0.047156207,0.00965101543503503,0.269775390625,-12.98971939086914,-34.06346003214518,0.2,1.0007364749908447,33474
276480,-0.00025716301042202856,25.64512,-0.00520619300510429,-1.002481747269945,-0.19615007987557556,-0.4609877493182495,15,0.04087266837694717,-0.0016313989407434645,-5.1990152954887e-05,-0.8675859728457581,-0.002167715935358313,-7.392251772180919e-09,-0.47846659601521985,0.0043008,-127.17491796,0.01,93,0.0,-0.0723568351958386,-0.01832327549754339,2950,-0.5,6.0763805069857175e-05,-0.02340706286332907,0.4892175535877557,27.2,-0.18451055029181418,-1.5980695848286635,-0.25462977317458574,0.0,0.9956992,-0.07740324473939142,0.64956992,0.0,0.0003,3.7071266174316406,9.276241938273111,0.04622037,0.007971959964682659,0.2984212239583333,-18.006574630737305,-34.064857482910156,0.2,1.0009174346923828,33476
294912,-0.00027537893811630285,25.6912,-0.004300205536569952,-1.0064695542928155,-0.19576529730955847,-0.46082936485944676,16,0.040314675085079126,-0.001480574643614495,-5.541300089979233e-05,-0.8793452435131749,-0.002331688177035686,-7.916413158118822e-09,-0.4745276457529885,0.004608,-128.17109255000003,0.01,99,0.0,-0.07044351432719574,-0.017484483857297218,2952,-0.5,3.906242394198974e-05,-0.023081398090376355,0.5090170056048505,28.23,-0.18335704257771704,-1.5894291305526778,-0.25450277155706275,0.0,0.995392,-0.07715561036479321,0.6495392,0.0,0.0003,3.305837631225586,10.291210688077486,0.046161916,-0.005682291427197365,0.3444260817307692,-8.39361572265625,-34.08042379525992,0.2,1.0020647048950195,33479
313344,-0.00029659649552235757,25.73728,-0.006440025953448418,-1.0018262734954375,-0.19916827825516858,-0.4570802534017662,17,0.04382244767634148,-0.0026302038653132818,-5.9849289218917115e-05,-0.8529075847841412,-0.002478516095384501,-7.001373720927971e-09,-0.48339393519483376,0.0049152,-131.26473602,0.01,106,0.0,-0.07660119238003234,-0.018152096425235815,2955,-0.5,6.401899089622829e-05,-0.024202917124557764,0.5226492262211991,31.38,-0.18445578915291497,-1.6078076615979169,-0.2546653389318688,0.0,0.9950848,-0.07861505015004372,0.64950848,0.0,0.0003,3.441600799560547,8.25090225537618,0.045613434,0.007101436029188335,0.24153645833333334,-17.552085876464844,-34.064330418904625,0.2,1.0008115768432617,33481
331776,-0.00031282697120029303,25.783360000000002,-0.0028104763198387715,-1.0006751032267875,-0.19722192949637435,-0.45775664764327473,18,0.04122188867997846,-0.0011024282220104295,-6.302641159505268e-05,-0.8708608866809469,-0.002696336984225091,-7.565382197095352e-09,-0.4867517115993236,0.0052224,-130.10966407,0.01,112,0.0,-0.07847526157998706,-0.017332303191922402,2958,-0.5,3.9062443344543375e-05,-0.02328880332998313,0.5339172986901188,30.19,-0.18386969613239368,-1.6054032167913914,-0.25481266881934095,0.0,0.9947776,-0.0779573118015803,0.64947776,0.0,0.0003,3.2004902362823486,7.637534538904826,0.052647036,0.0073525661913057165,0.282470703125,-14.049921989440918,-34.064531326293945,0.2,1.000901699066162,33483
350208,-0.0003251993863711805,25.829439999999998,-0.0044686418513726215,-1.008979459712983,-0.19604235635374428,-0.4633959847653524,19,0.04247345883239119,-0.0011496286929792,-6.561847753958377e-05,-0.8628717467214696,-0.0028139339503521843,-7.620678812749986e-09,-0.48308193313620884,0.0055296,-127.08036731,0.01,118,0.0,-0.0776883556370084,-0.01720777514234558,2961,-0.5,6.0763805069857175e-05,-0.02317923877717676,0.5257345181606695,27.12,-0.1826676563011445,-1.5968275424440375,-0.2546349216503694,0.0,0.9944704,-0.07753912595999585,0.64944704,0.0,0.0003,3.1716699600219727,7.4741175174713135,0.06104473,0.011854828412955007,0.3362630208333333,-15.256975173950195,-34.065476735432945,0.2,1.0010085105895996,33485
368640,-0.00034504864559385424,25.87552,-0.004641018156745504,-1.0013578431704957,-0.19842675699867796,-0.4532065621118801,20,0.04228739492791464,-0.0013313775206269282,-7.056998433105949e-05,-0.8568945099224412,-0.002977759563695763,-7.348651615786935e-09,-0.48585458656194,0.0058368,-129.01106659,0.01,124,0.0,-0.07249587455262135,-0.015918499115116832,2963,-0.5,6.510407547466457e-05,-0.023528053254162788,0.5197220187851351,29.08,-0.18295808944485073,-1.6008024481029992,-0.25472829614928644,0.0,0.9941632,-0.07417422868531713,0.64941632,0.0,0.0003,2.8546411991119385,7.859272548130581,0.04700779,0.009798044604914529,0.33004324776785715,-17.48793601989746,-34.070861271449495,0.2,1.0013972520828247,33487
387072,-0.0003668026144413542,25.9216,-0.005613965421825017,-0.9966457452518268,-0.20105993675450506,-0.4539985010010562,21,0.042082632711122364,-0.0037239541901120297,-7.41856466949342e-05,-0.865729550114903,-0.003159910874422091,-7.088819582425697e-09,-0.49066255318094754,0.006144,-129.26118528,0.01,130,0.0,-0.07835189866194461,-0.01663018179732827,2965,-0.5,3.689228388894763e-05,-0.023526658989955304,0.5131972302593173,29.35,-0.18401712794370934,-1.597204048172882,-0.2545886849378958,0.0,0.993856,-0.0756080133109203,0.6493856,0.0,0.0003,2.3521125316619873,6.371014881134033,0.024775954,0.014970988966524601,0.27275390625,-11.916788101196289,-34.065860748291016,0.2,1.0009503364562988,33488
