reward_terms/vz,reward_terms/ang_xy,reward_terms/phase_contact,time/total_timesteps,reward_terms/lat_vel,time/iterations,rollout/ep_rew_mean,reward_terms/stop,reward_terms/motor_vel,reward_terms/fwd_speed,curriculum/stance_ratio,reward_terms/foot_slip,reward_terms/time,reward_terms/overrun,reward_terms/energy,reward_terms/hip_roll,reward_terms/upright,reward_terms/alive,reward_terms/stance_time,reward_terms/clearance,reward_terms/stance,reward_terms/air_time,reward_terms/coef_rate,rollout/ep_len_mean,time/time_elapsed,reward_terms/height,curriculum/ent_coef,reward_terms/residual,reward_terms/angmom,reward_terms/torque,curriculum/eff_scale,curriculum/pitch_assist,time/fps,reward_terms/action_rate,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/loss
-0.13552406750378945,-0.4187409570287178,-0.465080771533141,18432,-5.702691327029159e-09,1,-124.40835975,0.0,0.0,0.7122795555451911,0.65,-0.82473400513838,0.0,0.0,0.0,-0.013439464014691921,-0.1842809009595129,0.0,0.0,0.06864319051778421,-0.003015701518661644,0.00010959196111394299,-0.6067732390861451,29.9,7,-0.02443746099165002,0.01,-0.26248964727867174,-0.17299450709349765,0.0,0.0,1.0,2423,-0.13639872217206273,,,,,,,,,,,
-0.11721379477827013,-0.4108043597006745,-0.47881431011512454,36864,-6.7164388943407815e-09,2,-122.35245631,0.0,-4.373484502321085e-06,0.6334835335754776,0.64996928,-0.9185598656857711,0.0,0.0,-1.9265028068473977e-05,-0.014953275723324796,-0.15490511159295195,0.0,-6.510391055295865e-06,0.06130449053582073,-0.0009428584219369165,0.0001573350228783157,-0.6392502525400008,26.95,15,-0.022527864164923285,0.01,-0.26105254426716934,-0.179994428915847,-0.00021490845271576747,0.0003072,0.9996928,2366,-0.1410315408301233,0.1348876953125,0.0003,0.00357068395242095,1.0006955862045288,0.2,0.014617136,6767.80947265625,-2.7798213958740234,-34.065040016174315,33433,1512.9637451171875
-0.08911030245982371,-0.374389353930899,-0.48813477839278274,55296,-5.305880727009822e-09,3,-123.37934002,0.0,-8.177006804900222e-06,0.572105022118801,0.64993856,-0.9375850879671231,0.0,0.0,-3.5005471725361485e-05,-0.014458470631173892,-0.11761911198595744,0.0,-0.00011067673848528002,0.052905991035721446,-0.0021886585040957474,3.797737816866073e-05,-0.7434609717260147,26.79,21,-0.019179666464803784,0.01,-0.25985209398288006,-0.1574477037455823,-0.0003562877564889014,0.0006144,0.9993856,2543,-0.14441280123668263,0.01181640625,0.0003,-0.004437426326330751,1.0001654624938965,0.2,0.004086556,2528.929089355469,-4.195720672607422,-34.05644836425781,33437,591.3222045898438
-0.08677771957613252,-0.38000667964031565,-0.46895187772252517,73728,-5.68934460273252e-09,4,-126.27685469,0.0,-1.1923166875848854e-05,0.5688462375532928,0.64990784,-0.8627501191307423,0.0,0.0,-5.261225720819639e-05,-0.018981994589638302,-0.10186988173663372,0.0,-0.0004546430427581072,0.0627848281029424,-0.0036954928170243742,0.0001150172772920794,-0.8383344080494752,30.51,27,-0.02023558745348915,0.01,-0.2588695165949623,-0.15720748845883611,-0.00048419210369000313,0.0009216,0.9990784,2639,-0.15127032814613894,0.03223876953125,0.0003,-0.009343898191582411,1.0002381801605225,0.2,0.0066300393,880.7016525268555,-3.413634777069092,-34.0567512512207,33441,220.48165893554688
-0.08578576524528987,-0.3969049812847555,-0.4635597575025721,92160,-5.286184600826129e-09,5,-126.56632972999999,0.0,-1.5499522740986885e-05,0.48503348652523315,0.64987712,-0.819731920469592,0.0,0.0,-6.951530803918215e-05,-0.02118488175059424,-0.09323193006781073,0.0,-0.0008973501842572457,0.059813922221934,-0.006867438609588364,0.00012803805940267112,-0.9017412594481402,29.92,34,-0.021167867349173496,0.01,-0.2583553335743615,-0.15589353700131472,-0.0006131131612293282,0.0012288,0.9987712,2700,-0.1559598851177938,0.0886474609375,0.0003,-0.014198186714202166,1.0006375312805176,0.2,0.013214156,221.6210750579834,-3.107696533203125,-34.0599479675293,33445,51.83360290527344
-0.08483223460995629,-0.402100651948142,-0.46732376375869983,110592,-5.059896619372147e-09,6,-126.07482845999999,0.0,-1.9032035592502148e-05,0.4527046742289078,0.6498464,-0.800250761695416,0.0,0.0,-8.552579570798727e-05,-0.02115296644163285,-0.08944812179122491,0.0,-0.0012386039953627107,0.0585424645154924,-0.005392678018278936,0.00018337662267084751,-0.9383413119483652,28.74,40,-0.021249470659782433,0.01,-0.25798695075693295,-0.1565611159248868,-0.0007472623905467767,0.001536,0.998464,2742,-0.15872111413888088,0.17265625,0.0003,-0.015889637067448347,1.0010045766830444,0.2,0.021648828,65.57755146026611,-2.332824230194092,-34.065218925476074,33449,13.077656745910645
-0.08142498424483412,-0.41234675854013264,-0.4686084828098765,129024,-6.210570331156313e-09,7,-125.85078503000001,0.0,-2.2556263248827876e-05,0.420687824442952,0.64981568,-0.8028523156404288,0.0,0.0,-0.00010245707900407069,-0.021895661263889157,-0.09124689611215428,0.0,-0.0019303347976852416,0.05397937265568126,-0.005911613994607403,0.00022352420556772914,-0.9572251328206656,28.2,46,-0.020535989595508897,0.01,-0.25811817578017937,-0.15940328459564343,-0.0008968887894625154,0.0018432,0.9981568,2774,-0.16046389642703474,0.29346923828125,0.0003,-0.012642435799352824,1.001586675643921,0.2,0.03691821,36.49070110321045,-2.576305627822876,-34.06933994293213,33453,7.490147113800049
-0.08011282190015107,-0.42952691876163673,-0.4729323156425169,147456,-5.3303771258964755e-09,8,-126.39280905,0.0,-2.6320097767840934e-05,0.415244593654097,0.64978496,-0.7975978075142776,0.0,0.0,-0.00011953074761177529,-0.02150692809729653,-0.09209674732804872,0.0,-0.002199974813265726,0.053257016897623376,-0.006077527257301835,0.00017686621544675695,-0.9886079465358368,28.73,52,-0.01904036413396528,0.01,-0.25785882881444927,-0.1644528986077441,-0.0010377680104721322,0.0021504,0.9978496,2803,-0.16388035926778957,0.21234130859375,0.0003,0.00807308522053063,1.0003256797790527,0.2,0.020403156,43.05007457733154,-1.842768907546997,-34.058515548706055,33454,14.907305717468262
-0.0786831195722139,-0.4300949936930735,-0.467581673836338,165888,-5.3660456107288745e-09,9,-126.90561864000003,0.0,-3.0193430281422428e-05,0.41604494351031335,0.64975424,-0.8231511213691797,0.0,0.0,-0.00013588470001888201,-0.0203477239442523,-0.09318848443764065,0.0,-0.0010785566264530644,0.05215200328639876,-0.0053898168962350015,4.4487769223956595e-05,-0.9851931406042819,29.48,58,-0.017678777682507446,0.01,-0.2577421012145844,-0.1635458673482882,-0.001190079077677296,0.0024576,0.9975424,2824,-0.16492482357582727,0.2355712890625,0.0003,-0.0019046889152377843,1.0009887218475342,0.2,0.031395335,24.35770893096924,-2.794084310531616,-34.06561508178711,33456,11.676624298095703
-0.0748294815357027,-0.4481727769356561,-0.46460823117238775,184320,-6.3159800641054084e-09,10,-127.03079864,0.0,-3.3298483068551854e-05,0.45036526113552366,0.64972352,-0.8110492939545558,0.0,0.0,-0.00015195278206232726,-0.019601098472423223,-0.09864556329741804,0.0,-0.0013590465904498058,0.05394906348695191,-0.004031462293847988,8.13801404243956e-05,-0.9771753145527082,29.49,64,-0.016777394340059235,0.01,-0.25766538552442386,-0.16636715355192697,-0.0013423835919482178,0.0027648,0.9972352,2841,-0.16458572017288944,0.3427170973557692,0.0003,-0.007929850978633532,1.001826524734497,0.2,0.0461454,21.280536504892204,-2.53983998298645,-34.07622850858248,33459,6.9011125564575195
-0.07190052034249815,-0.45024792160386046,-0.4686994509484406,202752,-5.629614339680335e-09,11,-127.18663384,0.0,-3.7135955318283196e-05,0.427445173120204,0.6496928000000001,-0.806396353302653,0.0,0.0,-0.00016980354057944026,-0.01917554246324618,-0.09742449635765921,0.0,-0.0016243460009314327,0.05062071775984044,-0.004513765701785518,7.486972026526928e-05,-0.9930344793674233,29.83,70,-0.015871728752505178,0.01,-0.2575643049531366,-0.1664005551044919,-0.001497326782551379,0.003072,0.996928,2856,-0.16594782785265755,0.310986328125,0.0003,0.0141180869191885,1.0008436441421509,0.2,0.027114242,8.952487659454345,-3.0347418785095215,-34.06448745727539,33460,3.4539341926574707
-0.0740558138192593,-0.46090254313294426,-0.4706983567235763,221184,-6.258572693601482e-09,12,-124.54500094,0.0,-4.107403905854968e-05,0.44525004716016464,0.64966208,-0.8211004888226138,0.0,0.0,-0.00018976825612733054,-0.018449932160708046,-0.10527275047621815,0.0,-0.0011154490057379007,0.05144720781635482,-0.0033257443983205222,6.401902000005875e-05,-0.9916112718997278,26.78,77,-0.016037275715410235,0.01,-0.2573965990535005,-0.16907996037704118,-0.0016956406434962303,0.0033792,0.9966208,2870,-0.16814559527860595,0.24788411458333334,0.0003,0.007387911435216665,1.000394582748413,0.2,0.023426406,20.258562723795574,-3.968380928039551,-34.05929692586263,33461,8.828924179077148
-0.06981675192506524,-0.4705394044196978,-0.4674120106352062,239616,-6.258834057235151e-09,13,-125.93137725000001,0.0,-4.479764228627679e-05,0.44319044809079894,0.64963136,-0.8238661619604235,0.0,0.0,-0.0002059982560373524,-0.017551045705548222,-0.10336250654697683,0.0,-0.0007872160559701216,0.04811002914948624,-0.001942049945545641,3.363710776385334e-05,-0.9899425929218908,28.35,83,-0.01422421679562049,0.01,-0.25731808163238873,-0.17369278772777338,-0.0018239934294312751,0.0036864,0.9963136,2880,-0.16979632869098185,0.337921142578125,0.0003,0.005343034834368154,1.0012496709823608,0.2,0.045146603,15.361452460289001,-4.511617183685303,-34.06975698471069,33463,4.378730297088623
-0.06798854874877817,-0.4740096353057659,-0.46454393564723934,258048,-6.144901157565661e-09,14,-125.70239973,0.0,-4.8310474081462526e-05,0.4511530502949175,0.6496006400000001,-0.8214331114467439,0.0,0.0,-0.00022254873516429425,-0.01848384690125281,-0.1013700998075016,0.0,-0.0008604581768546874,0.049153657125001915,-0.004973817822345489,3.0381902534928588e-05,-0.9850863750256313,28.21,89,-0.013547367906918248,0.01,-0.25657617940827854,-0.17332275495050373,-0.0019750058252176387,0.0039936,0.9960064,2889,-0.16990310783372595,0.2781575520833333,0.0003,0.00772862338150541,1.0010236501693726,0.2,0.05231457,9.808910528818766,-4.649773597717285,-34.066148122151695,33465,3.118009090423584
-0.0676165312134912,-0.48470997673144667,-0.46845557896057066,276480,-8.243105885672286e-09,15,-124.68384434,0.0,-5.1899807028063096e-05,0.4574028395189464,0.64956992,-0.8125545800032189,0.0,0.0,-0.00024058441272271734,-0.018197237032641887,-0.10771029506063615,0.0,-0.0005696600613494714,0.048108167612357755,-0.0025566860807622414,3.0381912236205404e-05,-0.9889017102064348,26.94,95,-0.013044728120357667,0.01,-0.25668075971306353,-0.17676700234902987,-0.002158752780439083,0.0043008,0.9956992,2897,-0.16873851085978595,0.2508544921875,0.0003,0.016844098456203938,1.0002455711364746,0.2,0.02957258,9.36752700805664,-3.498140335083008,-34.05747032165527,33466,3.5684802532196045
-0.06693744427627284,-0.4962565246838355,-0.4679187947621927,294912,-7.697207883108788e-09,16,-126.35418489999998,0.0,-5.6338969479283584e-05,0.46644259919418957,0.6495392,-0.8021048059273508,0.0,0.0,-0.0002572316767367298,-0.018425574663199593,-0.10966251233045791,0.0,-0.0009217645549344727,0.0477269776240542,-0.0031069233643593154,4.991312420720028e-05,-0.9848842759636225,28.78,101,-0.013218482319795492,0.01,-0.25646491452929526,-0.18126921807508567,-0.0022676872005541735,0.004608,0.995392,2905,-0.16823555849288963,0.2283935546875,0.0003,0.018228414468467236,1.0002411603927612,0.2,0.026840955,9.965863704681396,-4.382006645202637,-34.057390213012695,33467,4.3780388832092285
-0.06588446863622559,-0.5013124010715786,-0.45905842351244136,313344,-7.788440030964495e-09,17,-126.01473967,0.0,-6.035070154654438e-05,0.4934195837333595,0.64950848,-0.7935021155937451,0.0,0.0,-0.0002763657825022402,-0.019324283796202813,-0.1139397107130292,0.0,-0.0007264523268935995,0.05007901736791829,-0.004366434624144457,2.3871482375802265e-05,-0.9810813600189152,28.34,107,-0.01283341750883332,0.01,-0.2559388081702243,-0.1829234250596114,-0.0024465592293377585,0.0049152,0.9950848,2911,-0.16808948248630173,0.343994140625,0.0003,0.019852892495691776,1.0004924535751343,0.2,0.044166576,15.188295364379883,-5.652149200439453,-34.06035868326823,33468,9.100423812866211
-0.06390442549560063,-0.49324020200259905,-0.46713930621605065,331776,-8.07377885542246e-09,18,-126.38104492000002,0.0,-6.236866195587341e-05,0.5020131565821184,0.64947776,-0.7737665126364804,0.0,0.0,-0.00028103892112722577,-0.019884629444944145,-0.12150129521363812,0.0,-0.0005159492607668249,0.04793982601249507,-0.005172676744414849,4.231766797602177e-05,-0.9699166154664385,29.08,113,-0.012321192580995233,0.01,-0.2559947520295591,-0.1793162453662198,-0.002515947909395302,0.0052224,0.9947776,2914,-0.16247142936651818,0.26129150390625,0.0003,0.011736571905203164,1.0006904602050781,0.2,0.023411356,11.66795039176941,-4.546932697296143,-34.06286811828613,33469,4.757499694824219
