curriculum/ctrl_jitter_ms,time/iterations,reward_terms/lat_vel,reward_terms/angmom,rollout/ep_len_mean,reward_terms/time,reward_terms/duty_sym,curriculum/sprint_dist_m,reward_terms/upright,reward_terms/hip_roll,reward_terms/foot_slip,reward_terms/air_time,reward_terms/stance,reward_terms/assist_pen,reward_terms/stop,reward_terms/foot_ahead,reward_terms/action_rate,reward_terms/torque,rollout/ep_rew_mean,reward_terms/step_rate,reward_terms/motor_vel,time/fps,reward_terms/energy,curriculum/eff_scale,time/time_elapsed,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/clearance,reward_terms/height,time/total_timesteps,reward_terms/vz,reward_terms/stance_time,reward_terms/overrun,curriculum/stance_ratio,reward_terms/alive,reward_terms/residual,reward_terms/fwd_speed,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/residual_rate,reward_terms/coef_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range
0.0,1,-0.1503187281452892,-0.07165215401861093,129.57,-0.5,0.0,25.0,-0.3237436107480278,-0.36297199431089056,-0.6450961189550689,4.937054472975433e-05,-0.18924257887786888,0.0,0.0,0.0,-0.06786672328326367,0.0,-132.08162563999997,0.0,0.0,4170,0.0,0.0,4,-0.5288140618610462,0.01,0.06292298023451766,-0.0259944055497147,18432,-0.1972438889639887,-3.43150038841284e-05,0.0,0.65,0.0,-0.10213726672378633,-0.0858009624436873,0.0,-0.38557736768842593,0.0,-0.45701536378982166,,,,,,,,,,,
0.0,2,-0.1680022816450725,-0.08124771704947009,132.67,-0.5,0.0,25.01152,-0.3670859637417027,-0.3639715114256717,-0.6896313562929314,0.00012586779970054826,-0.2033574336474181,0.0,0.0,0.0,-0.06381951306540103,-4.196333139100451e-05,-132.81234852,0.0,-7.141614925627228e-07,4008,-4.324345712861837e-06,7.68e-05,9,-0.5396045617648205,0.01,0.06355705472070274,-0.033362394365516926,36864,-0.21929622164549922,0.0,0.0,0.649982336,0.0,-0.10292179813803143,-0.10714326963355532,0.0,-0.42932293240363806,0.0,-0.4549988321300485,-0.003719927615020424,42201,503.0529724121094,0.0953369140625,1.0012428760528564,0.24313676357269287,109.88928985595703,-19.87503309249878,0.008552998,0.00029993856,0.2
0.0,3,-0.19072033463589327,-0.09565152664317984,140.1,-0.5,0.0,25.02304,-0.38327449811780767,-0.3790707712002332,-0.6582421998793384,5.262572085484862e-05,-0.20089393931952615,0.0,0.0,0.0,-0.06299725619852772,-8.22190595374384e-05,-134.69737671000001,0.0,-1.3646774225688441e-06,4077,-8.381686625295227e-06,0.0001536,13,-0.527016962024963,0.01,0.06215776170040626,-0.03525982777770463,55296,-0.21919545930131248,-2.848226965094606e-06,0.0,0.6499646720000001,0.0,-0.10388076140376913,-0.2201265699684677,0.0,-0.4672853098501344,0.0,-0.4246996444488057,-0.008110005862545223,42205,223.0728931427002,0.10673828125,1.0012094974517822,0.22079098224639893,57.598262786865234,-19.871929359436034,0.010606883,0.00029987712,0.2
0.0,4,-0.18848296635311626,-0.11192386869579936,152.85,-0.5,0.0,25.03456,-0.3693016583711964,-0.32560542634686956,-0.605919409461914,0.00013237814224946,-0.14073179692579943,0.0,0.0,0.0,-0.055054920830712,-0.00012093123978024107,-137.64183053,0.0,-2.0379558608898214e-06,4116,-1.2315543524459184e-05,0.0002304,17,-0.4921690842894903,0.01,0.06461891749176685,-0.03565642520567047,73728,-0.21328765939419575,-0.00010186012433324422,0.0,0.649947008,0.0,-0.1052895625622314,-0.29245540469652276,0.0,-0.4825699820613765,0.0,-0.41387180558842945,-0.012529709900263697,42209,242.13972091674805,0.1390625,1.0014901161193848,0.7187830209732056,72.7637710571289,-19.874846172332763,0.012586119,0.00029981568,0.2
0.0,5,-0.2883252046823943,-0.13196239190555048,148.41,-0.5,0.0,25.04608,-0.4268551204118239,-0.40150061886966065,-0.5670110332256124,0.00023871476878412068,-0.11132678712748101,0.0,0.0,0.0,-0.05534694412204913,-0.00016621099962674048,-136.79617279,0.0,-2.855431073950178e-06,4142,-1.735412638887439e-05,0.0003072,22,-0.5443305657307823,0.01,0.08151878637373876,-0.0420753994197098,92160,-0.26318656556642706,-2.617700374685228e-05,0.0,0.649929344,0.0,-0.10580150062511233,-0.5023388307345082,0.0,-0.48923245025974677,0.0,-0.3713824476284496,-0.008024576294701546,42213,624.831282043457,0.1744140625,1.0011667013168335,0.6611396074295044,235.14883422851562,-19.87310552597046,0.012023122,0.00029975423999999997,0.2
0.0,6,-0.3066565280480364,-0.16323148903555643,145.6,-0.5,0.0,25.0576,-0.4659869028744185,-0.4051167563385105,-0.5008448769143705,0.0003824862069450319,-0.10942340237580522,0.0,0.0,0.0,-0.053319532969972924,-0.00019890855258485382,-136.00348734000002,0.0,-3.6205205603166336e-06,4164,-2.182743482075614e-05,0.000384,26,-0.5572016580908427,0.01,0.09296726919556994,-0.052749406455436576,110592,-0.2906764762348415,-1.057926177357634e-05,0.0,0.64991168,0.0,-0.10642844405027657,-0.7038981886111902,0.0,-0.4270000342232143,0.0,-0.3106795241271771,-0.008369027392473073,42217,613.2398239135742,0.07489013671875,1.0010344982147217,0.6036685705184937,187.3224639892578,-19.87205457687378,0.00917502,0.0002996928,0.2
0.0,7,-0.3373655060911658,-0.17086829437830678,133.76,-0.5,0.0,25.06912,-0.5351617235138675,-0.4457553189842145,-0.43987312475884077,0.00035481701100555557,-0.11713966542425548,0.0,0.0,0.0,-0.057028675008622284,-0.00026482689942644604,-133.09189804000002,0.0,-4.501946358909095e-06,4176,-2.7473165754269403e-05,0.0004608,30,-0.595775656427133,0.01,0.10200754919901567,-0.05591389470854832,129024,-0.326127625072104,-5.83208748139441e-06,0.0,0.6498940160000001,0.0,-0.1058048971667413,-0.759479958790513,0.0,-0.3696298159462832,0.0,-0.25207109060014865,-0.008954598801210523,42221,467.72086334228516,0.06175537109375,1.0006531476974487,0.6001524925231934,163.2747344970703,-19.870015144348145,0.007949071,0.00029963136,0.2
0.0,8,-0.35733696005867466,-0.1853279451662587,126.92,-0.5,0.0,25.08064,-0.5728438255575173,-0.4685134247476891,-0.43387579251760006,0.0005322254760863467,-0.1541449918276133,0.0,0.0,0.0,-0.059914706479510214,-0.0003251781504230004,-131.36809843,0.0,-6.246028381609344e-06,4189,-3.5799549416944876e-05,0.0005376,35,-0.6457567310386533,0.01,0.10931957800111389,-0.05077981988393413,147456,-0.32578194686520473,0.0,0.0,0.649876352,0.0,-0.10571221256504627,-0.7413814555391929,0.0,-0.3355831754119367,0.0,-0.2082447816636118,-0.009922818461200222,42225,364.26286163330076,0.07318115234375,1.000531792640686,0.5199969410896301,120.71442413330078,-19.86766290664673,0.009005936,0.00029956992,0.2
0.0,9,-0.35589934428776093,-0.19783426450565061,126.39,-0.5,0.0,25.09216,-0.5495151807098831,-0.44668447164593084,-0.4046356554197992,0.0006358494315969034,-0.20953043568431295,0.0,0.0,0.0,-0.060406094611170164,-0.00037693151385050105,-131.22794366,0.0,-7.403706570239633e-06,4199,-4.150006688875997e-05,0.0006144,39,-0.6778074347573919,0.01,0.10990899411101933,-0.046823118099705324,165888,-0.32619939263183234,-5.126913310959935e-05,0.0,0.649858688,0.0,-0.10530005479908841,-0.7597422265391728,0.0,-0.31572763755777883,0.0,-0.1808745130761755,-0.01255885228747502,42229,230.94486770629882,0.09990234375,1.0008010864257812,0.595737636089325,79.92776489257812,-19.868466949462892,0.011583421,0.00029950848,0.2
0.0,10,-0.32225764971176335,-0.18875123263152005,119.37,-0.5,0.0,25.10368,-0.5248578709908206,-0.4404462682216262,-0.4362696408098199,0.0007074639433994889,-0.19334827417757466,0.0,0.0,0.0,-0.05915479179578417,-0.00040480637321600754,-129.48489115,0.0,-8.770176990220196e-06,4201,-4.780897407365556e-05,0.0006912,43,-0.6466487401066732,0.01,0.10661312155254586,-0.03868100237089204,184320,-0.291347160013591,-3.743456262681219e-05,0.0,0.649841024,0.0,-0.10479347431169243,-0.6433148310983182,0.0,-0.32371121294800315,0.0,-0.19511856097374267,-0.0121467559132725,42233,148.72678298950194,0.14368896484375,1.000980257987976,0.6087619066238403,51.29283142089844,-19.871118831634522,0.01507839,0.00029944704,0.2
