reward_terms/height,curriculum/stance_ratio,rollout/ep_rew_mean,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/residual,reward_terms/air_time,reward_terms/residual_rate,reward_terms/lat_vel,time/fps,reward_terms/assist_pen,reward_terms/phase_contact,reward_terms/ang_xy,reward_terms/overrun,reward_terms/alive,time/total_timesteps,reward_terms/foot_slip,reward_terms/vz,reward_terms/angmom,reward_terms/hip_roll,time/time_elapsed,reward_terms/foot_ahead,reward_terms/upright,reward_terms/coef_rate,reward_terms/action_rate,reward_terms/fwd_speed,time/iterations,reward_terms/stop,reward_terms/energy,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,curriculum/ctrl_drop_prob,reward_terms/time,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/stance_time,reward_terms/stance,reward_terms/step_rate,reward_terms/clearance,reward_terms/torque,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
-0.01238352101989605,0.65,-120.90818973000002,0.01,84.38,-0.10152141416913088,0.0005864795594890085,0.0,-2.783149616249639e-08,2906,0.0,-0.46502275037353524,-0.3888870343665666,0.0,0.0,18432,-0.49316741174068657,-0.12711907774888337,-0.1790445784521209,-0.06447534643570457,6,0.0,-0.3586092021001273,-1.228913409045848,-0.08266082185153698,-0.10061412741368561,1,0.0,0.0,0.0,0.0,0.0,-0.5,25.0,0.0,-0.000572371891596251,-0.0001332816293686257,0.0,0.06050408250186395,0.0,,,,,,,,,,,
-0.004130613093880517,0.649982336,-120.25012491,0.01,81.77,-0.09904738658946312,4.503027109118799e-05,0.0,-2.1509632471037878e-08,2815,0.0,-0.516848196116804,-0.4052132192992223,0.0,0.0,36864,-0.559929400503981,-0.12438117144779845,-0.21518456245167986,-0.00640044816291603,13,0.0,-0.48002068102381734,-1.2566012368569237,-0.08671209876338004,0.004266040757331791,2,0.0,-3.7353758278289187e-06,0.0,-5.63409886862187e-07,0.0,-0.5,25.01152,7.68e-05,0.0,-0.00011867496947295148,0.0,0.05218040751610441,-2.829453850191394e-05,152172,-34.07143363952637,1.0017776489257812,0.8171300888061523,-0.026495888363569975,55.46416473388672,0.21737060546875,178.93189659118653,0.0002999852544,0.2,0.033199247
-0.006574587514221488,0.6499646720000001,-121.75089579999997,0.01,87.67,-0.09942441161054653,0.00011338950328839321,0.0,-2.5426662441034006e-08,3216,0.0,-0.47720990261408275,-0.40450655788855105,0.0,0.0,55296,-0.5201592503067879,-0.1634359052022178,-0.22188883566138673,-0.011455842070351597,17,0.0,-0.5625171933632056,-1.2842570653704248,-0.09095182112101456,0.04171777404111508,3,0.0,-7.980665860094045e-06,0.0,-1.271008898798248e-06,0.0,-0.5,25.02304,0.0001536,0.0,-0.00165354541710831,0.0,0.0648252995446509,-5.9216615248110146e-05,152174,-34.0641234261649,1.0008410215377808,0.000865936279296875,0.004754180986700314,18.73445701599121,0.27786690848214285,44.73576954432896,0.0002999705088,0.2,0.040757563
-0.010857155230493715,0.649947008,-124.11316292,0.01,97.38,-0.09993242806447349,0.00016655780685444674,0.0,-2.8979356351682553e-08,3458,0.0,-0.4585117541392704,-0.40864618183583673,0.0,0.0,73728,-0.5071537640687198,-0.17827160678715182,-0.20960190748118102,-0.01879129195274993,21,0.0,-0.6528544707714548,-1.2670969480521421,-0.09381639223804215,0.09943052216241385,4,0.0,-1.2802784165463497e-05,0.0,-2.1110080724744645e-06,0.0,-0.5,25.03456,0.0002304,0.0,-0.002884332668206555,0.0,0.07222692423639937,-9.650730273260277e-05,152176,-34.064297358194985,1.000832438468933,-0.42875897884368896,0.0116987608683606,19.49382972717285,0.3150634765625,45.392843882242836,0.00029995576319999997,0.2,0.056586854
-0.01167158359686382,0.649929344,-127.0060075,0.01,109.12,-0.10062672341920881,0.00020182248166141412,0.0,-3.039795170785045e-08,3631,0.0,-0.42979072275382063,-0.39470882275838876,0.0,0.0,92160,-0.5122230218017448,-0.18689464060119193,-0.19336954737168144,-0.022788114152422864,25,0.0,-0.6997612586567292,-1.2691491532687682,-0.09574968323234989,0.09360951289288616,5,0.0,-1.7847538170695755e-05,0.0,-3.0812844316596163e-06,0.0,-0.5,25.04608,0.0003072,0.0,-0.005066121894826082,0.0,0.07547808558138225,-0.0001318427957750423,152177,-34.06481857299805,1.0009028911590576,-0.7566641569137573,0.019981929939240216,24.964391708374023,0.31396484375,54.15461654663086,0.0002999410176,0.2,0.028851707
-0.01130843508074963,0.64991168,-128.30420134,0.01,114.58,-0.10096673356567731,0.00012749535380862653,0.0,-3.2757038590647786e-08,3756,0.0,-0.4022299626338265,-0.38618589182391344,0.0,0.0,110592,-0.486423394424757,-0.1847056872341741,-0.1936956843482346,-0.02236503594735654,29,0.0,-0.7604800825842288,-1.2675335542453943,-0.097528176196158,0.15964472731034024,6,0.0,-2.304168163908135e-05,0.0,-3.926705322941369e-06,0.0,-0.5,25.0576,0.000384,0.0,-0.004674410347997844,0.0,0.08516458510278431,-0.00017428766992398667,152178,-34.06413173675537,1.0008413791656494,-0.7026017904281616,0.02242222218774259,25.768571853637695,0.34710693359375,56.228135108947754,0.000299926272,0.2,0.032699216
-0.01719341251831897,0.6498940160000001,-128.93009992999998,0.01,117.42,-0.10101415655880884,0.00014268639562134113,0.0,-3.245688438373376e-08,3854,0.0,-0.4005887612257808,-0.39098231391401117,0.0,0.0,129024,-0.4631400096392812,-0.19043240573823023,-0.18784341183075415,-0.02702957342668134,33,0.0,-0.8013352935795539,-1.2468149451115993,-0.0968121542374834,0.21612956576584322,7,0.0,-2.8754279972645652e-05,0.0,-5.060892257853708e-06,0.0,-0.5,25.06912,0.0004608,0.0,-0.004479820801739609,0.0,0.08831286825182465,-0.0002128000956291343,152179,-34.06883697509765,1.0011751651763916,-0.24741828441619873,0.017464670911431314,31.35584259033203,0.309130859375,61.272727966308594,0.0002999115264,0.2,0.028177714
-0.020636235162263854,0.649876352,-130.73494087999998,0.01,125.01,-0.10184508319040522,0.00010633655862572293,0.0,-3.4606210999174226e-08,3926,0.0,-0.3966356991977634,-0.3788356542190604,0.0,0.0,147456,-0.5156479381162953,-0.1862314756077503,-0.1767998465971224,-0.033663583715016106,37,0.0,-0.7767704657734213,-1.2183072810179,-0.09679712719194827,0.2610616999795539,8,0.0,-3.500555638173572e-05,0.0,-6.307979587393043e-06,0.0,-0.5,25.08064,0.0005376,0.0,-0.006591343637929171,0.0,0.0865088151053672,-0.00026348999451921443,152180,-34.0697624206543,1.0013378858566284,-0.5687296390533447,0.01925137871876359,23.43035125732422,0.3056640625,54.19284286499023,0.0002998967808,0.2,0.0286488
-0.0241763360814021,0.649858688,-130.51076228,0.01,125.51,-0.10162818174571361,0.00014105873479921784,0.0,-3.530133151799131e-08,3986,0.0,-0.37743018828960173,-0.37062695703995474,0.0,0.0,165888,-0.49658878386621574,-0.19822760848986118,-0.16477814541428842,-0.04166015638064764,41,0.0,-0.746921397290443,-1.2364320035002372,-0.0970999304279167,0.34029347763105505,9,0.0,-4.1398783175260076e-05,0.0,-7.546144397908409e-06,0.0,-0.5,25.09216,0.0006144,0.0,-0.003143837633345041,0.0,0.09401322361220414,-0.00030596640956813295,152181,-34.062967936197914,1.0007238388061523,-0.37086236476898193,0.015789682045578957,33.58108139038086,0.2640787760416667,72.34660339355469,0.0002998820352,0.2,0.025191605
-0.017504620817026664,0.649841024,-132.37803495,0.01,133.57,-0.10204960674623134,0.00011121939557294051,0.0,-3.512700842722561e-08,4023,0.0,-0.38791746454574827,-0.3577970640514016,0.0,0.0,184320,-0.5307507215343601,-0.16836797937773965,-0.15360977494364705,-0.0354236023815886,45,0.0,-0.724597096921662,-1.2159524286574748,-0.09743553305935457,0.2785937807032806,10,0.0,-4.809316076083398e-05,0.0,-8.894494167798805e-06,0.0,-0.5,25.10368,0.0006912,0.0,-0.002257833168530402,0.0,0.08765560205292497,-0.0003482706773942884,152183,-34.075340270996094,1.0016741752624512,-0.07799577713012695,0.005306361165518562,33.37520980834961,0.2754313151041667,74.84916432698567,0.0002998672896,0.2,0.04589491
