rollout/ep_rew_mean,reward_terms/alive,reward_terms/residual,reward_terms/stop,time/total_timesteps,time/time_elapsed,reward_terms/energy,ankle/ankle_spring_trq_peak,reward_terms/clearance,reward_terms/hip_roll,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/step_rate,time/fps,reward_terms/duty_sym,reward_terms/height,curriculum/stance_ratio,ankle/ankle_spring_energy_peak,time/iterations,reward_terms/lat_vel,reward_terms/foot_ahead,reward_terms/assist_pen,reward_terms/motor_vel,rollout/ep_len_mean,reward_terms/torque,curriculum/ctrl_jitter_ms,reward_terms/stance,curriculum/ent_coef,reward_terms/foot_slip,reward_terms/coef_rate,curriculum/eff_scale,reward_terms/residual_rate,reward_terms/upright,reward_terms/vz,curriculum/ctrl_drop_prob,reward_terms/action_rate,curriculum/sprint_dist_m,reward_terms/ang_xy,reward_terms/angmom,reward_terms/overrun,reward_terms/phase_contact,ankle/ankle_defl_peak,reward_terms/time,reward_terms/stance_time,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/clip_fraction,train/entropy_loss
-131.42202654000002,0.0,-0.05965170719612778,0.0,18432,5,0.0,0.0,0.04449616586055815,-0.04311640062267348,-0.8823544538365613,0.00012152747755559783,-0.020800781249999314,3655,0.0,-0.011585228112531733,0.65,0.0,1,-4.054935313550731e-08,0.0,0.0,0.0,126.1,0.0,0.0,-0.002969080738489076,0.01,-0.6834855014315543,-1.5703933435523594,0.0,0.0,-0.07619532595937802,-0.13197279218971325,0.0,-0.21470184153916314,25.0,-0.3161533795659663,-0.1036940927696131,0.0,-0.30780026094967805,0.5193449634674824,-0.5,0.0,,,,,,,,,,,
-130.81901094000003,0.0,-0.05985711654099024,0.0,36864,11,-3.541687688605194e-06,0.0,0.0443498118431263,-0.04363741448303051,-0.9210986376416446,7.703970186412334e-05,-0.02125651041666596,3143,0.0,-0.011442183000068258,0.649982336,0.0,2,-4.193663611975809e-08,0.0,0.0,-4.6466954375352514e-07,123.72,-3.277440619327224e-05,0.0,-0.0017662804966207663,0.01,-0.7004357599248144,-1.5581062084442479,7.68e-05,0.0,-0.07413316437425889,-0.12425998827163874,0.0,-0.21425737298374942,25.01152,-0.3116473240105527,-0.10417871630565129,0.0,-0.31858996734189304,0.5200348916579349,-0.5,0.0,-0.020253173355013133,777.5796295166016,4,-0.010041236877441406,371.41876220703125,0.008102516,0.000299990784,0.2,1.002059817314148,0.0527099609375,-34.07851314544678
-129.51002390000002,0.0,-0.06007855363234434,0.0,55296,18,-7.013792195914533e-06,0.0,0.04306086929484163,-0.04143302660611733,-0.9575266379320806,8.409265622807045e-05,-0.02122395833333264,3051,-0.00011193379448253155,-0.013496495735510091,0.6499646720000001,0.0,3,-4.0493357752115694e-08,0.0,0.0,-8.978908615924484e-07,118.44,-6.914444391101088e-05,0.0,-0.0010977404099160822,0.01,-0.6895940818285234,-1.5661993597578754,0.0001536,0.0,-0.08906450469261001,-0.13169484422542688,0.0,-0.2150397178543801,25.02304,-0.32795217997570175,-0.10537769778398914,0.0,-0.3217255591578738,0.5194587341331528,-0.5,0.0,-0.012087781832087785,810.92265625,8,0.15461993217468262,392.38128662109375,0.006397949,0.000299981568,0.2,1.0013632774353027,0.02623291015625,-34.066522216796876
-130.87919908,0.0,-0.06019993829301567,0.0,73728,24,-1.040488362172258e-05,0.0,0.04500740815483086,-0.04430972111838682,-1.0092254069246294,6.944425210046272e-05,-0.021538628472221506,3027,-0.00010887158759409832,-0.015152679470672479,0.649947008,0.0,4,-3.9995327489977554e-08,0.0,0.0,-1.3437514842073875e-06,123.92,-9.816315079779701e-05,0.0,-0.0015515279744904653,0.01,-0.682814415988429,-1.5674034761113929,0.0002304,0.0,-0.09531719954972888,-0.1382389282314508,0.0,-0.21276792751580714,25.03456,-0.3201308308328522,-0.12542685646943208,0.0,-0.331290926077762,0.5183339185362716,-0.5,0.0,-0.009409847680944949,754.5579193115234,12,0.325894832611084,342.37078857421875,0.003807261,0.00029997235199999997,0.2,1.0017510652542114,0.008203125,-34.068633270263675
-131.20681761000003,0.0,-0.05972761372713683,0.0,92160,30,-1.358521329442816e-05,0.0,0.04736791712731997,-0.04894815196427309,-0.9026553393116434,0.00017523824741753438,-0.020724826388888222,3048,-1.1755017957296637e-06,-0.014020168073090077,0.649929344,0.0,5,-4.211073181970148e-08,0.0,0.0,-1.749578612826979e-06,125.26,-0.0001303205430865881,0.0,-0.0021941191076678495,0.01,-0.6507958625424313,-1.5601599212392425,0.0003072,0.0,-0.10328852709950315,-0.1371917630915503,0.0,-0.21488942350885157,25.04608,-0.31986347223339995,-0.10953004006822764,0.0,-0.3119286783306497,0.5192992474386887,-0.5,0.0,-0.009112613589968533,709.381704711914,16,0.46216118335723877,342.17626953125,0.0038202319,0.000299963136,0.2,1.0021865367889404,0.00845947265625,-34.07707176208496
-130.50896959000002,0.0,-0.05990764731634525,0.0,110592,36,-1.7279990310683577e-05,0.0,0.043177617815115955,-0.04554536106017677,-1.0153376038625461,0.0002050776998253746,-0.02182074652777704,3061,-1.5206519581151307e-05,-0.01560663018825395,0.64991168,0.0,6,-4.04063196940237e-08,0.0,0.0,-2.2211599588382727e-06,122.39,-0.0001682748892040162,0.0,-0.001687964737826207,0.01,-0.689648153031549,-1.5810999448231084,0.000384,0.0,-0.09414445935396704,-0.13313627736555397,0.0,-0.21551282612563794,25.0576,-0.3184178184159621,-0.11761847218568452,0.0,-0.3269116855337872,0.5214261190220825,-0.5,0.0,-0.010606845049187541,692.6254058837891,20,0.5417118072509766,343.9558410644531,0.0052977414,0.00029995392,0.2,1.0022944211959839,0.0165283203125,-34.07955913543701
-132.07900976,0.0,-0.05998642684031072,0.0,129024,42,-2.08197370202029e-05,0.0,0.04146847461291685,-0.04655408014140629,-1.0081936925025934,8.626275424224635e-05,-0.021397569444443737,3033,-6.511702495741558e-05,-0.014128720941839947,0.6498940160000001,0.0,7,-4.0653991637392486e-08,0.0,0.0,-2.7129586446409486e-06,128.73,-0.00020005142062139538,0.0,-0.0018534089148644847,0.01,-0.668123187063999,-1.5710801844983702,0.0004608,0.0,-0.08931315807441503,-0.1348674200029581,0.0,-0.21446261402286146,25.06912,-0.32338835982916403,-0.11436906317226482,0.0,-0.3173186010257429,0.5194140193492534,-0.5,0.0,-0.010270905558718369,701.4953094482422,24,0.58271324634552,335.65478515625,0.004842844,0.00029994470399999997,0.2,1.0021541118621826,0.0136474609375,-34.07882652282715
-131.05337663999998,0.0,-0.06012537352760004,0.0,147456,48,-2.459742650955583e-05,0.0,0.04848800760276795,-0.041814987981947084,-0.9815838648529672,0.00011827224322284262,-0.02127821180555484,3011,0.0,-0.016086235710490202,0.649876352,0.0,8,-3.952272605496078e-08,0.0,0.0,-3.2402921539449685e-06,124.64,-0.00022774802440499344,0.0,-0.003063414928957958,0.01,-0.6474370825804545,-1.5650480717348794,0.0005376,0.0,-0.10822070685608925,-0.14911302192340295,0.0,-0.21422119634548925,25.08064,-0.33001947060785575,-0.13089937493248002,0.0,-0.3060293891425551,0.5189316197671399,-0.5,0.0,-0.010762222798075528,693.8386260986329,28,0.6094068288803101,357.26947021484375,0.0044770637,0.000299935488,0.2,1.0013045072555542,0.01143798828125,-34.070854568481444
-132.48900876000005,0.0,-0.060055152612049884,0.0,165888,55,-2.8167311230878427e-05,0.0,0.04589285427774273,-0.04673594569272956,-0.9814877111657031,0.00010904911323450506,-0.021169704861110403,2999,0.0,-0.017339358523813832,0.649858688,0.0,9,-3.944470117116878e-08,0.0,0.0,-3.726942247861709e-06,130.36,-0.0002664204001776064,0.0,-0.00269856590877581,0.01,-0.648992914586421,-1.5637401472743737,0.0006144,0.0,-0.11630327925182457,-0.14651189978955387,0.0,-0.21264583639956186,25.09216,-0.3347093526141918,-0.12653185619885768,0.0,-0.3133083769338967,0.5191178412838324,-0.5,0.0,-0.011879507539561018,694.4421478271485,32,0.6376656293869019,353.2203369140625,0.005922625,0.000299926272,0.2,1.0016155242919922,0.02073974609375,-34.06950988769531
-131.30892622000002,0.0,-0.06025750709827377,0.0,184320,61,-3.175033893619363e-05,0.0,0.04657933362621422,-0.044811217074179815,-0.9895659492897355,0.00013292062794789672,-0.021690538194443706,2997,-2.7826681398602558e-06,-0.013422467197327252,0.649841024,0.0,10,-4.233393905868412e-08,0.0,0.0,-4.186270648815393e-06,125.67,-0.00029420660446123934,0.0,-0.0017686138719982655,0.01,-0.6584798382683967,-1.5709258799080827,0.0006912,0.0,-0.08598338510637568,-0.13653924535714804,0.0,-0.2161542365031523,25.10368,-0.31859593446361834,-0.11283041179194098,0.0,-0.32002039028886503,0.5194029179334319,-0.5,0.0,-0.013144289702177047,672.7958618164063,36,0.6272962093353271,316.1714172363281,0.0065403124,0.000299917056,0.2,1.0017282962799072,0.02515869140625,-34.07219886779785
