reward_terms/stance,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,curriculum/ent_coef,time/iterations,reward_terms/hip_roll,reward_terms/energy,rollout/ep_rew_mean,time/total_timesteps,curriculum/eff_scale,time/fps,reward_terms/foot_slip,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/air_time,reward_terms/ang_xy,reward_terms/upright,reward_terms/fwd_speed,reward_terms/clearance,reward_terms/coef_rate,reward_terms/stance_time,reward_terms/lat_vel,reward_terms/action_rate,reward_terms/residual,reward_terms/torque,reward_terms/assist_pen,reward_terms/time,reward_terms/vz,time/time_elapsed,reward_terms/phase_contact,reward_terms/angmom,reward_terms/alive,reward_terms/overrun,reward_terms/height,curriculum/ctrl_drop_prob,reward_terms/stop,curriculum/sprint_dist_m,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl,train/std
0.0,0.0,0.0,0.01,1,-0.6015911010970204,0.0,-112.98227629000002,18432,0.0,3113,-0.6429145320533103,0.65,52.02,8.246484988679488e-05,-0.5989491185754461,-0.7216616624371227,0.2715841490253263,0.16116120526846991,-1.445912234567218,-0.0005596224865358737,-8.855978143951438e-08,-0.2435880264463849,-0.0990413494485921,0.0,0.0,-0.5,-0.3685737232324028,5,-0.3079347997239537,-0.30086934708381685,0.0,0.0,-0.039079346646486345,0.0,0.0,25.0,,,,,,,,,,,
-4.7296645848768545e-06,0.0,-1.704873143589797e-06,0.01,2,-0.4290050850002656,-1.2566484163879774e-05,-109.90430828999997,36864,7.68e-05,3004,-0.6800020544955253,0.649982336,39.71,8.029483918411036e-05,-0.7745801210598882,-0.6597772605799626,0.16753511690206002,0.1525262244606701,-1.4297310561591283,0.0,-9.286569731858256e-08,-0.26727634450847326,-0.0935008176886084,-0.00011526422535364822,0.0,-0.5,-0.27942006591361923,12,-0.31376655778464124,-0.38769763648283234,0.0,0.0,-0.014813260319557911,0.0,0.0,25.01152,0.2,-34.065213966369626,119.86754608154297,-0.003278183669317514,0.000299995392,0.6678673028945923,0.043359375,6296,459.18619842529296,0.0061839577,1.0007519721984863
-0.0011317717812797223,0.0,-3.118485448068147e-06,0.01,3,-0.37727285154113316,-2.4804346117389725e-05,-111.01033707999999,55296,0.0001536,3366,-0.7093549899675672,0.6499646720000001,44.12,7.32419624303778e-05,-0.8850765659134532,-0.647570063516962,0.21643851150375676,0.15329150977210781,-1.4470543777669453,0.0,-1.1110396203061061e-07,-0.3059983234266107,-0.09149773731933049,-0.00024656241736882513,0.0,-0.5,-0.3019813702092958,16,-0.32409522262294976,-0.4670900660564674,0.0,0.0,-0.020000655387727,0.0,0.0,25.02304,0.2,-34.05762958526611,76.82343292236328,-0.0065960524952970445,0.000299990784,0.2142883539199829,0.035693359375,6300,342.9587089538574,0.0072969617,1.0003173351287842
-0.008766675796468774,0.0,-4.416986460963413e-06,0.01,4,-0.35377276159921794,-3.628653038089135e-05,-112.82443064,73728,0.0002304,3586,-0.7280996956036745,0.649947008,51.4,6.564646416033308e-05,-0.8396973951072129,-0.5720687225125213,0.2812323665679892,0.15924948674678768,-1.3926711170872048,0.0,-1.1818429417541847e-07,-0.3194154198922275,-0.09041979578675877,-0.0003615788751613244,0.0,-0.5,-0.3980441073253745,20,-0.31442322968910275,-0.4566649055211783,0.0,0.0,-0.03258638361135063,0.0,0.0,25.03456,0.2,-34.05835800170898,57.6313591003418,-0.010661621647886931,0.00029998617599999997,0.4649049639701843,0.04742431640625,6304,239.70118560791016,0.00792125,1.0004850625991821
-0.013696164404454808,0.0,-5.804690399269242e-06,0.01,5,-0.3703804311521895,-4.777112702469285e-05,-114.74220021,92160,0.0003072,3732,-0.7625948011171673,0.649929344,59.06,5.750848989312848e-05,-0.8039290536469266,-0.5265977796255242,0.30892164654133575,0.15698990299355564,-1.3554514051877347,-1.3562837719089455e-06,-1.2063464795886714e-07,-0.32713447519187366,-0.09087486780876347,-0.0004697877302188721,0.0,-0.5,-0.4346502770354905,24,-0.3278918151666929,-0.44208365189774157,0.0,0.0,-0.045748014184030975,0.0,0.0,25.04608,0.2,-34.06271476745606,41.39067840576172,-0.01364137341734022,0.000299981568,0.5626884698867798,0.0885986328125,6308,131.9548652648926,0.010665523,1.00082528591156
-0.01286082756027678,0.0,-7.1180478388591595e-06,0.01,6,-0.3757336689918399,-5.8013631879467324e-05,-115.15872776999997,110592,0.000384,3838,-0.7908427628729401,0.64991168,60.73,6.510391055295865e-05,-0.7885793849287509,-0.542490168008684,0.278962520507223,0.15046767449559806,-1.3535994933582203,-1.057926177357634e-05,-1.2535280375382184e-07,-0.3219371867961269,-0.09187733470237563,-0.0005672785963512813,0.0,-0.5,-0.41172410965798034,28,-0.3318604475301084,-0.44526337714251885,0.0,0.0,-0.04017305406391649,0.0,0.0,25.0576,0.2,-34.064254188537596,29.70150375366211,-0.013022466155234724,0.00029997696,0.6061665415763855,0.1216552734375,6312,96.26432380676269,0.0123268105,1.000899314880371
-0.009609147484255221,0.0,-8.547139491624099e-06,0.01,7,-0.39217598357758104,-6.891140777873732e-05,-114.90193388,129024,0.0004608,3915,-0.7658684984193763,0.6498940160000001,59.72,3.092435266201695e-05,-0.7820724970398731,-0.5529143705874923,0.2921469325634399,0.15958006290735782,-1.3607987288572216,0.0,-1.2103288554166307e-07,-0.3215906485963169,-0.09208372113244673,-0.0006674539335617492,0.0,-0.5,-0.4425116194259215,32,-0.3248212794415974,-0.4307501211722036,0.0,0.0,-0.0395718539282004,0.0,0.0,25.06912,0.2,-34.06379070281982,18.18979263305664,-0.011864915443584322,0.00029997235199999997,0.5587564706802368,0.2170654296875,6316,63.93239002227783,0.02380597,1.0010862350463867
-0.005786276462267648,0.0,-9.205032959565144e-06,0.01,8,-0.42223728577966413,-7.564680949123618e-05,-116.5304225,147456,0.0005376,3977,-0.8191617571390757,0.649876352,66.2,9.928357515794535e-05,-0.7078083633867095,-0.5014887611243758,0.3150177601814042,0.1503748346052285,-1.3355748849390279,0.0,-1.291344085806321e-07,-0.32103919022448457,-0.09300927739953851,-0.0007296146686084095,0.0,-0.5,-0.48755290207853924,37,-0.32911587981040735,-0.38091769800290265,0.0,0.0,-0.05312701986556242,0.0,0.0,25.08064,0.2,-34.070445442199706,10.26962661743164,-0.018667634815210478,0.000299967744,0.39235854148864746,0.21220703125,6320,35.58854007720947,0.021123527,1.0016529560089111
-0.006451660392796773,0.0,-1.022386911349408e-05,0.01,9,-0.43752947052248836,-8.298863549057839e-05,-116.44713850999997,165888,0.0006144,4025,-0.84325866103187,0.649858688,65.87,6.673148406359057e-05,-0.6778999414452105,-0.5040933003718022,0.3043366580980216,0.14735164806241827,-1.3462470912381022,-3.7976488884952332e-06,-1.2614473284687707e-07,-0.3166202359710901,-0.09397066354799372,-0.0007901894300922205,0.0,-0.5,-0.4792869993159804,41,-0.33799829537290804,-0.35853671380827645,0.0,0.0,-0.052725964771050876,0.0,0.0,25.09216,0.2,-34.07620277404785,4.5943193435668945,-0.014509168546646833,0.000299963136,0.2750675082206726,0.30113525390625,6324,17.689887619018556,0.036776334,1.0023064613342285
-0.005028084569416601,0.0,-1.1138116676132103e-05,0.01,10,-0.4824756837060312,-8.982996477000908e-05,-117.52658530999999,184320,0.0006912,4071,-0.7943954755001311,0.649841024,70.18,0.00010036860476247966,-0.6537129398137365,-0.5349022088316365,0.3473791106833719,0.15716283362527264,-1.339718431158283,0.0,-1.2363501363529025e-07,-0.3088076901600481,-0.09472921971442279,-0.0008555535882033916,0.0,-0.5,-0.5294562809910938,45,-0.32442455059383674,-0.3558424926118098,0.0,0.0,-0.06253930588861378,0.0,0.0,25.10368,0.2,-34.08293233598982,2.991790294647217,0.004748711229435035,0.00029995852799999997,0.21765565872192383,0.387939453125,6327,10.798420974186488,0.03886348,1.002647876739502
