reward_terms/stop,reward_terms/ang_xy,rollout/ep_len_mean,curriculum/sprint_dist_m,time/iterations,reward_terms/motor_vel,reward_terms/vz,reward_terms/phase_contact,time/total_timesteps,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,curriculum/stance_ratio,reward_terms/torque,reward_terms/height,reward_terms/foot_slip,time/fps,reward_terms/assist_pen,reward_terms/clearance,time/time_elapsed,reward_terms/overrun,curriculum/eff_scale,reward_terms/alive,reward_terms/hip_roll,rollout/ep_rew_mean,reward_terms/energy,reward_terms/time,reward_terms/air_time,reward_terms/stance,reward_terms/angmom,reward_terms/action_rate,reward_terms/residual,reward_terms/lat_vel,reward_terms/upright,curriculum/ent_coef,reward_terms/stance_time,train/loss,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates
0.0,-0.3294791049597717,49.52,25.0,1,0.0,-0.40731510944036464,-0.25595145086576665,18432,0.0,-0.6135458294043739,0.0,-1.4796662599838803,0.65,0.0,-0.016860225940335996,-0.4535063089826057,2840,0.0,0.10288232188348873,6,0.0,0.0,0.0,-0.2213422860811225,-112.34854494999999,0.0,-0.5,0.0004871951532550156,0.0,-0.23869908989860944,-0.11571083626723001,-0.09990679500502858,-3.046407339427134e-08,-0.1941425551236325,0.01,0.0,,,,,,,,,,,
0.0,-0.3196839249453149,53.78,25.01152,2,-5.721779091010667e-07,-0.4066225179695457,-0.2620685399150572,36864,0.0,-0.5826459729144555,0.0,-1.4749905105328858,0.649982336,-2.448473042539909e-05,-0.016119974488083832,-0.44664624555844934,2527,0.0,0.10269952107487307,14,0.0,7.68e-05,0.0,-0.22333841594101905,-113.41340343,-3.645398715899546e-06,-0.5,0.0003835711977444589,0.0,-0.23413734345772952,-0.11804608521058567,-0.09924608867281068,-2.6541290468972843e-08,-0.18480727868284189,0.01,0.0,360.07354736328125,0.09214609861373901,1.0007294416427612,-34.06503810882568,0.2,0.000299995392,1162.0802612304688,0.0066737207,0.048828125,-0.0021372792194597422,6296
0.0,-0.3653768900959974,42.76,25.02304,3,-1.0593073332746712e-06,-0.4297688030647184,-0.2694477127553867,55296,0.0,-0.6256873724614811,0.0,-1.4750612845625735,0.6499646720000001,-4.742354735370235e-05,-0.01919203918344409,-0.4091479655323229,2815,0.0,0.10894634548158205,19,0.0,0.0001536,0.0,-0.21953987059104113,-110.65731571,-7.088979018264543e-06,-0.5,0.0004302291296577702,0.0,-0.26349262219052827,-0.12232479933937042,-0.09824672672012032,-2.6417851066826017e-08,-0.23072129814994716,0.01,0.0,180.64076232910156,0.47935211658477783,1.0002195835113525,-34.05679836273193,0.2,0.000299990784,654.9606384277344,0.0038377694,0.01427001953125,-0.002574076468590647,6300
0.0,-0.3629391305729428,43.89,25.03456,4,-1.4569688780346275e-06,-0.44673548360061854,-0.27190416350878355,73728,0.0,-0.6458775089878103,0.0,-1.4741021027874779,0.649947008,-6.986803280236377e-05,-0.021188067248810144,-0.3768186177584212,2875,0.0,0.11088042615802877,25,0.0,0.0002304,0.0,-0.2110252286612642,-110.93878656999999,-1.0182521661278566e-05,-0.5,0.0004920779707996795,0.0,-0.260063746891858,-0.1282746848714659,-0.09595592225520558,-2.755822919634461e-08,-0.2489792858556664,0.01,0.0,116.80049896240234,0.5828209519386292,1.0001949071884155,-34.05615100860596,0.2,0.00029998617599999997,426.0000114440918,0.006084308,0.02696533203125,-0.005529018596280366,6304
0.0,-0.35092602382462096,50.69,25.04608,5,-1.888489990310249e-06,-0.4450726118830672,-0.27759468527719655,92160,0.0,-0.6162271155453789,0.0,-1.4632251148602973,0.649929344,-9.167669284340794e-05,-0.02322072254949614,-0.3712502188174923,2746,0.0,0.11012038687114904,33,0.0,0.0003072,0.0,-0.19900764271237353,-112.63785185000002,-1.3379184751761307e-05,-0.5,0.000595702042725558,0.0,-0.24561795875667258,-0.13387655959408434,-0.09405453945034152,-3.004140294768588e-08,-0.25477517839596153,0.01,0.0,53.20552062988281,0.40297484397888184,1.0004565715789795,-34.05821647644043,0.2,0.000299981568,226.83394660949708,0.009254371,0.0453369140625,-0.008355587511323393,6308
0.0,-0.34731962576963715,51.87,25.0576,6,-2.2970416419256075e-06,-0.4508781269707881,-0.2748545149473874,110592,0.0,-0.5959377354929309,0.0,-1.4554760912017182,0.64991168,-0.00011922414254150953,-0.026198236821048278,-0.3682064899523331,2720,0.0,0.11038814378224318,40,0.0,0.000384,0.0,-0.19166574827226357,-112.93147995000001,-1.672527930015396e-05,-0.5,0.000505098820819209,0.0,-0.23132066119709713,-0.13870784710774264,-0.09331900235185944,-3.106175089869637e-08,-0.24435493913856676,0.01,0.0,37.760833740234375,0.29697972536087036,1.0006803274154663,-34.061151123046876,0.2,0.00029997696,133.74344596862792,0.010730288,0.06563720703125,-0.010888412385247648,6312
0.0,-0.3292609496881853,59.74,25.06912,7,-2.536869087218392e-06,-0.4948960032888921,-0.2677090408526953,129024,0.0,-0.6282980632798583,0.0,-1.4374065322076781,0.6498940160000001,-0.00013618097413278476,-0.0334217848115388,-0.3285029296849649,2633,0.0,0.11850613726186143,48,0.0,0.0004608,0.0,-0.197642020882533,-114.90815509,-1.87142124717153e-05,-0.5,0.0008355020965811693,-0.0005715060711485319,-0.23347405778448105,-0.1369655039058143,-0.09379272287680945,-3.251841773866191e-08,-0.2571681522715653,0.01,0.0,16.33453941345215,0.15238231420516968,1.001300573348999,-34.06487407684326,0.2,0.00029997235199999997,64.83631172180176,0.017525014,0.13319091796875,-0.014936865854542703,6316
0.0,-0.3059372608915165,54.42,25.08064,8,-2.7756390355473734e-06,-0.529177211775324,-0.2548411811309646,147456,0.0,-0.5846149599829881,0.0,-1.4296706266738,0.649876352,-0.00015952474277434434,-0.04161378564422192,-0.292097294777603,2601,0.0,0.1244857905973289,56,0.0,0.0005376,0.0,-0.1971037764105855,-113.56762844,-2.1021129049221536e-05,-0.5,0.0008718517815901174,-0.0017953064541371784,-0.21871191955009317,-0.1386951368969633,-0.09416863662306994,-3.299537103148306e-08,-0.25012424510133635,0.01,0.0,5.299218654632568,0.4102433919906616,1.0027971267700195,-34.08032112121582,0.2,0.000299967744,23.275020694732667,0.023446865,0.20147705078125,-0.017756550037302078,6320
0.0,-0.32092173576195054,60.88,25.09216,9,-3.1378889307790293e-06,-0.5353075614964324,-0.25226071753531165,165888,0.0,-0.645431854781353,0.0,-1.446664448143199,0.649858688,-0.00018033859964862312,-0.048272511645929356,-0.28305297049187117,2599,0.0,0.12614103084234904,63,0.0,0.0006144,0.0,-0.20111046863241597,-115.18691534,-2.3684178492701907e-05,-0.5,0.0008913830776388446,-8.160843441810524e-05,-0.23531271262529183,-0.1377765033190019,-0.09434934951769734,-3.98217401008226e-08,-0.2564927455251386,0.01,0.0,13.471012115478516,-0.26337766647338867,1.0008981227874756,-34.065180097307476,0.2,0.000299963136,32.5318227495466,0.046056133,0.28194754464285715,0.008080038242042065,6322
0.0,-0.33504928410777635,72.23,25.10368,10,-3.3089874841183846e-06,-0.6003770265107102,-0.22652047363378816,184320,0.0,-0.7351472227441899,0.0,-1.4455557578680214,0.649841024,-0.00020136836138293408,-0.06559453247358049,-0.23419546525572338,2616,0.0,0.1374703084850547,70,0.0,0.0006912,0.0,-0.21495655574520575,-118.01441343,-2.58558962142457e-05,-0.5,0.0008512356305598385,-0.00016201242657554952,-0.2737560609892391,-0.13480114584617725,-0.09662262791934802,-3.6717093537693124e-08,-0.3114348810565675,0.01,0.0,1.8951250314712524,-0.09197068214416504,1.0027754306793213,-34.08334565162659,0.2,0.00029995852799999997,6.739124804735184,0.052186653,0.2595977783203125,-0.017917111777933314,6326
