time/fps,reward_terms/overrun,curriculum/sprint_dist_m,time/time_elapsed,rollout/ep_len_mean,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,reward_terms/angmom,reward_terms/stance,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/time,reward_terms/stop,reward_terms/assist_pen,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/residual_rate,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/upright,reward_terms/stance_time,time/total_timesteps,reward_terms/foot_slip,reward_terms/air_time,reward_terms/residual,time/iterations,reward_terms/torque,reward_terms/step_rate,reward_terms/fwd_speed,reward_terms/height,reward_terms/vz,curriculum/ctrl_drop_prob,reward_terms/energy,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/alive,reward_terms/lat_vel,train/learning_rate,train/n_updates,train/clip_fraction,train/std,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss
4177,0.0,25.1152,48,148.42,0.08851308783236644,-0.5462434646855161,-0.4942149538993052,-0.08219015365035005,-0.031567226068283764,0.6498233600000001,0.0,-0.5,0.0,0.0,-136.1041778,-4.126951322238099e-06,0.0,-0.013534985291366482,0.0,-0.30526478528270995,0.0,202752,-0.4362756203159258,4.177508526481688e-05,0.0,11,-0.00024170296280412505,0.0,-0.6790027582230056,-0.039278318124340336,-0.20318017087244963,0.0,-2.338570346141136e-05,0.000768,-0.20750991290933288,-0.1068239802230973,0.01,0.0,-9.84165990593868e-08,0.00029990784,16312,0.0099853515625,0.9995720386505127,0.0035854757,1.314220905303955,-0.0034938986762426795,7.568362689018249,0.2,0.6618103384971619,-11.347846603393554
4183,0.0,25.12672,52,138.8,0.08683688145246278,-0.5506475939200065,-0.51586565878174,-0.08145012450775099,-0.026608717251658604,0.649805696,0.0,-0.5,0.0,0.0,-133.69891339999998,-4.65940653851535e-06,0.0,-0.013656872015392604,0.0,-0.31114663174337465,-1.8445956003334788e-05,221184,-0.42759148657252816,6.184884114190936e-05,0.0,12,-0.00025881761449303393,0.0,-0.5922967118980711,-0.03137422557297057,-0.18548710312728808,0.0,-2.5798488055389654e-05,0.0008448,-0.21806360870662955,-0.09894407992998014,0.01,0.0,-9.581591751920485e-08,0.000299898624,16316,0.01507568359375,0.9996814727783203,0.0047117253,1.256631851196289,-0.0036634220101404934,5.606562232971191,0.2,0.4490742087364197,-11.34794898033142
4191,0.0,25.13824,57,144.83,0.08692727425477578,-0.5379898797690453,-0.5100064529175342,-0.08352965491443509,-0.031381825568855805,0.649788032,0.0,-0.5,0.0,0.0,-135.16710203000002,-5.1050322831646375e-06,0.0,-0.01325218414298892,0.0,-0.3209307635662006,-1.057926177357634e-05,239616,-0.44618010581952106,3.906242394198974e-05,0.0,13,-0.0002897738446219778,0.0,-0.6150399178565581,-0.035566691312239385,-0.19387828825322082,0.0,-2.8357907360112545e-05,0.0009216,-0.21265116688479122,-0.10633305377285726,0.01,0.0,-1.0040989725516684e-07,0.00029988940799999996,16320,0.02664794921875,0.9997798800468445,0.006040862,0.474470853805542,-0.005653266329318285,2.7161321699619294,0.2,0.3382211923599243,-11.348639011383057
4193,0.0,25.14976,61,136.98,0.0872625642836457,-0.5361331288113759,-0.5286044860346633,-0.08907296947868357,-0.02369944594285814,0.649770368,0.0,-0.5,0.0,0.0,-133.17171700999998,-5.6264923194375645e-06,0.0,-0.01357902928772577,0.0,-0.3175765009249871,0.0,258048,-0.43016590652893344,8.680527874579033e-06,0.0,14,-0.0003101863939418285,0.0,-0.6108136961727146,-0.03677812872744273,-0.19804886509297534,0.0,-3.0993776194748815e-05,0.0009984,-0.21547804514988397,-0.09705273354223026,0.01,0.0,-9.607173319446661e-08,0.000299880192,16324,0.060302734375,0.9997708797454834,0.008786167,0.2252909243106842,-0.007801141613163054,1.2427741765975953,0.2,0.3565799593925476,-11.349079084396362
4195,0.0,25.16128,65,132.15,0.08590466421790685,-0.539057934369483,-0.5182226367248626,-0.08962916672212497,-0.024447448130010704,0.6497527040000001,0.0,-0.5,0.0,0.0,-132.00296253,-6.235016982007007e-06,0.0,-0.013715507278932377,0.0,-0.3105798027967017,-4.475861917146378e-05,276480,-0.43389465363766233,5.4253323469311e-06,0.0,15,-0.0003276820397407337,0.0,-0.603539824547551,-0.03533216692933377,-0.18957864621558282,0.0,-3.370056243664276e-05,0.0010752,-0.21350157501221825,-0.09888676227117871,0.01,0.0,-9.18014221532081e-08,0.000299870976,16328,0.103466796875,1.0004559755325317,0.011763802,0.08363299071788788,-0.010478218027856201,0.7197236612439155,0.2,0.2656940221786499,-11.351073694229125
4201,0.0,25.1728,70,141.41,0.08506811903471953,-0.5210024056513533,-0.4957371770224557,-0.07727761636900149,-0.027950879042172676,0.64973504,0.0,-0.5,0.0,0.0,-134.31476981,-6.247848029299841e-06,0.0,-0.013557512640437131,0.0,-0.3231768543432298,-1.708959462121129e-05,294912,-0.44432029508961823,0.0,0.0,16,-0.00035945346111612237,0.0,-0.6635505847054999,-0.03981161997548128,-0.20031118282119983,0.0,-3.502300856417888e-05,0.001152,-0.21890657765807453,-0.10585432438232345,0.01,0.0,-1.0178205370325227e-07,0.00029986176,16332,0.1334228515625,1.0007636547088623,0.013804035,0.029103830456733704,-0.011374176479876041,0.46645240634679797,0.2,0.31784874200820923,-11.353192710876465
4205,0.0,25.18432,74,146.13,0.08530035659491472,-0.5421649841522568,-0.4859613961137586,-0.07846649966847065,-0.03440171343943014,0.649717376,0.0,-0.5,0.0,0.0,-135.53852522,-6.707821929316147e-06,0.0,-0.013265999203552821,0.0,-0.3072811710922178,-2.9025217776911126e-05,313344,-0.44829220051530666,3.906241424071292e-05,0.0,17,-0.0003985846628908768,0.0,-0.6674215915498594,-0.03811862683655202,-0.1912315051299978,0.0,-3.7636566367430124e-05,0.0012288,-0.20176411126833071,-0.1058326838108496,0.01,0.0,-9.189994213300453e-08,0.000299852544,16336,0.15035400390625,1.001251459121704,0.015573867,0.009983614087104797,-0.00920240927953273,0.4941409409046173,0.2,-0.7836976051330566,-11.355313348770142
4206,0.0,25.19584,78,143.87,0.0830392806846661,-0.5316331041143435,-0.47727303419678474,-0.07136679994383724,-0.03527230690019132,0.649699712,0.0,-0.5,0.0,0.0,-135.01019517,-7.143322398765466e-06,0.0,-0.013462819560761072,0.0,-0.3213194982339955,0.0,331776,-0.4592139833167381,8.680508472025394e-06,0.0,18,-0.0004145909655949681,0.0,-0.6828564210940654,-0.04190054297326843,-0.20280495867324438,0.0,-3.993589932005319e-05,0.0013056,-0.20903760121263368,-0.0991588562487191,0.01,0.0,-1.0214451096406694e-07,0.000299843328,16340,0.136669921875,1.0011656284332275,0.017303146,0.027759745717048645,-0.009959735337179153,0.4736738964915276,0.2,-0.24226224422454834,-11.35596227645874
4208,0.0,25.20736,83,156.36,0.08412379437037425,-0.520810860484617,-0.4685127000279709,-0.07300312422236586,-0.05156696549098913,0.6496820480000001,0.0,-0.5,0.0,0.0,-137.98216918,-7.63571480504237e-06,0.0,-0.0131885462430523,0.0,-0.31285545844461676,0.0,350208,-0.43130136067863295,9.765586582943797e-06,0.0,19,-0.00043150107716015195,0.0,-0.7004061926364611,-0.04234578272921221,-0.2056851220851241,0.0,-4.258092718884176e-05,0.0013824,-0.21628646840352184,-0.10135444335006169,0.01,0.0,-9.648514398738105e-08,0.000299834112,16344,0.16949462890625,1.0013952255249023,0.01610942,-0.03457285463809967,-0.00976959200343117,0.3142766959965229,0.2,-0.5508401393890381,-11.356283712387086
4211,0.0,25.21888,87,149.61,0.08320624227411358,-0.5136802979821373,-0.49133205796521484,-0.0684819907277203,-0.05162241470269466,0.649664384,0.0,-0.5,0.0,0.0,-136.41277493,-8.099408063110593e-06,0.0,-0.013434184473124134,0.0,-0.3030799662943908,0.0,368640,-0.4337855248982863,2.9839342460036278e-05,0.0,20,-0.00045598699648016186,0.0,-0.7208679010983633,-0.04071968278603623,-0.19516523294551807,0.0,-4.5299798408520586e-05,0.0014592,-0.20248313287051073,-0.09593255124872015,0.01,0.0,-9.951755918222856e-08,0.00029982489599999996,16348,0.24276123046875,1.000963807106018,0.018068755,0.24726450443267822,-0.0011049869703128935,1.7019514322280884,0.2,-0.013579726219177246,-11.355486106872558
