reward_terms/coef_rate,reward_terms/foot_slip,rollout/ep_len_mean,time/time_elapsed,reward_terms/height,reward_terms/motor_vel,reward_terms/energy,reward_terms/residual,reward_terms/phase_contact,reward_terms/upright,curriculum/ent_coef,reward_terms/overrun,reward_terms/torque,reward_terms/action_rate,reward_terms/stance_time,reward_terms/vz,time/fps,reward_terms/foot_ahead,reward_terms/residual_rate,reward_terms/assist_pen,rollout/ep_rew_mean,curriculum/eff_scale,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/lat_vel,curriculum/ctrl_jitter_ms,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,curriculum/stance_ratio,reward_terms/ang_xy,reward_terms/angmom,reward_terms/air_time,reward_terms/stop,reward_terms/step_rate,reward_terms/hip_roll,reward_terms/clearance,time/total_timesteps,time/iterations,reward_terms/time,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/approx_kl
-0.35165862868746484,-0.35463743757174165,159.87,4,-0.03177066659296439,0.0,0.0,-0.09767899781516398,-0.1583916500250474,-0.4654364215630362,0.01,0.0,0.0,-0.05097352367652656,-0.00040906791885693866,-0.17383265560256145,4143,0.0,0.0,0.0,-139.60216523,0.0,25.0,-0.20921899128999233,-5.3454979455880624e-08,0.0,0.0,0.0,-0.6216757968355597,0.65,-0.47358051536289963,-0.1371017640370367,0.0008506932548092058,0.0,0.0,-0.2023490336841488,0.07513760047934993,18432,1,-0.5,,,,,,,,,,,
-0.29444333709402404,-0.34697903930132484,170.66,9,-0.03906004074900264,-6.855962591287715e-07,-3.2365552447024465e-06,-0.10034123435439311,-0.1829334143542505,-0.5321838795619036,0.01,0.0,-2.5244728002199527e-05,-0.04690216182730106,-0.0014885738055454567,-0.19140330135033906,4007,0.0,0.0,0.0,-142.30620464,7.68e-05,25.01152,-0.16453235831447785,-5.614449008651693e-08,0.0,0.0,0.0,-0.8537696453930774,0.649982336,-0.5071886997610826,-0.2009780290433556,0.001315102194591115,0.0,0.0,-0.18328032955269363,0.08418051732883987,36864,2,-0.5,1279.0977783203125,16198,0.1875,5350.936096191406,0.00029993856,0.5724514722824097,0.004858180531300604,1.001821517944336,0.2,-19.881014347076416,0.019586222
-0.2396139216202839,-0.3875190511758411,160.28,13,-0.034507759730442775,-1.5402203039321633e-06,-6.817365115182115e-06,-0.10214934695751576,-0.20362744588568954,-0.5540008582145608,0.01,0.0,-5.243102242682234e-05,-0.04204654344595585,-0.0009415649530840003,-0.1956945947490956,4078,0.0,0.0,0.0,-139.72510356,0.0001536,25.02304,-0.12062155475814275,-5.25391940307824e-08,0.0,0.0,0.0,-0.8430442767701146,0.6499646720000001,-0.5047838730233877,-0.27263246661443147,0.0009922943394889848,0.0,0.0,-0.15975343372874068,0.08240380582164628,55296,3,-0.5,772.5685424804688,16202,0.0087890625,2274.479071044922,0.00029987712,0.4846619963645935,-0.0012597449938766658,1.000234603881836,0.2,-19.866787147521972,0.003223608
-0.19234763089502732,-0.40175483802483547,144.89,17,-0.02585755920455973,-2.6749554627351202e-06,-1.1589799382538476e-05,-0.10353593590739459,-0.19902958869910378,-0.551734047806608,0.01,0.0,-8.26928522236687e-05,-0.03807113127814757,-8.92463334215184e-05,-0.1736260162534435,4114,0.0,0.0,0.0,-135.86280962,0.0002304,25.03456,-0.058051728064801,-5.0080378222878996e-08,0.0,0.0,0.0,-0.8149521231864457,0.649947008,-0.5343129414079026,-0.32480922856580213,0.0012657312747453237,0.0,0.0,-0.11863808937940155,0.08521952133276665,73728,4,-0.5,642.4888305664062,16206,0.0062255859375,1764.1607421875,0.00029981568,0.5713505744934082,-0.002714156248839572,1.000058889389038,0.2,-19.865163326263428,0.0030798104
-0.18890369377427096,-0.424103060124986,145.11,22,-0.025885147051786052,-3.7191437090031558e-06,-1.5784245088349297e-05,-0.10366697863347915,-0.2034983137439035,-0.5658184261779561,0.01,0.0,-0.00011414684083072937,-0.037611807036557844,-1.451246660306222e-05,-0.17815455150012996,4140,0.0,0.0,0.0,-135.91853352,0.0003072,25.04608,-0.05720569175512653,-5.682094006253289e-08,0.0,0.0,0.0,-0.8232183466885314,0.649929344,-0.5373764845713791,-0.3212419102077427,0.0010704190353862941,0.0,0.0,-0.12574219186153554,0.0859657447608873,92160,5,-0.5,368.4631042480469,16210,0.01361083984375,1193.5334197998047,0.00029975423999999997,0.5698758959770203,-0.002900657313875854,1.0000338554382324,0.2,-19.865123748779297,0.0038812377
-0.17699409201667998,-0.4505630689090591,139.31,26,-0.024409020191690167,-4.809645854883251e-06,-2.0495384859367824e-05,-0.10405057514202952,-0.20641530769862793,-0.5613586889993739,0.01,0.0,-0.00014393120408027075,-0.03598868189903953,0.0,-0.17210401054011704,4159,0.0,0.0,0.0,-134.45830046999998,0.000384,25.0576,-0.04218508864313107,-5.657056558436395e-08,0.0,0.0,0.0,-0.8384170465750923,0.64991168,-0.5319566702359144,-0.34677974008335805,0.0010753016847754931,0.0,0.0,-0.12022319936933153,0.08495420231601322,110592,6,-0.5,259.9116516113281,16214,0.018115234375,794.8649871826171,0.0002996928,0.6334699392318726,-0.0033041534363292156,1.0001225471496582,0.2,-19.865176296234132,0.0056854407
-0.17271343973872771,-0.43931362369920035,144.42,30,-0.026821811020200623,-5.55672690173866e-06,-2.4272161570608913e-05,-0.10367934687919061,-0.22889516258436327,-0.5827115273371268,0.01,0.0,-0.00017953390871348562,-0.036007155553964394,-0.0006211991066164854,-0.1800509877543588,4169,0.0,0.0,0.0,-135.69128809999998,0.0004608,25.06912,-0.0248361541403258,-5.716021533450879e-08,0.0,0.0,0.0,-0.8515620930664037,0.6498940160000001,-0.5381084635275699,-0.34841513091358683,0.0011637347957326306,0.0,0.0,-0.11454084511975318,0.08676572765249457,129024,7,-0.5,149.9107208251953,16218,0.01966552734375,438.02576446533203,0.00029963136,0.6700422763824463,-0.003892830642871559,1.0001258850097656,0.2,-19.86576118469238,0.0058080116
-0.15518628733971374,-0.431206206105946,140.21,35,-0.03125258143220198,-6.774869835437123e-06,-2.88051783054894e-05,-0.10371213573909681,-0.2105773090987784,-0.58993208396012,0.01,0.0,-0.00020170304192060936,-0.034281532739368695,0.0,-0.18934734160345326,4181,0.0,0.0,0.0,-134.63179426,0.0005376,25.08064,-0.03270345374947346,-7.133319724265277e-08,0.0,0.0,0.0,-0.8870764740826413,0.649876352,-0.5347307761986327,-0.3522318772337414,0.0010221332971317072,0.0,0.0,-0.12973586646298949,0.0901527174115961,147456,8,-0.5,78.81971740722656,16222,0.02301025390625,276.4523094177246,0.00029956992,0.6997703909873962,-0.0045552999712526795,1.0001068115234375,0.2,-19.865090942382814,0.0061422708
-0.1491380510019426,-0.4535143860050369,137.61,39,-0.028179157415702046,-7.935057771044558e-06,-3.3966001061503214e-05,-0.1039376363484882,-0.21932715290514146,-0.5754979104092105,0.01,0.0,-0.00023961526450611795,-0.03414817104685054,-0.00014241458201366995,-0.19252029584107366,4189,0.0,0.0,0.0,-133.94225842,0.0006144,25.09216,-0.02295532156042853,-7.035731995781543e-08,0.0,0.0,0.0,-0.8767373326858073,0.649858688,-0.5204910869234288,-0.3429438702663725,0.0011306401995372856,0.0,0.0,-0.12533103203659296,0.08943804200362991,165888,9,-0.5,47.7994270324707,16226,0.03038330078125,163.23661766052246,0.00029950848,0.7732616662979126,-0.004542418319033459,1.0001740455627441,0.2,-19.865623664855956,0.006199348
-0.14875884330051603,-0.4594292999300764,141.97,43,-0.029582609453926403,-8.71157412984309e-06,-3.7457401032781253e-05,-0.10377648888761062,-0.2059364344866205,-0.5679265306374935,0.01,0.0,-0.00026143469092494893,-0.03513090835345292,0.0,-0.18186837107862555,4193,0.0,0.0,0.0,-135.0779868,0.0006912,25.10368,-0.02925716433340789,-6.732134207328854e-08,0.0,0.0,0.0,-0.8795504197803082,0.649841024,-0.5339697560764587,-0.3666606125501786,0.000930445094127208,0.0,0.0,-0.13049627866245184,0.08646032011446766,184320,10,-0.5,38.391963958740234,16230,0.024169921875,132.69749031066894,0.00029944704,0.7433112859725952,-0.0046270306454971434,1.0004147291183472,0.2,-19.867256069183348,0.0054371594
