reward_terms/fwd_speed,reward_terms/duty_sym,reward_terms/assist_pen,time/fps,curriculum/dr_scale,curriculum/stance_ratio,reward_terms/overrun,reward_terms/torque,reward_terms/phase_contact,time/total_timesteps,reward_terms/action_rate,ankle/ankle_defl_peak,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/energy,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/time,reward_terms/clearance,ankle/ankle_spring_trq_peak,reward_terms/foot_ahead,reward_terms/residual_rate,ankle/ankle_spring_energy_peak,reward_terms/ang_xy,curriculum/swing_frac_mean,reward_terms/stand_drift,reward_terms/step_rate,reward_terms/upright,reward_terms/height,reward_terms/stance,curriculum/cmd_scale,time/iterations,curriculum/ctrl_drop_prob,reward_terms/residual,curriculum/cmd_track_err,reward_terms/track_yaw,reward_terms/vz,reward_terms/stop,est/vel_rmse,reward_terms/angmom,reward_terms/lat_vel,time/time_elapsed,reward_terms/coef_rate,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/air_time,rollout/ep_len_mean,reward_terms/alive,reward_terms/track_lin,reward_terms/motor_vel,reward_terms/stand,curriculum/swing_frac_min,train/value_loss,train/n_updates,train/std,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/clip_range,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress
0.0,0.0,0.0,9337,0.0,0.7,0.0,0.0,-0.09404095101371229,18432,-0.06459310229617928,0.5052024701592669,0.0,-0.5403924227203637,0.01,0.0,-72.33233693220338,0.0,0.0,0.013736263226790732,0.0,0.0,0.0,0.0,-0.17876688736277968,0.2238498263888889,-0.017112531676822196,-0.006976996527777844,-0.19094076906161925,-0.019530421618613823,-0.20214055323690597,0.0,1,0.0,-0.1029363944681675,0.59706059316192,0.5818629106708755,-0.0988844366010324,0.0,0.33601175640817627,-0.09613964774657999,-0.15949937673070735,1,-0.375259387274695,-0.0705557727896664,-0.0040075565953480285,1.0308140190318227e-05,170.40677966101694,0.0,1.7083958381777196,0.0,0.8431214479190188,0.1681857638888889,,,,,,,,,,,,,,,,
0.0,0.0,0.0,9343,0.0,0.7,0.0,0.0,-0.002123441454173114,36864,-0.06018485589894543,0.5048247085050329,0.0,-0.321853231605638,0.01,0.0,0.7771627400000023,0.0,0.0,0.0021479774417899485,0.0,0.0,0.0,0.0,-0.13629519237800067,0.1865776909722222,-0.026310387795339694,-0.0055013020833333814,-0.15952649658441095,-0.018499884480762094,-0.17863156130030863,0.0,2,0.0,-0.10563965702841414,0.33636888991566244,0.529395596544017,-0.07452285712996275,0.0,0.25311340376111274,-0.08245307396314139,-0.1533795645421664,3,-0.33970713220206933,-0.0778781143777594,-0.0020632555954054827,2.7126700539762776e-05,238.11,0.0,2.2097663717205216,0.0,0.927457533390256,0.1675347222222222,707.6852111816406,73496,0.9957606792449951,239.55767822265625,0.00029995392,-36.7763147354126,-0.004039563599508256,0.9371196627616882,0.17667236328125,0.015406124,0.2,,,,,
0.0,0.0,0.0,9139,0.0,0.7,0.0,0.0,0.0,55296,-0.06254436832147331,0.5045928232431746,0.0,-0.34416375116827186,0.01,0.0,67.913373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14268283494565812,0.1824273003472222,-0.0506255593594821,-0.005468750000000048,-0.1883734829786324,-0.025460691292763418,-0.17239891841731703,0.0,3,0.0,-0.10588538403883521,0.3869794108400899,0.5410370818887176,-0.09847501910417299,0.0,0.21830973427727302,-0.11318993343911725,-0.19417195749093846,6,-0.3635843561848183,-0.09171511365269948,0.0,0.0,311.43,0.0,2.028132668863623,0.0,0.8572354344025652,0.17073567708333334,380.36953125,73500,0.9961513876914978,134.4235076904297,0.00029990784,-36.78463611602783,-0.011289155844133347,0.9594383239746094,0.10220947265625,0.01127874,0.2,,,,,
0.0,-2.760230137417186e-05,0.0,8707,0.0,0.7,0.0,0.0,0.0,73728,-0.06103145473867062,0.504830848409422,0.0,-0.3568258222013681,0.01,0.0,84.39366050000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15454702235590284,0.18798828125,-0.06487560848062021,-0.005631510416666717,-0.1996114128194684,-0.024789329108664743,-0.180259963512899,0.0,4,0.0,-0.10557188510908624,0.45605623498645165,0.5464769914414488,-0.10265370482867885,0.0,0.23679759157299535,-0.13258288292531048,-0.20274249255826637,8,-0.35163879267781417,-0.08078612029422474,0.0,0.0,353.9,0.0,1.8651911890271375,0.0,0.8164527233766345,0.17811414930555555,252.3790740966797,73504,0.9967340230941772,83.54206085205078,0.00029986176,-36.79476890563965,-0.011490776995196938,0.9715670347213745,0.11943359375,0.012267567,0.2,,,,,
0.0,0.0,0.0,8149,0.0,0.7,0.0,0.0,0.0,92160,-0.058747867125584,0.5046670738978298,0.0,-0.305760487398959,0.01,0.0,75.88278623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1417976572472581,0.18174913194444442,-0.04601238862372951,-0.005750868055555608,-0.1692105745586457,-0.022417448945809656,-0.1648568517614274,0.0,5,0.0,-0.10670846772790298,0.4281687356609696,0.5239266842559567,-0.08432522911042617,0.0,0.19965709817514832,-0.10356935961046373,-0.18665640347965684,11,-0.3355077904941163,-0.08252238053983182,0.0,0.0,338.53,0.0,2.025046247474243,0.0,0.8075220502806734,0.1514214409722222,246.14711685180663,73508,0.9970824122428894,89.37963104248047,0.00029981568,-36.80612907409668,-0.013341013237368315,0.9752079248428345,0.11015625,0.011911591,0.2,,,,,
0.0,0.0,0.0,7784,0.0,0.7,0.0,0.0,0.0,110592,-0.05985435239651095,0.505024549814298,0.0,-0.34389082656229386,0.0099963136,0.0,70.08154563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15246796828230857,0.18831380208333331,-0.08026247257886268,-0.005479600694444493,-0.20233184527847708,-0.026659205973648972,-0.1604132229508412,0.0,6,0.0,-0.1063433565379783,0.3080294175017986,0.5259913784983786,-0.11368393793871007,0.0,0.20895806262783823,-0.15347154387191297,-0.22610025642237253,14,-0.3661965939701245,-0.08237014270507746,0.0,0.0,343.84,0.0,1.8691568314547564,0.0,0.7522434365086693,0.1719292534722222,199.87614974975585,73512,0.9973201155662537,76.6152114868164,0.00029976959999999996,-36.81279239654541,-0.011280432436615228,0.9755314588546753,0.10706787109375,0.011564668,0.2,,,,,
0.0,-5.2209349825576074e-05,0.0,7577,0.0,0.7,0.0,0.0,0.0,129024,-0.06004443562628595,0.5049813562595267,0.0,-0.35574530403331256,0.0099926272,0.0,70.79413788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14763604747722628,0.18882921006944442,-0.06863135931934596,-0.005783420138888942,-0.19349482439421523,-0.025064823629726417,-0.1363520278288551,0.0,7,0.0,-0.10607875743191394,0.37849438298745697,0.5015654247126731,-0.10230782494807154,0.0,0.2149710624787825,-0.13787414657277478,-0.21609725687282064,17,-0.35204242491927273,-0.07826728133174943,0.0,0.0,353.99,0.0,1.6661281195890538,0.0,0.6117867882264627,0.18766276041666666,196.10457382202148,73516,0.9976640343666077,76.88143157958984,0.00029972352,-36.819970512390135,-0.01094008696381934,0.9766976237297058,0.1079833984375,0.0105036395,0.2,,,,,
0.0,0.0,0.0,7338,0.0,0.7,0.0,0.0,0.0,147456,-0.059010610335583275,0.5050710813206774,0.0,-0.34997589527197304,0.0099889408,0.0,51.57676402999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16032379429538524,0.1960991753472222,-0.07796689856827815,-0.005490451388888938,-0.21485614444821244,-0.027035116665156667,-0.11981178533399811,0.0,8,0.0,-0.10640724345971869,0.4584386028567156,0.5183946319459656,-0.11641613696772149,0.0,0.21549089241917932,-0.14334108579830965,-0.21661508446519184,20,-0.3510711477076951,-0.06534966825578804,0.0,0.0,340.23,0.0,1.8516968331076376,0.0,0.7893031698861963,0.18587239583333334,146.26197319030763,73520,0.9981634616851807,51.252140045166016,0.00029967744,-36.83036708831787,-0.01122789210639894,0.9755224585533142,0.116064453125,0.0116090495,0.2,,,,,
0.0,0.0,0.0,7188,0.0,0.7,0.0,0.0,0.0,165888,-0.05694135293138944,0.504175236386271,0.0,-0.3547568543607089,0.0099852544,0.0,41.73738101000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16579981358043894,0.19569227430555555,-0.10395760923120675,-0.005924479166666721,-0.22612359375396288,-0.033038982361720384,-0.13085834531136542,0.0,9,0.0,-0.10721640587788962,0.4693746789445727,0.5054250612318903,-0.13944304058802126,0.0,0.19029909204127612,-0.1753158247163194,-0.26494746126872043,23,-0.3394161896486657,-0.07494199253981998,0.0,0.0,334.49,0.0,1.7971496945584933,0.0,0.7643892914588214,0.17350260416666666,169.0513126373291,73524,0.9985573291778564,57.54166030883789,0.00029963136,-36.83764305114746,-0.010161069990135729,0.9713748693466187,0.10382080078125,0.012010014,0.2,,,,,
0.0,0.0,0.0,7091,0.0,0.7,0.0,0.0,0.0,184320,-0.05955886098991276,0.5051690480880434,0.0,-0.3811908881480211,0.009981568,0.0,56.93348401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1572798329883363,0.1969672309027778,-0.10208096331635302,-0.005989583333333388,-0.22541461051501888,-0.0317391338257894,-0.13315177273814235,0.0,10,0.0,-0.10673359129542051,0.22380176771885316,0.49444481226528225,-0.1371158119268281,0.0,0.20035084521067995,-0.18064494217809207,-0.2763140489733645,25,-0.3553787864346074,-0.06796200215413307,0.0,0.0,340.68,0.0,1.6075901704675626,0.0,0.5709446173272439,0.1948784722222222,166.6218505859375,73528,0.9987967014312744,49.68513488769531,0.00029958527999999996,-36.84582252502442,-0.012003898527473212,0.9724556803703308,0.1137451171875,0.013054165,0.2,,,,,
0.0,0.0,0.0,6991,0.0,0.7,0.0,0.0,0.0,202752,-0.06212795823690904,0.5048893178114808,0.0,-0.3502401519685348,0.0099778816,0.0,37.70983196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15394251045084284,0.20106336805555555,-0.07154882738964789,-0.005891927083333388,-0.20337845205576566,-0.02672787041062529,-0.14141532816046598,0.0,11,0.0,-0.1056582380633806,0.34224302220026204,0.5195086547140089,-0.11722619461479256,0.0,0.19373618122781455,-0.1459525758494362,-0.25381727076141064,29,-0.3602947739681217,-0.07368082854869212,0.0,0.0,329.4,0.0,1.6314922953321607,0.0,0.5677202329724343,0.1748589409722222,118.81780738830567,73532,0.999169111251831,39.93524169921875,0.0002995392,-36.85160865783691,-0.013121271471027285,0.9734540581703186,0.143505859375,0.014507083,0.2,,,,,
0.0,0.0,0.0,6887,0.0,0.7,0.0,0.0,0.0,221184,-0.06156468619057319,0.5048218556789319,0.0,-0.35417491426992415,0.009974195200000001,0.0,18.568850549999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1669172201792478,0.21012369791666666,-0.08544110029463473,-0.0060546875000000566,-0.24004835734769778,-0.03291653565336886,-0.16294819729804993,0.0,12,0.0,-0.10554400924895482,0.3831295528286285,0.5322034300371358,-0.14144040779921424,0.0,0.18169639100522597,-0.17627998628390243,-0.27862009881498445,32,-0.36569587006245224,-0.06614483156497297,0.0,0.0,313.78,0.0,1.6601808035028507,0.0,0.6971623052012593,0.1904839409722222,138.28857879638673,73536,0.9999256134033203,40.875457763671875,0.00029949311999999997,-36.866335487365724,-0.013132542779203504,0.9690537452697754,0.16558837890625,0.016662583,0.2,,,,,
0.0,0.0,0.0,6831,0.0,0.7,0.0,0.0,0.0,239616,-0.059704695013670706,0.5048087289151145,0.0,-0.3501157728095079,0.0099705088,0.0,13.650340429999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16270461638871636,0.20491536458333331,-0.08138784655205715,-0.005881076388888943,-0.24882288380917073,-0.03377911858074131,-0.20398575157464102,0.0,13,0.0,-0.10653296465516615,0.38950586098112366,0.48963647058716564,-0.14585500550273356,0.0,0.1975031923537045,-0.16153063489626762,-0.29407273729799044,35,-0.3485329362912305,-0.06894223017223716,0.0,0.0,299.86,0.0,1.6897885572677054,0.0,0.6786678314505211,0.18885633680555555,130.13113403320312,73540,0.9998178482055664,44.531471252441406,0.00029944704,-36.86915588378906,-0.01075168403913267,0.9735360741615295,0.162109375,0.013603385,0.2,,,,,
0.0,0.0,0.0,6767,0.0,0.7,0.0,0.0,0.0,258048,-0.06012046516968247,0.505154586463892,0.0,-0.36855142325968915,0.0099668224,0.0,29.778441510000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15718061782955572,0.192138671875,-0.08941286116760039,-0.006022135416666723,-0.20645743560248037,-0.031120065763858354,-0.14149050784750028,0.0,14,0.0,-0.10623417195537534,0.30932387713788073,0.48205499732620666,-0.13094181945841915,0.0,0.17549257416481534,-0.16713384044263468,-0.270569965248288,38,-0.3355706429068861,-0.07070507902685122,0.0,0.0,304.69,0.0,1.6934442791171518,0.0,0.6059916168606915,0.1835394965277778,113.50820960998536,73544,1.0002881288528442,38.43096160888672,0.00029940095999999997,-36.87095928192139,-0.01269711607019417,0.9760966897010803,0.15531005859375,0.015999189,0.2,,,,,
