reward_terms/stop,reward_terms/residual,reward_terms/air_time,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/angmom,reward_terms/overrun,reward_terms/time,reward_terms/upright,reward_terms/stance_time,reward_terms/lat_vel,reward_terms/torque,reward_terms/hip_roll,reward_terms/fwd_speed,reward_terms/motor_vel,reward_terms/alive,reward_terms/ang_xy,reward_terms/height,reward_terms/foot_slip,time/iterations,curriculum/sprint_dist_m,time/fps,reward_terms/assist_pen,time/time_elapsed,curriculum/ctrl_drop_prob,reward_terms/clearance,reward_terms/energy,reward_terms/coef_rate,reward_terms/action_rate,reward_terms/stance,curriculum/ent_coef,reward_terms/vz,curriculum/stance_ratio,time/total_timesteps,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/phase_contact,train/policy_gradient_loss,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/loss,train/clip_range
0.0,-0.1042007631507545,0.0,237.84285714285716,0.0,-0.1291763762880542,0.0,-0.5,-0.3659677978908126,-0.08966330555267632,-1.5141959014197848e-08,0.0,-0.08464281355217641,-0.20579001314129788,0.0,0.0,-0.24735487058880723,-0.01125943513903191,-0.7365396064663801,1,25.0,3250,0.0,5,0.0,0.014067738654293203,0.0,-1.5560856757695651,-0.12675446953420197,-0.0012518912046850647,0.01,-0.10457276062510115,0.65,18432,-159.41224004285712,0.0,-0.6869513531857382,,,,,,,,,,,
0.0,-0.10113818357438141,0.0,207.47,0.0,-0.124820252523567,0.0,-0.5,-0.3790368079008134,-0.030838127686163515,-2.3750204407355277e-08,-3.442145671695572e-05,-0.12465910756972448,0.13557013298432707,-3.8191047711127095e-07,0.0,-0.26874530288061727,-0.01828058520006759,-0.7840930781164817,2,25.01152,3121,0.0,11,0.0,0.022685179269265842,-3.0577865652090054e-06,-1.5424154218280743,-0.13252827525014355,-1.3026306754171062e-05,0.01,-0.10998387148584209,0.649982336,36864,-151.7104618,7.68e-05,-0.6518022116740075,-0.006715696188621223,0.049658203125,1.0009124279022217,0.7276430130004883,0.007391638,-34.06632919311524,6296,188.19205322265626,0.000299995392,43.11668014526367,0.2
0.0,-0.10151668573373875,0.0,204.54,0.0,-0.13081504047830161,0.0,-0.5,-0.37163006477287275,-0.03162399263560979,-2.1860157298011025e-08,-6.729488785744326e-05,-0.11487838780002319,0.19470015423084233,-7.359953099136681e-07,0.0,-0.2783244995459652,-0.02018030064659099,-0.7859276075626452,3,25.02304,3466,0.0,15,0.0,0.024041330348506754,-5.968332501441656e-06,-1.5254746963106511,-0.13244784601835924,-0.00020771051230544508,0.01,-0.12215401474241044,0.6499646720000001,55296,-150.84696531,0.0001536,-0.6400574659610972,-0.01074301996268332,0.06343994140625,1.0006046295166016,0.856246829032898,0.00810341,-34.060743713378905,6300,105.17581558227539,0.000299990784,28.33778953552246,0.2
0.0,-0.10121465385713638,0.0,218.08,0.0,-0.13834069542514263,0.0,-0.5,-0.41835733685538623,-0.039868741456302814,-2.2188101869891424e-08,-9.928409558616148e-05,-0.11382772875222022,0.20240835778630992,-1.0741033126376762e-06,0.0,-0.2782438396883267,-0.02591958561639554,-0.7855635322516823,4,25.03456,3672,0.0,20,0.0,0.027545311559145504,-8.745479580950678e-06,-1.5046710500629767,-0.1339699368592998,-0.0002130541480475923,0.01,-0.13668951844400992,0.649947008,73728,-154.20862456,0.0002304,-0.6328600187470202,-0.0118506935890764,0.08165283203125,1.0007927417755127,0.8942328095436096,0.009352274,-34.06331882476807,6304,80.49815311431885,0.00029998617599999997,22.478103637695312,0.2
0.0,-0.10071067288586665,0.0,210.45,0.0,-0.13241731003609128,0.0,-0.5,-0.4385837105350917,-0.040509735597879626,-2.0916677850170815e-08,-0.000131900944584072,-0.08659833577391372,0.04763127779200522,-1.4234565177882626e-06,0.0,-0.28702123686764547,-0.024661062617834892,-0.7742383462997159,5,25.04608,3811,0.0,24,0.0,0.019767175722611427,-1.139202063037012e-05,-1.502704803938088,-0.1340826443649249,-0.0001164345460444408,0.01,-0.12956095954298075,0.649929344,92160,-152.34968322,0.0003072,-0.6530970647408352,-0.012265639193356038,0.08621826171875,1.0008761882781982,0.8923234939575195,0.0090610385,-34.06365070343018,6308,75.77328643798828,0.000299981568,21.001340866088867,0.2
0.0,-0.10075445817513688,0.0,222.05,0.0,-0.13903222010789373,0.0,-0.5,-0.45850794095841224,-0.05533773297469856,-1.9948777934844327e-08,-0.0001579077663888172,-0.08303356903355275,0.1314914729739631,-1.6954344057463477e-06,0.0,-0.27879058885138314,-0.024948006231230193,-0.7500376550307207,6,25.0576,3906,0.0,28,0.0,0.026703930278834158,-1.3735579561890397e-05,-1.4818268947848159,-0.1362484843316421,-0.0023286176501482536,0.01,-0.13862427978329767,0.64991168,110592,-155.17164405,0.000384,-0.6550660247380597,-0.010194217902608216,0.1361572265625,1.001091480255127,0.9033317565917969,0.012295933,-34.066748428344724,6312,59.99260997772217,0.00029997696,16.735063552856445,0.2
0.0,-0.10094412205984529,1.0850654992585381e-05,239.92,0.0,-0.12656261139314323,0.0,-0.5,-0.44244848132268,-0.0632456921319115,-1.930578361233342e-08,-0.0001883399900334,-0.06869149344251782,-0.03154049357701639,-2.099091181744528e-06,0.0,-0.26661325326702767,-0.02420506192596445,-0.7298978052681273,7,25.06912,3983,0.0,32,0.0,0.02189895658836054,-1.6662459018703565e-05,-1.4838095108178189,-0.1338187783701397,-0.0023105868984672484,0.01,-0.12773837717486597,0.6498940160000001,129024,-159.60627666,0.0004608,-0.6623411143310799,-0.011746140860486776,0.16939697265625,1.0010952949523926,0.8995165824890137,0.015297276,-34.06682243347168,6316,46.810660171508786,0.00029997235199999997,13.470998764038086,0.2
0.0,-0.10055158853765946,0.0,241.83,0.0,-0.13012440867272965,0.0,-0.5,-0.4326399808602337,-0.07973289648523657,-1.9069264932186998e-08,-0.00022058672027237787,-0.07179348125924118,-0.15851501700501985,-2.5698718730162483e-06,0.0,-0.2922133644892164,-0.02401641077663197,-0.7127590241376521,8,25.08064,4036,0.0,36,0.0,0.020959706218333634,-1.9975180675420278e-05,-1.481231259074378,-0.13650571145186707,-0.0001632735283487407,0.01,-0.12039046261723724,0.649876352,147456,-160.04816009,0.0005376,-0.6654098976649956,-0.006966653047129512,0.236474609375,1.001258373260498,0.9051184058189392,0.019111698,-34.06705894470215,6320,39.85824327468872,0.000299967744,11.489625930786133,0.2
0.0,-0.10090023356322736,0.0,254.67,0.0,-0.1133389311733966,0.0,-0.5,-0.4487223591691108,-0.10696118075187162,-1.8291246688883426e-08,-0.00024348044812262727,-0.07578706644934968,-0.16266778387504563,-2.7511740180837898e-06,0.0,-0.2596285413910142,-0.022682458344279257,-0.6832381040453677,9,25.09216,4086,0.0,40,0.0,0.017395847758938775,-2.1545364137208065e-05,-1.4452745310995294,-0.1341711446921344,-0.002617282487238194,0.01,-0.1046446130118072,0.649858688,165888,-163.25716125,0.0006144,-0.6682038257516791,-0.0013213863596320153,0.3236572265625,1.001837968826294,0.9045329093933105,0.02762483,-34.07354469299317,6324,34.05943040847778,0.000299963136,8.857139587402344,0.2
0.0,-0.1021629988951564,1.6275929131855567e-06,259.05,0.0,-0.11768169614603122,0.0,-0.5,-0.4549309053825083,-0.09444613156988958,-1.643509346030148e-08,-0.0002601980025654512,-0.0756781554417053,-0.15609802618767363,-3.002722405997502e-06,0.0,-0.2476487324878841,-0.017669185163816763,-0.6867087855332199,10,25.10368,4133,0.0,44,0.0,0.015046657656645831,-2.3582436814081785e-05,-1.463421215971426,-0.1308211186893989,-0.0024623998578065646,0.01,-0.1011033970834203,0.649841024,184320,-164.42067959,0.0006912,-0.6773607240352851,0.017271526530385016,0.27265625,1.0003743171691895,0.8997402191162109,0.024953427,-34.0585578918457,6325,44.18494491577148,0.00029995852799999997,20.231246948242188,0.2
