reward_terms/assist_pen,reward_terms/angmom,reward_terms/air_time,time/time_elapsed,reward_terms/action_rate,reward_terms/stop,reward_terms/phase_contact,rollout/ep_len_mean,reward_terms/stance_time,reward_terms/step_rate,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/lat_vel,reward_terms/foot_ahead,reward_terms/residual,reward_terms/height,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/alive,time/total_timesteps,reward_terms/torque,reward_terms/motor_vel,curriculum/ent_coef,curriculum/eff_scale,time/fps,reward_terms/ang_xy,curriculum/ctrl_jitter_ms,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/upright,reward_terms/residual_rate,time/iterations,reward_terms/vz,reward_terms/time,reward_terms/hip_roll,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/stance,reward_terms/foot_slip,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/value_loss
0.0,-0.2993626442694268,0.0014029928230835746,4,-0.021548394813747672,0.0,-0.42985970847215166,138.88,-0.0001631657133758482,0.0,0.0,-0.15802038392198356,-0.31441858624246377,0.0,-0.10684219468614918,-0.04329490408480791,0.65,0.0,0.0,18432,0.0,0.0,0.01,0.0,4139,-0.4753676953955083,0.0,0.0,25.0,0.07178576403589763,-0.7582257299277471,0.0,1,-0.1297719194267611,-0.5,-0.5675161092369811,-0.09676342017025298,-134.37308447,-0.8057612472680789,-0.45345576704772067,,,,,,,,,,,
0.0,-0.33345992464941504,0.0005908195259204755,9,-0.01525812313408986,0.0,-0.43567944609389436,133.77,-0.00035806922500746115,0.0,0.0,-0.14539487056338846,-0.46016930428499325,0.0,-0.10711986485804294,-0.06100984505382009,0.649858688,0.0,0.0,36864,-0.00019461653460781697,-6.185153765748507e-06,0.01,0.0006144,4013,-0.522939554440687,0.0,-2.5895068862652504e-05,25.06912,0.0707959817341179,-0.9037152487094087,0.0,2,-0.16034873925553675,-0.5,-0.6752687500068405,-0.07785279844629761,-133.09037606,-1.0363353942080604,-0.4489138079500969,0.7621662020683289,0.20228160511363635,0.012998880458657037,0.9237878322601318,-18.00503210587935,0.04999056,64199,0.2,52.759071350097656,0.00029993856,318.65355682373047
0.0,-0.31234698639721764,0.00018446152292502424,13,-0.017267754236009306,0.0,-0.44755021840739734,126.38,-0.00020819615585625998,0.0,0.0,-0.22422301963959038,-0.3999938524032704,0.0,-0.10675972751374214,-0.05754177833555307,0.649717376,0.0,0.0,55296,-0.00039472363090173605,-1.3392421869454724e-05,0.01,0.0012288,4079,-0.5710600542846059,0.0,-5.078905960736383e-05,25.13824,0.06761695581745673,-0.8252807574140982,0.0,3,-0.15881749906655193,-0.5,-0.6116143875871123,-0.0998364296548429,-131.28366036999998,-0.9422882403090558,-0.4507074664089946,0.7246203422546387,0.01917724609375,6.257451605051756e-06,0.9238577485084534,-18.005840873718263,0.0034277388,64203,0.2,16.229570388793945,0.00029987712,137.38359355926514
0.0,-0.26661123859411545,0.0003624127776775923,17,-0.021442683775549965,0.0,-0.4030090524891248,126.3,-0.00011528770361716549,0.0,0.0,-0.5211872677549567,-0.3558921717527254,0.0,-0.10595164750069402,-0.058196615179004776,0.649576064,0.0,0.0,73728,-0.0005886734949890072,-1.986180476746176e-05,0.01,0.0018432,4113,-0.5997371345547098,0.0,-7.969179505659138e-05,25.20736,0.07284630995802623,-0.8026035139611559,0.0,4,-0.21515719310823395,-0.5,-0.552756870821433,-0.12248649147890249,-131.32658677,-0.8039817385049157,-0.45769223217975696,0.6096432209014893,0.00726318359375,-0.001339535799343139,0.9238703846931458,-18.006066608428956,0.0018662692,64207,0.2,11.564554214477539,0.00029981568,110.0740478515625
0.0,-0.11203398923152291,0.0002870007010642439,22,-0.02997011435826468,0.0,-0.3930196934077907,113.0,-0.0006424930017803692,0.0,0.0,-0.9812720928432905,-0.17917061401482476,0.0,-0.10658395806640268,-0.03158814972541626,0.649434752,0.0,0.0,92160,-0.0010638628034702776,-2.6198452442970346e-05,0.01,0.0024576,4126,-0.6159716480855981,0.0,-0.00013621135977312176,25.27648,0.0687113162708983,-0.8851641059624147,0.0,5,-0.18752930735494505,-0.5,-0.5181538867436355,-0.1933077625367637,-128.02052043,-0.27198877236111113,-0.3907141713315096,0.5323101282119751,0.01053466796875,-0.0028862953535281123,0.9239209294319153,-18.006435680389405,0.0035251728,64211,0.2,8.666662216186523,0.00029975423999999997,51.781232833862305
0.0,-0.08447695893009152,0.00019314225452641645,26,-0.03542377410771122,0.0,-0.42516654257612935,98.51,-0.00025010653512759344,0.0,0.0,-0.8276688095703448,-0.10330451138743574,0.0,-0.10560142016561207,-0.017240203613899014,0.64929344,0.0,0.0,110592,-0.0013698261840584655,-3.2498651468819415e-05,0.01,0.003072,4136,-0.6371961343571318,0.0,-0.00017438491660559373,25.3456,0.06401264210537123,-0.8080174516116444,0.0,6,-0.13987409067253628,-0.5,-0.4683279848442129,-0.2197447749020042,-124.38750945,-0.2502597499443733,-0.37143542137418184,0.38001036643981934,0.02421875,-0.004038241854868829,0.9239931106567383,-18.007486820220947,0.0038885088,64215,0.2,13.028716087341309,0.0002996928,46.401481533050536
0.0,-0.08099112748019048,0.0005615228631844124,31,-0.046070831662179235,0.0,-0.4590333486324286,111.66,-0.0002823875402100384,0.0,0.0,-0.6926019207137215,-0.11998839420774884,0.0,-0.10567653032951388,-0.01282666579463448,0.649152128,0.0,0.0,129024,-0.0018622339007581977,-3.84027257003019e-05,0.01,0.0036864,4145,-0.6606030409104826,0.0,-0.00021927495009671462,25.41472,0.06604853091509838,-0.782012820285804,0.0,7,-0.1250670262031596,-0.5,-0.4309446809218341,-0.25096049174184776,-127.64802447999999,-0.3203251939036593,-0.4453569325851936,0.6369224786758423,0.02115478515625,-0.0037279972806572915,0.9240747690200806,-18.008518600463866,0.0038781888,64219,0.2,9.146111488342285,0.00029963136,30.080556869506836
0.0,-0.06290773252294912,0.00039062447225054103,35,-0.05461023273807708,0.0,-0.46369214429461864,111.95,-0.00015706268216793737,0.0,0.0,-0.6853782731876545,-0.24650963748783777,0.0,-0.10567735688314256,-0.018795292954495006,0.649010816,0.0,0.0,147456,-0.0022870977518024524,-4.595298382726162e-05,0.01,0.0043008,4157,-0.6291718537788574,0.0,-0.00026494231428228346,25.48384,0.07391479833059969,-0.8565763915767012,0.0,8,-0.18034871781087533,-0.5,-0.3389977273921475,-0.24950494605619036,-127.68300160000001,-0.29988437765786397,-0.4450018586844862,0.71290123462677,0.03975830078125,-0.004538766120094806,0.9241716861724854,-18.009866142272948,0.00533545,64223,0.2,4.365103721618652,0.00029956992,18.11423439979553
0.0,-0.05132705968155448,0.00039659229676342674,39,-0.055904116014883036,0.0,-0.4777355615733598,94.08,-2.3328725041614638e-05,0.0,0.0,-0.579458420123253,-0.22372443703901734,0.0,-0.10529357872528315,-0.010591431309338333,0.648869504,0.0,0.0,165888,-0.0026675659627064907,-5.364723808966562e-05,0.01,0.0049152,4161,-0.6280234161546082,0.0,-0.0003164704654786989,25.55296,0.07507406003599504,-0.7940963550556103,0.0,9,-0.1480695016428216,-0.5,-0.27327682731377667,-0.26529417241495645,-123.19678581,-0.29020248500246704,-0.46790461218124807,0.5736572742462158,0.0238525390625,-0.006692270201165229,0.924293577671051,-18.01120948791504,0.0053271754,64227,0.2,3.126275062561035,0.00029950848,13.665423965454101
0.0,-0.045744888447545796,0.00031629722798243165,44,-0.05023114946167347,0.0,-0.4559409458407464,85.39,0.0,0.0,0.0,-0.5535045029692972,-0.27534771907511324,0.0,-0.10530425960609836,-0.011943371111680966,0.648728192,0.0,0.0,184320,-0.0029065956405129904,-6.052704386309906e-05,0.01,0.0055296,4168,-0.5605810909892628,0.0,-0.0003528698483192588,25.62208,0.08088043541489061,-0.8036740724750531,0.0,10,-0.18154619596401547,-0.5,-0.212267868163237,-0.2649469966582056,-120.96283236999997,-0.30099938175846747,-0.4662548603435155,0.36362820863723755,0.0619384765625,-0.007624112186022103,0.924484133720398,-18.01345291137695,0.008120181,64231,0.2,2.0497565269470215,0.00029944704,8.116641783714295
