reward_terms/vz,reward_terms/coef_rate,reward_terms/angmom,reward_terms/fwd_speed,reward_terms/overrun,reward_terms/lat_vel,reward_terms/residual_rate,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/action_rate,time/iterations,curriculum/sprint_dist_m,reward_terms/stop,reward_terms/clearance,reward_terms/height,reward_terms/ang_xy,reward_terms/time,reward_terms/alive,reward_terms/foot_slip,reward_terms/motor_vel,time/fps,reward_terms/air_time,reward_terms/step_rate,curriculum/ctrl_drop_prob,rollout/ep_len_mean,reward_terms/torque,reward_terms/energy,reward_terms/stance,rollout/ep_rew_mean,curriculum/ent_coef,curriculum/eff_scale,reward_terms/assist_pen,curriculum/stance_ratio,time/time_elapsed,reward_terms/foot_ahead,reward_terms/upright,reward_terms/hip_roll,time/total_timesteps,curriculum/ctrl_jitter_ms,reward_terms/residual,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/std
-0.17383265560256145,-0.35165862868746484,-0.1371017640370367,-0.6216757968355597,0.0,-5.3454979455880624e-08,0.0,-0.00040906791885693866,-0.1583916500250474,-0.05097352367652656,1,25.0,0.0,0.07513760047934993,-0.03177066659296439,-0.47358051536289963,-0.5,0.0,-0.35463743757174165,0.0,4121,0.0008506932548092058,0.0,0.0,159.87,0.0,0.0,-0.20921899128999233,-139.60216523,0.01,0.0,0.0,0.65,4,0.0,-0.4654364215630362,-0.2023490336841488,18432,0.0,-0.09767899781516398,,,,,,,,,,,
-0.18967800076635105,-0.2789169968174987,-0.22543541212685994,-0.9197994252930202,0.0,-5.7325148676911204e-08,0.0,-0.0016110501164803281,-0.19545512862500014,-0.04667758022572435,2,25.01152,0.0,0.0840472987237246,-0.03658706801981275,-0.5216060341053658,-0.5,0.0,-0.3378391624324104,-7.169086847937491e-07,3985,0.0013834614526583916,0.0,0.0,169.73,-2.509080168646586e-05,-3.291893971656499e-06,-0.1265153657912091,-142.07987690000002,0.01,7.68e-05,0.0,0.649982336,9,0.0,-0.5433664928668231,-0.16743410627399163,36864,0.0,-0.10089284511670638,0.1875732421875,0.2,0.004861161089502275,5350.700134277344,16198,0.5724514722824097,0.000299990784,1278.940185546875,0.01959253,-19.881017398834228,1.0018218755722046
-0.17938247534897295,-0.24483115254460827,-0.2684400562341658,-0.8006227604888411,0.0,-5.830548839639813e-08,0.0,-0.00043714509552551643,-0.19643104023105334,-0.04318859069644406,3,25.02304,0.0,0.08234260563485946,-0.029149194289634004,-0.5397469696758913,-0.5,0.0,-0.4158345035443571,-1.5447370925368197e-06,4056,0.0010221335558324223,0.0,0.0,152.61,-5.4419519587686057e-05,-7.092684540755213e-06,-0.1036737667066645,-137.79968711,0.01,0.0001536,0.0,0.6499646720000001,13,0.0,-0.530755660139601,-0.1398420194055983,55296,0.0,-0.10149051651210925,0.007421875,0.2,-0.0016530622960999608,2397.0649230957033,16202,0.44305622577667236,0.000299981568,846.4827270507812,0.0031761199,-19.866795158386232,1.0002360343933105
-0.17146265925110737,-0.21270384522526295,-0.3270208254204034,-0.8153997950280226,0.0,-5.2817546107526066e-08,0.0,-0.00022325177754585943,-0.19621921846872523,-0.03808325102855317,4,25.03456,0.0,0.08476071510296618,-0.026840865787749735,-0.5351531767048503,-0.5,0.0,-0.412127359053736,-2.588656877070544e-06,4095,0.0012098504068692112,0.0,0.0,138.37,-8.464066112540407e-05,-1.1352313851771106e-05,-0.09277540058264903,-134.25833312999998,0.01,0.0002304,0.0,0.649947008,18,0.0,-0.5636290274783469,-0.14135969985948954,73728,0.0,-0.10330760123697823,0.00894775390625,0.2,-0.002942752605304122,1752.0150634765625,16206,0.560838520526886,0.00029997235199999997,580.6787719726562,0.0037801801,-19.865102100372315,1.0000251531600952
-0.18066199063398938,-0.18776816564284435,-0.32393060762856707,-0.8363113645982545,0.0,-5.4438398884829995e-08,0.0,-8.137625021239122e-07,-0.2075542424992024,-0.0363016533573789,5,25.04608,0.0,0.08597540152997973,-0.03065548954657578,-0.5408156920668407,-0.5,0.0,-0.43494736928448485,-3.6675192827374873e-06,4120,0.001113279273138485,0.0,0.0,144.39,-0.0001166882707912659,-1.580968932786008e-05,-0.05451356635832801,-135.74115783999997,0.01,0.0003072,0.0,0.649929344,22,0.0,-0.5621755885246535,-0.13534860861933032,92160,0.0,-0.10375399255224763,0.00782470703125,0.2,-0.002603414363693446,1264.4613250732423,16210,0.5865139961242676,0.000299963136,413.00689697265625,0.0032379094,-19.864817428588868,1.0000029802322388
-0.18244222479500186,-0.17636713170334267,-0.34012350842946293,-0.8542991571664174,0.0,-6.199498077806674e-08,0.0,-0.0001660143413270513,-0.21613889380904402,-0.035347673586363655,6,25.0576,0.0,0.08457907188111588,-0.02622297598385857,-0.5433183251154827,-0.5,0.0,-0.43784207773677514,-4.879533165811745e-06,4144,0.0010281013706440313,0.0,0.0,143.46,-0.00014684648012612596,-2.0723501089852135e-05,-0.027889581830699242,-135.47110568,0.01,0.000384,0.0,0.64991168,26,0.0,-0.5810269169777559,-0.11666926339098065,110592,0.0,-0.10403251685490392,0.01326904296875,0.2,-0.003837563551496714,766.6924194335937,16214,0.6512150168418884,0.00029995392,256.9762268066406,0.0046017515,-19.86485948562622,1.000030279159546
-0.1732593822164365,-0.1606853896053235,-0.35334141071843006,-0.849507627586469,0.0,-7.302809851339519e-08,0.0,-1.7632115890996323e-05,-0.22829479122878407,-0.03570764326608701,7,25.06912,0.0,0.08764157838607678,-0.023354279500126463,-0.5516428511326372,-0.5,0.0,-0.4512147993716483,-5.793144198500637e-06,4155,0.0011745855445042253,0.0,0.0,137.17,-0.0001789950396132099,-2.478446861643573e-05,-0.0357911602501576,-133.90416725,0.01,0.0004608,0.0,0.6498940160000001,31,0.0,-0.5699670451776729,-0.11905899405498202,129024,0.0,-0.10394207249351209,0.01864013671875,0.2,-0.0041034531081095334,446.22797241210935,16218,0.6820477843284607,0.00029994470399999997,156.8240203857422,0.004243736,-19.865452766418457,1.0001248121261597
-0.193230883451987,-0.15910903803869336,-0.3462446246699576,-0.8868564253894541,0.0,-6.364671374053745e-08,0.0,-8.653341663173503e-05,-0.2161901314609804,-0.035286511341486596,8,25.08064,0.0,0.08871079475601579,-0.03015144981364975,-0.5293256428934314,-0.5,0.0,-0.4430729225671667,-6.759410555491841e-06,4164,0.0010492601464243813,0.0,0.0,146.42,-0.00020752290921051178,-2.8967089071427502e-05,-0.047551223469641864,-136.18145175,0.01,0.0005376,0.0,0.649876352,35,0.0,-0.5825797991560068,-0.12942080246131782,147456,0.0,-0.10401885787904382,0.0166748046875,0.2,-0.00424752316903323,266.7907028198242,16222,0.7247902154922485,0.000299935488,82.02151489257812,0.005612449,-19.866614246368407,1.000339150428772
-0.17302853009633506,-0.16276526273067926,-0.3322845970757192,-0.9018680034976657,0.0,-6.834978867485805e-08,0.0,0.0,-0.22383077469881008,-0.03623487897448167,9,25.09216,0.0,0.08365918730214184,-0.029231891443388804,-0.5240474017109139,-0.5,0.0,-0.49262956589996637,-7.466609521831549e-06,4174,0.0009407533248627766,0.0,0.0,146.0,-0.0002374339678647717,-3.259868161501138e-05,-0.03175394601297855,-136.07316548999998,0.01,0.0006144,0.0,0.649858688,39,0.0,-0.5489191168684218,-0.12509378010415306,165888,0.0,-0.10386260415312898,0.03609619140625,0.2,-0.005458730459213257,186.1818977355957,16226,0.7494908571243286,0.000299926272,60.7751350402832,0.006868699,-19.867535495758055,1.0004069805145264
-0.18321244909909093,-0.15940388970542652,-0.36391305011931396,-0.8753258739579272,0.0,-7.639392316399607e-08,0.0,-4.977703469598459e-05,-0.1928538266689755,-0.03573845847838309,10,25.10368,0.0,0.0871099080211572,-0.03137190911648723,-0.5304941851658063,-0.5,0.0,-0.46122811756078463,-8.208406686171513e-06,4180,0.0009461787089498506,0.0,0.0,144.15,-0.0002618803858523873,-3.621502912573343e-05,-0.04403960085140122,-135.56930509,0.01,0.0006912,0.0,0.649841024,44,0.0,-0.5564918346658949,-0.14738854596495715,184320,0.0,-0.10350786872710671,0.04168701171875,0.2,-0.005853171658236534,126.014697265625,16230,0.7739603519439697,0.000299917056,40.62787628173828,0.006371657,-19.86760311126709,1.0004576444625854
