reward_terms/stance,reward_terms/pos_pen,reward_terms/air_time,rollout/ep_rew_mean,reward_terms/upright,reward_terms/progress,reward_terms/alive,reward_terms/ang_xy,reward_terms/action_rate,time/total_timesteps,reward_terms/height,reward_terms/heading_pen,curriculum/cmd_vx_frac,reward_terms/track_heading,reward_terms/lat_vel,reward_terms/clearance,reward_terms/stance_time,time/iterations,reward_terms/track_yaw,reward_terms/hip_roll,reward_terms/track_vx,time/time_elapsed,reward_terms/torque,reward_terms/yaw_rate,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/track_pos,reward_terms/foot_slip,reward_terms/vz,time/fps,train/n_updates,train/loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl
-0.27679612527322195,0.0,0.014924665031555508,-372.61096563157895,-1.951344433500491e-07,0.0,0.5,-2.740017788261529e-06,-0.6117143369709603,7168,0.0,0.0,0.0,0.0,-2.18254608981202e-08,0.10145254506658144,0.0,1,0.0,-0.18680153555409593,0.0,6,-0.6835171638810735,0.0,0.01,167.10526315789474,0.007106101743099254,0.0,-0.5366132471349917,0.0,1053,,,,,,,,,,,
-0.24642686602946204,0.0,0.01637834807791348,-477.22732762790696,-1.907917835659578e-07,0.0,0.5,-2.7666042474465077e-06,-0.6160904249493667,14336,0.0,0.0,0.000896,0.0,-2.241481312001706e-08,0.10632597755118631,-1.3950796398733343e-06,2,0.0,-0.18512167173840585,0.0,14,-0.6909456353439403,0.0,0.01,234.11627906976744,0.008302889943777321,0.0,-0.5299789224477859,0.0,977,4,607.19677734375,0.2,-0.006993598384724464,0.0028177897620480508,-0.0064994096755981445,1.000052809715271,-8.513847470283508,0.00029982079999999996,1212.9473266601562,0.0020712386
-0.26943271979895794,0.0,0.021082589128387293,-553.7060687966102,-1.94119817095289e-07,0.0,0.5,-2.5068595491194018e-06,-0.6146459959645004,21504,0.0,0.0,0.001792,0.0,-2.2305456983506376e-08,0.10844683444000532,0.0,3,0.0,-0.18102798374335194,0.0,22,-0.6827092441651239,0.0,0.01,289.8813559322034,0.0023734952625177183,0.0,-0.44485476817400416,0.0,975,8,590.0387573242188,0.2,-0.0027650185705425656,0.0003967285119870212,-0.06128692626953125,0.9993319511413574,-8.509966135025024,0.0002996416,1171.8402404785156,0.0011019688
-0.26545645890816016,0.0,0.015973772620782256,-607.3448712191781,-1.6930708157051846e-07,0.0,0.5,-2.454112850184894e-06,-0.6178082452510613,28672,0.0,0.0,0.002688,0.0,-2.0857731280816275e-08,0.10786794117852543,-3.90624045394361e-05,4,0.0,-0.1790663858040717,0.0,29,-0.6890412604515826,0.0,0.01,332.6986301369863,0.005104032483142898,0.0,-0.4783734374162158,0.0,982,12,463.71868896484375,0.2,-0.003114827355602756,0.00020345051598269492,-0.0679018497467041,0.9981620907783508,-8.50582492351532,0.0002994624,939.8972549438477,0.0009371728
-0.24847510464416736,0.0,0.016562499762845358,-645.8251892954545,-1.8259677272538731e-07,0.0,0.5,-2.5125092150234287e-06,-0.6140917774706135,35840,0.0,0.0,0.003584,0.0,-2.272378738465808e-08,0.10594500793662154,0.0,5,0.0,-0.1777899211089684,0.0,36,-0.6900137897611848,0.0,0.01,352.96590909090907,0.0037788598938257646,0.0,-0.49334899531881915,0.0,969,16,466.0626220703125,0.2,-0.0025190710639435565,0.0004272460901120212,-0.07458126544952393,0.9970495700836182,-8.499706983566284,0.0002992832,947.7324905395508,0.0009300925
-0.20706095514471753,0.0,0.015714285845336105,-679.4484011500001,-1.6804048432579764e-07,0.0,0.5,-2.5713150359575033e-06,-0.6165094032354058,43008,0.0,0.0,0.00448,0.0,-2.0985503981658154e-08,0.1114342251028502,-0.00010881676072520869,6,0.0,-0.16746885763324407,0.0,45,-0.6809706696556359,0.0,0.01,380.64,0.006058327751282331,0.0,-0.5339293765281279,0.0,950,20,486.5332336425781,0.2,-0.0030221873203117866,0.00054931640625,-0.04759025573730469,0.9956504702568054,-8.492305278778076,0.00029910399999999996,1012.3489456176758,0.00094029517
-0.21232117850566046,0.0,0.01785435258144779,-704.53086086,-1.685103796792598e-07,0.0,0.5,-2.308960954060786e-06,-0.6135074869302376,50176,0.0,0.0,0.005376,0.0,-1.9735569770774363e-08,0.10887014890330031,-3.90624045394361e-05,7,0.0,-0.1711957260153403,0.0,52,-0.6630962211173527,0.0,0.01,402.39,0.006667088645623419,0.0,-0.5488881842619366,0.0,963,24,518.63134765625,0.2,-0.002032904769293964,0.0005187988390389364,-0.05733931064605713,0.9945967793464661,-8.48440408706665,0.0002989248,1039.9514236450195,0.00085377134
-0.21309177760873974,0.0,0.016277901969650493,-683.67801578,-1.6858225113609258e-07,0.0,0.5,-2.664084085672671e-06,-0.6072232864236347,57344,0.0,0.0,0.006272,0.0,-2.0756867764761268e-08,0.11035214193796819,-2.092627775190132e-05,8,0.0,-0.16736184741697316,0.0,59,-0.6664904454465738,0.0,0.01,393.11,0.013763308812207642,0.0,-0.48429095763477353,0.0,956,28,495.3006591796875,0.2,-0.003351073908561375,0.0016174316115211695,-0.040083885192871094,0.9938538670539856,-8.479077339172363,0.0002987456,987.8131866455078,0.0010260851
-0.19564750940382883,0.0,0.01769810268056712,-697.06115147,-1.5486621482996186e-07,0.0,0.5,-2.363889156802988e-06,-0.6111617007581539,64512,0.0,0.0,0.007168,0.0,-1.973230282420692e-08,0.10900775599419074,0.0,9,0.0,-0.16157713707146512,0.0,67,-0.6612880823894163,0.0,0.01,404.34,0.0028470774139325414,0.0,-0.4850569227445812,0.0,954,32,550.8294067382812,0.2,-0.0026057967625092715,0.003997802716185106,-0.0471038818359375,0.9934070706367493,-8.475283026695251,0.0002985664,1105.6371002197266,0.0014057826
-0.18372987042986058,0.0,0.015362723214950944,-629.2770405199999,-1.437669374376818e-07,0.0,0.5,-2.3747915377488028e-06,-0.6046255172404926,71680,0.0,0.0,0.008064,0.0,-2.044954186907855e-08,0.11288033109563171,0.0,10,0.0,-0.16707544043516445,0.0,75,-0.6574795124808366,0.0,0.01,366.19,0.013004636958330864,0.0,-0.5310262525866596,0.0,952,36,399.98272705078125,0.2,-0.002137174325525848,4.069010537932627e-05,-0.009207963943481445,0.9928506016731262,-8.472581624984741,0.0002983872,822.3118362426758,0.0006023541
