curriculum/stance_ratio,time/iterations,curriculum/ctrl_jitter_ms,reward_terms/stance_time,reward_terms/clearance,reward_terms/action_rate,reward_terms/residual,ankle/ankle_spring_energy_peak,reward_terms/upright,reward_terms/stop,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/height,rollout/ep_rew_mean,curriculum/sprint_dist_m,time/time_elapsed,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/duty_sym,reward_terms/step_rate,reward_terms/time,reward_terms/energy,reward_terms/lat_vel,reward_terms/residual_rate,reward_terms/ang_xy,ankle/ankle_defl_peak,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,reward_terms/angmom,reward_terms/assist_pen,rollout/ep_len_mean,time/fps,reward_terms/hip_roll,reward_terms/stance,reward_terms/alive,reward_terms/vz,reward_terms/overrun,reward_terms/foot_ahead,time/total_timesteps,reward_terms/air_time,reward_terms/torque,reward_terms/motor_vel,train/std,train/entropy_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss
0.65,1,0.0,-0.00447372997748769,0.011014848883977715,-0.2131492687049511,-0.06016934338671742,13.448048213024244,-0.2021577010069655,0.0,0.0,-0.608001842139848,-0.030991792832512403,-139.00703581,25.0,6,0.0,0.01,0.0,-0.009711371527777717,-0.5,0.0,-2.247747687172178e-09,0.0,-0.09928379123249893,0.743095210528208,-1.5862644160735018,-0.03337896300393278,-1.5539562193066185,21.28967778163316,-0.1684685512893515,0.0,39.13,2688,-0.0023265589732106764,0.0,0.0,-0.13746346383978203,0.0,0.0,18432,0.0,0.0,0.0,,,,,,,,,,,
0.649929344,2,0.0,-0.004570843632488201,0.011536267705653068,-0.21290160973147787,-0.06037657086755474,14.10482338949685,-0.20461147967400187,0.0,0.0003072,-0.606418880831668,-0.030988687547838914,-140.01481698999999,25.04608,13,0.0,0.01,0.0,-0.009960937499999923,-0.5,-5.373377675232332e-07,-2.237710715704197e-09,0.0,-0.09949670971594304,0.7550303071095865,-1.587836795819918,-0.029987664120265402,-1.5514084748474646,21.631618298689652,-0.16535609221788655,0.0,40.14,2636,-0.002235769022950443,-2.861814260768838e-05,0.0,-0.13750532373263938,0.0,0.0,36864,0.0,-1.7496327170884328e-05,-5.006426160335119e-08,1.0021696090698242,-34.081426811218265,0.000299963136,1360.6217041015625,0.052001953125,-0.023554444313049316,2814.28173828125,0.0079409275,4,0.2,-0.01974181202822365
0.649858688,3,0.0,-0.004828004247327853,0.013210644124932067,-0.2140340373674522,-0.06058523534108954,13.583164386978776,-0.22610728315196735,0.0,0.0006144,-0.598182478013983,-0.0342886428742791,-140.42781184,25.09216,20,0.0,0.01,0.0,-0.010167100694444368,-0.5,-1.0265003952647544e-06,-2.379943537464007e-09,0.0,-0.10368856881894434,0.7245765623019418,-1.656898920920832,-0.035408847788747574,-1.5570788315428283,20.759118509950632,-0.18499988156515054,0.0,40.55,2671,-0.0023707436519504587,-1.0119868317803939e-06,0.0,-0.15054603934406094,0.0,0.0,55296,0.0,-3.2075407335193794e-05,-9.808129860015785e-08,1.001375436782837,-34.07045402526855,0.000299926272,1409.484375,0.0261474609375,0.1609419584274292,2790.1574829101564,0.0062602237,8,0.2,-0.01172489793971181
0.649788032,4,0.0,-0.005028199142543599,0.013077171506885159,-0.21331561060988855,-0.06059615585297489,14.470799760838325,-0.22342840825929355,0.0,0.0009216,-0.5979801904827032,-0.03402246169055555,-140.54197527,25.13824,27,0.0,0.01,0.0,-0.009950086805555486,-0.5,-1.541336296610041e-06,-2.3023168915003534e-09,0.0,-0.09800440197508688,0.7749334795809203,-1.6465648625956328,-0.03866792651985849,-1.5546624723363143,22.201844189993366,-0.1801492439894249,0.0,40.67,2691,-0.0022551853678000207,-1.6700678961904614e-06,0.0,-0.1472310661883274,0.0,0.0,73728,0.0,-4.997292208263063e-05,-1.465634905135606e-07,1.0016405582427979,-34.07030715942383,0.00029988940799999996,1332.4334716796875,0.0229736328125,0.32977283000946045,2713.0681762695312,0.006023114,12,0.2,-0.011065264453645796
0.649717376,5,0.0,-0.004795994690438319,0.013245975191574534,-0.21399383398533703,-0.05999849644964012,14.486241906696048,-0.22626988706490733,0.0,0.0012288,-0.6002544895823269,-0.03457633389712492,-139.43178594,25.18432,34,0.0,0.01,0.0,-0.010145399305555476,-0.5,-2.0373423575721875e-06,-2.3532125787512765e-09,0.0,-0.10135161379746355,0.7666938957063736,-1.652016941918574,-0.02887714466180211,-1.5514336010735872,21.965780111987602,-0.1853499584166317,0.0,39.54,2703,-0.0021537578582735296,0.0,0.0,-0.1504110646747034,0.0,0.0,92160,0.0,-6.522986698775253e-05,-1.932458105069593e-07,1.0015944242477417,-34.07094802856445,0.000299852544,1341.2366943359375,0.0201416015625,0.482710063457489,2702.6348876953125,0.005762073,16,0.2,-0.010694826790131628
0.64964672,6,0.0,-0.0052370744427510845,0.014321455081287801,-0.21396059694551706,-0.0604778075721346,13.549527330478332,-0.23208609558190016,0.0,0.001536,-0.5921654654681366,-0.037316047772470246,-140.86674816,25.2304,40,0.0,0.01,0.0,-0.009950086805555475,-0.5,-2.434124320842183e-06,-2.3519576774710154e-09,0.0,-0.1001645820076984,0.7315293575051649,-1.7129133827044138,-0.034940458523622125,-1.5470920087813425,20.958316092522974,-0.1953764342139158,0.0,40.99,2708,-0.00226511301717395,0.0,0.0,-0.16071542845556389,0.0,0.0,110592,0.0,-7.633050134400233e-05,-2.381324509955626e-07,1.0014026165008545,-34.068538665771484,0.00029981568,1292.67578125,0.01468505859375,0.5678303837776184,2668.3222045898438,0.004825666,20,0.2,-0.009988531237468123
0.649576064,7,0.0,-0.005737832999633004,0.014783273948447822,-0.21104084065625853,-0.060473513846806076,13.78153164132684,-0.26575515509115494,0.0,0.0018432,-0.5943069339847499,-0.03939387627615208,-141.9391123,25.27648,47,0.0,0.01,0.0,-0.010080295138888813,-0.5,-2.9477785526361976e-06,-2.6522978438639893e-09,0.0,-0.10903783226821918,0.7216822298084299,-1.7480571730704062,-0.02995274605392568,-1.5520025982042671,20.676195884011516,-0.21447911502690228,0.0,42.06,2715,-0.00219701810515373,-4.745875382299963e-07,0.0,-0.17109271028920442,0.0,0.0,129024,0.0,-9.067988788352391e-05,-2.8672997459097747e-07,1.0011866092681885,-34.06468391418457,0.000299778816,1250.541748046875,0.01419677734375,0.5988609790802002,2565.5437133789064,0.004914012,24,0.2,-0.00987897531595081
0.649505408,8,0.0,-0.005295125314862364,0.014604818026939656,-0.21411338502382732,-0.060705660908684046,13.456859193475509,-0.27076816555360683,0.0,0.0021504,-0.5927754653066795,-0.039479776599424456,-140.96311398,25.32256,54,0.0,0.01,0.0,-0.009906684027777703,-0.5,-3.4206309361010874e-06,-2.4494342912662123e-09,0.0,-0.1058286049791753,0.7191077382536261,-1.7407386729508452,-0.029335651566030543,-1.5485497556073085,20.602436700966386,-0.2115206043862632,0.0,41.08,2721,-0.0021790465397059167,0.0,0.0,-0.17141372443785763,0.0,0.0,147456,0.0,-0.00010838483729261839,-3.3403511938565333e-07,1.0012290477752686,-34.065700721740725,0.000299741952,1206.3348388671875,0.0105224609375,0.6034553050994873,2520.4268188476562,0.0041291313,28,0.2,-0.00910623201634735
0.649434752,9,0.0,-0.00606660810040517,0.014899254102759642,-0.2126022537824603,-0.06053700972904062,13.982535204967773,-0.27844017218743855,0.0,0.0024576,-0.5911814575278609,-0.04118617301803181,-142.901628,25.36864,60,0.0,0.01,0.0,-0.010221354166666582,-0.5,-3.849297850696804e-06,-2.452960394842155e-09,0.0,-0.11200921612712683,0.7236842318244158,-1.783339724374488,-0.03147786874137484,-1.5517796971842546,20.73355324176951,-0.22808292778388056,0.0,43.01,2725,-0.0022219971017057544,0.0,0.0,-0.1778912224614513,0.0,0.0,165888,0.0,-0.00011840701689389539,-3.8253404048425315e-07,1.0009839534759521,-34.06511058807373,0.00029970508799999996,1191.867919921875,0.0086669921875,0.5714876651763916,2475.3060668945313,0.0037268263,32,0.2,-0.008263846521731465
0.649364096,10,0.0,-0.006484901432284257,0.01637537367117893,-0.21351543259836217,-0.06084310302459152,13.802207871550145,-0.3016255565225717,0.0,0.0027648,-0.5861701285312125,-0.04357526632360139,-143.54811476,25.41472,67,0.0,0.01,0.0,-0.009841579861111043,-0.5,-4.4366850063502806e-06,-2.785463231570393e-09,0.0,-0.11558078221969022,0.7425498358517233,-1.8221904865884382,-0.03487131512188401,-1.5449514976020102,21.27405279715187,-0.2409600737860094,0.0,43.66,2727,-0.0023036490585008054,0.0,0.0,-0.18815259186237435,0.0,0.0,184320,0.0,-0.00013605559262433903,-4.2513162945944875e-07,1.0008351802825928,-34.06258907318115,0.000299668224,1084.7833251953125,0.00401611328125,0.530682384967804,2312.0086303710937,0.0027556785,36,0.2,-0.00720601681387052
