reward_terms/step_rate,reward_terms/motor_vel,curriculum/ent_coef,time/fps,reward_terms/stance_time,reward_terms/torque,ankle/ankle_spring_trq_peak,curriculum/eff_scale,curriculum/stance_ratio,ankle/ankle_spring_energy_peak,reward_terms/vz,reward_terms/height,curriculum/sprint_dist_m,reward_terms/clearance,time/time_elapsed,reward_terms/stop,reward_terms/air_time,time/total_timesteps,reward_terms/action_rate,reward_terms/time,reward_terms/ang_xy,reward_terms/coef_rate,reward_terms/residual,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,curriculum/ctrl_drop_prob,reward_terms/energy,reward_terms/hip_roll,reward_terms/upright,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/fwd_speed,ankle/ankle_defl_peak,reward_terms/foot_ahead,reward_terms/overrun,reward_terms/alive,reward_terms/duty_sym,reward_terms/stance,reward_terms/residual_rate,reward_terms/angmom,time/iterations,train/learning_rate,train/clip_fraction,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
-0.024240451388887984,0.0,0.01,2656,0.0,0.0,63.49720817113288,0.0,0.65,5.937575678268657,-0.12624281201567558,-0.006495902825848346,25.0,0.1945505528903079,6,0.0,1.3563287211582065e-05,18432,-0.031813005638526265,-0.5,-0.4082354475249599,-0.12653426012249164,-0.11528595951575278,-0.30578561713610014,0.0,-0.5982087604814708,0.0,0.0,-0.0013362142460763206,-0.04956591699809798,-0.019506726673939746,0.0,4.395754611200528,0.18142059477466538,0.0,0.0,0.0,-5.612641826447275e-05,0.0,0.0,-0.05356421582416202,1,,,,,,,,,,,,,
-0.02645399305555452,-1.9039430473783479e-06,0.01,2679,0.0,-4.5671092252143245e-05,56.01371970744365,7.68e-05,0.649982336,4.604771987335333,-0.11393042390716165,-0.004775599204101609,25.01152,0.22122765353148774,13,0.0,0.0,36864,-0.030189787281856492,-0.5,-0.400256246673545,-0.11853766422260617,-0.11629977836615851,-0.32560317776225367,0.0,-0.5689288699704452,0.0,-7.2004800597523284e-06,-0.001145339642548992,-0.03502130742118182,-0.020373174740747377,0.0,5.399694487840424,0.1600391991641247,0.0,0.0,0.0,-0.0008102443586544546,0.0,0.0,-0.05666805127864435,2,0.000299975424,0.1210693359375,-34.06439723968506,0.7183513641357422,-0.006440589961130172,0.013464059,256.3312568664551,44.03218460083008,1.0010666847229004,138411,0.2,,
-0.026171874999998977,-3.8406937826306084e-06,0.01,3062,0.0,-8.996596274623069e-05,57.13926548083978,0.0001536,0.6499646720000001,4.7862141586852065,-0.10699822692581887,-0.004628068124376963,25.02304,0.22677514459352072,18,0.0,4.340263937289516e-06,55296,-0.030319685621361156,-0.5,-0.3846130654951218,-0.11883723893321983,-0.11621772584595844,-0.3082865383868104,0.0,-0.5403676821432065,0.0,-1.4361184044048355e-05,-0.0013666605280818955,-0.0333728680593154,-0.02665118300400334,0.0,5.448562016789861,0.1632550442309708,0.0,0.0,0.0,-0.0014738756902107795,0.0,0.0,-0.05495943926096161,3,0.00029995084799999997,0.223095703125,-34.07208461761475,-0.23370003700256348,-0.002976621815469116,0.021991493,30.136103773117064,6.458083152770996,1.002018690109253,138415,0.2,,
-0.02656249999999897,-5.820762121211549e-06,0.01,3282,0.0,-0.00013968550173837385,59.7800187433002,0.0002304,0.649947008,5.2356363621168835,-0.11245307600713776,-0.0049628913636594486,25.03456,0.2149287946391174,22,0.0,1.1393189197406173e-05,73728,-0.031200170727705027,-0.5,-0.39030738980774254,-0.13016322943708306,-0.11610303363651364,-0.3238925035907336,0.0,-0.5671550271619377,0.0,-2.1916501514038687e-05,-0.0017426996342661007,-0.031856580542145116,-0.04042283683133553,0.0,5.442624614690547,0.17080005355228628,0.0,0.0,0.0,-0.0012731303685806,0.0,0.0,-0.05716134495155172,4,0.000299926272,0.3621419270833333,-34.07681732177734,-0.39888572692871094,0.015147594114144644,0.043852214,19.32046629587809,4.549436092376709,1.002227783203125,138418,0.2,,
-0.025108506944443495,-7.342852272557803e-06,0.01,3440,0.0,-0.00017562748398449997,59.50342947926197,0.0003072,0.649929344,5.138466871805443,-0.11831427760825604,-0.005775182058934527,25.04608,0.21096890500483567,26,0.0,1.4648394426330924e-05,92160,-0.03303650625208521,-0.5,-0.41455608931917787,-0.1584659817706947,-0.11461194076192142,-0.29051037341694785,0.0,-0.5265939832973545,0.0,-2.751392884373221e-05,-0.0023870635694441126,-0.058234468872116,-0.05158322758584548,0.0,5.046503122682482,0.17000979851217704,0.0,0.0,0.0,-0.0003307048820448868,0.0,0.0,-0.07620049523302792,5,0.00029990169599999997,0.258544921875,-34.05979537963867,0.3437986969947815,0.015504140581469983,0.026155137,40.013136863708496,15.596332550048828,1.0005059242248535,138419,0.2,294.1380129259259,565.2592592592592
-0.023101128472221386,-8.260769709629937e-06,0.01,3552,0.0,-0.00021221233555621482,59.965409252121745,0.000384,0.64991168,5.181762984394607,-0.12535162644163905,-0.007462681617452947,25.0576,0.188035138311215,31,0.0,4.882798142110308e-06,110592,-0.03446656498827727,-0.5,-0.4076657489989362,-0.18188224072670459,-0.11248529261756726,-0.261507421918064,0.0,-0.5017723037388987,0.0,-3.2110946063486444e-05,-0.002859867581071919,-0.09256771356885309,-0.05383931330372352,0.0,4.285194456492654,0.17132974072034785,0.0,0.0,0.0,-3.708629920694657e-05,0.0,0.0,-0.11233062931688975,6,0.00029987712,0.32410888671875,-34.08481769561767,0.9773178696632385,-0.005313299014233053,0.029607166,157.81464614868165,45.30580520629883,1.0025889873504639,138423,0.2,142.08807506122452,374.8265306122449
-0.02023654513888822,-8.570635478988402e-06,0.01,3635,0.0,-0.0002459105570432696,60.69715102776161,0.0004608,0.6498940160000001,5.286409800050298,-0.12881963262905397,-0.007922201018540772,25.06912,0.17115554146970882,35,0.0,5.967856850475073e-06,129024,-0.032441723248154225,-0.5,-0.37938132717199013,-0.16347925264855323,-0.11056298249638591,-0.2165012520989613,0.0,-0.45436506157020395,0.0,-3.383522832975164e-05,-0.002491304682129789,-0.09189512241015026,-0.04662389968556194,0.0,3.4288134569415605,0.17342043150789033,0.0,0.0,0.0,-1.96087632705052e-05,0.0,0.0,-0.11876826148264248,7,0.000299852544,0.2780517578125,-34.074753761291504,0.9859368801116943,-0.0032404357800260184,0.02217161,146.93102226257324,81.95523071289062,1.0015015602111816,138427,0.2,-58.28356635000001,116.85
-0.011154513888888723,-5.078646746086906e-06,0.01,3695,0.0,-0.00023430770997205863,60.45383577815925,0.0005376,0.649876352,5.233648202418378,-0.1248502764517882,-0.007550666127528695,25.08064,0.10450868099464265,39,3.893036540429682e-27,0.0,147456,-0.0295256341089961,-0.5,-0.2702151704764314,-0.11153013652258771,-0.10335883337665935,-0.06552626936884716,0.0,-0.30783259913114785,0.0,-2.379198600891538e-05,-0.0018617499882763872,-0.09366280258510308,-0.012993615364573557,0.0,0.6558137524094704,0.172725245080455,0.0,0.0,0.0,-4.012196898656809e-07,0.0,0.0,-0.15699099466971025,8,0.000299827968,0.2116455078125,-34.0621618270874,0.9735708832740784,-0.0012590714963153006,0.019082645,135.7276641845703,45.481693267822266,1.000584363937378,138431,0.2,-110.8817695,45.16
-0.007432725694444487,-3.8718089926065335e-06,0.01,3741,0.0,-0.00025508534550301335,42.83375349366786,0.0006144,0.649858688,2.6210776295377274,-0.11070626527235833,-0.006658364290156856,25.09216,0.08826900426561002,44,0.0,0.0,165888,-0.02851790654437579,-0.5,-0.22688566561026238,-0.06317677786730032,-0.10023471051538337,-0.023963028420290106,0.0,-0.27622916845188505,0.0,-2.1652923667752905e-05,-0.0015891505787677376,-0.06267549576390855,-0.0005372374130378817,0.0,-0.15559988090757712,0.12238215283905102,0.0,0.0,0.0,0.0,0.0,0.0,-0.13489245307582554,9,0.00029980339199999997,0.160302734375,-34.06512508392334,0.9216883182525635,-0.012208685028599574,0.016723365,123.29023780822754,56.14345932006836,1.0011944770812988,138435,0.2,-110.98374114000002,45.21
-0.008908420138888845,-4.304433252977135e-06,0.01,3788,0.0,-0.0003029616015823087,45.024189041491624,0.0006912,0.649841024,2.8966174952064785,-0.11179372454687224,-0.0071135667033665854,25.10368,0.08491947198831402,48,0.0,0.0,184320,-0.03146479744278302,-0.5,-0.22763414926708936,-0.0631976616689767,-0.09935084938432623,-0.023152138669429414,0.0,-0.3449926318755413,0.0,-2.5177389570519164e-05,-0.0016797607604333601,-0.051704170537251404,-0.0006027969151797285,0.0,-0.12620868946206187,0.1286405401185475,0.0,0.0,0.0,0.0,0.0,0.0,-0.11510504481605754,10,0.000299778816,0.28955078125,-34.057090759277344,-5.68789529800415,0.016538568888790905,0.02670955,10.711925983428955,3.9831883907318115,1.0002597570419312,138436,0.2,-111.08201307000002,45.37
