reward_terms/angmom,reward_terms/vz,rollout/ep_rew_mean,time/fps,reward_terms/energy,reward_terms/air_time,rollout/ep_len_mean,curriculum/ctrl_drop_prob,reward_terms/time,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/motor_vel,reward_terms/assist_pen,reward_terms/foot_slip,curriculum/eff_scale,time/total_timesteps,time/iterations,reward_terms/height,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/upright,reward_terms/hip_roll,reward_terms/clearance,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/stance,reward_terms/ang_xy,curriculum/sprint_dist_m,reward_terms/stop,reward_terms/lat_vel,reward_terms/residual,reward_terms/fwd_speed,reward_terms/alive,time/time_elapsed,reward_terms/overrun,reward_terms/stance_time,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/n_updates
-0.12978548301444406,-0.20876255178993486,-155.96974465753425,4308,0.0,2.4956505512818694e-05,224.94520547945206,0.0,-0.5,-0.5982051306789259,0.0,0.0,0.0,0.0,-0.8595843667910186,0.0,18432,1,-0.058426548485624424,-0.12382333173678786,-1.5075037205680957,-0.4062759089153002,-0.25302432187337914,0.01375480609152558,0.01,0.65,0.0,-0.3571235938522191,25.0,0.0,-3.772518316565404e-08,-0.10406110924644546,-0.9644301136188473,0.0,4,0.0,-0.01458111807167168,,,,,,,,,,,
-0.11650621097733177,-0.22103114758987016,-151.32213599,4127,-3.116104147029521e-06,3.472212119959295e-05,205.59,0.0,-0.5,-0.6023259295303801,0.0,-3.8074207980132284e-05,-4.497580409302705e-07,0.0,-0.9040839709178733,7.68e-05,36864,2,-0.07535181655391748,-0.12335509425327966,-1.489618345662852,-0.5091904883313035,-0.2920076738863065,0.015683486732222682,0.01,0.649982336,-7.036197545427914e-06,-0.3678244163350757,25.01152,0.0,-5.3055095550327055e-08,-0.10275508336847328,-0.916332948718217,0.0,8,0.0,-0.011290241209078684,269.97197265625,51.5380859375,0.007113901,0.05843505859375,0.000299995392,-0.002884231531061232,0.3431295156478882,1.0007343292236328,-34.06513385772705,0.2,6296
-0.11500691861991001,-0.25385700755456303,-149.54358048000003,4199,-5.913134753801071e-06,3.092436236329377e-05,198.61,0.0,-0.5,-0.6106603625108192,0.0,-7.493434378171437e-05,-8.384624276443173e-07,0.0,-0.8635013823183771,0.0001536,55296,3,-0.07712872526079483,-0.1253274516664786,-1.5038354454853617,-0.4773609674223216,-0.3010636358628091,0.016723754112947603,0.01,0.6499646720000001,0.0,-0.359978402105088,25.02304,0.0,-5.573930790410274e-08,-0.10254266530554496,-0.8597468065393444,0.0,13,0.0,-0.007063232105186519,137.1612279891968,25.31670570373535,0.00535413,0.02362060546875,0.000299990784,-0.004780752607621253,0.7503042817115784,1.0003139972686768,-34.05706367492676,0.2,6300
-0.1153990579321971,-0.27712157976419177,-149.58732614,4239,-8.509678447366752e-06,6.076366601822277e-05,199.15,0.0,-0.5,-0.5928507416943894,0.0,-0.00010806150315333691,-1.1987138117811792e-06,0.0,-0.8195367175989042,0.0002304,73728,4,-0.0764387677693546,-0.12491065509650566,-1.5105690545365353,-0.48724307648256027,-0.30481137452376267,0.021547161292791037,0.01,0.649947008,-0.0021186447994348853,-0.34240828088918884,25.03456,0.0,-5.959437590058034e-08,-0.10270865790230527,-0.8524689549348926,0.0,17,0.0,-0.0031767946881397315,98.47791061401367,19.937843322753906,0.008485045,0.0550537109375,0.00029998617599999997,-0.007383597793523222,0.8665392994880676,1.0003582239151,-34.05807399749756,0.2,6304
-0.11556768146302601,-0.2948038090608842,-151.76854347,4272,-1.1317837681699656e-05,0.0001204423897434026,207.37,0.0,-0.5,-0.5866819067821852,0.0,-0.000144237805227177,-1.57902697782817e-06,0.0,-0.8096045636654945,0.0003072,92160,5,-0.07703213199171406,-0.12597384153517815,-1.5112975912035915,-0.4583235756904663,-0.3188614568422847,0.01915500472844495,0.01,0.649929344,-0.0004783217932477172,-0.34953757530856205,25.04608,0.0,-6.098584875366312e-08,-0.10235043408026942,-1.0035401060119917,0.0,21,0.0,-0.003944479236249915,80.98819694519042,15.892962455749512,0.007912354,0.056298828125,0.000299981568,-0.00821006958722137,0.9108797311782837,1.0005301237106323,-34.059546661376956,0.2,6308
-0.1189282399578597,-0.2719840331383773,-150.55599282,4288,-1.3957683337363552e-05,0.00013454829847129682,203.1,0.0,-0.5,-0.5931315423206318,0.0,-0.00016769746098426047,-1.911923963326226e-06,0.0,-0.8242408026243515,0.000384,110592,6,-0.07061022180202922,-0.12844627323124927,-1.5054199646847686,-0.4569735430489146,-0.2769569548043543,0.02002383330149192,0.01,0.64991168,-0.0020756625080911987,-0.34144529853119815,25.0576,0.0,-5.74838681112868e-08,-0.10182931764687134,-0.8980123921925389,0.0,25,0.0,-0.01566456586361811,72.67055892944336,10.968825340270996,0.011496382,0.09073486328125,0.00029997696,-0.00808894723886624,0.9210172295570374,1.0007209777832031,-34.06200313568115,0.2,6312
-0.1379932345681281,-0.32367687246430615,-148.20706951000003,4304,-1.6374190379080206e-05,0.00016113242600113153,193.8,0.0,-0.5,-0.5823743882228646,0.0,-0.00019930912943969662,-2.214149044047593e-06,0.0,-0.7825258072152156,0.0004608,129024,7,-0.06986718364186922,-0.12903758024372125,-1.5096477938794057,-0.43177133919009897,-0.2873027844690535,0.022259660393185218,0.01,0.6498940160000001,-0.0013994884567948955,-0.3658224593603242,25.06912,0.0,-6.365368681883064e-08,-0.10130761550734137,-0.9491880805303334,0.0,29,0.0,-0.02013654142178388,93.56265621185302,18.65057945251465,0.011472496,0.16265869140625,0.00029997235199999997,-0.0031370538286864757,0.922524094581604,1.0007305145263672,-34.06269989013672,0.2,6316
-0.12176915378016069,-0.2615417428400011,-150.58489666000003,4311,-1.894221445875973e-05,0.0001161021355073899,202.74,0.0,-0.5,-0.5909494596463882,0.0,-0.00021933245845378755,-2.5365519792438938e-06,0.0,-0.7418106807127627,0.0005376,147456,8,-0.06351872723220255,-0.13092595658267694,-1.4827434377995568,-0.43527545831774045,-0.27963043608850713,0.021109847793630426,0.01,0.649876352,-0.0015899865894082052,-0.3211512910464797,25.08064,0.0,-5.5661242282187824e-08,-0.10116335695133963,-0.8437201365179298,0.0,34,0.0,-0.012901978864748444,79.50812377929688,20.209367752075195,0.009126249,0.09039306640625,0.000299967744,-0.009109117079060525,0.9120155572891235,1.000638723373413,-34.06087055206299,0.2,6320
-0.12942667487806317,-0.26895594528264355,-152.82828491,4321,-2.169848539953565e-05,0.00011013427865691483,212.53,0.0,-0.5,-0.5917743636948923,0.0,-0.00024924978359009006,-2.908475716045755e-06,0.0,-0.7407921614019749,0.0006144,165888,9,-0.06853818922599675,-0.13194321265458675,-1.4727883402199908,-0.43870510405031854,-0.28664611277737834,0.021235691313730553,0.01,0.649858688,-0.001632798945328281,-0.32861134004492576,25.09216,0.0,-5.6359705401433694e-08,-0.10027970522545589,-0.877056019333725,0.0,38,0.0,-0.027957423679052025,64.79038696289062,14.327877044677734,0.01347242,0.09989013671875,0.000299963136,-0.012524785869754852,0.9099558591842651,1.0007771253585815,-34.06145534515381,0.2,6324
-0.14017850213778793,-0.3048820860577633,-152.27562700000001,4325,-2.4777748103441178e-05,0.0001915143026659886,209.99,0.0,-0.5,-0.5679241720846453,0.0,-0.00026693529116659414,-3.3729922939449386e-06,0.0,-0.7332074187060507,0.0006912,184320,10,-0.05883544473095639,-0.13161211663844263,-1.480720076174816,-0.36810037461234657,-0.27669819256919465,0.024783135398518875,0.01,0.649841024,-0.001298593879835424,-0.35089437253460126,25.10368,0.0,-6.027948103270358e-08,-0.10050410947758885,-0.8082505622477065,0.0,42,0.0,-0.025357080754474737,63.11032676696777,16.37604331970215,0.015419369,0.22117919921875,0.00029995852799999997,-0.0033562077907845376,0.9145302772521973,1.0009303092956543,-34.06270751953125,0.2,6328
-0.1391534088890271,-0.30671126562345985,-150.27064987,4330,-2.7080990993972916e-05,0.00018120616247567037,201.51,0.0,-0.5,-0.5573943478177021,0.0,-0.0003008614088697949,-3.6178053126914746e-06,0.0,-0.7228265798311647,0.000768,202752,11,-0.06356112876678689,-0.13495036053472115,-1.4672905117057908,-0.3924530213556443,-0.2790352757401328,0.023245395737691958,0.01,0.6498233600000001,0.0,-0.34108520260688713,25.1152,0.0,-6.080789435205556e-08,-0.10014386003561339,-1.019213367007573,0.0,46,0.0,-0.01645665977978044,60.0026777267456,16.001482009887695,0.014643702,0.19661865234375,0.00029995392,-0.007219408708624542,0.8974912166595459,1.0010757446289062,-34.06326065063477,0.2,6332
