time/iterations,reward_terms/stance,reward_terms/stop,reward_terms/phase_contact,reward_terms/assist_pen,reward_terms/time,reward_terms/torque,reward_terms/lat_vel,curriculum/sprint_dist_m,reward_terms/duty_sym,reward_terms/action_rate,reward_terms/fwd_speed,time/time_elapsed,reward_terms/stance_time,curriculum/ctrl_jitter_ms,curriculum/stance_ratio,reward_terms/energy,reward_terms/coef_rate,reward_terms/upright,reward_terms/vz,time/fps,reward_terms/motor_vel,time/total_timesteps,reward_terms/foot_slip,curriculum/eff_scale,reward_terms/angmom,reward_terms/alive,reward_terms/hip_roll,reward_terms/foot_ahead,reward_terms/step_rate,ankle/ankle_spring_trq_peak,ankle/ankle_defl_peak,curriculum/ent_coef,reward_terms/clearance,rollout/ep_len_mean,reward_terms/residual,ankle/ankle_spring_energy_peak,reward_terms/air_time,reward_terms/height,reward_terms/overrun,reward_terms/ang_xy,rollout/ep_rew_mean,reward_terms/residual_rate,curriculum/ctrl_drop_prob,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std
1,0.0,0.0,-0.5676534771585665,0.0,-0.5,0.0,-4.7054295824743575e-09,25.0,0.0,-0.21269948718007967,-1.3042826598967112,4,-0.005575041700568464,0.0,0.65,0.0,-1.589368431051503,-0.17351308319777992,-0.08662205456970135,4174,0.0,18432,-0.018247105902397354,0.0,-0.14180140376481862,0.0,-0.0018701553755951109,0.0,-0.0027126736111111175,30.27396206645018,0.08649703447557194,0.01,0.020200397391559686,187.79545454545453,-0.06030432803804667,1.7133620711252158,0.0,-0.024451113840333306,0.0,-0.09200860060389383,-146.73800851136363,0.0,0.0,,,,,,,,,,,
2,0.0,0.0,-0.5481034664716664,0.0,-0.5,-3.2811950559937327e-06,-5.277316806249289e-09,25.01152,0.0,-0.212460242803065,-1.3716074437792105,9,-0.00519716837314061,0.0,0.649982336,-8.130055043955433e-08,-1.588890921829866,-0.20122771636601228,-0.0981062023519866,4023,-9.516599108333648e-09,36864,-0.013739451946243915,7.68e-05,-0.16680501849368662,0.0,-0.0018964612234692413,0.0,-0.0025499131944444493,30.04030978538067,0.08582945652965907,0.01,0.02571188392829317,192.52,-0.06016365473094211,1.5405045217820317,0.0,-0.027541046398334178,0.0,-0.10309880084001438,-147.90471019000003,0.0,0.0,0.06331787109375,220.6875,4,-34.0826509475708,493.1849365234375,0.2,0.016672611236572266,0.00776692,-0.01704171395394951,0.000299990784,1.0024687051773071
3,0.0,0.0,-0.5516813575980876,0.0,-0.5,-6.704435920685923e-06,-5.237095061575238e-09,25.02304,0.0,-0.2131612453133032,-1.3728432900449536,13,-0.007107153321461131,0.0,0.6499646720000001,-1.6758462751248717e-07,-1.5925839219560152,-0.20082057956100557,-0.09653747631617553,4087,-1.936485125259424e-08,55296,-0.014374634698797076,0.0001536,-0.1667354527523791,0.0,-0.0021726033137994586,0.0,-0.0026692708333333408,31.01594422297005,0.08861698349420014,0.01,0.02384699682612766,192.04,-0.0603527401669551,1.7173338870295805,0.0,-0.02745573523501736,0.0,-0.10407867063467734,-147.76911162,0.0,0.0,0.025537109375,239.9949493408203,8,-34.07615299224854,505.45711517333984,0.2,0.19017577171325684,0.0054168194,-0.009437199030071498,0.000299981568,1.0020115375518799
4,0.0,0.0,-0.5441217637735043,0.0,-0.5,-9.867364100664073e-06,-5.205784013985e-09,25.03456,0.0,-0.21367581761294652,-1.4288091289119877,17,-0.0063067808708486455,0.0,0.649947008,-2.514391934880142e-07,-1.583424563518232,-0.23045603607688225,-0.1049731252925207,4121,-2.9995095335700014e-08,73728,-0.015815615783953522,0.0002304,-0.18250953627887223,0.0,-0.002164494977350907,0.0,-0.002799479166666676,31.235381614039817,0.08924394746868519,0.01,0.02656600763258297,196.05,-0.06049276529507307,1.6007171546023962,0.0,-0.030644020532436613,0.0,-0.11441835099607782,-148.78816059,0.0,0.0,0.019873046875,220.4483184814453,12,-34.07703762054443,469.902033996582,0.2,0.37094855308532715,0.0052207867,-0.009103788819629699,0.00029997235199999997,1.0020980834960938
5,0.0,0.0,-0.5484998579656584,0.0,-0.5,-1.2647431105463354e-05,-5.193562923707308e-09,25.04608,0.0,-0.2122088659351761,-1.3897200706757022,22,-0.006081902035576705,0.0,0.649929344,-3.397357827434402e-07,-1.5822843358943173,-0.1926857787525983,-0.09440537434106117,4143,-4.071886480063804e-08,92160,-0.014868607853804509,0.0003072,-0.1569832768276129,0.0,-0.0018218606374419619,0.0,-0.0027343750000000068,28.69875397992974,0.0819964399426564,0.01,0.025077536557583924,191.16,-0.0601816530949599,1.5778517217041932,0.0,-0.02738427382763941,0.0,-0.09683181396834516,-147.5786918,0.0,0.0,0.018994140625,209.55857849121094,16,-34.07649936676025,444.5854095458984,0.2,0.5116037130355835,0.005143778,-0.008842660812661052,0.000299963136,1.0019124746322632
6,0.0,0.0,-0.5495361271580479,0.0,-0.5,-1.5700145385157162e-05,-5.236533020696118e-09,25.0576,0.0,-0.21330380618865624,-1.3825191006731772,26,-0.007071479343317656,0.0,0.64991168,-4.0429684849128016e-07,-1.5794351537307778,-0.20164060390457822,-0.09772667507428007,4155,-4.844705118380725e-08,110592,-0.014007049170529686,0.000384,-0.1637400707644325,0.0,-0.0018166185823753653,0.0,-0.0026584201388888946,30.347592573398252,0.08670740735256643,0.01,0.024945473837730575,196.36,-0.06070156425367972,1.7187878544291157,0.0,-0.02815631190057878,0.0,-0.10227165195262417,-148.87124071999997,0.0,0.0,0.01290283203125,200.0777130126953,20,-34.072279167175296,447.79982604980466,0.2,0.5971552729606628,0.0043679806,-0.008671077183680608,0.00029995392,1.0015376806259155
7,0.0,0.0,-0.5402279923203877,0.0,-0.5,-1.853980118262253e-05,-5.1318004400713455e-09,25.06912,0.0,-0.21274508788168678,-1.434205668431198,30,-0.006557024903789473,0.0,0.6498940160000001,-4.969981513707221e-07,-1.5734044929596898,-0.22539449787104454,-0.1020683565451388,4166,-5.8927093308389584e-08,129024,-0.014887984594106531,0.0004608,-0.18158551226688252,0.0,-0.001923459307945022,0.0,-0.002734375000000006,32.382728131419036,0.09252208037548296,0.01,0.027739854864669268,195.4,-0.060132682094106764,1.6764630140214056,0.0,-0.030151107069828837,0.0,-0.10839889489664227,-148.61956963999998,0.0,0.0,0.0176513671875,188.8773956298828,24,-34.07498645782471,419.46277618408203,0.2,0.658409833908081,0.005005615,-0.009186034643789753,0.00029994470399999997,1.0020089149475098
8,0.0,0.0,-0.5436432048343287,0.0,-0.5,-2.2524698978263957e-05,-4.474619139198678e-09,25.08064,0.0,-0.21332206598444034,-1.4199826039104704,35,-0.006793839957228758,0.0,0.649876352,-5.942093037578906e-07,-1.586569243704748,-0.21564292751046543,-0.10290022988226491,4175,-6.953202317811582e-08,147456,-0.015727701117570523,0.0005376,-0.16524909283138986,0.0,-0.0018363496204221838,0.0,-0.0025933159722222273,31.697717594129244,0.09056490741179785,0.01,0.027486402417412275,194.78,-0.06023293727696631,1.697006241246554,0.0,-0.030105754812676615,0.0,-0.1046467471831718,-148.47925695,0.0,0.0,0.02130126953125,177.0216064453125,28,-34.07711811065674,417.3827423095703,0.2,0.6830785274505615,0.0053880075,-0.009417677309829741,0.000299935488,1.0019371509552002
9,0.0,0.0,-0.5292184595783538,0.0,-0.5,-2.2878823784404244e-05,-5.6184037257707225e-09,25.09216,0.0,-0.21356027477927897,-1.4673093360085896,39,-0.006838056698648466,0.0,0.649858688,-6.176215047023023e-07,-1.5885699442110406,-0.24657014276723407,-0.1096724308407689,4183,-7.842966823216062e-08,165888,-0.014502398517018086,0.0006144,-0.19108282623750783,0.0,-0.002050422654831416,0.0,-0.0026475694444444515,29.939088904880137,0.08554025401394325,0.01,0.030648924345380937,201.37,-0.06041040788941051,1.6429237169521023,0.0,-0.03260979771218228,0.0,-0.11445986673511174,-150.120891,0.0,0.0,0.026220703125,195.5536651611328,32,-34.0764440536499,397.83390350341796,0.2,0.7060142755508423,0.006022659,-0.009729252778925002,0.000299926272,1.001967191696167
10,0.0,0.0,-0.5424064301352538,0.0,-0.5,-2.7762484868285912e-05,-5.082875743958436e-09,25.10368,0.0,-0.21235483970515182,-1.4455859329831215,44,-0.00735115567577951,0.0,0.649841024,-6.91167155495302e-07,-1.5913715369936852,-0.2446543671129501,-0.10872617506078652,4188,-8.848545114229442e-08,184320,-0.014893978078870766,0.0006912,-0.18891848290447594,0.0,-0.0019236809001290265,0.0,-0.002712673611111119,28.62073269372822,0.08177352198208063,0.01,0.025515716183312,200.86,-0.06061156307528289,1.7044338646865629,0.0,-0.032009385600919565,0.0,-0.1144354030731109,-149.98964377000001,0.0,0.0,0.02197265625,156.8133087158203,36,-34.07339725494385,362.2801345825195,0.2,0.6972981691360474,0.0056579574,-0.00979758338071406,0.000299917056,1.0016069412231445
