reward_terms/angmom,reward_terms/stance_time,curriculum/sprint_dist_m,reward_terms/coef_rate,reward_terms/ang_xy,time/fps,reward_terms/torque,rollout/ep_len_mean,ankle/ankle_defl_peak,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/overrun,ankle/ankle_spring_energy_peak,reward_terms/lat_vel,reward_terms/height,reward_terms/motor_vel,curriculum/eff_scale,rollout/ep_rew_mean,curriculum/ctrl_drop_prob,reward_terms/alive,reward_terms/air_time,reward_terms/residual_rate,ankle/ankle_spring_trq_peak,reward_terms/fwd_speed,time/time_elapsed,reward_terms/stance,reward_terms/duty_sym,time/iterations,reward_terms/vz,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/hip_roll,reward_terms/step_rate,reward_terms/foot_slip,reward_terms/assist_pen,reward_terms/residual,reward_terms/upright,reward_terms/foot_ahead,time/total_timesteps,reward_terms/action_rate,reward_terms/energy,reward_terms/stop,reward_terms/clearance,reward_terms/time,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_range,train/approx_kl,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/entropy_loss
-0.1447829780401401,-0.01552731675393362,25.0,-1.5574332698905122,-0.07343938082229404,2060,0.0,43.3,0.5054179766913252,0.01,0.65,0.0,0.0,-1.8508959700329988e-09,-0.0208437369132842,0.0,0.0,-143.19872718000002,0.0,0.0,0.0007606336924557885,0.0,0.0,-1.1316793358344388,8,-0.0160343103221877,-9.10425977455742e-06,1,-0.08790699551368494,-0.5743607360390667,0.0,-0.011409134663234193,-0.012445746527777544,-0.33448358215969903,0.0,-0.060282022936358266,-0.14063323273113604,0.0,18432,-0.2143378728705206,0.0,0.0,0.020362450520837936,-0.5,,,,,,,,,,,
-0.16711955076274937,-0.018065832828546666,25.04608,-1.5656988384444734,-0.07548481536918289,2022,-1.4056022865849751e-05,43.92,0.505797132164238,0.01,0.649929344,0.0,0.0,-1.949448120863551e-09,-0.024657918646643753,-5.909961999759731e-08,0.0003072,-143.82379652,0.0,0.0,0.0005490451326800717,0.0,0.0,-1.2093722754145255,18,-0.0147939770792829,-0.00013088726395809613,2,-0.10231522929224561,-0.5771691278456736,0.0,-0.011272547886538172,-0.011816406249999802,-0.3269333023565046,0.0,-0.06054690728672742,-0.15331003160444454,0.0,36864,-0.2143358638258275,-5.752780257865611e-07,0.0,0.01898870123420013,-0.5,-0.016725778579711914,-0.020798812014982106,1296.2764892578125,1.0015748739242554,0.2,0.008000436,4,0.05516357421875,0.000299963136,2594.8907836914063,-34.07298336029053
-0.16997466088065277,-0.016577119538043108,25.09216,-1.5638084278513982,-0.08266102766492031,2178,-3.0200378206748704e-05,42.29,0.5057283851338127,0.01,0.649858688,0.0,0.0,-2.0433958978497144e-09,-0.023934014228104154,-1.200855615607172e-07,0.0006144,-142.19756590999998,0.0,0.0,0.0006445312691438529,0.0,0.0,-1.1930192033896008,25,-0.014143467211528633,-0.00017828205180892256,3,-0.10134349043522806,-0.5761437189713726,0.0,-0.012652404365489018,-0.011675347222222028,-0.3260980014021201,0.0,-0.06062683120584765,-0.1626810859376853,0.0,55296,-0.21446701828665304,-1.19912881686115e-06,0.0,0.019280526425503323,-0.5,0.15332859754562378,-0.012208601320162415,1253.280029296875,1.0016462802886963,0.2,0.0065079653,8,0.0265380859375,0.000299926272,2545.313928222656,-34.06852436065674
-0.16012634132484913,-0.01574270224308647,25.13824,-1.5700007244789826,-0.07907599738512963,2266,-4.566108702849611e-05,43.07,0.5056870378309947,0.01,0.649788032,0.0,0.0,-1.9592256859094373e-09,-0.022224750922711187,-1.798477186931404e-07,0.0009216,-142.97717491,0.0,0.0,0.0004654947681249016,0.0,0.0,-1.1738255286946673,32,-0.010089732780229434,-1.681118949742081e-07,4,-0.09475330425728966,-0.5775051384974761,0.0,-0.012073562944437434,-0.01193576388888868,-0.32943073304672776,0.0,-0.06071971086302024,-0.15540516827072165,0.0,73728,-0.21526218823083723,-1.7907920409983238e-06,0.0,0.019640125607103376,-0.5,0.33586716651916504,-0.011508423264604061,1250.5477294921875,1.0014801025390625,0.2,0.005983925,12,0.02265625,0.00029988940799999996,2566.7912109375,-34.0705005645752
-0.16447633327129688,-0.016006916628814198,25.18432,-1.5618799339618237,-0.07786504990086869,2321,-5.829803451857649e-05,44.09,0.5075181511031506,0.01,0.649717376,0.0,0.0,-1.958712711420137e-09,-0.02266521376914489,-2.4257142331983054e-07,0.0012288,-144.00840413000003,0.0,0.0,0.0005859374941792339,0.0,0.0,-1.175437809007898,39,-0.009610006443453414,-2.7027527225590464e-06,5,-0.09459486821183109,-0.5707906234345153,0.0,-0.0120702723651819,-0.012554253472221992,-0.32315173473348824,0.0,-0.06014390782298255,-0.1527565276935587,0.0,92160,-0.21502538984762784,-2.3791568776470355e-06,0.0,0.02065445145301407,-0.5,0.43927258253097534,-0.010919824521988631,1241.5201416015625,1.0015592575073242,0.2,0.0061398945,16,0.02303466796875,0.000299852544,2560.812951660156,-34.070838928222656
-0.1728503871358705,-0.017892222018821888,25.2304,-1.5654801857550458,-0.07730347945785573,2358,-7.147588524208519e-05,45.17,0.5057248968147068,0.01,0.64964672,0.0,0.0,-2.0351784455903398e-09,-0.024938779735353675,-2.962451547925322e-07,0.001536,-145.07109878,0.0,0.0,0.0006141493278038171,0.0,0.0,-1.2165242694325373,46,-0.008974690284565254,-2.251977946794459e-05,6,-0.10242084968081486,-0.5729955022861164,0.0,-0.011930710291951417,-0.011827256944444248,-0.32658106714425256,0.0,-0.06061565211953113,-0.15782287241712425,0.0,110592,-0.21559388692013337,-2.896541007446503e-06,0.0,0.019181967784800955,-0.5,0.4867759346961975,-0.010488881752826274,1212.4261474609375,1.0013712644577026,0.2,0.005931004,20,0.0233642578125,0.00029981568,2540.7526000976563,-34.06930236816406
-0.1615117043654218,-0.016915117561843038,25.27648,-1.5715558752363168,-0.07837427775784159,2388,-8.823400064313009e-05,44.37,0.5053403941550221,0.01,0.649576064,0.0,0.0,-2.023758634603513e-09,-0.021817844206070823,-3.5879654240635766e-07,0.0018432,-144.28183564,0.0,0.0,0.0004861110323367433,0.0,0.0,-1.1933126412787498,54,-0.007614742355612655,0.0,7,-0.09475044471637227,-0.5819656846487545,0.0,-0.012065253015828344,-0.011870659722222026,-0.3279120980691158,0.0,-0.06055811163513666,-0.14690292025573629,0.0,129024,-0.21346988420878502,-3.5611660465641296e-06,0.0,0.017242655550653713,-0.5,0.48706716299057007,-0.009029755543451756,1186.0711669921875,1.001460313796997,0.2,0.0037932745,24,0.0084228515625,0.000299778816,2411.92529296875,-34.07048358917236
-0.1795300676876423,-0.018280676365571305,25.32256,-1.56000040134043,-0.07813077182656936,2408,-9.733190780820275e-05,45.35,0.5050404288624444,0.01,0.649505408,0.0,0.0,-2.2828141394650608e-09,-0.025816499760422603,-4.093621320987755e-07,0.0021504,-145.26249715999998,0.0,0.0,0.0005859374553741267,0.0,0.0,-1.2530510720878376,61,-0.012274799163130642,-1.8137898301286586e-05,8,-0.10663790949882593,-0.5746369062305834,0.0,-0.011527694125141538,-0.012087673611110898,-0.31990777241515983,0.0,-0.06070689494600999,-0.168255164546528,0.0,147456,-0.21431927666486061,-3.972567350278447e-06,0.0,0.018166138249767875,-0.5,0.4958333969116211,-0.006919086177367717,1141.8245849609375,1.0013422966003418,0.2,0.0024047825,28,0.00255126953125,0.000299741952,2318.293664550781,-34.06916961669922
-0.19558194965697365,-0.019333192005029157,25.36864,-1.5599123927543632,-0.08229174433335011,2426,-0.0001159709772958042,45.57,0.5047319566810147,0.01,0.649434752,0.0,0.0,-2.4986452848803577e-09,-0.02690515233352055,-4.735993353894467e-07,0.0024576,-145.49470848,0.0,0.0,0.0005013020515131453,0.0,0.0,-1.2772582252156555,68,-0.009646163662022533,0.0,9,-0.11179504296350447,-0.5800037773662422,0.0,-0.011569337678700529,-0.012499999999999768,-0.34147831951348495,0.0,-0.060585133939530994,-0.18064957981000795,0.0,165888,-0.21340418902075015,-4.631082685060887e-06,0.0,0.018187955528190705,-0.5,0.3791680932044983,-0.0061295547289773825,1007.43310546875,1.0009996891021729,0.2,0.0019875441,32,0.00162353515625,0.00029970508799999996,2143.3837646484376,-34.065514183044435
-0.1864772657781667,-0.019653286629666884,25.41472,-1.5671507896474444,-0.08012585926358833,2440,-0.00012762808687347756,45.67,0.5060748646127954,0.01,0.649364096,0.0,0.0,-2.288605916358421e-09,-0.025476223699687127,-5.398291931098689e-07,0.0027648,-145.57705074,0.0,0.0,0.0003656683580225541,0.0,0.0,-1.2621431297972523,75,-0.008383609713616078,-0.0002399218967354648,10,-0.1063224882804924,-0.5842512640534241,0.0,-0.012246270119593925,-0.011707899305555361,-0.3273668355668681,0.0,-0.06087263067683721,-0.16720845313040059,0.0,184320,-0.21591857122912136,-5.2519831563890416e-06,0.0,0.017880412561330376,-0.5,0.41257065534591675,-0.005458474950864911,904.7676391601562,1.0007784366607666,0.2,0.0017224022,36,0.00130615234375,0.000299668224,1982.0022827148437,-34.0632266998291
