reward_terms/duty_sym,reward_terms/residual_rate,reward_terms/fwd_speed,reward_terms/track_lin,curriculum/ent_coef,reward_terms/motor_vel,reward_terms/stand_drift,rollout/ep_len_mean,ankle/ankle_defl_peak,reward_terms/alive,reward_terms/clearance,reward_terms/action_rate,ankle/ankle_spring_energy_peak,reward_terms/ang_xy,reward_terms/time,reward_terms/stand,reward_terms/foot_slip,reward_terms/hip_roll,curriculum/cmd_track_err,curriculum/cmd_scale,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/foot_ahead,curriculum/swing_frac_min,reward_terms/upright,time/fps,reward_terms/energy,time/total_timesteps,curriculum/ctrl_drop_prob,time/time_elapsed,reward_terms/assist_pen,reward_terms/step_rate,curriculum/eff_scale,reward_terms/track_yaw,reward_terms/phase_contact,est/vel_rmse,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/residual,reward_terms/height,reward_terms/vz,reward_terms/overrun,ankle/ankle_spring_trq_peak,reward_terms/torque,reward_terms/lat_vel,reward_terms/air_time,reward_terms/imp_rate,curriculum/ctrl_jitter_ms,curriculum/dr_scale,reward_terms/stance,reward_terms/coef_rate,reward_terms/angmom,reward_terms/stop,time/iterations,train/std,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress
-7.63238701410535e-05,0.0,0.0,0.9023299714022814,0.01,0.0,-0.0117457907335548,154.10526315789474,0.5052012598050253,0.0,0.013628653449945505,-0.24232340914244618,0.0,-1.494542813189717e-05,0.0,0.5906158047532148,-0.8778121597530016,-0.056834381023249635,0.9293123753472255,0.0,-86.31286421052631,-9.087381962065895e-05,0.0,0.2547743055555556,-1.6647115576463992e-07,9252,0.0,18432,0.0,1,0.0,-0.014322916666666333,0.0,1.9998150211395762,-0.1267646750927921,1.0450240896268328,0.3060980902777778,0.7,-0.06075307098084069,-0.0023202263436839427,-0.02569922165913198,0.0,0.0,0.0,-3.82999763829992e-08,3.363708189378182e-05,-0.0405821075675325,0.0,0.0,-0.013592636933831113,-1.582930575136214,-0.07348414129186494,0.0,1,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.5654478602695997,0.01,0.0,-0.10218126320884552,228.14444444444445,0.5051251918114006,0.0,0.005646635345963299,-0.24770504456848746,0.0,-1.470806937998685e-05,0.0,0.2986220338638204,-0.9245908973212956,-0.05915954200462153,0.9281382597305763,0.0,-83.72398694444443,-0.006237785859007595,0.0,0.2607964409722222,-1.687898161197857e-07,9225,0.0,36864,0.0,3,0.0,-0.016026475694444018,0.0,1.9998067705760718,-0.130133126495843,0.8121668426011953,0.2755262586805556,0.7,-0.06172912816184301,-0.004477948753145399,-0.027501324124827302,0.0,0.0,0.0,-3.817777630716398e-08,0.0,-0.04131564040592132,0.0,0.0,-0.01380805191644825,-1.6262459178298783,-0.07492232771589867,0.0,2,1.0025479793548584,0.0005862712860107422,-42.60582332611084,119.63800048828125,0.009676176,0.058544921875,4,255.44182281494142,0.2,-0.028242792788660154,0.000299963136,,,,,
-0.00012098214557174266,0.0,0.0,0.6249149509057994,0.01,0.0,-0.12293686576240942,281.35,0.5051189590569972,0.0,0.007932924927876329,-0.24512966560230579,0.0,-1.4402688102322186e-05,0.0,0.32556353055959786,-0.8809722363291721,-0.05760525240434885,0.6786380887683687,0.0,-84.03572654999998,-0.0016684251879471252,0.0,0.2703450520833333,-1.5959835841218198e-07,8839,0.0,55296,0.0,6,0.0,-0.01548394097222182,0.0,1.9998114772828377,-0.11901290385232723,0.7948290796502708,0.2832845052083333,0.7,-0.061818482772536494,-0.004499919504959423,-0.0315311373022456,0.0,0.0,0.0,-3.652536347803676e-08,2.712667143593232e-05,-0.041255643801762026,0.0,0.0,-0.009158351501845068,-1.6080337716097068,-0.07674749412860442,0.0,3,1.0016992092132568,0.20162594318389893,-42.59134922027588,107.95292663574219,0.003560861,0.00751953125,8,262.95010604858396,0.2,-0.012471200045547448,0.000299926272,,,,,
0.0,0.0,0.0,0.6052062159938372,0.01,0.0,-0.12823445587571705,296.6,0.5052007835290051,0.0,0.010373466143073782,-0.24748125989196407,0.0,-1.4106842754353867e-05,0.0,0.28309501586878233,-0.897135220776044,-0.05224671891411517,0.7096396184635662,0.0,-77.54465798,-0.00927570735641186,0.0,0.2635633680555556,-1.5969503177204314e-07,8441,0.0,73728,0.0,8,0.0,-0.01599392361111068,0.0,1.999820788110092,-0.15310954767264542,0.7339053579921552,0.28108723958333337,0.7,-0.06190615267807114,-0.0039022958336908517,-0.02625079400353254,0.0,0.0,0.0,-3.6702233539004405e-08,8.680527874579033e-06,-0.04129232895900469,0.0,0.0,-0.009434264013795258,-1.6080591788343082,-0.07267371288334618,0.0,4,1.0013833045959473,0.4058994650840759,-42.58712368011474,135.51039123535156,0.0028839414,0.00400390625,12,273.46029434204104,0.2,-0.01088073210848961,0.00029988940799999996,,,,,
0.0,0.0,0.0,0.5971748542244391,0.01,0.0,-0.13385699071470988,309.95,0.5050437807688029,0.0,0.010547225625629575,-0.24613251099352976,0.0,-1.4052341567393226e-05,0.0,0.323999689765756,-0.8851521208970852,-0.05460228589594721,0.6953794095134219,0.0,-75.14061059,-0.006326621705536834,0.0,0.28125,-1.5272153207813504e-07,8095,0.0,92160,0.0,11,0.0,-0.015147569444444065,0.0,1.9998167076490434,-0.12969238253120444,0.7457736062441989,0.28385416666666663,0.7,-0.06170816700943457,-0.004739439013419477,-0.030022976421326675,0.0,0.0,0.0,-3.7064699715387505e-08,5.3168264760946236e-05,-0.04102173063000074,0.0,0.0,-0.007908126240471935,-1.6020139441019083,-0.07481939459428345,0.0,5,1.0015463829040527,0.5296766757965088,-42.58851318359375,111.78517150878906,0.0032126694,0.005810546875,16,230.03340225219728,0.2,-0.012103493433096446,0.000299852544,,,,,
0.0,0.0,0.0,0.6323053972363292,0.00999705088,0.0,-0.1358802918565668,285.32,0.5051743212405524,0.0,0.007385742632375127,-0.24692056102703733,0.0,-1.4165515582629498e-05,0.0,0.3836648247886431,-0.8877804296709519,-0.05300897348080519,0.9092795883094215,0.0,-80.88862052000002,-0.004117702557575992,0.0,0.2644314236111111,-1.5601004804697814e-07,7777,0.0,110592,0.0,14,0.0,-0.01708984374999951,0.0,1.999810603683412,-0.12480925879493812,0.7118833768115628,0.2842881944444444,0.7,-0.06187234699865669,-0.00477193317314787,-0.03007942878251614,0.0,0.0,0.0,-3.7627233467259864e-08,3.689229682398339e-05,-0.0411155037293311,0.0,0.0,-0.008559651318280962,-1.6139158311501631,-0.07476489224265398,0.0,6,1.0016357898712158,0.5901143550872803,-42.59177417755127,143.94137573242188,0.002719516,0.00350341796875,20,272.99835739135744,0.2,-0.010353128821589053,0.00029981568,,,,,
0.0,0.0,0.0,0.5643628618509364,0.00999410176,0.0,-0.15031815836504536,310.83,0.5050987271036336,0.0,0.00833698741814829,-0.24818013664131977,0.0,-1.3908053209321748e-05,0.0,0.32968953501253107,-0.9085446226876938,-0.04779299618009186,0.8905934647618048,0.0,-82.97596517,-0.007934689546042742,0.0,0.2590603298611111,-1.5884865924569337e-07,7551,0.0,129024,0.0,17,0.0,-0.016655815972221755,0.0,1.9998152457026661,-0.1273183715002321,0.6923579546470542,0.2719184027777778,0.7,-0.06189724118848808,-0.004798354778328538,-0.030121940597688843,0.0,0.0,0.0,-3.640296066923903e-08,1.627573510631919e-06,-0.041228290795665735,0.0,0.0,-0.0074131665920715885,-1.6013290195812433,-0.08011045847640613,0.0,7,1.0013583898544312,0.6568093299865723,-42.58812294006348,118.9426498413086,0.0025624004,0.0031005859375,24,246.86149139404296,0.2,-0.010853106272406876,0.000299778816,,,,,
0.0,0.0,0.0,0.5617533521739868,0.00999115264,0.0,-0.1674873098542254,293.19,0.5045966834829865,0.0,0.008247286350745094,-0.24725031907336215,0.0,-1.3616670050442273e-05,0.0,0.34333737703965234,-0.8477385726295128,-0.05157646987621955,0.7724164817102978,0.0,-73.54518454,-0.004081758605833683,0.0,0.2877604166666667,-1.5286722144974945e-07,7327,0.0,147456,0.0,20,0.0,-0.01643880208333288,0.0,1.9998236995243666,-0.11723484131733129,0.7191445055789047,0.2983940972222222,0.7,-0.06185800677097854,-0.004451992195743746,-0.03039719531332591,0.0,0.0,0.0,-3.688487920989237e-08,5.913617981908222e-05,-0.04084464919704987,0.0,0.0,-0.009718633606450623,-1.595916205277489,-0.08178999209484898,0.0,8,1.0012258291244507,0.6698408126831055,-42.58467674255371,125.00638580322266,0.00330227,0.006298828125,28,262.60744857788086,0.2,-0.012393116450402886,0.000299741952,,,,,
0.0,0.0,0.0,0.5653877071214733,0.00998820352,0.0,-0.13514018494819371,283.64,0.5045775063074434,0.0,0.010257654723518198,-0.24666185225687418,0.0,-1.3515006986785606e-05,0.0,0.32392378004750116,-0.8738447992969339,-0.05381512198784541,0.895688199428854,0.0,-80.97677997,-0.0019228731349964316,0.0,0.244140625,-1.5278359940785235e-07,7184,0.0,165888,0.0,23,0.0,-0.015852864583332904,0.0,1.9998169444861824,-0.13021747138346643,0.6930569486172966,0.2794325086805556,0.7,-0.06199905858445445,-0.005110340793779986,-0.03144606159496388,0.0,0.0,0.0,-3.585128209131165e-08,7.269951553704838e-05,-0.041151841190177604,0.0,0.0,-0.00809110691902985,-1.6124324877843585,-0.07990743486398699,0.0,9,1.0013883113861084,0.7031598091125488,-42.58762454986572,124.781005859375,0.003528706,0.0072998046875,32,239.91649703979493,0.2,-0.013477215392049402,0.00029970508799999996,,,,,
0.0,0.0,0.0,0.6625989668072584,0.0099852544,0.0,-0.07581498646927762,270.12,0.5051614924963905,0.0,0.00904544412896231,-0.24823685409822616,0.0,-1.4467624008719719e-05,0.0,0.40963876233423424,-0.8945630970253897,-0.05258725383680512,0.778087312337565,0.0,-77.57314161000001,-0.0018214202120563844,0.0,0.2561848958333333,-1.6495299405059993e-07,7060,0.0,184320,0.0,26,0.0,-0.015820312499999576,0.0,1.9998127940698676,-0.11252045125866708,0.6865909157985706,0.2810329861111111,0.7,-0.06199025342364901,-0.004463824284930814,-0.029439309067509307,0.0,0.0,0.0,-3.7667259522277804e-08,4.557282469856242e-05,-0.041034874491615955,0.0,0.0,-0.010979644099210357,-1.6161410268575591,-0.08234992214777676,0.0,10,1.0013606548309326,0.7257258892059326,-42.58532848358154,119.59882354736328,0.003358113,0.0057861328125,36,263.4483818054199,0.2,-0.012486502467072568,0.000299668224,,,,,
