reward_terms/progress,reward_terms/track_vx,reward_terms/heading_pen,reward_terms/vz,reward_terms/stance,reward_terms/yaw_rate,time/total_timesteps,curriculum/cmd_vx_frac,reward_terms/track_heading,reward_terms/hip_roll,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/track_pos,reward_terms/pos_pen,reward_terms/upright,reward_terms/height,reward_terms/lat_vel,reward_terms/action_rate,time/fps,reward_terms/foot_slip,reward_terms/ang_xy,time/time_elapsed,reward_terms/alive,rollout/ep_rew_mean,reward_terms/air_time,reward_terms/clearance,time/iterations,reward_terms/track_yaw,reward_terms/torque,reward_terms/stance_time,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/std,train/loss,train/learning_rate
0.2933645562522025,0.34061372579627025,-0.07508850841466962,-0.17870479179831866,-0.08739413968910292,-1.1471632184912848,6144,0.3,1.3264198322653498,-0.11444023424887502,0.01,19.72,1.9145470325150657,-0.03467998458333601,-0.6974383491787184,-0.010582310802502866,-0.050569727730337126,-0.6042793917743742,659,-1.1668102582349156,-1.0938350017767726,9,0.5,-121.16130623000001,0.0,0.07897429151030363,1,0.15501352160938628,-0.6089805974779242,0.0,,,,,,,,,,,
0.2950712251675446,0.3388711521296959,-0.08657969138441834,-0.18939900709898183,-0.08761779158269355,-1.1977635990606548,12288,0.3004608,1.3022318039073053,-0.10953190591778277,0.01,21.2,1.9103306232822483,-0.03504657744823254,-0.727492642339019,-0.013305273703211754,-0.06051343305837214,-0.6052068757715764,652,-1.1907212407852812,-1.082955762992969,18,0.5,-133.05209406,1.3020811214422187e-05,0.08055640406097526,2,0.14260467652595446,-0.6093671472167758,0.0,4,-8.513291001319885,0.002105712890625,0.0021279308,-0.005669922276865691,0.2,-0.004404425621032715,6047.847351074219,0.9999630451202393,3018.16015625,0.00029997439999999997
0.2872293802929458,0.34453754346017673,-0.07071376891455212,-0.17207075423744744,-0.07497742929891389,-1.1444546760276995,18432,0.3009216,1.3229550081981778,-0.10836900447002867,0.01,19.73,1.9121379497282582,-0.03454962691197707,-0.7037774239109575,-0.012279743176941688,-0.06578729554344359,-0.6013087729449277,648,-1.2099454687635351,-1.0732247476274597,28,0.5,-122.65413967,3.2551955276479325e-06,0.070014644858561,3,0.15535234013653293,-0.6178776571300488,-1.627573510631919e-06,8,-8.50913393497467,9.1552734375e-05,0.0012837037,-0.0030194538849173114,0.2,0.017308473587036133,6331.323547363281,0.9991116523742676,3151.885986328125,0.00029994879999999997
0.30407571241850234,0.34846905620626306,-0.07503326596975278,-0.1813478300367545,-0.09736893980958157,-1.1333974041939257,24576,0.3013824,1.3203097842649545,-0.11189467532532753,0.01,21.47,1.9081317890324607,-0.03585667277034008,-0.693176109542014,-0.01322402161155037,-0.06526861216118919,-0.6047132665295673,649,-1.2089514415478464,-1.0501895463434368,37,0.5,-124.65531449,0.0,0.07405941174643269,4,0.1549891889041253,-0.596810507925977,0.0,12,-8.5048269033432,0.000213623046875,0.0009987224,-0.0022133438906166703,0.2,0.03722125291824341,6092.160461425781,0.9981622695922852,3029.50341796875,0.00029992319999999997
0.28820288197670546,0.3300232530045663,-0.07439553587214147,-0.1732515771756801,-0.07328679966344935,-1.1337883811125964,30720,0.3018432,1.3281170314803152,-0.11236049102477082,0.01,21.52,1.8970278763311974,-0.03724804038429711,-0.6581708028759703,-0.012752586225197815,-0.06284814017750263,-0.6017560932095876,646,-1.1780932095163024,-1.052158726464347,47,0.5,-126.68076634,5.8593752328306437e-05,0.07677102916662161,5,0.1559301921149041,-0.6207709944535943,-5.0455419113859534e-05,16,-8.499894857406616,0.0,0.00074758887,-0.0019064547086600214,0.2,0.03208571672439575,5879.664978027344,0.9974109530448914,2910.663330078125,0.0002998976
0.2933159060318337,0.3327663669660823,-0.07974840947747062,-0.18372435741867385,-0.07363227583376243,-1.14129418957936,36864,0.30230399999999996,1.3212619981615674,-0.10544765336315472,0.01,23.66,1.9066369986716536,-0.03637425033476313,-0.6562841358572072,-0.013482595921354668,-0.06081424524163137,-0.6018940896146887,646,-1.2020582896680265,-1.0383412478075618,57,0.5,-127.35157943000002,0.0,0.07714256847559113,6,0.15359074492834726,-0.6081844437068676,0.0,20,-8.4956613779068,0.0001220703125,0.00083396933,-0.0022373534011421725,0.2,0.03218883275985718,5920.097229003906,0.9967086911201477,2948.732177734375,0.000299872
0.29693465882177855,0.315324317924955,-0.0753979793173143,-0.18176738860137265,-0.08590549148667183,-1.1468711143581627,43008,0.3027648,1.3159232012905753,-0.11285264419147499,0.01,23.24,1.8977285281737382,-0.03835312798397308,-0.6482604271971856,-0.014473129534779259,-0.0783816416714497,-0.605344145785466,646,-1.2145521707982159,-1.0516495644563386,66,0.5,-132.54973958,6.510391055295865e-06,0.074264632947898,7,0.15255678734405576,-0.6022930516230048,0.0,24,-8.490719199180603,3.0517578125e-05,0.00082335074,-0.002028246359259356,0.2,0.016002357006072998,5743.741760253906,0.995688259601593,2824.49365234375,0.00029984639999999996
0.28401740268885284,0.3271363667948181,-0.07980220811571877,-0.17320704176306553,-0.06254902762241857,-1.1457173498616235,49152,0.3032256,1.3156951020289351,-0.12029251808352927,0.01,21.24,1.8999296193759332,-0.03741355346234556,-0.6455289275980997,-0.014457467303092802,-0.07468499266076795,-0.6028866056667539,647,-1.222311879095375,-1.0451694789394355,75,0.5,-129.04201244,0.0,0.07453314529407026,8,0.15339862547268937,-0.6099943904780021,0.0,28,-8.485334515571594,0.0,0.0007176384,-0.0015385687293019146,0.2,0.000929415225982666,5825.511047363281,0.9948403239250183,2909.962158203125,0.00029982079999999996
0.2898386030430777,0.3245809016253189,-0.06451316225119023,-0.1744848933594725,-0.06943620412479388,-1.1586636177161502,55296,0.30368639999999997,1.333972254323862,-0.1219072920569515,0.01,20.57,1.8941667631269814,-0.03870777415119264,-0.6523916556975807,-0.013862418737252467,-0.06071197453121468,-0.5922150181325682,647,-1.1821088016522416,-1.0593203795677815,85,0.5,-121.51298294999998,4.2317716482405863e-05,0.07705663452246055,9,0.149966619141614,-0.5987431573483949,0.0,32,-8.480193495750427,6.103515625e-05,0.0006383776,-0.001671836682362482,0.2,-0.007467865943908691,5796.18896484375,0.9939467906951904,2912.572021484375,0.00029979519999999996
0.2679461064207991,0.33184537876239656,-0.07094639451802127,-0.17866385519606012,-0.06424853929948106,-1.142176487507827,61440,0.3041472,1.334595405691999,-0.11606195317448714,0.01,21.09,1.8898711596544844,-0.03855280313193552,-0.6499537843908169,-0.014227272778613314,-0.07528028442061167,-0.603336363528039,646,-1.185104008907375,-1.0269836198783173,95,0.5,-126.21447293,1.6276035845900576e-05,0.07289523079190512,10,0.1523456480994802,-0.6030725141933989,0.0,36,-8.474280834197998,0.0,0.0004674154,-0.0015580812760163099,0.2,-0.03801167011260986,5733.4322509765625,0.9929388165473938,2918.14794921875,0.00029976959999999996
0.3017025301034321,0.3173363517105973,-0.07461478840017759,-0.17770065369863097,-0.08067846487615186,-1.1406391315927664,67584,0.304608,1.3198264798066788,-0.11543321214358382,0.01,23.45,1.9026235522981754,-0.03780509487441628,-0.6334894065915759,-0.014540452521560146,-0.06834494823280926,-0.6022808379536096,646,-1.2103252275599103,-1.0316292526728257,104,0.5,-129.04386416,3.2551955276479325e-06,0.07691425318092147,11,0.1542776982940476,-0.6023899508209478,0.0,40,-8.46834671497345,0.0,0.00041008153,-0.0012686563859460875,0.2,-0.05253410339355469,5803.283142089844,0.9922372698783875,2922.03173828125,0.000299744
