curriculum/stance_ratio,reward_terms/motor_vel,time/iterations,reward_terms/time,reward_terms/action_rate,reward_terms/phase_contact,reward_terms/hip_roll,reward_terms/overrun,reward_terms/stop,curriculum/ent_coef,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/coef_rate,reward_terms/torque,reward_terms/vz,time/time_elapsed,reward_terms/angmom,rollout/ep_len_mean,reward_terms/stance_time,reward_terms/clearance,reward_terms/residual,time/total_timesteps,reward_terms/upright,reward_terms/fwd_speed,reward_terms/stance,time/fps,reward_terms/air_time,reward_terms/foot_slip,reward_terms/lat_vel,reward_terms/height,reward_terms/energy,reward_terms/alive,reward_terms/ang_xy,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_range,train/value_loss
0.65,0.0,1,0.0,-0.1686571801473594,-0.5940632745684691,-0.00571197159108575,0.0,0.0,0.01,-172.45323976,0.0,-1.5653695458051198,0.0,-0.235459207187522,7,-0.11315259969385402,74.6,-0.12880411197127412,0.037483659416208175,-0.30456100035257117,18432,-0.22852386492255083,-0.8390318596029844,-0.0013062307142994104,2393,0.0,-0.29403980272837615,-4.942628415648592e-09,-0.05495725016805408,0.0,0.5,-0.4730849332821042,,,,,,,,,,,
0.64997696,-4.970719293958706e-07,2,0.0,-0.1685545411823213,-0.5902134525267629,-0.0062627976290004555,0.0,0.0,0.01,-169.64379245999996,7.3728e-05,-1.558592030780117,-1.8621503849332787e-05,-0.25039834112055237,15,-0.11798041387665283,71.69,-0.12544962266272502,0.040301877843719934,-0.3052757636069172,36864,-0.2416340942200184,-0.8048934555051621,-0.0003766184538100881,2338,0.0,-0.28718974097593053,-5.336298369828717e-09,-0.057766634532301527,-1.974612792043519e-06,0.5,-0.4722631730845303,0.05185546875,834.978271484375,0.0002999852544,-34.084261894226074,-0.021936755033675582,-0.009177088737487793,1.0026402473449707,0.008500148,4,0.2,1678.2866149902343
0.6499539200000001,-9.998736838915838e-07,3,0.0,-0.1671085242542106,-0.5941597586322838,-0.00580920001865134,0.0,0.0,0.01,-170.30844125000004,0.000147456,-1.5568041564309765,-3.721910592925113e-05,-0.23886978226188432,21,-0.1094950867561791,72.41,-0.12583536312417387,0.03904874469915539,-0.30628145366920856,55296,-0.23228659941430735,-0.7959671781002178,-0.00021553113908665854,2531,3.2552052289247513e-06,-0.27985434214985294,-4.974866554447253e-09,-0.05438758387259072,-3.950119765924628e-06,0.5,-0.4791293604275204,0.0159423828125,863.4249877929688,0.0002999705088,-34.07884616851807,-0.012707027024589479,0.13345974683761597,1.0021190643310547,0.0051711584,8,0.2,1711.5262084960937
0.64993088,-1.4802372398802285e-06,4,0.0,-0.16698313391972164,-0.5895908719170826,-0.006688540344401376,0.0,0.0,0.01,-171.28355062999998,0.000221184,-1.5555234086393623,-5.585926238895855e-05,-0.24211383567456707,27,-0.11229179224885451,73.54,-0.12355454798833104,0.04042869323591722,-0.30649349267112935,73728,-0.2364461860035797,-0.7949636588354843,-0.0011394570061945605,2637,0.0,-0.28351149806633213,-5.172321622773415e-09,-0.05620214388376859,-5.852559043031753e-06,0.5,-0.47260960107834254,0.01239013671875,853.6962280273438,0.00029995576319999997,-34.07279758453369,-0.011296934727579356,0.26782530546188354,1.001710057258606,0.0044630724,12,0.2,1707.926092529297
0.64990784,-2.0302751502667846e-06,5,0.0,-0.16950039076831033,-0.5962912991492931,-0.005929743621866906,0.0,0.0,0.01,-169.62498337,0.000294912,-1.5525247373015605,-7.480005212015065e-05,-0.23980735892626825,34,-0.10982928087604507,71.94,-0.12504814133636602,0.04060504274768838,-0.3036281641898249,92160,-0.24557710037206493,-0.8252120157017967,-0.001451689607087471,2708,0.0,-0.2674129074791523,-5.065531351843831e-09,-0.05569551089085109,-7.995812053211501e-06,0.5,-0.4767439184569088,0.00819091796875,808.3974609375,0.0002999410176,-34.06952953338623,-0.010810075886547565,0.3650636672973633,1.0014017820358276,0.0037149708,16,0.2,1666.3175354003906
0.6498848,-2.523311760870747e-06,6,0.0,-0.16841293803136198,-0.5915062854388092,-0.006120851470563305,0.0,0.0,0.01,-171.37281268000007,0.00036864,-1.5600594149032085,-9.106260027216622e-05,-0.24345154835483523,40,-0.12022681225419879,73.54,-0.12873195285081035,0.04039741138340253,-0.30522849945133534,110592,-0.2569827858286584,-0.786238599249071,-0.00047943930425864325,2758,0.0,-0.30164469589827425,-5.656148856213855e-09,-0.05720532170678334,-9.829461476492379e-06,0.5,-0.4732862583489817,0.00859375,802.0503540039062,0.000299926272,-34.06810111999512,-0.01037328045349568,0.4138321280479431,1.0013065338134766,0.003803252,20,0.2,1633.0860534667968
0.6498617600000001,-3.0594879156561803e-06,7,0.0,-0.16994554900490322,-0.5977713104194202,-0.005586193497924488,0.0,0.0,0.01,-172.2937827,0.000442368,-1.5549803627001193,-0.00011103599971811639,-0.23010186582806602,46,-0.10671082005596226,74.37,-0.13540675452936235,0.03847928258916614,-0.3053867910713252,129024,-0.2238356102618777,-0.7553170942443042,-0.00048261950498570364,2795,3.2552052289247513e-06,-0.29733148675171944,-5.086853526832726e-09,-0.05313676132476926,-1.1983957588761204e-05,0.5,-0.4741328945153108,0.0065185546875,810.2027587890625,0.0002999115264,-34.06472816467285,-0.010039197746664286,0.4595361351966858,1.000975489616394,0.0034105547,24,0.2,1625.9125671386719
0.64983872,-3.519888274965469e-06,8,0.0,-0.16658161226777254,-0.587175434353868,-0.0062359579220503695,0.0,0.0,0.01,-168.64544306,0.000516096,-1.5561683127922539,-0.00012858969330668818,-0.24202080528354386,52,-0.11347816824080417,70.92,-0.11409600238322229,0.041036376615599175,-0.306075987825566,147456,-0.25903004359634285,-0.6719504854750263,-0.0005033708093998576,2822,2.170130351765288e-06,-0.3264674450436237,-5.0492586912105e-09,-0.05645297299292783,-1.383819335201365e-05,0.5,-0.47394518971484,0.0060791015625,748.9635009765625,0.0002998967808,-34.068209648132324,-0.009673632215708494,0.4384649991989136,1.0014748573303223,0.0032882832,28,0.2,1554.7985595703126
0.64981568,-4.0321143102337094e-06,9,0.0,-0.16640212555075792,-0.5902066295650656,-0.006130248095377477,0.0,0.0,0.01,-169.35444083000002,0.000589824,-1.550242639673649,-0.00014886865113865864,-0.24236739934645518,58,-0.11203368673245756,71.63,-0.11553643640945666,0.03954317048905012,-0.30533576323276634,165888,-0.25112148838498316,-0.7325050223922855,-0.0005977947647578536,2846,1.085065175882644e-06,-0.30723197151262693,-5.2825064518597385e-09,-0.05677169324614067,-1.5902756563089346e-05,0.5,-0.47588552748956353,0.0018310546875,743.9925537109375,0.0002998820352,-34.07067642211914,-0.0075260789832100276,0.46504366397857666,1.0013850927352905,0.0022413637,32,0.2,1578.1027099609375
0.64979264,-4.507618720906069e-06,10,0.0,-0.16774348197149747,-0.5898638000055647,-0.0059741211881084565,0.0,0.0,0.01,-167.49641867000003,0.000663552,-1.553936891532404,-0.00016726607199766587,-0.24341476015003075,64,-0.10755320279382113,69.76,-0.10926148198066382,0.04290602126422058,-0.3064077530589725,184320,-0.2491527294362027,-0.7614217279301222,-0.0010359830227790734,2864,6.5104104578495026e-06,-0.2896538711970162,-5.711484931966406e-09,-0.05619581415022826,-1.7917612216940156e-05,0.5,-0.4732755556064094,0.00133056640625,701.698974609375,0.0002998672896,-34.068055152893066,-0.006841941620223224,0.4710507392883301,1.0012001991271973,0.0019563283,36,0.2,1516.3797302246094
