reward_terms/height,reward_terms/time,reward_terms/energy,reward_terms/fwd_speed,reward_terms/residual_rate,ankle/ankle_defl_peak,curriculum/ent_coef,reward_terms/track_yaw,curriculum/swing_frac_min,reward_terms/foot_ahead,curriculum/eff_scale,reward_terms/stance,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/stand,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,time/total_timesteps,curriculum/dr_scale,reward_terms/ang_xy,curriculum/stance_ratio,rollout/ep_rew_mean,reward_terms/foot_slip,reward_terms/step_rate,reward_terms/phase_contact,reward_terms/stop,reward_terms/stance_time,reward_terms/clearance,reward_terms/torque,reward_terms/residual,reward_terms/upright,reward_terms/coef_rate,curriculum/swing_frac_mean,curriculum/cmd_track_err,reward_terms/alive,reward_terms/hip_roll,time/fps,reward_terms/track_lin,reward_terms/assist_pen,reward_terms/vz,reward_terms/action_rate,reward_terms/motor_vel,time/iterations,time/time_elapsed,ankle/ankle_spring_trq_peak,reward_terms/stand_drift,reward_terms/overrun,reward_terms/angmom,rollout/ep_len_mean,curriculum/cmd_scale,reward_terms/lat_vel,curriculum/ctrl_drop_prob,est/vel_rmse,train/entropy_loss,train/std,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range,train/n_updates,train/value_loss,train/policy_gradient_loss,curriculum/stance_ratio_progress,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress
-0.0018120004906283654,0.0,0.0,0.0,0.0,0.5051996823105713,0.01,1.999986174470559,0.0773654513888889,0.0,0.0,-0.004457846136894308,0.0,0.0001226127076531864,0.7966442956358916,0.0,-0.001505084609910967,18432,0.0,-1.541322808289048e-06,0.7,-79.6070927878788,-0.5998818874084499,-0.003841145833333356,-0.13830404483674702,0.0,-0.017926658744626265,0.0039615751113264795,0.0,-0.06022110843070346,-6.917125774757516e-08,-1.5853744142347397,0.1513129340277778,0.702994381950276,0.0,-0.018369001568920146,8913,1.249844088546027,0.0,-0.011214613810439457,-0.23937913845372374,0.0,1,2,0.0,-0.004953906985939418,0.0,-0.02858470607674752,195.36363636363637,0.0,-2.72644117892544e-09,0.0,1.042289655674462,,,,,,,,,,,,,,,,
-0.003087798774320225,0.0,0.0,0.0,0.0,0.5037301939896373,0.01,1.9999899771140983,0.037163628472222224,0.0,0.0,-0.008801021503611194,0.0,3.2551858263711133e-06,0.7486739659565035,0.0,-0.0032526124817544317,36864,0.0,-1.3653271508782195e-06,0.7,-34.5068765875,-0.5334736973667263,-0.003504774305555575,-0.06265333247111099,0.0,-0.06896983144462057,0.000472697223269453,0.0,-0.06102660102383217,-6.578102354778592e-08,-1.618515225873981,0.0947265625,0.5624328888630673,0.0,-0.015030954821128154,9054,1.1342018651229386,0.0,-0.015952338507106843,-0.24363084620877087,0.0,2,4,0.0,-0.018705736581072937,0.0,-0.026811940750395002,253.8125,0.0,-2.742109272759025e-09,0.0,0.7163717896005651,-36.921220779418945,1.002319574356079,0.0510498046875,135.76116943359375,0.005603969097137451,0.000299963136,0.008331155,0.2,4,298.21827697753906,-0.022592249105218797,,,,,
-0.0030412822572888623,0.0,0.0,0.0,0.0,0.5051268243666863,0.01,1.9999911601448146,0.05224609375,0.0,0.0,-0.0018249305518054995,0.0,1.085058708364765e-06,0.90810002709131,0.0,0.0,55296,0.0,-1.310159482880888e-06,0.7,-12.300768000000003,-0.5606541994577817,-0.0041124131944444715,-0.021830934164584936,0.0,-0.020155164930555556,2.6910887330977206e-06,0.0,-0.06125083382877653,-5.875659364625115e-08,-1.5966296066966457,0.10611979166666667,0.4597626779494893,0.0,-0.014149616416358833,8817,1.3476691040940447,0.0,-0.01572013686610514,-0.24413210252648826,0.0,3,6,0.0,-0.02301073140462116,0.0,-0.025505892707827157,277.44,0.0,-2.6164975324410193e-09,0.0,0.6289160117582364,-36.90992374420166,1.001488447189331,0.01258544921875,149.87770080566406,0.22523534297943115,0.000299926272,0.00411522,0.2,8,319.3481918334961,-0.009246302011888474,,,,,
-0.003201990056826955,0.0,0.0,0.0,0.0,0.5043263922189011,0.01,1.999991768001653,0.047309027777777776,0.0,0.0,-0.0017354611139170546,0.0,0.0,0.7286948722352908,0.0,-0.0005674033939741813,73728,0.0,-1.2754561276849107e-06,0.7,1.3506781400000016,-0.5158243986643714,-0.003927951388888915,-0.002200911425083536,0.0,-0.0020616319444444445,0.0,0.0,-0.061183473675030804,-5.97465502636252e-08,-1.5883807911355088,0.1050075954861111,0.42603649628999796,0.0,-0.014513036892345054,8438,1.1290096843963975,0.0,-0.017091586291049673,-0.24453039790549763,0.0,4,8,0.0,-0.0393492922024761,0.0,-0.026460211695189657,303.76,0.0,-2.2374497061586325e-09,0.0,0.6017301003953912,-36.9082971572876,1.0013988018035889,0.00177001953125,125.62316131591797,0.42443251609802246,0.00029988940799999996,0.0020354823,0.2,12,302.93487014770506,-0.007194931479170918,,,,,
-0.003303727479131453,0.0,0.0,0.0,0.0,0.5052045970171338,0.01,1.9999921156272233,0.05908203125,0.0,0.0,-0.00247595794222574,0.0,0.0,0.7579089348171416,0.0,0.0,92160,0.0,-1.328447707533797e-06,0.7,0.9511385700000041,-0.47843679485586205,-0.00429687500000003,0.0,0.0,0.0,0.0,0.0,-0.0611690292484714,-5.71308202587618e-08,-1.6015632524761074,0.11273871527777778,0.5457801274582084,0.0,-0.011158495658741325,7937,1.1040457463772904,0.0,-0.019645328882564757,-0.2445880940070011,0.0,5,11,0.0,-0.046969436204596066,0.0,-0.02998511752146637,300.95,0.0,-2.233085787894909e-09,0.0,0.5689433136108359,-36.907888412475586,1.0012205839157104,0.00301513671875,143.3051300048828,0.5402924418449402,0.000299852544,0.0021435092,0.2,16,300.9747604370117,-0.007160840893629938,,,,,
-0.002877688704925648,0.0,0.0,0.0,0.0,0.5050932185166803,0.01,1.999991924048481,0.05447048611111111,0.0,0.0,-0.0008799454282652276,0.0,0.0,0.8793444406786529,0.0,0.0,110592,0.0,-1.2464211304612294e-06,0.7,-9.69562749,-0.536648691888305,-0.0037543402777777996,0.0,0.0,0.0,0.0,0.0,-0.06098288515429853,-5.665107455019391e-08,-1.5985330676799352,0.10009765625,0.48413857614621253,0.0,-0.012759403582118934,7568,1.243758316171113,0.0,-0.017629123583485763,-0.24615125396982623,0.0,6,14,0.0,-0.052432469698842236,0.0,-0.027531216594531966,286.25,0.0,-2.215117014061839e-09,0.0,0.5138361272990614,-36.904947662353514,1.001049280166626,0.00703125,154.0836181640625,0.6020622253417969,0.00029981568,0.0028337613,0.2,20,311.49694976806643,-0.007775219692848623,,,,,
-0.0034252877753159572,0.0,0.0,0.0,0.0,0.5051954688063784,0.01,1.9999919361083351,0.04904513888888889,0.0,0.0,-0.00040705459819885765,0.0,0.0,0.8018893041030414,0.0,0.0,129024,0.0,-1.3726900474022056e-06,0.7,15.2256253,-0.5083093868698816,-0.0038194444444444677,0.0,0.0,0.0,0.0,0.0,-0.060790992067658145,-5.4333980886758987e-08,-1.5949637952101599,0.09817165798611112,0.5387486559193336,0.0,-0.011334647991515354,7342,1.2058857314302882,0.0,-0.020112264187552593,-0.24506536600303436,0.0,7,17,0.0,-0.05817814440865246,0.0,-0.028936149340619048,333.52,0.0,-2.2158464981471937e-09,0.0,0.5199991571437901,-36.89941253662109,1.0006487369537354,0.00203857421875,141.56629943847656,0.6455633640289307,0.000299778816,0.0019957414,0.2,24,293.3620849609375,-0.007785526366205886,,,,,
-0.003489443787110224,0.0,0.0,0.0,0.0,0.5051801368860425,0.01,1.9999915973692621,0.053873697916666664,0.0,0.0,-0.0014149567351530732,0.0,0.0,0.7158416775152856,0.0,0.0,147456,0.0,-1.3487206326929058e-06,0.7,37.28236589,-0.5028898829488152,-0.004177517361111141,0.0,0.0,0.0,0.0,0.0,-0.06092815976058866,-5.24897791977452e-08,-1.589599069749028,0.1067165798611111,0.5246771929228541,0.0,-0.012909704182283864,7175,1.091743900425885,0.0,-0.019434238380329524,-0.24591818519492228,0.0,8,20,0.0,-0.06423824082293914,0.0,-0.03079107114646575,349.46,0.0,-2.290060313366387e-09,0.0,0.5316054052925573,-36.90107460021973,1.0009902715682983,0.00262451171875,142.9250946044922,0.6751120090484619,0.000299741952,0.0021768056,0.2,28,312.81622619628905,-0.00787918285932392,,,,,
-0.00322945662455595,0.0,0.0,0.0,0.0,0.5049987847697328,0.01,1.9999918885795336,0.04258897569444445,0.0,0.0,-0.0009561816244741483,0.0,0.0,0.7883432981414019,0.0,0.0,165888,0.0,-1.230409429399546e-06,0.7,19.61664865,-0.5218428716322104,-0.00413411458333336,0.0,0.0,0.0,0.0,0.0,-0.061330090872809793,-5.233196736247153e-08,-1.5958628642726662,0.10145399305555555,0.4848278886412241,0.0,-0.0113669224272279,7073,1.276949344770453,0.0,-0.019272978539177362,-0.24393308083708046,0.0,9,23,0.0,-0.022264009431903632,0.0,-0.029121088751479937,309.54,0.0,-2.0695919500836903e-09,0.0,0.5064691528405327,-36.90574493408203,1.001274585723877,0.00391845703125,124.09762573242188,0.7111944556236267,0.00029970508799999996,0.0025259615,0.2,32,295.7638656616211,-0.008517968142405153,,,,,
-0.003089738837945527,0.0,0.0,0.0,0.0,0.5044992522372691,0.01,1.9999918832319723,0.048773871527777776,0.0,0.0,-0.0004500091258767462,0.0,0.0,0.7045826641670172,0.0,0.0,184320,0.0,-1.4065893223152947e-06,0.7,-4.3264654899999995,-0.5041191680111204,-0.0038628472222222454,0.0,0.0,0.0,0.0,0.0,-0.060998024118339496,-5.2446197710532316e-08,-1.592677696278973,0.10820855034722221,0.41783920900733784,0.0,-0.012328223741311874,6976,1.1250030893033787,0.0,-0.017945659295245678,-0.2426870586582511,0.0,10,26,0.0,-0.027523953212968563,0.0,-0.028490906050285394,275.69,0.0,-2.3912442819358753e-09,0.0,0.4980802038672141,-36.908545875549315,1.0013879537582397,0.005712890625,133.08164978027344,0.735065221786499,0.000299668224,0.0029777612,0.2,36,285.96136474609375,-0.009084265865385532,,,,,
