reward_terms/air_time,reward_terms/motor_vel,time/fps,reward_terms/upright,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/stance,time/iterations,time/total_timesteps,reward_terms/phase_contact,curriculum/stance_ratio,reward_terms/height,reward_terms/stop,reward_terms/time,curriculum/ent_coef,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/alive,reward_terms/vz,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/clearance,reward_terms/ang_xy,time/time_elapsed,reward_terms/fwd_speed,reward_terms/residual,reward_terms/angmom,curriculum/eff_scale,reward_terms/overrun,reward_terms/energy,rollout/ep_rew_mean,reward_terms/torque,reward_terms/coef_rate,train/clip_range,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/std,train/policy_gradient_loss
0.0001605902378085173,0.0,2979,-0.8056076542941194,58.25,-3.827067177298171e-09,-0.05327749744832521,1,18432,-0.531333872061317,0.65,-0.024855233596878756,0.0,0.0,0.01,-0.06758758852596389,-0.5689365510065629,0.5,-0.12993688441727413,-0.02992935775103784,-0.039204592032345116,0.018410267255226972,-0.45925991802129357,6,-0.7738715026531346,-0.5334332442231022,-0.15859186942434186,0.0,0.0,0.0,-156.49783598,0.0,-0.6118267135154744,,,,,,,,,,,
0.000110677006887272,-5.976570459950386e-07,2869,-0.6453726187053722,51.74,-4.684413466912999e-09,-0.0522097145175827,2,36864,-0.4904185636596613,0.64997696,-0.02771495171544313,0.0,0.0,0.01,-0.08349351937752844,-0.7031813047105854,0.5,-0.11475455108140571,-0.03528820018154716,-0.04746576357057267,0.03001928355982368,-0.6000327456555518,12,-0.5864141007637217,-0.5273383949784619,-0.22936374353170294,7.3728e-05,0.0,-2.327224713888007e-06,-149.78381664999998,-2.501437765338626e-05,-0.753920079630448,0.2,0.0003,33433,3524.849658203125,-34.06503067016602,0.009572703,528.0216064453125,0.1057861328125,-2.94401478767395,1.000693678855896,0.0014428272610530258
8.897561605812775e-05,-1.1771528996027578e-06,2902,-0.4840648030843851,39.48,-4.280276332951035e-09,-0.04001232961766879,3,55296,-0.4640857914893025,0.6499539200000001,-0.023052990417738315,0.0,0.0,0.01,-0.0936787256696489,-0.6904990524923069,0.5,-0.09225217598795922,-0.03509647376372375,-0.04524245782684173,0.03965601326096816,-0.5806483335834232,19,-0.34956102052726834,-0.5236665741536979,-0.23157861673178795,0.000147456,0.0,-4.8233557445262334e-06,-137.92752321,-5.028575162514163e-05,-0.8566547059904293,0.2,0.0003,33437,1621.9056365966796,-34.05642261505127,0.0050466284,322.2633056640625,0.02081298828125,-1.2588627338409424,1.0001581907272339,-0.004572544374968857
9.440096134009461e-05,-1.727629514946157e-06,2918,-0.45731402662398524,37.65,-4.723508641931688e-09,-0.03416329143754301,4,73728,-0.4505420054255144,0.64993088,-0.022270853826186144,0.0,0.0,0.01,-0.09845499266256064,-0.6679592847430547,0.5,-0.08696285737861403,-0.03543292901908931,-0.03293507445616544,0.04549781869628158,-0.5925304846494436,25,-0.2641513795964433,-0.5193980451727144,-0.2392612367163978,0.000221184,0.0,-7.191069958976844e-06,-136.10753667,-7.491344510276106e-05,-0.9116807244460863,0.2,0.0003,33441,737.5057952880859,-34.056387710571286,0.006064974,143.55775451660156,0.02186279296875,-1.0397729873657227,1.0002236366271973,-0.006168789754156023
0.00012586797755728994,-2.251152196367064e-06,2931,-0.43576997520317434,38.38,-4.650861572764967e-09,-0.024300541876014933,5,92160,-0.4466747250837245,0.64990784,-0.021779856111054846,0.0,0.0,0.01,-0.09977820667211101,-0.6640410841410183,0.5,-0.08369251247038012,-0.034002019350591606,-0.031494101483581796,0.04732457328678026,-0.5978485998282616,31,-0.21418701183051075,-0.5172995017386984,-0.24004448876349382,0.000294912,0.0,-9.407781773856439e-06,-136.73392005000002,-0.00010059514322602428,-0.92537117978903,0.2,0.0003,33445,283.7577621459961,-34.058916091918945,0.01011621,57.51087951660156,0.08099365234375,-1.2378756999969482,1.000426173210144,-0.01221532558556646
0.00013020828353344567,-2.764185660890212e-06,2940,-0.42841876017528707,37.22,-3.9361213183060896e-09,-0.02516581806782395,6,110592,-0.4561051018894161,0.6498848,-0.02197703188701018,0.0,0.0,0.01,-0.10084851293449078,-0.6662841741243517,0.5,-0.07721544533524811,-0.030750707932233143,-0.034697767036656536,0.04041509248878772,-0.5935036871314,37,-0.27621249667010905,-0.5166689450561873,-0.2372872648488699,0.00036864,0.0,-1.1844443557277046e-05,-135.67322298000002,-0.00013009306468857897,-0.9338631397811046,0.2,0.0003,33449,117.46504249572754,-34.061654281616214,0.015409055,21.4693660736084,0.12899169921875,-2.566681146621704,1.0007641315460205,-0.014965859719086438
5.5338479190443955e-05,-3.3390205251523774e-06,2949,-0.3984596792183993,35.51,-3.857764222651863e-09,-0.014784924509648427,7,129024,-0.45370037801089746,0.6498617600000001,-0.019891056755524675,0.0,0.0,0.01,-0.10229822286784794,-0.6615885636060419,0.5,-0.0751183528702816,-0.025315056814485377,-0.02826548123428236,0.04153934971160507,-0.5920400242474863,43,-0.2226297493241861,-0.5132232957807047,-0.22937153013203038,0.000442368,0.0,-1.4255440114934417e-05,-134.45140469,-0.00015454945371782414,-0.9351342045836495,0.2,0.0003,33453,61.84215145111084,-34.067580986022946,0.023962405,9.154733657836914,0.22056884765625,-3.1985230445861816,1.0014156103134155,-0.015332031063735485
4.231763887219131e-05,-4.143808674441837e-06,2957,-0.37366429730087053,32.4,-4.1790256755908634e-09,-0.010988579805318074,8,147456,-0.44692210083263034,0.64983872,-0.018473632698801843,0.0,0.0,0.01,-0.10736910034609345,-0.6731210327312023,0.5,-0.0770368679841043,-0.023184052795481087,-0.025872365508500177,0.04123258841032355,-0.5907523650454721,49,-0.19819516632588288,-0.5124425280344975,-0.23310187636450624,0.000516096,0.0,-1.747627777506543e-05,-131.29512183999998,-0.00018700297234026353,-0.9439646908697742,0.2,0.0003,33454,33.43270826339722,-34.05866718292236,0.022990253,12.569592475891113,0.25848388671875,-3.282717227935791,1.000340223312378,0.013173311483114958
9.982633572589193e-05,-4.885971236672273e-06,2962,-0.37852389680461723,34.34,-3.788494426401869e-09,-0.01334804903424353,9,165888,-0.4434200831939785,0.64981568,-0.018482011580945548,0.0,0.0,0.01,-0.10715081213183321,-0.6831044221097804,0.5,-0.07953794561575916,-0.023429612138390038,-0.028580152536354337,0.04080953120948927,-0.5903926706878048,55,-0.21402970998096527,-0.5122128297445512,-0.2340214742554603,0.000589824,0.0,-2.02674033563186e-05,-133.14151298,-0.00021693120866161247,-0.9327374856157896,0.2,0.0003,33457,19.847605432782853,-34.07111631120954,0.039354995,4.899194717407227,0.25777762276785715,-3.00504732131958,1.0015408992767334,-0.009031643342625881
9.548602651597725e-05,-5.955140307450983e-06,2965,-0.3184315165444047,28.25,-3.828079850315124e-09,-0.005835943642834188,10,184320,-0.4348240710285206,0.64979264,-0.016248695912198727,0.0,0.0,0.01,-0.11201242512395305,-0.6804353098435173,0.5,-0.07679836166394309,-0.018409480093354864,-0.021093724072367575,0.043165979133792,-0.5840966867963717,62,-0.1365586675519423,-0.5107375987739597,-0.22474405950380621,0.000663552,0.0,-2.472559651360303e-05,-127.17107456,-0.0002598422542725793,-0.9344518340060356,0.2,0.0003,33460,12.797963705929844,-34.07259889082475,0.059239514,3.6371216773986816,0.3467018821022727,-3.464707851409912,1.0015711784362793,0.0008391574956476688
