reward_terms/air_time,curriculum/eff_scale,reward_terms/ang_xy,curriculum/swing_frac_mean,reward_terms/foot_ahead,reward_terms/residual,time/fps,reward_terms/track_yaw,reward_terms/alive,reward_terms/step_rate,reward_terms/foot_slip,ankle/ankle_spring_trq_peak,reward_terms/torque,reward_terms/residual_rate,reward_terms/stand,time/iterations,reward_terms/vz,ankle/ankle_defl_peak,time/total_timesteps,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/coef_rate,time/time_elapsed,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/action_rate,reward_terms/upright,curriculum/swing_frac_min,reward_terms/track_lin,reward_terms/phase_contact,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/stop,curriculum/dr_scale,curriculum/ctrl_jitter_ms,reward_terms/overrun,curriculum/stance_ratio,reward_terms/hip_roll,est/vel_rmse,curriculum/ent_coef,reward_terms/time,curriculum/cmd_track_err,reward_terms/stance,reward_terms/clearance,reward_terms/duty_sym,reward_terms/energy,curriculum/ctrl_drop_prob,reward_terms/height,reward_terms/stand_drift,reward_terms/assist_pen,reward_terms/stance_time,curriculum/cmd_scale,ankle/ankle_spring_energy_peak,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,curriculum/dr_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress
0.0002148434901351316,0.0,-1.3736914111783635e-06,0.1755099826388889,0.0,-0.060244329698727714,8733,1.9999860568609205,0.0,-0.004025607638888917,-0.5197778907743476,0.0,0.0,0.0,0.788085310081701,1,-0.012910741937634996,0.505200774287896,18432,0.0,0.0,-1.5788660950732871,2,-0.03327493797607292,-74.05525995,-0.2396809740442239,-6.858483521598605e-08,0.11241319444444445,1.2411732976590422,-0.13406775117159694,198.45,-2.6324358736489287e-09,0.0,0.0,0.0,0.0,0.7,-0.017661411309968258,1.003290603610728,0.01,0.0,0.6986239557377234,-0.01254474653680477,0.00848201664854377,-0.012921877630028729,0.0,0.0,-0.003006751525541805,-0.008233360087501885,0.0,-0.01253984236649962,0.0,0.0,,,,,,,,,,,,,,,,
4.882812370649642e-05,0.0,-1.3205752712077095e-06,0.11699761284722221,0.0,-0.06106183401406267,8853,1.9999910088824764,0.0,-0.0037977430555555794,-0.45908079916515454,0.0,0.0,0.0,0.6413201462169933,2,-0.019164720393381997,0.5052028622647542,36864,0.0,0.0,-1.6069685126833795,4,-0.032814545050132135,-42.90383191208791,-0.24351180159052055,-6.103005612009927e-08,0.09407552083333333,0.9677293032974765,-0.05600136034510166,227.23076923076923,-2.317819486049196e-09,0.0,0.0,0.0,0.0,0.7,-0.013251536636694868,0.6639743746457641,0.01,0.0,0.5893606267108011,-0.0011632891581328535,0.0005859368446383844,-0.020254540976351605,0.0,0.0,-0.0043481693317408525,-0.02187911196083119,0.0,-0.06065697983851553,0.0,0.0,0.0002727508544921875,1.002091646194458,4,0.008359504,0.2,325.65468444824216,148.8719940185547,-36.91866874694824,-0.02388855369645171,0.000299963136,0.05594482421875,,,,,
0.0,0.0,-1.3482041676136299e-06,0.12562391493055555,0.0,-0.06089233435042169,8926,1.9999912551053758,0.0,-0.004079861111111135,-0.4631380584641873,0.0,0.0,0.0,0.7850358432161106,3,-0.019605693592132326,0.5050664413464392,55296,0.0,0.0,-1.60012078077942,6,-0.03385607679251974,-35.72693337,-0.24405386488431732,-6.404883582435163e-08,0.08588324652777778,1.1896583898099096,-0.020524404995372274,233.34,-2.3751244794477544e-09,0.0,0.0,0.0,0.0,0.7,-0.014745526211388336,0.6135754456690716,0.01,0.0,0.5291120406768288,-0.010500599670154216,0.0,0.0,0.0,0.0,-0.004830311339505095,-0.028451744618290833,0.0,-0.029283444500631757,0.0,0.0,0.256286084651947,1.0011935234069824,8,0.0034030988,0.2,297.16713943481443,134.33294677734375,-36.90439643859863,-0.008833667647559195,0.000299926272,0.00830078125,,,,,
0.0,0.0,-1.4343889093544813e-06,0.13224283854166669,0.0,-0.06085861939527873,8603,1.9999910743175218,0.0,-0.004069010416666694,-0.4544984777323925,0.0,0.0,0.0,0.6238875445872334,4,-0.020166158073922254,0.5052159651772703,73728,0.0,0.0,-1.5833984425944314,8,-0.03586912228148232,-5.64066645,-0.24429286428799576,-6.189230033421199e-08,0.10791015625,0.9806016868426141,0.0,284.74,-2.8074037999081958e-09,0.0,0.0,0.0,0.0,0.7,-0.013225626981648175,0.6103994854233074,0.01,0.0,0.4617732454051767,-0.0019385481316192173,0.0,-6.39513811404821e-06,0.0,0.0,-0.00510514631113991,-0.04049428246153605,0.0,0.0,0.0,0.0,0.4406428337097168,1.0009243488311768,12,0.0023956338,0.2,328.12713317871095,149.17784118652344,-36.9013916015625,-0.007041862505138852,0.00029988940799999996,0.0036376953125,,,,,
0.0,0.0,-1.3610012671403602e-06,0.12841796875,0.0,-0.060849789473062285,8141,1.9999905773694233,0.0,-0.003927951388888912,-0.4186509332189019,0.0,0.0,0.0,0.6308865697878164,5,-0.023811568675036598,0.5049011921571926,92160,0.0,0.0,-1.5998870604683593,11,-0.03658177100470394,-17.6622606,-0.24231045389593497,-6.17798002981046e-08,0.0901150173611111,0.9821197341852087,0.0,271.21,-2.3555914857907595e-09,0.0,0.0,0.0,0.0,0.7,-0.012851600151805646,0.5717162792718529,0.01,0.0,0.5281168156067945,-0.0004369725142577261,0.0,-0.0005829890366475733,0.0,0.0,-0.0060098570731119995,-0.05082313336598403,0.0,0.0,0.0,0.0,0.5486835241317749,1.0007590055465698,16,0.0027394644,0.2,314.84166259765624,146.5117950439453,-36.90053482055664,-0.0077390728169120845,0.000299852544,0.0056884765625,,,,,
0.0,0.0,-1.3835590186700911e-06,0.126708984375,0.0,-0.06070402307442857,7794,1.9999912637208292,0.0,-0.003982204861111134,-0.4512445912019393,0.0,0.0,0.0,0.6561057433723737,6,-0.021571756270766095,0.5050440758427014,110592,0.0,0.0,-1.5946344346041148,14,-0.035873218879727733,-33.96871612,-0.24286841468489723,-5.5910609109059245e-08,0.10020616319444445,1.023855473740716,0.0,238.6,-2.547757942335233e-09,0.0,0.0,0.0,0.0,0.7,-0.011802171296703363,0.557687117004776,0.01,0.0,0.6003993106294573,-0.0009498076252165209,0.0,0.0,0.0,0.0,-0.0052999577001861566,-0.05103693161551833,0.0,0.0,0.0,0.0,0.6122499704360962,1.0011088848114014,20,0.0029924097,0.2,311.9332992553711,156.1533966064453,-36.90419330596924,-0.00840028075617738,0.00029981568,0.00662841796875,,,,,
0.0,0.0,-1.3810831935872722e-06,0.12250434027777778,0.0,-0.06083790725684197,7537,1.9999911466005256,0.0,-0.0037434895833333534,-0.4351339573086481,0.0,0.0,0.0,0.6822489048278895,7,-0.023519139284005616,0.505010020772508,129024,0.0,0.0,-1.5956559461766018,17,-0.0371931769041889,-22.56759211,-0.24171949385388883,-5.9187694274283193e-08,0.1103515625,1.0255435083793656,0.0,248.67,-2.381677381268741e-09,0.0,0.0,0.0,0.0,0.7,-0.010457196758511391,0.5460114609437688,0.01,0.0,0.5731573171686621,-0.0020642428283081187,0.0,0.0,0.0,0.0,-0.005877141434777532,-0.060898653015022876,0.0,0.0,0.0,0.0,0.65619957447052,1.001237392425537,24,0.0022523073,0.2,308.5910400390625,165.8129119873047,-36.906907081604004,-0.007639077550265938,0.000299778816,0.00272216796875,,,,,
0.0,0.0,-1.4056750517232208e-06,0.10660807291666666,0.0,-0.060810015408750355,7359,1.9999916144701924,0.0,-0.003569878472222241,-0.5079977212972197,0.0,0.0,0.0,0.8151538554304207,8,-0.020913699323700616,0.5051029525687898,147456,0.0,0.0,-1.5904311971666885,20,-0.035387435311463926,-36.7936133,-0.24434584849562369,-5.5975774885200634e-08,0.09185112847222222,1.1478636061853293,0.0,244.93,-2.449026105957593e-09,0.0,0.0,0.0,0.0,0.7,-0.011415162629470869,0.5255152614765669,0.01,0.0,0.6342220188587625,-0.000911667129241588,0.0,0.0,0.0,0.0,-0.005083241439117185,-0.07182064310674692,0.0,0.0,0.0,0.0,0.6842994689941406,1.0010238885879517,28,0.0029572467,0.2,324.46225891113284,152.3254852294922,-36.90494613647461,-0.008563040080480278,0.000299741952,0.006591796875,,,,,
0.0,0.0,-1.3644336170652487e-06,0.1301812065972222,0.0,-0.060576838629767406,7208,1.9999912768247456,0.0,-0.004112413194444471,-0.45304775668487185,0.0,0.0,0.0,0.6310460822663346,9,-0.023000692027367615,0.5051152489459684,165888,0.0,0.0,-1.5977827984947601,23,-0.0379019974500888,24.750530060000003,-0.2416455980393205,-5.5012600559357314e-08,0.1051974826388889,0.9991484129013722,0.0,320.83,-2.404773089291867e-09,0.0,0.0,0.0,0.0,0.7,-0.011562878502341715,0.5452125348386092,0.01,0.0,0.5130136018862589,-0.001830012232892938,0.0,0.0,0.0,0.0,-0.005901905853548428,-0.03077338313769678,0.0,0.0,0.0,0.0,0.7118958234786987,1.0011699199676514,32,0.0024284483,0.2,320.02902069091795,141.13760375976562,-36.905536842346194,-0.008391223894432188,0.00029970508799999996,0.00321044921875,,,,,
0.0,0.0,-1.4310729481862677e-06,0.126953125,0.0,-0.06081020663419093,7104,1.9999913669215903,0.0,-0.004003906250000022,-0.47143287199586265,0.0,0.0,0.0,0.7114735205611867,10,-0.02283824661260091,0.50502661274978,184320,0.0,0.0,-1.5957962008226974,25,-0.03819617405817671,13.111875479999998,-0.24353352930862826,-5.185279853250938e-08,0.11566840277777778,1.045795208882841,0.0,309.93,-2.617563770607618e-09,0.0,0.0,0.0,0.0,0.7,-0.010774644316811362,0.5210712239259344,0.01,0.0,0.5669276012677136,-0.00043661927909997324,0.0,0.0,0.0,0.0,-0.005401632271732782,-0.022564289613752495,0.0,0.0,0.0,0.0,0.710534393787384,1.001393437385559,36,0.0029775724,0.2,333.94217071533205,172.80792236328125,-36.90625495910645,-0.009833874303149059,0.000299668224,0.00474853515625,,,,,
