time/total_timesteps,reward_terms/motor_vel,curriculum/eff_scale,curriculum/stance_ratio,time/iterations,reward_terms/hip_roll,reward_terms/torque,reward_terms/assist_pen,reward_terms/upright,reward_terms/alive,curriculum/pitch_armature,reward_terms/angmom,time/fps,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,time/time_elapsed,reward_terms/fwd_speed,reward_terms/vz,reward_terms/energy,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/air_time,reward_terms/stance_time,reward_terms/stance,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/lat_vel,rollout/ep_rew_mean,curriculum/ent_coef,reward_terms/residual,reward_terms/foot_slip,reward_terms/stop,reward_terms/height,reward_terms/time,reward_terms/phase_contact,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
202752,-3.197913449350783e-05,0.003072,0.6496928000000001,11,-0.03926086180683666,-0.0013484566996779738,0.0,-0.1334203112742697,0.0,0.990784,-0.08724774232110051,2937,0.06266732798312458,-0.9701300589970637,-0.06411806954082817,69,0.31050670335429187,-0.11093939684971679,-0.00011881224075888748,-0.11569460856280678,31.11,0.0004394530163456996,-0.007374122431631097,-0.01158286226977021,25.4608,0.0,-6.186235944001731e-09,-130.04055404000002,0.01,-0.2548144187111306,-0.6927777268165843,0.0,-0.050576521335970584,-0.5,-0.4435876823357744,0.27144775390625,0.0003,-34.07186584472656,-2.0340394973754883,0.030612398,7.524031162261963,33469,0.2,-0.018898610235191883,21.89760003089905,1.001665472984314
221184,-3.4754252276323834e-05,0.0033792,0.64966208,12,-0.040893450745056736,-0.0014573637587850783,0.0,-0.14617030172521958,0.0,0.9898624,-0.08856159241444202,2941,0.06410849757970817,-0.967842797118035,-0.06720654892766723,75,0.34830462641280346,-0.11042404804260007,-0.00013016579880946845,-0.11523309452890967,32.42,0.0004047307819645438,-0.005020065988194094,-0.01050405364674117,25.50688,0.0,-6.504932236362786e-09,-130.93567386,0.01,-0.25482986709907224,-0.7019893026927035,0.0,-0.050952293741427165,-0.5,-0.4467494339123765,0.27685546875,0.0003,-34.0716183980306,-3.3316240310668945,0.039615046,5.828976631164551,33472,0.2,-0.01790077709592879,14.678074582417805,1.0014231204986572
239616,-3.74101771989755e-05,0.0036864,0.64963136,13,-0.03936744671468277,-0.0016118274578847327,0.0,-0.15402411195412494,0.0,0.9889408,-0.08788279134979324,2946,0.06470212460433845,-0.9663211239965036,-0.06690018510994362,81,0.32651469714659404,-0.10719665375078437,-0.00014198101594470674,-0.11397716302005659,33.54,0.0006347656275870071,-0.009154719216490371,-0.013098591880616392,25.55296,0.0,-6.485744002968241e-09,-132.16490326000002,0.01,-0.25521565362008547,-0.6950275260083898,0.0,-0.04956238941485749,-0.5,-0.4402572442690744,0.30625697544642855,0.0003,-34.06904247828892,-5.571435451507568,0.04144046,5.637806415557861,33475,0.2,-0.011795507344816412,19.66264799662999,1.0012692213058472
258048,-4.029319693741404e-05,0.0039936,0.6496006400000001,14,-0.03766754250886846,-0.001718196254353056,0.0,-0.16389616236848398,0.0,0.9880192,-0.0919960208723728,2951,0.06559421518044549,-0.9575932507793582,-0.06989150963349863,87,0.3415732551819406,-0.11090049808593562,-0.00015378736427875103,-0.11287809537164913,33.36,0.0005598957003611657,-0.00456487957530448,-0.009979770385707411,25.59904,0.0,-6.068751102018987e-09,-132.12499872,0.01,-0.25501135879213993,-0.705795094552466,0.0,-0.048710739992988084,-0.5,-0.4475028625484774,0.27876420454545453,0.0003,-34.0683066628196,-2.0569934844970703,0.04731196,6.082890510559082,33478,0.2,-0.010010355236855421,14.558656605807217,1.001173973083496
276480,-4.416691891401236e-05,0.0043008,0.64956992,15,-0.03881622293860495,-0.0018665421657818168,0.0,-0.15871216443957584,0.0,0.9870976,-0.08876558683309849,2954,0.06573452330505093,-0.9531551179701145,-0.07024607494045436,93,0.3585785867688219,-0.10583602563912402,-0.0001670999963886314,-0.11305822457469199,31.53,0.0005967880747953637,-0.004221997778384118,-0.010436583046159312,25.64512,0.0,-5.44665600344201e-09,-129.76350783,0.01,-0.2547053266083527,-0.7080184928814143,0.0,-0.04884830439874278,-0.5,-0.44352732406299,0.3469495271381579,0.0003,-34.077933863589635,-1.919754981994629,0.044149313,5.057895660400391,33482,0.2,-0.015701742597708578,15.129693031311035,1.0019903182983398
294912,-4.630907563541599e-05,0.004608,0.6495392,16,-0.041267939224389136,-0.0020019093669419357,0.0,-0.1787093047420636,0.0,0.986176,-0.09138923420336838,2956,0.065667638315704,-0.9566167405937868,-0.07382001051650842,99,0.3417216327271813,-0.1118873387627122,-0.0001774093551112959,-0.11300149373688062,35.47,0.0004937064885679218,-0.007670344750901374,-0.01712042406778086,25.6912,0.0,-6.651119653472544e-09,-134.30335878999998,0.01,-0.2548653522884737,-0.7235195985976239,0.0,-0.04894206464139649,-0.5,-0.4479185058884511,0.315185546875,0.0003,-34.07972431182861,-1.9881713390350342,0.05298668,4.529847145080566,33486,0.2,-0.016396011400502175,12.315883338451385,1.0021207332611084
313344,-4.971385415612673e-05,0.0049152,0.64950848,17,-0.03783859903815972,-0.002104816324448427,0.0,-0.1799767397158026,0.0,0.9852544,-0.09144739282882129,2960,0.06879831315302687,-0.964453283356074,-0.07151604292160597,105,0.3641354923275546,-0.11241894621753039,-0.00018950602831935298,-0.11461489150246787,33.57,0.0005349391689782755,-0.0048817194248032235,-0.011521215081555732,25.73728,0.0,-6.283712279914479e-09,-132.58607133,0.01,-0.25562239924823066,-0.7155991038661087,0.0,-0.050739838955899716,-0.5,-0.4482300989992081,0.32281494140625,0.0003,-34.065001010894775,-2.2763490676879883,0.04322948,7.020229816436768,33488,0.2,0.005750807496951893,23.10648012161255,1.0008440017700195
331776,-5.256666144977834e-05,0.0052224,0.64947776,18,-0.034961797512270035,-0.002225890233379659,0.0,-0.16865923392527948,0.0,0.9843328,-0.09286926627753316,2962,0.06387321414703596,-0.9516934146983836,-0.07309284712376002,111,0.3485751300115518,-0.1067891600361681,-0.00020044925526441755,-0.11321938214876957,32.74,0.0005392794814219491,-0.0051296574836467495,-0.008396480438199242,25.783360000000002,0.0,-5.626731904870219e-09,-131.57712511,0.01,-0.2552606634143604,-0.7217252691825977,0.0,-0.047138079995745215,-0.5,-0.44716408335891317,0.29298095703125,0.0003,-34.077249145507814,-3.0205655097961426,0.038928896,4.514265537261963,33492,0.2,-0.015519032219890505,17.90058526992798,1.002105712890625
350208,-5.587373333925861e-05,0.0055296,0.64944704,19,-0.03634155958646794,-0.0023971121073239733,0.0,-0.16662563320668367,0.0,0.9834112,-0.08899937697030133,2964,0.06470830410546595,-0.9516253748622323,-0.07226088790017893,118,0.35272919167542605,-0.10316922936843205,-0.0002127593906107629,-0.11369583615146277,34.31,0.0004828558012377471,-0.00485622027513778,-0.01130870779102901,25.829439999999998,0.0,-6.256940788405594e-09,-132.87368203,0.01,-0.2552017087467266,-0.7269481265801512,0.0,-0.04673823346664933,-0.5,-0.4491841168093366,0.3109600360576923,0.0003,-34.07353093073918,-1.7950704097747803,0.039987385,4.157571315765381,33495,0.2,-0.011555764412220854,11.808732032775879,1.0016257762908936
368640,-5.957811402240023e-05,0.0058368,0.64941632,20,-0.037381114233461424,-0.0025568385505599176,0.0,-0.18578180903211894,0.0,0.9824896,-0.09496149572787965,2968,0.06678686855467414,-0.9517675981400663,-0.07444207452415452,124,0.3449154877823874,-0.11014858583151967,-0.00022806365593723893,-0.11391694738121548,32.57,0.0005967881588730961,-0.006976444183641838,-0.009949490613692274,25.87552,0.0,-6.561413568462778e-09,-131.28793594,0.01,-0.254777577355909,-0.7198033139437858,0.0,-0.049532888850407346,-0.5,-0.4460512263576237,0.2486328125,0.0003,-34.05993881225586,-2.735596179962158,0.02691102,5.638000965118408,33496,0.2,0.010496222274377942,21.986668395996094,1.000468134880066
