curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/angmom,time/fps,reward_terms/foot_ahead,reward_terms/fwd_speed,reward_terms/residual,reward_terms/vz,reward_terms/height,reward_terms/stop,reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/overrun,reward_terms/stance_time,curriculum/sprint_dist_m,reward_terms/action_rate,reward_terms/stance,curriculum/stance_ratio,reward_terms/coef_rate,rollout/ep_len_mean,reward_terms/torque,time/time_elapsed,reward_terms/phase_contact,reward_terms/air_time,reward_terms/assist_pen,curriculum/eff_scale,time/total_timesteps,reward_terms/energy,reward_terms/foot_slip,reward_terms/upright,reward_terms/ang_xy,time/iterations,reward_terms/clearance,curriculum/ent_coef,reward_terms/time,reward_terms/alive,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/std,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss
0.0,0.0,0.0,-0.16301883514094506,2988,0.0,0.053701436050569075,-0.10376899367072394,-0.14515407559820365,-0.013881578823030214,0.0,0.0,-0.08375973121005682,-3.7485953971618216e-08,0.0,0.0,25.0,-0.09607025739184903,-1.0760721715719758e-05,0.65,-1.2665875788023906,96.9,0.0,6,-0.4296361191190585,0.00016384515523289642,0.0,0.0,18432,0.0,-0.50457752637034,-0.47342492364585836,-0.5781424938411819,1,0.0806195234791966,0.01,-0.5,0.0,-123.86198197,,,,,,,,,,,
0.0,0.0,0.0,-0.17754629663378463,2827,0.0,-0.007964904521070291,-0.10231442593599249,-0.13111877191840096,-0.009214427603354872,0.0,-9.840193385721749e-07,-0.0411214728391148,-3.901592820338686e-08,0.0,0.0,25.01152,-0.10145636918777322,-5.380920397124288e-05,0.649982336,-1.349502939722573,106.22,-3.6610044177883814e-05,13,-0.42682911816941543,0.00014268630184233189,0.0,7.68e-05,36864,-5.128246939035882e-06,-0.49159615221888825,-0.5230803381017096,-0.6592399091822965,2,0.07626577033386658,0.01,-0.5,0.0,-126.17296626000001,0.7399556040763855,-0.02069478537887335,-33.139136505126956,162.33070373535156,0.2,0.9750409126281738,137308,0.000299987712,0.17840576171875,0.023213034,478.1779052734375
0.0,0.0,0.0,-0.1346830342911026,3204,0.0,0.13159911070057206,-0.10467320572262998,-0.17751686478210205,-0.01719895668061455,0.0,-2.1832323897979874e-06,-0.06910633554158577,-4.194504153001477e-08,0.0,0.0,25.02304,-0.10125982401495265,-7.476435274272131e-05,0.6499646720000001,-1.3123787855970543,156.06,-8.213430592137181e-05,17,-0.42417366055798206,0.0002235237625427544,0.0,0.0001536,55296,-1.1366735790594085e-05,-0.5628202664721615,-0.4569608628245432,-0.5151856075671153,3,0.08429695464826607,0.01,-0.5,0.0,-138.36846963999997,0.4619830250740051,-0.016348621048229307,-33.14711159153988,74.60440826416016,0.2,0.9755653142929077,137312,0.000299975424,0.3025030838815789,0.046447434,226.74349252801193
0.0,0.0,0.0,-0.13892090663085044,3452,0.0,0.18262211781931226,-0.10529434444980779,-0.2001723660155456,-0.022650228835831943,0.0,-3.3152197297594878e-06,-0.07424362966026637,-4.171799893105609e-08,0.0,0.0,25.03456,-0.09827309320509676,-0.0003809769755830472,0.649947008,-1.3129691584645722,165.42,-0.000125055088161555,21,-0.4276437606637092,0.00023220435832627118,0.0,0.0002304,73728,-1.6973938548332847e-05,-0.5838696278738044,-0.4454225150242834,-0.4787118107565933,4,0.08748811635086089,0.01,-0.5,0.0,-140.61405429,0.4497529864311218,0.01401316188275814,-33.14157485961914,193.70045471191406,0.2,0.9749102592468262,137313,0.000299963136,0.2197265625,0.023777353,411.2826232910156
0.0,0.0,0.0,-0.11612798177608709,3617,0.0,0.059008230755954884,-0.1061129369618264,-0.17355215068635993,-0.015015954684539538,0.0,-4.683831234801348e-06,-0.06255954566558412,-4.087161737073454e-08,0.0,0.0,25.04608,-0.10073862873020438,-0.0017172223673282215,0.649929344,-1.3172588987980802,180.61,-0.00017455062210635557,25,-0.43302236633120555,0.00021647083728263775,0.0,0.0003072,92160,-2.4040529224641836e-05,-0.6262675045081686,-0.3564895676619344,-0.47111152499258946,5,0.0761839372959676,0.01,-0.5,0.0,-144.10298178,0.4284834861755371,0.02313271421007812,-33.14214579264323,217.55621337890625,0.2,0.9749583005905151,137314,0.00029995084799999997,0.2931315104166667,0.039007615,472.8395182291667
0.0,0.0,0.0,-0.13223476692799513,3727,0.0,0.1997896166947188,-0.10639929391521251,-0.18623795134984344,-0.01913521727992957,0.0,-6.140938899809522e-06,-0.07157443962416134,-4.440292355395311e-08,0.0,-1.3562837719089455e-06,25.0576,-0.0998320631338123,-0.001155980437516563,0.64991168,-1.2913867313976453,202.12,-0.00023560997327008273,29,-0.41876202861837536,0.00020670523453089927,0.0,0.000384,110592,-3.194434518332732e-05,-0.6405646270294341,-0.37632971665743864,-0.4707835558942248,6,0.08463834341465543,0.01,-0.5,0.0,-148.99366322,0.5138784050941467,-0.02085913934279233,-33.15589065551758,171.66122436523438,0.2,0.9763047695159912,137318,0.00029993856,0.30855712890625,0.029330555,453.43354949951174
0.0,0.0,0.0,-0.11686166219046276,3807,0.0,0.13223692493910363,-0.10600348192444585,-0.17005217514210733,-0.014083804198107976,0.0,-7.5179983059394755e-06,-0.05862186424002406,-4.0883396119828914e-08,0.0,-8.0701523175877e-05,25.06912,-0.10151150757173147,-0.0009396500958271205,0.6498940160000001,-1.308491822729745,177.48,-0.00027473201111295796,33,-0.43166179034565033,0.0001638451067265123,0.0,0.0004608,129024,-3.8211493066414904e-05,-0.6274642018276528,-0.3608047598684136,-0.46512291146676077,7,0.07905398801006475,0.01,-0.5,0.0,-143.32881110999998,0.4282095432281494,-0.02945814811391756,-33.16505889892578,118.59931945800781,0.2,0.9765154123306274,137322,0.000299926272,0.2517822265625,0.032840542,349.8445648193359
0.0,0.0,0.0,-0.13444447365635415,3870,0.0,0.15664661718302922,-0.10620900799631869,-0.1866335151308294,-0.018093519106325694,0.0,-8.894957562491906e-06,-0.06087707300216424,-4.305153953534216e-08,0.0,0.0,25.08064,-0.10091370754079423,-0.0011131427858959053,0.649876352,-1.3066245568258836,190.24,-0.00033433007786949235,38,-0.4172218610855689,0.0002381722669168893,0.0,0.0005376,147456,-4.5645556239476646e-05,-0.6461709967006122,-0.35515177048570656,-0.4548125501081926,8,0.08120021742091706,0.01,-0.5,0.0,-146.31988597999998,0.49344468116760254,-0.028744023520266636,-33.17071876525879,92.44318389892578,0.2,0.976765513420105,137326,0.000299913984,0.29598388671875,0.043867987,247.38287429809571
0.0,0.0,0.0,-0.1202554316244525,3923,0.0,-0.06370904218708472,-0.10639821199527716,-0.18957187992055402,-0.019991092690989868,0.0,-1.0112203076367179e-05,-0.06059869831320275,-4.48558059033227e-08,0.0,0.0,25.09216,-0.10036584580961605,-0.0076565449159712124,0.649858688,-1.2855380568223298,199.56,-0.00037303302902868407,42,-0.40337126048690636,0.00032443508906807337,0.0,0.0006144,165888,-5.1525250795463314e-05,-0.613732620174194,-0.3145591928269327,-0.4695623450707916,9,0.08150500877678563,0.01,-0.5,0.0,-149.03216249000002,0.5506861209869385,-0.020722077490063384,-33.17232918739319,95.1145248413086,0.2,0.9766656160354614,137330,0.00029990169599999997,0.2905120849609375,0.049466886,218.3672637939453
0.0,0.0,0.0,-0.11711142536419056,3969,0.0,-0.02870633139418076,-0.10625349945023274,-0.19895348146905614,-0.01890983336472901,0.0,-1.1834832337013102e-05,-0.06244778028068221,-4.367700337331935e-08,0.0,0.0,25.10368,-0.10006518274069423,-0.006301188697731067,0.649841024,-1.2983284183142958,201.16,-0.0004339824241306102,46,-0.39287840710132577,0.000286457691496859,0.0,0.0006912,184320,-5.996299038533603e-05,-0.6206503158304685,-0.3325990888002327,-0.4726505733749193,10,0.08165709056397484,0.01,-0.5,0.0,-149.31842429,0.5581701993942261,-0.01663109250366688,-33.17143758138021,66.88273620605469,0.2,0.976482093334198,137333,0.00029988940799999996,0.29640299479166665,0.040354803,178.92266947428385
0.0,0.0,0.0,-0.11970341185778367,4005,0.0,-0.040518397906889936,-0.10651780467372601,-0.20940859066956763,-0.019499808389481857,0.0,-1.3330959714440718e-05,-0.06436591208879258,-4.7079451086277653e-08,0.0,0.0,25.1152,-0.1012636771744371,-0.012071807000463834,0.6498233600000001,-1.2845289592813849,204.18,-0.00049194438580344,50,-0.37714385402676476,0.0003287752818626662,0.0,0.000768,202752,-6.800520930672123e-05,-0.6230454568398769,-0.3219916827182712,-0.4691491719906345,11,0.08534186772026066,0.01,-0.5,0.0,-149.65503776000003,0.44581520557403564,-0.01601015745351712,-33.17162246704102,76.76207733154297,0.2,0.9765464663505554,137336,0.00029987712,0.28541666666666665,0.037780188,186.92395731608073
0.0,0.0,0.0,-0.10737471117427508,4035,0.0,0.07074459505056699,-0.10691896699361951,-0.16864749574776716,-0.014038446323315183,0.0,-1.5026733664804198e-05,-0.059605180887399585,-4.5823276741245263e-08,0.0,0.0,25.12672,-0.10223310820743065,-0.0036484811608358267,0.649805696,-1.3007785586114675,213.63,-0.0005493308331405388,54,-0.39643117147396656,0.0003076165481211825,0.0,0.0008448,221184,-7.629974335421435e-05,-0.6586297241934704,-0.26949294944439683,-0.4533790889599806,12,0.08128682625606362,0.01,-0.5,0.0,-151.22427362,0.3678475618362427,-0.021727145445765927,-33.17849326133728,76.50997161865234,0.2,0.976995587348938,137340,0.000299864832,0.3055419921875,0.05514938,187.0489845275879
0.0,0.0,0.0,-0.11642259216296452,4063,0.0,-0.15739992751149662,-0.10628822275995956,-0.20897446487633287,-0.018851873106862947,0.0,-1.6099193386239462e-05,-0.05589174292166849,-4.611173818735936e-08,0.0,0.0,25.13824,-0.10007004686057738,-0.007171698430508498,0.649788032,-1.2953926703381815,207.97,-0.0005994341788467432,58,-0.3675777433712747,0.00027180931970684067,0.0,0.0009216,239616,-8.185478183879376e-05,-0.615760739091662,-0.31071093953399265,-0.4723296677268174,13,0.08274184424954663,0.01,-0.5,0.0,-151.34727667,0.3053778409957886,-0.017486295429989696,-33.18274961199079,67.63719177246094,0.2,0.9770469665527344,137343,0.000299852544,0.30629185267857145,0.04125315,166.9242455618722
0.0,0.0,0.0,-0.11279200286210606,4087,0.0,-0.07113194890523811,-0.1065672216268367,-0.186550977286662,-0.015751284530599853,0.0,-1.739914438041973e-05,-0.05639868713613051,-4.6587361389538506e-08,0.0,-1.2749320982644955e-05,25.14976,-0.10140138017572108,-0.003263943782897302,0.649770368,-1.3003486943079183,202.02,-0.0006535073154392389,63,-0.3872601538151609,0.00033528579256704286,0.0,0.0009984,258048,-8.898095953607015e-05,-0.6519880440157543,-0.30033628908198984,-0.4652547618738907,14,0.07731333223820062,0.01,-0.5,0.0,-149.55112044,0.363585889339447,-0.012415772261606022,-33.18031241677024,45.400421142578125,0.2,0.9766585230827332,137346,0.00029984025599999996,0.2678000710227273,0.054665554,107.05689378218217
0.0,0.0,0.0,-0.12010483444320608,4109,0.0,-0.12979442051155235,-0.10648345651305717,-0.2230316051557584,-0.021741623584260145,0.0,-1.88200536861643e-05,-0.0611345758302991,-4.4664903629721386e-08,0.0,0.0,25.16128,-0.09893103081840632,-0.0065011575250495425,0.6497527040000001,-1.2896086099792463,213.2,-0.0006743813181907631,67,-0.3734794798260951,0.00027018178823507496,0.0,0.0010752,276480,-9.446154730397082e-05,-0.6303374426958077,-0.3457133027698468,-0.4631475871341258,15,0.08865554810251569,0.01,-0.5,0.0,-152.32987865,0.19451910257339478,0.002388248569332063,-33.18023681640625,52.432064056396484,0.2,0.9765037298202515,137348,0.000299827968,0.297760009765625,0.044271868,108.11176586151123
0.0,0.0,0.0,-0.10841672340334622,4123,0.0,-0.1255000204684976,-0.10654640151081227,-0.1798403337658675,-0.014556294829542103,0.0,-2.0204204392078832e-05,-0.051672513916766444,-4.422247697654075e-08,0.0,0.0,25.1728,-0.10184730166290261,-0.0024745458963272332,0.64973504,-1.30576264578968,198.9,-0.0007374040596721996,71,-0.3808008246465436,0.00032931796805415716,0.0,0.001152,294912,-0.00010168428620234334,-0.6501746110200234,-0.2908922836802641,-0.46494207318218794,16,0.07868438581421777,0.01,-0.5,0.0,-149.06226916,0.16773903369903564,-0.0019275564118288457,-33.18493413925171,43.92621994018555,0.2,0.9767400026321411,137350,0.00029981568,0.316375732421875,0.042516757,95.75905323028564
0.0,0.0,0.0,-0.11111048494305568,4142,0.0,-0.017395583047188076,-0.10695995713423301,-0.17532447076062938,-0.013053115171597962,0.0,-2.31729593870106e-05,-0.054864157857423664,-4.365368340317915e-08,0.0,0.0,25.18432,-0.0997445885670844,-0.005059724862665938,0.649717376,-1.2933431589197886,201.21,-0.0008057419930804715,75,-0.38427436324543507,0.0004779722560973217,0.0,0.0012288,313344,-0.00011519977710714858,-0.6438282843664325,-0.2740982111836385,-0.47851818508749766,17,0.08108769843575456,0.01,-0.5,0.0,-149.41796587,-0.04474461078643799,0.0034789138444466516,-33.18757724761963,41.31742858886719,0.2,0.9768930673599243,137352,0.00029980339199999997,0.3236083984375,0.046392605,90.82648944854736
0.0,0.0,0.0,-0.10205143085713628,4160,0.0,0.028966984731984804,-0.1068130963573319,-0.17211374518352415,-0.013786316762435394,0.0,-2.5192578654598723e-05,-0.05448155627852105,-4.3500274212573784e-08,0.0,0.0,25.19584,-0.10175582899618645,-0.007438183658193322,0.649699712,-1.3070964249959622,187.52,-0.0008787085125111207,79,-0.3741523251626624,0.0003417963032714195,0.0,0.0013056,331776,-0.000124671522122499,-0.658175763103534,-0.24252664594719026,-0.46267294687227195,18,0.07916104266600665,0.01,-0.5,0.0,-145.92482557000002,-0.27090322971343994,0.015233609980593124,-33.18652534484863,46.056888580322266,0.2,0.9767539501190186,137354,0.000299791104,0.3372802734375,0.062254738,101.67682139078777
