time/fps,reward_terms/assist_pen,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/vz,reward_terms/lat_vel,reward_terms/alive,reward_terms/angmom,reward_terms/stance,reward_terms/hip_roll,reward_terms/stop,reward_terms/upright,reward_terms/clearance,reward_terms/residual,time/iterations,curriculum/ent_coef,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/overrun,time/time_elapsed,reward_terms/residual_rate,reward_terms/foot_slip,curriculum/stance_ratio,time/total_timesteps,reward_terms/action_rate,rollout/ep_rew_mean,reward_terms/fwd_speed,reward_terms/motor_vel,reward_terms/energy,reward_terms/stance_time,reward_terms/torque,curriculum/sprint_dist_m,reward_terms/height,reward_terms/time,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,rollout/ep_len_mean,reward_terms/phase_contact,curriculum/ctrl_drop_prob,reward_terms/air_time,train/loss,train/learning_rate,train/entropy_loss,train/std,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss
4112,0.0,0.0,0.0,-0.17064578875024478,-4.08180491324911e-08,0.0,0.0,0.0,-0.006687785110374888,0.0,-7.566950799907596e-08,0.0437629710024114,-0.06123131541435922,1,0.01,-1.0540398992135672e-05,0.0,0.0,4,0.0,-0.5974969362657025,0.65,18432,-0.13034466557029628,-190.8529543076923,-1.673378007600096,0.0,0.0,-0.02708026641145504,0.0,25.0,-0.04712618825068929,-0.5,0.0,-1.3052825986619014,364.84615384615387,-0.5000313914834802,0.0,0.0,,,,,,,,,,,
3895,0.0,0.0,0.0,-0.19452949134921488,-3.98642141535601e-08,0.0,0.0,-1.11195185516728e-05,-0.00786156367099039,0.0,-7.474807933360474e-08,0.04978452058090188,-0.06099584365538121,2,0.01,-1.0170222694262918e-05,7.68e-05,0.0,9,0.0,-0.611972042241092,0.649982336,36864,-0.1305650919829885,-190.08097666304346,-1.7530456427493266,-1.3499666009343405e-07,-1.3086855786913498e-06,-0.02204379850364704,-1.6153518863803234e-05,25.01152,-0.05403215403775843,-0.5,0.0,-1.3028734470057035,361.6630434782609,-0.4749392627833033,0.0,0.0,87.64144134521484,0.000299990784,-19.878810596466064,1.0022555589675903,4,-0.01122748851776123,227.98258514404296,0.2,0.0063791806,0.03291015625,-0.011412409180775285
3998,0.0,0.0,0.0,-0.20516002174898848,-3.8463627449551503e-08,0.0,0.0,-2.7393145534695884e-05,-0.008055773574914073,0.0,-7.433628625345573e-08,0.05097186815907575,-0.06146138222649628,3,0.01,-9.704447749280138e-06,0.0001536,0.0,13,0.0,-0.6167781541821861,0.6499646720000001,55296,-0.13145016779006996,-190.9070218100001,-1.8302420558888077,-2.704375213918809e-07,-2.6773752207670975e-06,-0.022480129828586035,-3.32365851624283e-05,25.02304,-0.056013272055206086,-0.5,0.0,-1.2872801620159091,364.94,-0.4807213791634527,0.0,0.0,127.496337890625,0.000299981568,-19.883687496185303,1.0029892921447754,8,0.14721226692199707,275.39916076660154,0.2,0.003594105,0.00906982421875,-0.00715583796845749
4050,0.0,0.0,0.0,-0.19391431338148807,-3.8867730582522055e-08,0.0,0.0,0.0,-0.0072099375532771225,0.0,-7.373986694251116e-08,0.04856683393618326,-0.061589104725065895,4,0.01,-1.029103913596084e-05,0.0002304,0.0,18,0.0,-0.6548184744548866,0.649947008,73728,-0.13135566394867643,-191.61426205999996,-1.7931794919710482,-4.119309792207076e-07,-4.012227753916358e-06,-0.028434296009234257,-4.9699414671649956e-05,25.03456,-0.05235945106146669,-0.5,0.0,-1.2829408673334055,367.89,-0.4900131617382865,0.0,0.0,116.60768127441406,0.00029997235199999997,-19.877236080169677,1.0015921592712402,12,0.31274932622909546,251.13785400390626,0.2,0.0032201353,0.0064208984375,-0.005872956500388682
4086,0.0,0.0,0.0,-0.19474738052405413,-3.8055669452268614e-08,0.0,0.0,-9.337562024029217e-05,-0.007640212970839427,0.0,-7.327582238812735e-08,0.04892252668191405,-0.06119549492677466,5,0.01,-9.923363569105438e-06,0.0003072,0.0,22,0.0,-0.6136383204406965,0.649929344,92160,-0.13004281684927071,-191.33882476999995,-1.7699156140716643,-5.186359299346369e-07,-5.184008531360558e-06,-0.022428045065478526,-6.578207038484615e-05,25.04608,-0.053624600152993036,-0.5,0.0,-1.288060078313912,366.79,-0.4848625968340974,0.0,0.0,104.7076644897461,0.000299963136,-19.871970462799073,1.001200795173645,16,0.43821078538894653,228.2261505126953,0.2,0.0036771414,0.008935546875,-0.006014407949987799
4106,0.0,0.0,0.0,-0.21080041662142734,-3.7349479055113744e-08,0.0,0.0,-1.0637322814896527e-05,-0.008266623300778257,0.0,-7.444811810789697e-08,0.053758696924154664,-0.06132315058553339,6,0.01,-9.456271099439486e-06,0.000384,0.0,26,0.0,-0.6150821145403637,0.64991168,110592,-0.13115533193015422,-189.84670534000006,-1.8376252179222874,-6.666608078227588e-07,-6.591507280885628e-06,-0.017814884515246376,-8.382542262468154e-05,25.0576,-0.05844651061949086,-0.5,0.0,-1.2724302443223054,360.8,-0.4729022097147096,0.0,0.0,115.77404022216797,0.00029995392,-19.8780725479126,1.0021090507507324,20,0.5259394645690918,223.3992546081543,0.2,0.0033126033,0.00648193359375,-0.006616375758312643
4121,0.0,0.0,0.0,-0.20724740237578965,-3.9318596399602483e-08,0.0,0.0,-0.00015660043322298387,-0.00813273038689933,0.0,-7.466449540368346e-08,0.05282408145943738,-0.06112309750729504,7,0.01,-9.85720191265503e-06,0.0004608,0.0,31,0.0,-0.6106927549557055,0.6498940160000001,129024,-0.1292088516914217,-189.90543573999994,-1.8290759685003932,-7.904523719491271e-07,-7.928342400567896e-06,-0.024052121149401903,-0.00010185250017521937,25.06912,-0.0575050761595559,-0.5,0.0,-1.2806954363537069,360.99,-0.47122750607814634,0.0,0.0,105.42525482177734,0.00029994470399999997,-19.87487926483154,1.0014550685882568,24,0.5698232650756836,227.89304809570314,0.2,0.002144007,0.0025390625,-0.0050017090165056285
4137,0.0,0.0,0.0,-0.1910418497892668,-3.828972822929285e-08,0.0,0.0,-7.139458586804839e-06,-0.0072688204027252,0.0,-7.616588296626063e-08,0.047845512511858056,-0.06139625696517909,8,0.01,-1.0034345994332195e-05,0.0005376,0.0,35,0.0,-0.6554341095320431,0.649876352,147456,-0.13025485163306638,-192.42737958,-1.7853379988862403,-9.187117061496595e-07,-9.207222879162048e-06,-0.029933996807408728,-0.00011555592068401053,25.08064,-0.05294120143248701,-0.5,0.0,-1.2877031404898809,371.0,-0.48751975745058423,0.0,0.0,113.66504669189453,0.000299935488,-19.87156763076782,1.00126314163208,28,0.5992302894592285,212.82316513061522,0.2,0.0024007377,0.00418701171875,-0.005450934759574011
4143,0.0,0.0,0.0,-0.20358234677175935,-3.743345432978853e-08,0.0,0.0,0.0,-0.008115995171273897,0.0,-7.628844622657547e-08,0.05220210901531644,-0.061573067329970047,9,0.01,-9.978869286715432e-06,0.0006144,0.0,40,0.0,-0.6020036676062892,0.649858688,165888,-0.131018204424508,-191.83911973,-1.832340960801177,-1.0804619001190438e-06,-1.0777593639339937e-05,-0.02268168400041759,-0.0001373435395645507,25.09216,-0.056468519763344584,-0.5,0.0,-1.2953977689671055,368.7,-0.48127966672830513,0.0,0.0,77.70982360839844,0.000299926272,-19.875774097442626,1.0018258094787598,32,0.6207329034805298,189.66197357177734,0.2,0.0025237594,0.00361328125,-0.0057165747857652605
4152,0.0,0.0,0.0,-0.2158030708584637,-4.097153566077554e-08,0.0,0.0,-4.926623452895273e-05,-0.008830766245682848,0.0,-7.822298983078721e-08,0.055329425471679704,-0.061547507659130654,10,0.01,-9.753464876936933e-06,0.0006912,0.0,44,0.0,-0.6077985915042174,0.649841024,184320,-0.12971617044589004,-190.06166752000004,-1.9456313274190404,-1.2307809947718556e-06,-1.2332083858555743e-05,-0.013419414584253294,-0.00015758555760064032,25.10368,-0.060462028581753126,-0.5,0.0,-1.271211127698214,361.6,-0.46430906953011636,0.0,0.0,86.77542114257812,0.000299917056,-19.87826814651489,1.0020612478256226,36,0.6184473037719727,187.84925079345703,0.2,0.0031788491,0.00633544921875,-0.005905381392221898
