reward_terms/coef_rate,reward_terms/stance,time/time_elapsed,reward_terms/upright,reward_terms/angmom,reward_terms/overrun,reward_terms/vz,reward_terms/torque,rollout/ep_rew_mean,reward_terms/stance_time,curriculum/swing_frac_min,time/total_timesteps,reward_terms/yaw_rate,reward_terms/motor_vel,reward_terms/height,reward_terms/imp_rate,reward_terms/hip_roll,ankle/ankle_spring_energy_peak,reward_terms/stop,reward_terms/residual_rate,curriculum/stance_ratio,reward_terms/duty_sym,reward_terms/residual,time/iterations,time/fps,curriculum/swing_frac_mean,reward_terms/alive,reward_terms/phase_contact,ankle/ankle_spring_trq_peak,reward_terms/swing_floor,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/air_time,ankle/ankle_defl_peak,reward_terms/fwd_speed,curriculum/sprint_dist_m,reward_terms/ang_xy,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/lat_vel,curriculum/ent_coef,curriculum/pitch_assist,rollout/ep_len_mean,reward_terms/foot_slip,curriculum/eff_scale,reward_terms/energy,reward_terms/clearance,reward_terms/time,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/std,train/loss,train/clip_fraction,train/learning_rate,curriculum/log_std_clamp
-0.4968764255820299,-0.22920113902531078,1,-0.41143499800702105,-0.11468656462086384,0.0,-0.12718774887732612,0.0,-150.7299144,-0.007362438951127438,0.23649088541666666,18432,-1.4882371392009766,0.0,-0.034131204926318125,-0.012871355542666763,-0.3389300342319139,0.0,0.0,0.0,0.65,0.0,-0.10820547972605582,1,10337,0.4542371961805555,0.0,-0.30288869949238945,0.0,0.0,0.0,0.0,0.0010546864974053784,0.5051775977057511,1.100266780020695,25.0,-0.47458641842287225,-0.11239631546206891,0.0,0.0,0.0,-0.2881159488309386,0.01,1.0,208.5090909090909,-0.6766134559104583,0.0,0.0,0.09258895605988529,-0.5,,,,,,,,,,,,
-0.6414780437399044,-0.5424327837082396,3,-0.539949100547624,-0.16137748151810571,0.0,-0.20487104659814012,-7.923909147261637e-05,-146.72268122,-0.003678372844458661,0.3529188368055556,36864,-1.4745258783706394,-1.6017488142678417e-06,-0.036158576756271606,-0.016968513211733177,-0.4122847834460471,0.0,0.0,0.0,0.649982336,0.0,-0.1079517625308834,2,10377,0.5289442274305556,0.0,-0.2816142772972363,0.0,0.0,0.0,0.0,0.0005745433025165565,0.5051180241270247,0.25540318060798417,25.01152,-0.5674790328743494,-0.13754096748778863,0.0,0.0,0.0,-0.40895176075026146,0.01,0.9996928,196.62,-0.5409416667660909,7.68e-05,-8.570092216276444e-06,0.10306719631555357,-0.5,0.012866437,153940,-0.0005971717415377498,0.700742244720459,1112.875326538086,-39.731571197509766,0.2,1.0002986192703247,332.62939453125,0.14371337890625,0.000299987712,
-0.637944381796904,-0.4434779134034446,5,-0.5320613488805394,-0.13244221954236202,0.0,-0.17963734155109853,-0.0001326046992102376,-150.6071779,-0.0017884570325905872,0.3223198784722222,55296,-1.4507768909122125,-2.5425146767365478e-06,-0.02943703211765579,-0.016541229452061268,-0.3550948191936667,0.0,0.0,0.0,0.6499646720000001,0.0,-0.10785027100390154,3,10642,0.5024956597222222,0.0,-0.30758147425533633,0.0,0.0,0.0,0.0,0.0005029291625962489,0.5051469786451556,0.14843636810537297,25.02304,-0.4777663574357972,-0.13540097085982294,0.0,0.0,0.0,-0.5158596139138236,0.01,0.9993856,207.42,-0.5205901149744308,0.0001536,-1.4379479577738667e-05,0.08379090029389726,-0.5,0.007144374,153944,-0.008305748735438101,0.6261553764343262,362.79398651123046,-39.73662776947022,0.2,1.0005996227264404,127.78140258789062,0.04222412109375,0.000299975424,
-0.6406341509402437,-0.4751086883751131,7,-0.5150278378335114,-0.11870943812348085,0.0,-0.17586103627165692,-0.00017795444999736104,-150.46979488,-0.001992991480316656,0.3463541666666667,73728,-1.420417020419446,-3.648745726299014e-06,-0.028190398550667826,-0.016497334192053327,-0.34307749344084937,0.0,0.0,0.0,0.649947008,0.0,-0.1082151175619529,4,10182,0.5083550347222222,0.0,-0.30923142215175864,0.0,0.0,0.0,0.0,0.0006217439723615018,0.5051512750472865,-0.029152917543433767,25.03456,-0.4384314569049624,-0.13616480506918716,0.0,0.0,0.0,-0.48160956811125405,0.01,0.9990784,203.51,-0.47811038749503,0.0002304,-1.9931355090138733e-05,0.0880044210116871,-0.5,0.008256164,153948,-0.010479099035728722,0.7610683441162109,283.34776763916017,-39.73700923919678,0.2,1.0008175373077393,115.38648986816406,0.04571533203125,0.000299963136,
-0.6509457830936405,-0.4131306849490771,9,-0.49843306266010945,-0.11709068619645518,0.0,-0.16430868709241742,-0.00025257230771356845,-157.0198485,-0.0036326625785376462,0.3401150173611111,92160,-1.4636717289049932,-4.9243295609142155e-06,-0.02576612407516489,-0.015860041595807995,-0.33250695839267086,0.0,0.0,0.0,0.649929344,0.0,-0.10837258231825656,5,9551,0.5092230902777778,0.0,-0.3027453435341749,0.0,0.0,0.0,0.0,0.0005653205120729075,0.5050279054681349,0.18539116664492736,25.04608,-0.45835452336206056,-0.13214734156302044,0.0,0.0,0.0,-0.4313766589294299,0.01,0.9987712,229.58,-0.5259315298089194,0.0003072,-2.6555141563509378e-05,0.08438692658664443,-0.5,0.010474468,153952,-0.013248118932824581,0.7297325134277344,205.34322967529297,-39.73972396850586,0.2,1.0012658834457397,81.14671325683594,0.0711181640625,0.00029995084799999997,
-0.6148419799395756,-0.2444717772335635,12,-0.5008063314261294,-0.10994513539797963,0.0,-0.14475357520174043,-0.00033104398100860274,-162.15179392,-0.003378758472131772,0.2948133680555556,110592,-1.4741616027576236,-5.996276461521545e-06,-0.025028660275582943,-0.015520303207612532,-0.30468573916022423,0.0,0.0,0.0,0.64991168,0.0,-0.10833541577974144,6,9009,0.5093858506944444,0.0,-0.2682975351770903,0.0,0.0,0.0,0.0,0.0006754549039113852,0.5048259171219964,0.5331917252172057,25.0576,-0.42155913747212254,-0.13045955351993418,0.0,0.0,0.0,-0.48902171327305294,0.01,0.998464,251.94,-0.5725373331726932,0.000384,-3.377324847339161e-05,0.0857091382197892,-0.5,0.0108187655,153956,-0.013886680925497785,0.8119027614593506,226.43494033813477,-39.74223308563232,0.2,1.0010346174240112,83.56874084472656,0.08631591796875,0.00029993856,
-0.5974095968382639,-0.19649945537940036,15,-0.5144147581250991,-0.10843584002467678,0.0,-0.14965295886191007,-0.0004174442006737579,-167.82488237,-0.002490495716402721,0.2777235243055556,129024,-1.518274718594955,-7.304960740684791e-06,-0.027284569644780286,-0.015017075032980406,-0.3023618033746023,0.0,0.0,0.0,0.6498940160000001,0.0,-0.10814253616817344,7,8596,0.5127224392361112,0.0,-0.25653360361663863,0.0,0.0,0.0,0.0,0.0006070957751944661,0.5052005515714597,0.6591047886273415,25.06912,-0.4290628740714386,-0.127975967146725,0.0,0.0,0.0,-0.4405248403256808,0.01,0.9981568,280.91,-0.6043396349620401,0.0004608,-4.119294444191459e-05,0.08327641833621378,-0.5,0.010048324,153960,-0.012137939862441272,0.8328335285186768,286.9305061340332,-39.733408546447755,0.2,1.0007258653640747,108.4393081665039,0.08094482421875,0.000299926272,
-0.5755625246941881,-0.21036033939915136,17,-0.5213033904467432,-0.10029633022058443,0.0,-0.14177672476688102,-0.00048558767526643017,-170.41243054999998,-0.005047454854421731,0.24180772569444445,147456,-1.4946193564890506,-8.32295207980409e-06,-0.02958386345961674,-0.014582606037979331,-0.32423567162876954,0.0,0.0,0.0,0.649876352,0.0,-0.10823334049303017,8,8366,0.4868435329861111,0.0,-0.2690727402211162,0.0,0.0,0.0,0.0,0.0005875645599897123,0.5050185220605934,0.6760750411756496,25.08064,-0.42261556627450236,-0.1251207875619328,0.0,0.0,0.0,-0.47362356294697405,0.01,0.9978496,292.46,-0.6494121398228851,0.0005376,-4.6168833361535184e-05,0.07743574016096831,-0.5,0.009085839,153964,-0.014241668389877305,0.868570864200592,234.9582145690918,-39.72890796661377,0.2,1.0005857944488525,102.01611328125,0.0779296875,0.000299913984,
-0.5804386661068863,-0.2017237730036564,20,-0.530193812533047,-0.10172821102700934,0.0,-0.13606417925437037,-0.0005679065500749063,-169.57177922000005,-0.003509642910406304,0.2504340277777778,165888,-1.5359587803165748,-9.18521165844478e-06,-0.03384846981340132,-0.014237018724863236,-0.33313467696762533,0.0,0.0,0.0,0.649858688,0.0,-0.10824289923481635,9,8170,0.4840766059027778,0.0,-0.2741327488820179,0.0,0.0,0.0,0.0,0.0008034933190275398,0.505100736738804,0.7876247490536268,25.09216,-0.41386057840678675,-0.12483066850602881,0.0,0.0,0.0,-0.477683613668096,0.01,0.9975424,294.1,-0.659524779143529,0.0006144,-5.363832687916041e-05,0.07724249043015434,-0.5,0.010935319,153968,-0.015684560441877694,0.8889604806900024,192.4619598388672,-39.74135150909424,0.2,1.0015766620635986,75.3287582397461,0.08204345703125,0.00029990169599999997,
-0.5899829789266721,-0.18270489918181168,22,-0.5675572881086173,-0.09885282600482062,0.0,-0.15395505519967628,-0.0006275670829950437,-169.84236464000003,-0.00670666035471691,0.2637803819444444,184320,-1.5375814970293542,-1.111256285730397e-05,-0.03140282474134265,-0.014405326164060964,-0.3476073556498954,0.0,0.0,0.0,0.649841024,0.0,-0.10826492062299696,10,8048,0.5113389756944444,0.0,-0.2513352867403879,0.0,0.0,0.0,0.0,0.00046820694115012884,0.5051680096564715,0.5969033330752185,25.10368,-0.4280257354483715,-0.12800788330669463,0.0,0.0,0.0,-0.5867904486965844,0.01,0.9972352,290.98,-0.64468671456518,0.0006912,-6.0365814235554695e-05,0.07753769693313978,-0.5,0.011813902,153972,-0.015327883907593787,0.8702878952026367,175.7040641784668,-39.74640998840332,0.2,1.0014489889144897,69.95117950439453,0.103759765625,0.00029988940799999996,
