time/iterations,reward_terms/fwd_speed,time/time_elapsed,curriculum/stance_ratio,reward_terms/upright,reward_terms/energy,reward_terms/stop,reward_terms/stance_time,curriculum/eff_scale,reward_terms/vz,time/total_timesteps,reward_terms/time,reward_terms/angmom,reward_terms/overrun,curriculum/ent_coef,reward_terms/height,reward_terms/foot_slip,curriculum/sprint_dist_m,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/stance,curriculum/pitch_armature,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/alive,reward_terms/torque,reward_terms/motor_vel,reward_terms/coef_rate,reward_terms/clearance,reward_terms/ang_xy,reward_terms/action_rate,time/fps,reward_terms/phase_contact,reward_terms/air_time,reward_terms/residual,train/value_loss,train/clip_range,train/std,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction
11,0.23356770956368045,73,0.6496928000000001,-0.041554218031586244,-0.00011952751668178246,0.0,-0.00667425256203084,0.003072,-0.105607551927367,202752,-0.5,-0.09995708183462765,0.0,0.01,-0.04790299612541579,-0.6659414537172688,25.4608,-0.04436734489498912,-8.065051488713054e-09,0.0,-0.013959034172199772,0.990784,-127.24882998999998,27.97,0.0,-0.001445400572167041,-2.8875692840807628e-05,-0.9260389019060743,0.05658398722737797,-0.017651616718809535,-0.11180355380120598,2762,-0.466793852514163,0.0004915363549823976,-0.2537141490157082,27.376289272308348,0.2,1.0019090175628662,-0.013724100252147764,-1.067619800567627,0.0003,-34.075832748413085,0.030639028,33469,8.472735404968262,0.31114501953125
12,0.2338898459230382,79,0.64966208,-0.05176613445824488,-0.00013160022021364747,0.0,-0.007075184859180202,0.0033792,-0.10868940970443602,221184,-0.5,-0.1006683069846284,0.0,0.01,-0.05144903672541639,-0.6739272263422423,25.50688,-0.04631441643117769,-7.851008699708788e-09,0.0,-0.014361121374217585,0.9898624,-130.66544269000002,31.62,0.0,-0.0016087902930050073,-3.17590552509833e-05,-0.9269084275065453,0.056266589303630016,-0.019488878352111806,-0.111536734914786,2776,-0.46640673672954525,0.0004622394788182444,-0.25347960200823055,22.414993619918825,0.2,1.0020642280578613,-0.015455987711902708,-1.6782629489898682,0.0003,-34.076439476013185,0.026695278,33473,8.261425971984863,0.25830078125
13,0.2171537736920025,85,0.64963136,-0.06540380791278086,-0.0001451796614581728,0.0,-0.011023749718636585,0.0036864,-0.10961770852810586,239616,-0.5,-0.10449112490264122,0.0,0.01,-0.04883422529385037,-0.6718149544741003,25.55296,-0.04507406315443419,-9.063840248825492e-09,0.0,-0.012276620899617926,0.9889408,-130.31710216000002,31.59,0.0,-0.001770549947741124,-3.428896773453006e-05,-0.9290291507878159,0.055766610136771026,-0.021283058780651554,-0.11127368338613884,2790,-0.47020983201499456,0.0006434460616825769,-0.25362719921336746,13.353757521685433,0.2,1.0020973682403564,-0.02257191588389961,-1.797055959701538,0.0003,-34.07966905481675,0.04386726,33477,4.284677028656006,0.30060891544117646
14,0.19866445044730222,91,0.6496006400000001,-0.05534985638128599,-0.00015546863506805877,0.0,-0.006984582672076713,0.0039936,-0.10832340474282721,258048,-0.5,-0.10054265271810602,0.0,0.01,-0.04982801779964567,-0.6795336706196453,25.59904,-0.04410039338200226,-8.585026258129124e-09,0.0,-0.012395599540799272,0.9880192,-129.11480244,30.27,0.0,-0.001880156728153522,-3.7392518287753986e-05,-0.9427660936597246,0.055519261127418465,-0.019138878574353122,-0.11291813670525756,2805,-0.4737095262883715,0.00041449641382011276,-0.2534237578067502,27.557247479756672,0.2,1.0005475282669067,0.006710464173617463,-3.0208663940429688,0.0003,-34.06131172180176,0.05202683,33479,12.71452522277832,0.2925211588541667
15,0.25600887129842287,98,0.64956992,-0.05633752064615703,-0.0001695891221969245,0.0,-0.009347861407958489,0.0043008,-0.1055496741440834,276480,-0.5,-0.10557035495189543,0.0,0.01,-0.050220023242390104,-0.6789139124539448,25.64512,-0.045998822538148174,-8.603876737600811e-09,0.0,-0.01378069708967452,0.9870976,-130.83294833000002,31.97,0.0,-0.002070821385568443,-4.045468745363671e-05,-0.9339577109164371,0.05717050755460042,-0.02006712586900869,-0.11199948898484362,2815,-0.46434966014762896,0.0007834199803053505,-0.25375645762407134,12.17781310081482,0.2,1.0021685361862183,-0.024458500370383263,-3.497098445892334,0.0003,-34.0773323059082,0.040002503,33483,3.818362236022949,0.27811279296875
16,0.17171239053026408,104,0.6495392,-0.06433064893120521,-0.00018116666584870077,0.0,-0.011325942391219238,0.004608,-0.1059628429198643,294912,-0.5,-0.10991461032518081,0.0,0.01,-0.05106674106666991,-0.6708017805723316,25.6912,-0.04311691046093691,-7.710132301981008e-09,0.0,-0.011191588151907331,0.986176,-131.87254342,32.75,0.0,-0.0022099318633519343,-4.2244309153360095e-05,-0.9415843772507321,0.05576227714179538,-0.0212446874081857,-0.11210348114498918,2824,-0.46650181050595246,0.0008322481395831952,-0.25315713954256386,12.760665798187256,0.2,1.0009616613388062,-0.0005070418119430542,-2.6238980293273926,0.0003,-34.06616630554199,0.039454944,33485,5.249433994293213,0.3249755859375
17,0.20601688170185728,110,0.64950848,-0.08222469679742228,-0.0001908388458817075,0.0,-0.013688135607582,0.0049152,-0.10418423844711916,313344,-0.5,-0.10956061554758129,0.0,0.01,-0.052196247206134534,-0.6967376891087437,25.73728,-0.04410928544865947,-7.693831619876278e-09,0.0,-0.01507260682619206,0.9852544,-133.32755041000001,34.59,0.0,-0.002337607124759694,-4.4943986887903544e-05,-0.9390488609309783,0.05525833310216905,-0.023295097593010582,-0.11142905661011428,2832,-0.47759524469156517,0.000759548507630825,-0.25307802723115813,14.599940252304076,0.2,1.002415418624878,-0.01665236231056042,-2.805018901824951,0.0003,-34.07932109832764,0.03725799,33489,4.422873497009277,0.32396240234375
18,0.17837381870639538,116,0.64947776,-0.0556105521435624,-0.00020278132287912976,0.0,-0.009018542595893249,0.0052224,-0.10305165703973355,331776,-0.5,-0.10621580558790583,0.0,0.01,-0.04842148821493023,-0.6795257670637462,25.783360000000002,-0.04620580586951634,-8.811368926654847e-09,0.0,-0.01834527577820816,0.9843328,-132.41728701999997,33.55,0.0,-0.0024809279544810883,-4.8106843313918016e-05,-0.9415816573003563,0.05460950123764963,-0.020758094690856634,-0.11316801128086247,2840,-0.46686001620769463,0.0005555554137875637,-0.25364292676505323,10.723397341641514,0.2,1.001824975013733,-0.008722297127612612,-2.5699145793914795,0.0003,-34.075990503484554,0.05154949,33492,4.026461124420166,0.3341619318181818
19,0.2591621505065657,122,0.64944704,-0.06112958148044629,-0.0002190208447570202,0.0,-0.009521471795677725,0.0055296,-0.09938692600185119,350208,-0.5,-0.10646106783140077,0.0,0.01,-0.04922359742993389,-0.7003754981299593,25.829439999999998,-0.04373899731391702,-8.020858561395515e-09,0.0,-0.012080718411732942,0.9834112,-134.71899446,35.96,0.0,-0.0026655090613098772,-5.080234140955715e-05,-0.9425095205202043,0.056047480846868676,-0.02326237534165106,-0.11317037257511631,2849,-0.4725169458230833,0.0006618921923088945,-0.2531014249002665,14.74769630432129,0.2,1.000715732574463,0.01318366015329957,-3.6561989784240723,0.0003,-34.06331024169922,0.02403304,33493,4.411318778991699,0.272119140625
20,0.22818387880680457,129,0.64941632,-0.057005061572429065,-0.000227531422962961,0.0,-0.007566179118132115,0.0058368,-0.09973692656990975,368640,-0.5,-0.10661317044760228,0.0,0.01,-0.04784864578938588,-0.6960573091906419,25.87552,-0.04297947389463709,-8.841841690285444e-09,0.0,-0.010289340834299143,0.9824896,-133.53080578,34.69,0.0,-0.002775826881213556,-5.2954991801797714e-05,-0.950066542938084,0.05517088227512935,-0.020964434278519795,-0.11413327386752273,2855,-0.4800457160622665,0.0004947915828476349,-0.2521636812349378,11.681488196055094,0.2,1.002007246017456,-0.012970376759767532,-3.1273059844970703,0.0003,-34.078036626180015,0.044527657,33496,5.00726318359375,0.2548014322916667
