curriculum/swing_frac_min,curriculum/ctrl_drop_prob,rollout/ep_rew_mean,reward_terms/fwd_speed,reward_terms/stop,reward_terms/track_yaw,reward_terms/motor_vel,reward_terms/action_rate,reward_terms/alive,reward_terms/residual,reward_terms/duty_sym,reward_terms/residual_rate,reward_terms/stance_time,reward_terms/upright,reward_terms/hip_roll,ankle/ankle_defl_peak,reward_terms/foot_slip,reward_terms/phase_contact,time/time_elapsed,reward_terms/height,reward_terms/energy,reward_terms/step_rate,reward_terms/stance,curriculum/ent_coef,curriculum/cmd_scale,curriculum/cmd_track_err,reward_terms/torque,reward_terms/track_lin,reward_terms/time,reward_terms/air_time,reward_terms/vz,reward_terms/foot_ahead,ankle/ankle_spring_energy_peak,reward_terms/assist_pen,reward_terms/overrun,curriculum/dr_scale,reward_terms/angmom,time/fps,ankle/ankle_spring_trq_peak,est/vel_rmse,rollout/ep_len_mean,curriculum/swing_frac_mean,reward_terms/stand_drift,reward_terms/lat_vel,time/total_timesteps,curriculum/ctrl_jitter_ms,reward_terms/ang_xy,reward_terms/coef_rate,time/iterations,reward_terms/clearance,curriculum/eff_scale,curriculum/stance_ratio,reward_terms/stand,train/std,train/clip_range,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress
0.2694227430555556,0.0,-73.73638737,0.0,0.0,1.6052535391635268,0.0,-0.08619697025924804,0.0,-0.09506797186372512,0.0,0.0,-0.0001338692220290088,-0.48492913704061485,-0.1797771628983468,0.5052009231565232,-0.6605854086965652,-0.07653933367644455,2,-0.02656069926094178,0.0,-0.008105468750000002,-0.5324458738266012,0.01,0.0,0.7352948310513421,0.0,1.2742748037958675,0.0,1.844613386007647e-05,-0.15541536383601,0.0,0.0,0.0,0.0,0.0,-0.07232642182894423,8918,0.0,1.5930426280657384,137.25,0.2999403211805556,-0.01539651238676202,-0.33815675485965657,18432,0.0,-0.2562512451431806,-0.44561777601601044,1,0.016376847301989864,0.0,0.7,0.4451071242744946,,,,,,,,,,,,,,,,
0.28564453125,0.0,-62.076878179999994,0.0,0.0,1.6099292431252097,0.0,-0.08994102052425341,0.0,-0.09710992354870396,-1.8867322990811716e-06,0.0,0.0,-0.5851466316068958,-0.16983582104373482,0.5051556116538406,-0.5531914939405803,0.0,4,-0.040384955256001186,0.0,-0.006510416666666729,-0.6365376730266149,0.01,0.0,0.6543274046985718,0.0,1.1417657575405735,0.0,0.0,-0.1873951014878016,0.0,0.0,0.0,0.0,0.0,-0.07354789436817837,8980,0.0,1.1150902222366235,155.91,0.29541015625,-0.028480075108402694,-0.49229023850914494,36864,0.0,-0.24865869595914608,-0.4671469063466475,2,0.0,0.0,0.7,0.3251432797914155,0.9998874664306641,0.2,1444.834539794922,344.35882568359375,0.2424072265625,0.011614147678483278,0.00029995392,0.027484879,56137,-36.88062038421631,0.8072617650032043,,,,,
0.2782118055555556,0.0,-62.90502827999999,0.0,0.0,1.5697238006955425,0.0,-0.08680752603813263,0.0,-0.09797451397640662,-0.0010429309302460894,0.0,0.0,-0.6139968028941909,-0.17257405482490826,0.5049549996695314,-0.5642467574583256,0.0,6,-0.045064325497306296,0.0,-0.006521267361111175,-0.6651463137038742,0.01,0.0,0.7768628735393719,0.0,1.2740156869894117,0.0,0.0,-0.19674956085052647,0.0,0.0,0.0,0.0,0.0,-0.08947726586550285,9017,0.0,0.884498168402156,160.76,0.2899034288194444,-0.03600506606590277,-0.5106074389473232,55296,0.0,-0.2504553518123096,-0.44695711443525366,3,0.0,0.0,0.7,0.37890590469516144,1.0005468130111694,0.2,935.7237442016601,216.37379455566406,0.1962890625,0.001363544905325398,0.00029990784,0.016025975,56141,-36.891556358337404,0.8608255386352539,,,,,
0.2834201388888889,0.0,-57.067839029999995,0.0,0.0,1.6213073567205436,0.0,-0.08213414539870761,0.0,-0.09913990277108772,-5.768066037631481e-05,0.0,0.0,-0.6235045353866207,-0.16624438376690268,0.5052334992798453,-0.5749681969148499,0.0,8,-0.0506498222404252,0.0,-0.006325954861111171,-0.6277354431843064,0.01,0.0,0.7031617149811863,0.0,1.2741514828154696,0.0,0.0,-0.22478108068104902,0.0,0.0,0.0,0.0,0.0,-0.07825839864031134,8655,0.0,0.6716957962220917,155.36,0.28865559895833337,-0.03787174726039698,-0.5478008790049456,73728,0.0,-0.24843330875144176,-0.46145833732616726,4,0.0,0.0,0.7,0.3750503749615236,1.0010459423065186,0.2,740.8879608154297,176.29315185546875,0.1859130859375,-0.004255742009263486,0.00029986176,0.017615099,56145,-36.90162334442139,0.9036129117012024,,,,,
0.2262912326388889,0.0,-62.62987411000001,0.0,0.0,1.561717102014631,0.0,-0.0886670234372466,0.0,-0.0974464664837384,-5.00146179090677e-05,0.0,0.0,-0.5464864637235847,-0.12611877920776912,0.505198082612977,-0.6148586727484822,0.0,11,-0.042385724272732066,0.0,-0.005609809027777828,-0.5115299211707369,0.01,0.0,0.7127257970264157,0.0,1.184479872408259,0.0,0.0,-0.20082019489683883,0.0,0.0,0.0,0.0,0.0,-0.09853850323283947,8214,0.0,0.5933029097711555,163.23,0.270263671875,-0.03604502531389256,-0.47460414576882265,92160,0.0,-0.24414527576391398,-0.4457912986881048,5,0.0,0.0,0.7,0.3350635362647464,1.0011143684387207,0.2,681.447543334961,185.25035095214844,0.219091796875,-0.003299073514062911,0.00029981568,0.014478835,56149,-36.90389423370361,0.9090218544006348,,,,,
0.2306857638888889,0.0,-49.16992381,0.0,0.0,1.5777294426956066,0.0,-0.08046947177644423,0.0,-0.09952379189447164,-2.466825503295195e-06,0.0,0.0,-0.587255430710941,-0.11892967393152709,0.5051742869812545,-0.6748207028947978,0.0,14,-0.05112236224641647,0.0,-0.005772569444444497,-0.5332584828947804,0.0099963136,0.0,0.6386406166292132,0.0,1.3309441044841037,0.0,0.0,-0.23203166048146487,0.0,0.0,0.0,0.0,0.0,-0.07971398047288307,7836,0.0,0.5450307812441292,168.78,0.2461208767361111,-0.054816409471928125,-0.5710926810502961,110592,0.0,-0.234733018290777,-0.4472971605431717,6,0.0,0.0,0.7,0.3823254293298297,1.001067042350769,0.2,484.63501434326173,126.39306640625,0.18826904296875,-0.004790519684320316,0.00029976959999999996,0.015624559,56153,-36.90321941375733,0.9137765765190125,,,,,
0.21375868055555555,0.0,-50.60221283,0.0,0.0,1.562119801665184,0.0,-0.08148491252385523,0.0,-0.09932112280482255,-2.774228014733055e-06,0.0,0.0,-0.5536783821474759,-0.11930171497657224,0.5051564031373114,-0.6743511029131734,0.0,16,-0.04623216393440233,0.0,-0.005479600694444493,-0.538284001930065,0.0099926272,0.0,0.7350880735900689,0.0,1.233438849114378,0.0,0.0,-0.2099438775283273,0.0,0.0,0.0,0.0,0.0,-0.0840766487408985,7599,0.0,0.4647618069269887,169.3,0.24351671006944442,-0.050958382117018884,-0.535538903079478,129024,0.0,-0.23901052337142226,-0.44632292328156153,7,0.0,0.0,0.7,0.3591425249586459,1.000924825668335,0.2,529.744352722168,135.42784118652344,0.18216552734375,-0.0018855076632462442,0.00029972352,0.013131216,56157,-36.900254821777345,0.9179184436798096,,,,,
0.21419270833333334,0.0,-53.20413475,0.0,0.0,1.521145233480734,0.0,-0.0868855022918899,0.0,-0.09743027917934238,0.0,0.0,0.0,-0.5391777039994214,-0.1068204804689023,0.5049556039988303,-0.6431048067605815,0.0,19,-0.045067147147178174,0.0,-0.005512152777777827,-0.46029422956904054,0.0099889408,0.0,0.6419407905897431,0.0,1.023929076036385,0.0,0.0,-0.20963449676401924,0.0,0.0,0.0,0.0,0.0,-0.09389678030972554,7406,0.0,0.4393791984259843,173.83,0.2475314670138889,-0.05369430694037239,-0.5191475868420847,147456,0.0,-0.23728652844272652,-0.44933808181886864,8,0.0,0.0,0.7,0.28425063378036397,1.001052975654602,0.2,467.40139999389646,119.6209487915039,0.17362060546875,-0.004887179483193904,0.00029967744,0.012524104,56161,-36.90273551940918,0.9197823405265808,,,,,
0.17784288194444445,0.0,-60.54848555000002,0.0,0.0,1.5298079365421293,0.0,-0.08529870264181441,0.0,-0.09793653875508972,-3.8270264679997025e-06,0.0,0.0,-0.4933929485423722,-0.09157933192442483,0.5051068541127186,-0.6273628468613665,0.0,22,-0.037924508178117,0.0,-0.005143229166666709,-0.4108356344553516,0.0099852544,0.0,0.6226867183168534,0.0,1.0886143712146632,0.0,0.0,-0.1800874082979541,0.0,0.0,0.0,0.0,0.0,-0.09301245687254478,7275,0.0,0.46814859274783366,173.21,0.24131944444444442,-0.04355347666533847,-0.47493340823061087,165888,0.0,-0.2351941170840763,-0.46778794934901924,9,0.0,0.0,0.7,0.324691690854635,1.0016528367996216,0.2,313.29089202880857,71.9665298461914,0.1436767578125,-0.008369412797037512,0.00029963136,0.01467821,56165,-36.90684432983399,0.9186574220657349,,,,,
0.1802300347222222,0.0,-47.28644724999998,0.0,0.0,1.5743233781460617,0.0,-0.08083097647891438,0.0,-0.0994682856863216,0.0,0.0,0.0,-0.5093150274104943,-0.10293329778509083,0.5051704207375404,-0.7129369437092367,0.0,25,-0.042904718900484855,0.0,-0.004611545138888925,-0.4444103088106213,0.009981568,0.0,0.7204078758378007,0.0,1.262015721392693,0.0,0.0,-0.19866879763500409,0.0,0.0,0.0,0.0,0.0,-0.07381104865889668,7142,0.0,0.43063908026587644,180.9,0.21986219618055555,-0.06433089452330404,-0.5366278647226902,184320,0.0,-0.22328864607794474,-0.4358648484706748,10,0.0,0.0,0.7,0.3784948369588525,1.002334475517273,0.2,309.6604736328125,70.10565185546875,0.2220703125,-0.0018429984454996883,0.00029958527999999996,0.01815838,56169,-36.91965255737305,0.9201184511184692,,,,,
