reward_terms/residual,reward_terms/upright,reward_terms/foot_ahead,reward_terms/angmom,curriculum/ctrl_jitter_ms,time/iterations,reward_terms/duty_sym,curriculum/eff_scale,reward_terms/lat_vel,curriculum/stance_ratio,reward_terms/air_time,reward_terms/hip_roll,time/total_timesteps,reward_terms/stance,reward_terms/torque,reward_terms/motor_vel,reward_terms/residual_rate,curriculum/sprint_dist_m,reward_terms/assist_pen,reward_terms/phase_contact,reward_terms/time,rollout/ep_len_mean,reward_terms/ang_xy,reward_terms/height,reward_terms/foot_slip,reward_terms/stop,reward_terms/alive,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/overrun,reward_terms/clearance,rollout/ep_rew_mean,time/fps,time/time_elapsed,reward_terms/coef_rate,reward_terms/energy,reward_terms/action_rate,reward_terms/vz,reward_terms/step_rate,reward_terms/stance_time,reward_terms/fwd_speed,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss
-0.10627396884938485,-0.18658453356302043,0.0,-0.09459045446410985,0.0,1,0.0,0.0,-0.09019318164705373,0.65,0.0009749337591023908,-0.275017596058346,18432,-0.2020982302261847,0.0,0.0,0.0,25.0,0.0,-0.3496018053210891,-0.5,229.1219512195122,-0.3461269413836988,-0.029530959783659112,-0.6039828724486744,0.0,0.0,0.0,0.01,0.0,0.12066932541157506,-153.0524306585366,4170,4,-0.2742923066924956,0.0,-0.03337091229431113,-0.15919938376496287,0.0,-0.0019928585129996967,1.8690649604870475,,,,,,,,,,,
-0.10777909928604848,-0.18755966528054654,0.0,-0.09510574492218506,0.0,2,0.0,7.68e-05,-0.0960423452555307,0.649982336,0.0008235668356064707,-0.2784941611153851,36864,-0.17466431587266154,-4.8883151580230273e-05,-1.067545070308862e-06,0.0,25.01152,0.0,-0.3371844266500684,-0.5,249.890243902439,-0.35638316999226205,-0.03120500950521722,-0.6538162047827987,0.0,0.0,0.0,0.01,0.0,0.1502098523060375,-155.81294430487804,3998,9,-0.25510228610546504,-5.513030323993485e-06,-0.03331777610320101,-0.15993601098870086,0.0,-0.0008836493927649119,2.81959723866656,0.2,181.2071990966797,0.9682787656784058,0.00029993856,0.12076416015625,29214,1.0015943050384521,-19.878294944763184,-0.004724871448706836,0.012393475,660.918049621582
-0.1089230343047482,-0.12894191196478452,0.0,-0.0846762842330755,0.0,3,0.0,0.0001536,-0.1199291111027761,0.6499646720000001,0.0005837666621017787,-0.2513022520824379,55296,-0.1366579229290655,-9.124002618980629e-05,-2.5694266082592805e-06,0.0,25.02304,0.0,-0.25024103540945886,-0.5,270.04,-0.3400815255765022,-0.02499548691167784,-0.6898491285096362,0.0,0.0,0.0,0.01,0.0,0.16995690420337053,-157.28994449999996,4069,13,-0.18233196926635376,-1.260259055281811e-05,-0.03148410350293442,-0.1532701591046843,0.0,-0.001983501817448996,3.400217708583577,0.2,88.25969696044922,0.9881844520568848,0.00029987712,0.06533203125,29218,1.0007833242416382,-19.869913864135743,-0.008255141892004759,0.008976599,293.3563629150391
-0.11073289690865082,-0.05674910285298503,0.0,-0.07818258065471881,0.0,4,0.0,0.0002304,-0.14616669782624994,0.649947008,0.0002571611581111534,-0.22951142506790528,73728,-0.04465697295663492,-0.00014060272910014466,-4.9970274416483754e-06,0.0,25.03456,0.0,-0.11096067857375455,-0.5,298.55,-0.33338333352959015,-0.01621344409632923,-0.6996883646824434,4.202643668811229e-28,0.0,0.0,0.01,0.0,0.23465705865120862,-146.4319107,4105,17,-0.0877126996595037,-2.394319497642205e-05,-0.029457121906783425,-0.1254551096502231,0.0,-0.0007124817930161953,5.1018677420272995,0.2,115.63276672363281,0.9880452156066895,0.00029981568,0.09954833984375,29222,1.001927375793457,-19.875702571868896,-0.01102041417034343,0.010564724,316.19213485717773
-0.1099532486385878,-0.08048717476010044,0.0,-0.08186595158163074,0.0,5,0.0,0.0003072,-0.1607888971283519,0.649929344,0.000338541188587745,-0.23858797486137975,92160,-0.03804682814563555,-0.00018944166171590662,-6.343357814814172e-06,0.0,25.04608,0.0,-0.14259494480252397,-0.5,446.91,-0.3406784329948499,-0.01875536653485209,-0.6754166939078625,1.2391071219245318e-35,0.0,0.0,0.01,0.0,0.2284812647088976,-21.748718809999996,4131,22,-0.13320667734494027,-3.0385679289122362e-05,-0.03186776944350887,-0.14139960643599658,0.0,0.0,4.627573784249865,0.2,72.1876220703125,0.9856697916984558,0.00029975423999999997,0.09693603515625,29226,1.001901388168335,-19.878637409210206,-0.008560819050762803,0.009635735,150.1519416809082
-0.11017145771284081,-0.10784592936317179,0.0,-0.08614049108433806,0.0,6,0.0,0.000384,-0.14637052976006684,0.64991168,0.00040310264577985637,-0.25168571895720726,110592,-0.07807075050089875,-0.0002419629577387133,-7.1413854780359e-06,0.0,25.0576,0.0,-0.20865376383647097,-0.5,550.38,-0.3466919549506054,-0.024597603601318865,-0.7061238376848434,2.852893666017657e-32,0.0,0.0,0.01,0.0,0.18852091641846674,52.45372439,4150,26,-0.15491379559938132,-3.5032840533524055e-05,-0.029783941087038333,-0.1578177432537794,0.0,0.0,3.9677532101246595,0.2,240.61001586914062,0.9783977270126343,0.0002996928,0.12825927734375,29230,1.000876784324646,-19.87203197479248,-0.0054764335975050924,0.012612788,487.0107025146484
-0.110545556842681,-0.07088244423320852,0.0,-0.08018713082628547,0.0,7,0.0,0.0004608,-0.16970325512984097,0.6498940160000001,0.00026041626632730995,-0.2343431165631808,129024,-0.04292430878691681,-0.00028881152384553627,-9.641414275287072e-06,0.0,25.06912,0.0,-0.14114468175637107,-0.5,960.11,-0.3406255929786445,-0.01926918679957724,-0.7027864164804755,6.644941557776609e-35,0.0,0.0,0.01,0.0,0.22143954250143294,428.66356988,4163,30,-0.11836467606128807,-4.650418202048906e-05,-0.030257692089229134,-0.13828695713360067,0.0,-3.7976488884952332e-06,4.726087540832186,0.2,165.6038055419922,0.9797549247741699,0.00029963136,0.07794189453125,29234,1.0008121728897095,-19.869854545593263,-0.007197377202101052,0.009109661,432.02396697998046
-0.10956825768798034,-0.11038423619042502,0.0,-0.09093716709827177,0.0,8,0.0,0.0005376,-0.15205309806529316,0.649876352,0.0006727421197057185,-0.2580197146878167,147456,-0.10281169922960809,-0.00035288313543892387,-9.625531638715563e-06,0.0,25.08064,0.0,-0.23618174773289116,-0.5,1115.98,-0.36192020800023017,-0.02381323444532523,-0.6822914583847122,1.4095197262765877e-34,0.0,0.0,0.01,0.0,0.17429525827358405,559.31962587,4170,35,-0.17689427355426035,-4.786281156557568e-05,-0.03004773567089159,-0.15499713678372162,0.0,-1.3562061616943942e-07,3.5011458135478617,0.2,135.81210327148438,0.975975751876831,0.00029956992,0.05826416015625,29238,1.0006093978881836,-19.869561767578126,-0.004814237222308293,0.009627673,370.5324478149414
-0.11075670547470833,-0.07663535725198557,0.0,-0.08052902800661907,0.0,9,0.0,0.0006144,-0.1892578414271068,0.649858688,0.00017795112540221048,-0.23792752476632753,165888,-0.037858843693381175,-0.0003779645210914344,-1.3315675882230804e-05,0.0,25.09216,0.0,-0.11880147354291665,-0.5,1182.83,-0.349740697933052,-0.018713628539070236,-0.7089942381414782,4.285655815221806e-39,0.0,0.0,0.01,0.0,0.22910348222047336,619.21910395,4178,39,-0.10417022764944847,-6.31809405969882e-05,-0.029839943259344262,-0.13667163241597496,0.0,0.0,4.844407478551821,0.2,254.8253936767578,0.9758026003837585,0.00029950848,0.04176025390625,29242,1.0003330707550049,-19.867145156860353,-0.004044781450647861,0.007598184,514.7547103881836
-0.10990343643082673,-0.10679625687361778,0.0,-0.09300723912766505,0.0,10,0.0,0.0006912,-0.1659656101171783,0.649841024,0.0005251729421110617,-0.2492836034183267,184320,-0.07810083390625196,-0.0004352219217985813,-1.296398688596533e-05,0.0,25.10368,0.0,-0.1794618058307624,-0.5,1226.81,-0.3614753688954641,-0.022046198772125727,-0.6870001721253405,7.91091128120323e-19,0.0,0.0,0.01,0.0,0.18685843587638581,655.6479423699999,4184,44,-0.16039008592260112,-6.355682038514637e-05,-0.030369077371886544,-0.15639916999778825,0.0,-2.31931044254452e-05,3.8929330954847865,0.2,116.53388977050781,0.9809761047363281,0.00029944704,0.03831787109375,29246,1.000588059425354,-19.868507862091064,-0.005419532558880747,0.006850253,265.39924774169924
