reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/step_rate,rollout/ep_len_mean,reward_terms/coef_rate,curriculum/stance_ratio,time/iterations,reward_terms/energy,reward_terms/overrun,reward_terms/stance,reward_terms/ang_xy,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/residual,curriculum/sprint_dist_m,reward_terms/upright,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/foot_ahead,reward_terms/torque,reward_terms/residual_rate,reward_terms/time,reward_terms/air_time,reward_terms/angmom,reward_terms/height,curriculum/ctrl_drop_prob,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/alive,reward_terms/stop,reward_terms/clearance,time/time_elapsed,curriculum/ent_coef,curriculum/eff_scale,reward_terms/vz,time/fps,reward_terms/stance_time,curriculum/ctrl_jitter_ms,reward_terms/action_rate,time/total_timesteps,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,train/clip_fraction
-1.3996480028557963e-06,-0.0051661030863614,0.0,359.32,-1.5718351535173531,0.6498233600000001,11,-1.6650852014053942e-05,0.0,0.0,-1.5605571814072696e-05,-189.63294770000002,-0.5088673831008491,-0.06142956594636744,25.1152,-9.118924482600105e-08,0.0,-1.3071223844462645,0.0,-0.00021957503830646126,0.0,-0.5,0.0,0.0,-0.05383972605526663,0.0,-3.652353149623614e-08,-0.365606456043299,0.0,0.0,0.049732885323219296,47,0.01,0.000768,-0.19029150444001977,4306,-0.09270803232114606,0.0,-0.2179292710651444,202752,1.0017602443695068,0.00029990784,0.0031231844,40,179.65992889404296,-0.010174055921379477,-34.073431968688965,74.94981384277344,0.2,0.6589429378509521,0.00706787109375
-1.5112254759361076e-06,-0.005027516224761188,0.0,372.99,-1.5849307145465759,0.649805696,12,-1.8253105634058348e-05,0.0,-2.123654632134009e-05,-1.5769422923608536e-05,-193.05469437,-0.513386514029937,-0.061679091657307755,25.12672,-9.333698837800836e-08,0.0,-1.3223740877891812,0.0,-0.00024354108880477251,0.0,-0.5,0.0,0.0,-0.05334146597562324,0.0,-3.797957562888077e-08,-0.36503822293510496,0.0,0.0,0.04918366260275711,51,0.01,0.0008448,-0.1882451649048707,4310,-0.08792870273949423,0.0,-0.21826788265165636,221184,1.001722812652588,0.000299898624,0.002568217,44,184.8005798339844,-0.008887178136501462,-34.07304573059082,77.72480010986328,0.2,0.6546896696090698,0.00384521484375
-1.7141163888230754e-06,-0.004699250926966228,0.0,378.76,-1.5762511648255915,0.649788032,13,-1.9939961715000425e-05,0.0,0.0,-1.6205807637839064e-05,-194.48498120999997,-0.5378421913639336,-0.06148285135550683,25.13824,-9.700311896805565e-08,0.0,-1.2062425620381942,0.0,-0.0002590416642415413,0.0,-0.5,0.0,0.0,-0.046469678051968076,0.0,-3.822908464299392e-08,-0.37141625812506074,0.0,0.0,0.042786104204189615,55,0.01,0.0009216,-0.1631075960831521,4315,-0.10649868907704432,0.0,-0.21668168102331176,239616,1.0017908811569214,0.00029988940799999996,0.0030510176,48,164.57984161376953,-0.009130976861342788,-34.07356967926025,69.54452514648438,0.2,0.648300290107727,0.00595703125
-1.8432819588029273e-06,-0.00431167972751303,0.0,396.42,-1.5798563381643658,0.649770368,14,-2.1451026429237317e-05,0.0,0.0,-1.631964077043393e-05,-198.89261477000002,-0.5473326644940519,-0.061727482033797666,25.14976,-9.485602788640114e-08,0.0,-1.1801406458652899,0.0,-0.0002754553355293489,0.0,-0.5,0.0,0.0,-0.04463958572146892,0.0,-3.688670380865887e-08,-0.36771241098581964,0.0,0.0,0.0407784228780484,59,0.01,0.0009984,-0.1558340808432762,4319,-0.14503193079791446,0.0,-0.21917211559310396,258048,1.0016472339630127,0.000299880192,0.0033525706,52,139.67027206420897,-0.009995503211393952,-34.072947120666505,57.77976608276367,0.2,0.6479175090789795,0.00736083984375
-1.964308177385202e-06,-0.004751627213111213,0.0,425.7,-1.5709902070804744,0.6497527040000001,15,-2.268776144373356e-05,0.0,-6.779468905872192e-06,-1.6228857315719295e-05,-206.20446907999994,-0.5567021279285833,-0.06164000441808178,25.16128,-9.768347649986709e-08,0.0,-1.0918928440750173,0.0,-0.00029153043036203943,0.0,-0.5,0.0,0.0,-0.04061493672429939,0.0,-3.622468451912542e-08,-0.3605269835003526,0.0,0.0,0.03748747780196038,63,0.01,0.0010752,-0.14370105084836132,4323,-0.1902640983041945,0.0,-0.21728042571829936,276480,1.0018230676651,0.000299870976,0.0037616217,56,128.09519805908204,-0.010305759514449165,-34.074072647094724,60.35209274291992,0.2,0.631454586982727,0.009326171875
-2.0561074180507005e-06,-0.004310631117095846,0.0,449.99,-1.5805479135678584,0.64973504,16,-2.3967003113319928e-05,0.0,0.0,-1.6780454505594373e-05,-212.26700263000004,-0.5837971597092614,-0.06159309757220953,25.1728,-1.0459931489521653e-07,0.0,-0.9167814357121417,0.0,-0.0003107916711677506,0.0,-0.5,0.0,0.0,-0.034888676826738706,0.0,-3.541256970821129e-08,-0.3916883810662388,0.0,0.0,0.03141304806529303,68,0.01,0.001152,-0.12385263065445355,4327,-0.2689392225292977,0.0,-0.21984134169058356,294912,1.0023963451385498,0.00029986176,0.0040365965,60,110.11230583190918,-0.00950751882046461,-34.079575538635254,51.75508499145508,0.2,0.6185981035232544,0.0103271484375
-2.1472821303966146e-06,-0.003776661961783691,0.0,497.47,-1.5838234286034059,0.649717376,17,-2.501355193489421e-05,0.0,0.0,-1.6987982613259977e-05,-224.09933717,-0.6224420350900992,-0.06203260009250026,25.18432,-1.2163399101110948e-07,0.0,-0.5408510217894454,0.0,-0.0003431625834956446,0.0,-0.5,0.0,0.0,-0.022882364340313276,0.0,-3.405950558679913e-08,-0.4290231829409714,0.0,0.0,0.019636814164446577,72,0.01,0.0012288,-0.07778620916774813,4329,-0.4049013079056749,0.0,-0.21850983303327962,313344,1.0024698972702026,0.000299852544,0.0055590696,64,96.23341598510743,-0.010468768689315766,-34.082614517211915,46.34566879272461,0.2,0.6346335411071777,0.0189697265625
-1.964503190099109e-06,-0.004990577418765362,0.0,543.18,-1.5786328488276384,0.649699712,18,-2.655635073975635e-05,0.0,0.0,-1.706965647661973e-05,-235.50826599,-0.6567491582073499,-0.06271261832662851,25.19584,-1.6760627979452408e-07,0.0,-0.049953347215598416,0.0,-0.00044251589694761464,0.0,-0.5,0.0,0.0,-0.01506839803084245,0.0,-3.816477239403908e-08,-0.6581105011529211,0.0,0.0,0.008692637479426025,76,0.01,0.0013056,-0.03866713187914619,4331,-0.3846222699050688,0.0,-0.2183169890259877,331776,1.0022153854370117,0.000299843328,0.009379487,68,59.97426490783691,-0.010493391402997076,-34.07906799316406,26.877771377563477,0.2,0.7028836011886597,0.04862060546875
-1.914845790340029e-06,-0.004661780080113,0.0,560.2,-1.5833160713804828,0.6496820480000001,19,-2.813402607316177e-05,0.0,0.0,-1.7792708632696984e-05,-239.75722901,-0.6882240844628739,-0.06281960128312548,25.20736,-2.0286591133238328e-07,0.0,0.17578752279940837,0.0,-0.0005275174476909767,0.0,-0.5,0.0,0.0,-0.011224700560864283,0.0,-3.9033047561622e-08,-0.7754755369495313,0.0,0.0,0.0009401493630951923,80,0.01,0.0013824,-0.011005542220054327,4334,-0.49724960993626155,0.0,-0.21787100313432753,350208,1.0016720294952393,0.000299834112,0.008128366,72,32.600647354125975,-0.010305009759031236,-34.073294448852536,18.78489112854004,0.2,0.7132712602615356,0.0588134765625
-1.8565286226473473e-06,-0.005718772241701832,0.0,570.18,-1.5856474784448855,0.649664384,20,-2.9962933812231387e-05,0.0,0.0,-1.7416153193196447e-05,-242.25137332000003,-0.691849256176501,-0.06322403941067228,25.21888,-2.268249427095265e-07,0.0,0.2415037879339298,0.0,-0.0006186651240670148,0.0,-0.5,0.0,0.0,-0.018018628271013134,0.0,-4.015556279023906e-08,-0.8706435745061467,0.0,0.0,0.0010160247239263433,85,0.01,0.0014592,-0.013115668897280948,4336,-0.5169223727506405,0.0,-0.21679797495782455,368640,1.0017127990722656,0.00029982489599999996,0.008654006,76,9.504151320457458,-0.011424739984795452,-34.072764778137206,2.4045169353485107,0.2,0.6133590936660767,0.091357421875
